train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16321.400746408806;0.06730278429305074;90.9090909090909;5.116253188853382;64724.77192614503;0.7660856742295704;192104.9922249061;187543.4843628523;194999.2650883529;176230.1127622923;169361.12146763946;190623.22751982207;177152.7396345254;185263.20469742495;181860.5386546989;200866.97674804748;174517.0288445059;181820.59082960195;[3672.5327750938886, -10555.712362852297, 9094.054911647108, 20396.83423770769, 23070.472532360553, 5882.812480177934, 8814.960365474602, 6172.612302575057, 7831.181345301098, 16024.786251952522, 38474.949155494105, -9587.099829601939];-1.280683441487922;0.6379626808920378;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;24157.001892425305;0.10985227402371696;45.45454545454545;6.981612779624196;571712.8806680246;inf;166281.32189754499;176985.17727597125;179884.6139685726;173449.15975075724;156872.43049754758;178326.5932777643;171508.5814868665;164779.30010697286;176561.85706217444;175538.87419223183;170630.1242391697;160279.98176009554;[-10246.230897545, -11799.286275971244, -17070.898968572612, -9678.23075075724, 21977.46950245241, 20068.81772223569, 27347.934513133514, 25050.799893027142, 389.87093782555894, 48281.56980776816, 28522.705760830286, 31103.23623990445];-1.476437581067979;0.5451334706973119;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22987.123826258336;0.10587249773741127;18.181818181818183;3.099218884417249;815452.5700004026;1.3441165043463026;157715.93869934304;194936.37511876205;171107.7299457229;152159.00066920245;150272.45456336116;185839.1936498047;179314.00773384658;146821.99260096852;175605.06382814018;173981.4226440701;147379.95962422644;163600.37992716098;[-6623.538699343044, -42024.17211876204, -6982.629945722903, 16324.41533079755, 33323.351436638855, -14851.634649804706, 1589.684266153432, 38121.64839903149, -5436.863828140165, 27319.6273559299, 25451.90737577356, -2285.4509271609713];-1.4470769282179932;0.5595105499022566;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25836.3418536748;0.14122383360191257;54.54545454545455;-3.4900409413914013;510103.8158900166;1.1035403574374842;175896.9676633594;175767.43920543784;173361.3691761223;160574.0769616814;165090.52763703608;179881.66677998536;174548.6217445779;175960.1023808476;168368.6004209244;171517.11613781416;161156.51439386155;168921.01119695543;[-27957.376663359406, -44180.907205437834, -35060.616176122305, -15129.048961681401, -5629.244637036085, -22623.08877998535, 1026.077255422104, 20449.15061915241, 12656.098579075595, 41712.23786218584, 24465.91660613846, -18897.473196955427];-1.2348954036300215;0.6584074082810568;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13356.445090063056;0.05104667125780523;63.63636363636363;3.6745858693692313;210605.50095217026;0.6629837562023919;161040.02906381938;167918.05534333942;167697.3871393262;163854.3912177743;157798.95340077986;172130.08535699671;172005.98879215246;166532.0234221021;163511.67186038248;165140.71384541507;160497.06126794312;167543.56564548856;[426.1739361806249, 932.4456566605659, -2291.4871393262, -4139.396217774309, 12648.87759922014, -2894.784356996708, -8160.195792152459, 11657.278577897901, 7648.3471396175155, 33115.93315458493, 24173.42673205689, 2631.974354511447];-1.3456403203169913;0.6080419592388532;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22710.31586541669;0.12267447420147987;54.54545454545455;-11.641314706037747;448202.1972617754;0.8425502810487397;192893.35141831447;183394.01599670746;193394.43660350595;184194.2826415315;172488.17218989565;194344.71700853572;186978.22787835108;185580.15314905084;186789.50373913013;187689.0357768284;178198.4853933518;183572.83808016256;[-10353.43141831446, -10396.927996707469, -31344.798603505944, -18533.61164153149, -9857.65818989565, -22731.780008535716, -38332.678878351086, -25724.769149050844, -33911.90773913014, -6632.805776828376, 1893.9146066482062, -26554.788080162572];-1.0940568840618312;0.7174361224109678;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12693.251520564512;0.05977610716916427;81.81818181818181;-0.9607910222005522;100262.45922147151;0.5567388712509705;195070.46576912847;185714.88150372673;191651.42269995247;179555.40812286787;177494.13906293875;197212.53706326222;185693.75219711143;189035.3706965493;186912.6606266722;194453.80073853175;175492.6941236414;186940.99571673092;[4562.443230871548, -1505.3335037267243, -3286.946699952474, 14376.779877132125, 8403.821937061264, -9657.353063262213, -11030.21719711143, -7934.51869654929, -13910.568626672204, 10204.803261468245, 16335.892876358586, -27925.46471673093];-0.704164092569003;0.8456679936253406;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21155.284248419113;0.08730492186255663;45.45454545454545;9.080289291873662;500465.8261939971;1.4850793578480337;172426.69790377625;172071.6330726968;172267.19853183962;170310.17993593577;159209.30708499823;175830.2663779898;169244.18776655986;170489.96043052134;170784.97671296494;171923.75416317425;163800.27483338575;168037.70996885136;[18359.61009622374, 7547.600927303196, 1709.5084681603767, 10669.991064064234, 17300.23991500176, 6555.63362201018, 23874.037233440147, 15382.00756947865, 10767.36928703505, 44931.59483682574, 39033.08616661426, 7247.290031148645];-0.8665247236856639;0.7987963762608778;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19161.09317560706;0.0931701277109314;54.54545454545455;-6.578444992239355;377911.0809277299;0.9007846201406194;194805.6861562059;176299.79691735873;193268.82733486255;165574.39131108855;167059.94572154165;200014.22929891938;177543.15081204977;184009.7704655698;176422.08092548497;190571.75883782058;165475.73487982873;179606.62631428134;[-25210.089156205882, -11117.494917358737, -35598.90633486255, 3132.388688911451, 3139.6442784583487, -37603.436298919376, -8837.624812049762, -15240.046465569816, -20526.68092548498, 10026.341162179422, 9207.050120171276, -5352.409314281336];-0.4718925334167113;0.8973857572016618;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23867.05707865621;0.10011750123468229;54.54545454545455;7.799686901820335;470797.5165951466;1.5628580647408312;182261.12743765346;163107.64481651026;170357.98838022348;153136.49597420098;161408.43362585185;178789.32848517282;161664.56164971075;166339.0359841861;163806.86428097056;170289.92449129073;159157.23927840582;162589.57885773227;[-19166.824437653442, 13433.180183489749, 3260.0116197765165, 18722.420025799016, 14609.846374148154, -3757.5044851728308, 19806.878350289247, 29335.512015813903, 5403.387719029444, 45630.21550870928, 47873.37172159419, -6560.39285773228];-0.4085138489142917;0.9086675350793789;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16733.14177458187;0.07738389623014515;72.72727272727273;6.216418530427795;198170.60051474732;0.7460979002214678;169466.4813573196;152079.73990082383;156817.21174818615;149938.07180242104;153143.99372701184;162111.41402825416;151670.37346001418;153401.7276454316;154295.22966401288;157612.39766779353;152047.61722346998;154702.71102474612;[-17941.032357319607, 1592.6580991761584, 764.4552518138371, 7397.894197578949, 13720.946272988163, 5129.822971745831, 7515.182539985835, 20996.9663545684, 15141.529335987114, 29625.850332206464, 33482.716776530026, 6345.605975253886];-0.5429662542490368;0.8833557306919999;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
1990-01_2012-02;2012-03_2013-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22092.13825751044;0.11812767512081297;63.63636363636363;12.229060422834015;348992.85303234466;0.645403422462044;145566.63505991272;132209.20641290952;137798.57821547208;131778.358975171;133703.58968369509;139296.24321167896;131292.01612300947;135023.51535836665;135141.24824019073;137316.76160455128;133451.66183931596;134511.74785615626;[834.514940087276, 9989.95358709048, 7313.331784527923, 21372.392024828994, 16255.024316304916, 23207.419788321044, 24502.711876990536, 33650.66664163335, 16083.044759809272, 42205.0793954487, 25158.200160684035, 6128.852143843746];-0.6494415513577027;0.8594144579972149;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;False
1990-01_2011-02;2011-03_2012-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;26220.458668668194;0.17961389203996062;36.36363636363637;18.171914753988624;724558.2623126539;0.5030095219704074;125147.9739229931;107076.64329198009;113777.09940736536;105022.00147176204;107994.88593889079;113793.36834547119;105487.17085688491;110929.51528540193;108825.35962871074;112923.31859462851;105972.41743540537;108544.020182041;[5268.127077006895, 24333.106708019914, 16641.362592634643, 27103.970528237973, 22146.42406110921, 22128.889654528815, 30193.4881431151, 20858.51671459808, 22713.709371289253, 29297.315905371477, 46929.78256459464, 26743.408817959003];-1.0811427009286105;0.7225330982629983;15;237;-3.4582467982399105;-2.8738137461081323;-2.5733111490323846;False
1990-01_2010-02;2010-03_2011-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19227.62240518405;0.14142920313912746;45.45454545454545;14.699426969093023;455315.6557068168;0.21312709637895652;108758.6161639377;92002.50278739937;94893.42986031614;85167.64189178399;89090.26529089749;99750.01274205717;87950.08477426921;90189.67700677544;92549.45241709199;95125.65300476676;87008.75501261132;90678.38164265043;[5851.832836062298, 8936.193212600629, 3237.7021396838536, 16881.414108216006, 11112.08170910251, 1537.2922579428268, 17828.937225730784, 14688.331993224565, 15520.199582908012, 34450.402995233235, 34840.182987388675, 26941.57135734956];-1.8157469287105983;0.37267227925987356;13;227;-3.4594900381360034;-2.8743581895178485;-2.573601605503697;False
1990-01_2009-02;2009-03_2010-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11965.225732286626;0.08884475684600603;45.45454545454545;4.104728221399528;283067.57822792075;0.09331558750553451;90188.1767255557;86200.87586383945;89178.3652456065;84192.50694063294;84364.30153651528;92393.85783162378;88005.00321884958;87051.37980496758;86693.3394640474;88546.14053711845;82893.85033372013;88367.55600344663;[-5382.559605555711, -1464.1918638394563, -10573.730245606508, -22.675940632936545, 3304.522463484711, -10032.867831623778, -1981.4382188495802, 6065.055195032415, 2908.5555359526043, 25418.52446288154, 25297.51566627987, 11325.40299655337];-1.5321641283017775;0.5175444781398311;15;213;-3.461429147102264;-2.875206950587861;-2.5740544497344002;False
1990-01_2008-02;2008-03_2009-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7565.395359580626;0.06159763961658108;36.36363636363637;4.542300927048182;208670.6312522579;0.05823990747797705;83836.48060912089;83107.33307242212;83494.2506117814;82050.3384840154;81245.5126149282;85860.5825963582;83255.00835334243;82300.39411726652;83482.6168079341;83858.8510336377;80572.09140908852;84102.49780619428;[516.8605308791157, -1175.3837424221128, -1482.2197417814023, 1915.0128359845985, 6843.491365071794, -143.97150635819708, 9640.33408665756, 11369.984682733484, -2806.5635279341077, 16036.951936362311, 11193.829950911473, -4458.74556619428];-1.525863460991476;0.5206804766275271;15;201;-3.4633090972761744;-2.876029332045744;-2.5744932593252643;False
1990-01_2007-02;2007-03_2008-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6535.517356436291;0.06237891905945337;54.54545454545455;-2.0771293030271147;128812.39541043679;0.05107160969174554;85946.17739419713;84441.19542110206;85087.53451690033;82915.30300397429;82611.0591044364;87784.47510387147;84721.402741597;84661.8643281586;83666.51541565171;86720.49717789576;81841.51425433438;85006.37754171858;[66.27681580286298, -2263.8281111020624, -4522.45835690033, 2490.4501760257117, -4891.157054436393, -8739.111443871472, -9975.981041596999, 903.9420518413972, -6267.6853356517095, 2496.8310421042406, 14617.547765665615, -4576.900791718581];-1.3714229144046575;0.5958970922908214;15;189;-3.4654311561944873;-2.8769570530458792;-2.574988319755886;False
