train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3005.3128869424213;0.0671889775276911;54.54545454545455;4.946455988265882;59240.51501748713;0.9222827759904718;35629.724916443214;33907.906106733106;37450.53435840478;34315.0574629781;32039.497804637253;32834.965483372995;32807.55806528818;33499.12823414216;34478.38464401522;35782.89734009541;32488.72027022099;32715.166994306368;[-548.3249164432127, -1672.4991067331066, 888.565641595218, 1759.3425370219047, 6586.402195362749, 4277.634516627004, 2523.9559347118193, 1801.871765857839, 248.67035598478105, 4065.102659904587, 3166.5797297790123, -1868.166994306368];-1.6295633123953384;0.4677193013180737;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5245.56026610329;0.12157882416631137;45.45454545454545;9.224771317097732;124173.25538107062;inf;29101.768488660782;31679.54451508744;34152.15043789878;33235.054363463496;28610.289867821462;30143.36722794842;30576.444314696644;28040.0935047412;32209.231374660023;30008.62793744865;31420.09328862347;28886.40738958347;[799.9315113392186, -2050.144515087439, -2407.2504378987796, -2704.9543634634974, 7373.384132178537, 6613.523772051583, 6298.655685303354, 7146.806495258803, 704.0686253399799, 10202.230062551349, 1286.506711376529, 4140.59261041653];-1.6968104914346105;0.4327565523886848;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4134.99880583989;0.10003342345486384;36.36363636363637;5.206943617849771;114123.22188059575;1.0687763376180353;26498.28489028562;31467.767293944566;32413.89865926726;29239.318913296927;26855.009540368406;29619.631110465583;31240.69922858954;24821.60353421375;30824.0411662251;29673.033732643038;29028.649323562095;29462.013726666035;[607.7451097143785, -4653.007293944567, -2780.9676592672586, 1708.1810867030727, 8457.69045963159, 3603.268889534418, 1287.8007714104606, 6878.696465786248, 216.458833774901, 6052.266267356965, -1323.7263235620958, -766.2137266660357];-1.729876349311076;0.4157887219248424;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4109.784817010931;0.11799297281777853;27.272727272727273;-4.980521994727916;129638.3513827297;0.7042083137648311;30322.38518027152;31985.590035588808;33550.07059045157;30510.280832451597;28852.37042268968;29600.612356203135;31045.102663651967;30072.168632875593;31076.377276922285;30920.176774326326;30003.849711234056;29383.93046233773;[-3641.275180271521, -6318.090035588808, -8626.53059045157, -3118.395832451599, 2139.619577310321, -1099.6623562031346, -811.4126636519686, 2484.1013671244073, 640.9827230777155, 5529.703225673671, 58.75028876594297, -4664.450462337729];-1.5719288985327384;0.4976773850342086;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2652.465116253471;0.05223709068705936;54.54545454545455;4.6920056129784635;52267.89269397971;0.5153709337338642;28739.237002907605;29906.720025672865;31011.194189963313;28999.969069262745;27689.934637986666;28940.765056089756;30238.119320591468;28357.198760231047;28894.03243616895;29284.89070753599;28861.470466294566;28557.025962119125;[-127.06700290760637, 83.87997432713382, 298.7458100366857, -763.0090692627455, 6940.345362013333, 2300.5749439102437, -277.75932059146726, 2735.6712397689516, 999.4075638310496, 4560.689292464012, 862.5795337054333, -409.15596211912634];-1.533891026526963;0.516684319075785;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3609.8314717729977;0.10570886935439965;45.45454545454545;-8.718251801526508;85427.88759717262;0.6171295777404583;31168.77491269288;31535.998931964652;35247.423053428836;32806.5352846859;28465.734126522624;30779.40679531085;32720.532026000474;30440.111426122578;31983.72749810237;32371.20981018216;31224.494944771854;30477.74540603278;[-613.5929126928786, -2637.1259319646524, -6588.939053428836, -5731.185284685904, 2679.8878734773753, -911.6347953108489, -6114.405026000473, -2393.916426122578, -2862.275498102368, -123.4918101821604, -2128.3149447718533, -2985.2654060327804];-1.434969493025151;0.5654012932252495;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2490.9241140919135;0.05395769409726711;72.72727272727273;2.6309785759221676;29475.24827998934;0.5288259587888348;30266.904523711193;30054.340818543424;33512.44575466948;31512.66475858896;28664.049868172864;30364.97605580406;30258.986189438278;30600.175556977247;30207.550374291928;31561.77547003616;30072.02414421398;30635.40387624363;[1915.3554762888052, -159.76081854342192, -588.6157546694812, 1138.5852414110414, 6628.150131827133, 1901.3139441959393, 410.42281056172214, 393.0414430227538, -774.7303742919285, 3028.246529963839, -626.6231442139797, -3329.5708762436298];-1.3282089306288667;0.6161699373235197;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2696.2336427469686;0.06560025647830366;54.54545454545455;5.035984310623312;53146.21671992966;0.6290709087617641;29145.984351353425;28972.93658347341;31104.53542538838;30196.489486693703;27004.424205959036;28261.403582090166;28661.65443999921;28202.218640621548;30029.8530719934;29355.479897885572;28689.252997741594;28611.74533854936;[1231.3156486465741, 467.26341652659175, -1337.3354253883808, -531.9894866937029, 5587.725794040965, 3319.2964179098344, 2803.6455600007903, 1234.129359378454, -683.8420719934002, 5238.80110211443, 1843.007002258404, -704.9073385493612];-1.2522785912577359;0.6507125606709259;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2832.9499404884596;0.07483940946240276;27.272727272727273;-2.3631845335991546;89308.9486217939;0.45065017195616996;30611.46900701932;29399.191212557045;32822.88690079573;29259.34390985893;26795.261460347472;30649.39463398851;28378.350343401442;29261.05101248076;30002.518239012607;31415.422755131043;28377.7676350102;28918.68290788692;[-3320.594007019321, -746.891212557046, -5238.686900795732, -477.5939098589297, 5968.788539652527, -2372.9446339885108, 1082.399656598558, 172.55898751924178, -2971.0682390126058, 1689.9772448689582, -1673.7176350102018, -328.43290788691957];-1.2001267777940365;0.6735411729485796;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4149.946346477118;0.10977863569867967;54.54545454545455;9.73264773527454;81880.31612568964;0.7943075449027138;28371.857382348127;26173.613117804904;29120.926488708876;26440.862058713883;24530.656056639906;26896.335478295558;25507.57992252286;26356.96763432477;26866.07213626182;27247.706068299773;26460.115597567677;25812.66282767596;[-2327.7063823481258, 2230.586882195097, -33.32548870887695, 1750.9679412861187, 6203.190943360096, 3295.8745217044416, 5597.52007747714, 5284.332365675229, 878.9278637381794, 8069.143931700226, 4264.084402432323, -734.2628276759569];-1.13598512714255;0.7005102673699768;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
1990-01_2013-02;2013-03_2014-02;TO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2739.742584785332;0.07835143068113878;63.63636363636363;5.391609585766612;43233.943199418405;0.2967600117377428;26870.76634461582;24538.16772267958;27278.778557641504;24794.496334348332;23590.999737756687;25023.166437959808;24332.121341329577;24921.577769852556;24990.39219473163;26039.57850711826;24453.63243173539;24318.118003253312;[-2834.066344615818, 645.5322773204207, -1516.4785576415052, 199.30366565166696, 6630.350262243312, 1719.7335620401936, 1660.0286586704242, 2224.6722301474438, 1194.657805268369, 4126.917492881737, 2381.2175682646084, 730.381996746688];-1.2572552877839305;0.6484942905109536;16;260;-3.4557539868570775;-2.8727214497041422;-2.572728476331361;False
