train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;CE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9076.234226272065;0.06333784802717075;63.63636363636363;3.7958620082767567;143163.5486019468;0.9827337196174762;123118.73384893352;126100.29420798023;130212.74677555906;118941.70962441768;116354.18008722492;127122.25525591212;121203.95840036104;119093.93822376228;123115.1828547216;127660.16963361541;118611.34681812969;119744.72230747277;[-794.1338489335176, -10193.642207980229, 4650.808224440931, 8807.190375582315, 10990.67491277508, 3925.444744087872, 4283.8515996389615, 11910.061776237722, 5436.679145278395, 12009.430366384593, 15552.703181870296, -8527.792307472773];0.17596040494526613;0.9708805932659957;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;CE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18371.860089227855;0.12288508232743418;36.36363636363637;9.457793707433023;507224.07147138886;inf;99616.24547355798;118788.06981162961;117282.76375134643;116886.68552419718;104703.91226308992;111548.62126744504;113664.41524721454;96526.89907629362;116458.29240916549;109128.0359523836;115665.67746568119;102465.39939617123;[9595.089526442025, -10099.874811629605, -2840.104751346429, -10875.195524197174, 14200.431736910075, 18793.21773255497, 16805.884752785467, 36714.29492370637, 7126.941590834511, 34701.47904761642, 11494.253534318806, 12552.900603828777];-0.1255136516508682;0.9468372308651924;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;CE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18348.08273064203;0.12148446728413231;36.36363636363637;3.611239232372497;506556.44631688436;1.080021294095714;89968.0740753863;126410.4231380817;112181.2170805723;101124.91377501025;104561.68139587707;112780.9750358816;114061.98290415108;82142.20982221462;117438.92219588844;110552.05694882385;99274.09813752507;110712.25826528059;[4527.099924613693, -37953.50613808169, -8898.6110805723, 9013.156224989754, 17937.189604122934, 3682.012964118403, 5062.432095848912, 40780.33117778538, -6515.587195888438, 18139.98305117614, 4313.701862474933, -2087.258265280587];-0.6763324785232708;0.8527850903741832;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;CE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22107.84184162149;0.18708085510531833;36.36363636363637;-10.152545324917458;610985.4784214168;1.0163569303819011;117896.06566588486;122330.03009840356;119852.45449078969;110507.35058472959;111994.10554450435;119977.46026058747;116711.5939641449;115896.26235478795;116256.46496171046;115495.64707125822;111901.15932787942;111547.6549020705;[-26339.738665884855, -45099.41509840355, -43354.5844907897, -17393.93758472959, -2990.523544504351, -11274.710260587468, -20.966964144899976, 9724.465645212054, 4219.835038289544, 18497.75192874178, 4451.932672120587, -18567.4549020705];0.0019734147488938646;0.9586949821250035;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;CE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8664.145610251406;0.05583684606391529;54.54545454545455;3.7000846418710034;170741.72218824984;0.924171416261806;113343.23809533777;119984.80288156233;112495.78231998747;107621.27564957825;107248.91382883933;115342.90484436591;113670.95396577337;110470.80253745057;108672.7215583074;111727.05943766831;107766.79726383214;108699.63649073767;[-6915.9380953377695, -7275.842881562319, 1946.5176800125337, -98.27564957825234, 13136.186171160676, 1532.495155634082, 295.6460342266364, 11872.712462549433, 11407.078441692604, 16546.644562331683, 8737.126736167862, 188.27250926232955];-0.1570496832864967;0.9434512783969058;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;CE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7088.541190535131;0.05453358362778687;54.54545454545455;-3.441785363778808;139687.93179808496;0.5256483775760434;117636.05699783245;119241.54224628689;118589.25313777592;114434.22352541998;108202.26394516938;117940.80307370996;117255.29697794006;113439.22481673885;114604.89702894844;115998.90352975292;113715.18373280039;112031.73880762247;[-2231.6499978324428, -10982.885246286882, -8896.48913777592, -11017.223525419977, -705.7319451693766, -2683.343073709955, -12327.96397794006, 4403.317183261155, -4793.526028948443, 6729.193470247075, 1659.9032671996101, -5172.690807622479];-0.1653101334985273;0.9425322090049146;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;CE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5620.392775066618;0.03876052625944471;72.72727272727273;0.2517104142865566;66468.46550468572;0.409548312052749;111679.59102874917;116756.357551016;117668.20770220496;113688.03733564497;110605.59974892433;119708.5050493517;115136.48551083996;113490.07862631278;112896.50075858338;117641.31384645941;111759.45560966723;113270.0482711821;[5171.4579712508275, -7391.157551016004, 54.36229779504356, 2949.8626643550233, 3673.3192510756635, -851.3300493517017, -3627.82151083996, 4753.349373687219, 94.95124141662382, 8737.550153540593, 2424.687390332765, -12521.245271182095];0.3658329425153446;0.9801712576367068;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;CE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6516.247090421527;0.04550523301045489;27.272727272727273;3.193358966303513;205338.39569464588;0.5809757833860144;111804.10734178139;113434.84299105227;112021.03064674723;112125.49393116156;107013.35383323302;112671.65208188254;108257.03387546795;109181.86851332583;111597.98273967908;112056.90892580434;108797.66227701964;109468.5710181807;[1618.1126582186116, -3048.5289910522697, 77.11035325277771, -1590.187931161563, 7445.146166766979, 5183.004918117469, 11417.739124532047, 7305.3234866741695, 2097.321260320925, 12778.241074195656, 5802.271722980353, -5264.640018180697];0.7939104411448664;0.991537232529513;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;CE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7795.875249475573;0.055901702680355554;54.54545454545455;-3.3155004070209158;153631.30862918947;0.4872583581951643;120802.20410300199;115585.0084608752;118579.82620210563;107945.62587684103;108994.77111222038;123541.59951029591;109630.64920727575;114327.24562579158;113935.13853095564;118094.08284187996;107021.3391894079;112670.23788914783;[-12842.434103001986, -4040.209460875194, -11730.452202105633, 2799.280123158969, 4024.321887779617, -15674.324510295919, 2193.8507927242463, 1026.6463742084306, -10725.622530955632, 1930.6961581200303, 2315.160810592104, -3277.8088891478255];2.1757260026331835;0.9988619310975163;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;CE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13564.825542696577;0.09630904198341704;54.54545454545455;7.996504713473164;267555.8518043033;1.2806182006960318;112734.42024088999;105093.74171846308;106295.81789709542;98862.83212726738;101444.78896767105;109912.8860445333;99523.75369743897;103154.74223504664;102514.059601636;105504.91502015806;101546.22582089256;102447.3465297918;[-10105.050240889992, 4895.125281536923, 3664.63610290458, 6061.741872732615, 11480.329032328955, 2638.4389554666996, 17325.13030256104, 20848.392764953358, 9059.940398363993, 23688.584979841937, 22432.884179107437, -3429.946529791807];3.021824817201265;1.0;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
