train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;51743.29826927361;0.06434905653922061;63.63636363636363;5.80714593071796;816188.4368549185;0.9362639581042344;534026.4762139623;501339.8957548831;516511.4769294963;508913.6382046427;498459.2092601001;501571.8685151068;509697.6361766312;532308.7033334882;516748.6753250789;497493.88036189857;502769.2862588854;509304.1432176336;[104214.42678603774, -16785.291754883132, 33591.07307050377, 5649.824795357301, 43798.853739899874, 115463.88948489324, 59473.84382336878, -10361.7903334882, -7155.667325078917, 12507.041638101451, 21990.061741114594, 15485.698782366351];-0.7216168103923594;0.841070564150322;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;49051.58701759428;0.08073976137475027;45.45454545454545;-6.202963734005639;1160260.1013893238;inf;585144.9111229201;495894.40905325604;530598.8099475738;539457.4502440214;527740.2216070789;513984.1354335246;530721.9211064338;551047.2270918608;526531.4608882666;502944.25442226056;561890.9965931477;538237.4388383693;[-37225.30412292015, -18775.256053256046, -19428.914947573794, -70856.23924402136, 10730.553392921109, 37245.27356647537, -22174.33910643385, -29467.001091860817, -29709.440888266545, -7296.956422260555, -108322.79359314777, -78767.31983836932];-0.048454250561560115;0.9543367566219021;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;49405.6917973883;0.06694243727810913;36.36363636363637;5.721532344432437;1362825.2788120778;1.3978029834968908;520338.38231468294;462299.0500887807;493612.8183148527;494187.9466308423;486886.6607344306;485390.96298361744;525020.2489630064;506779.2759443589;480862.87480050203;483861.74229130097;491522.31414733897;505960.7061377786;[97384.2656853171, 56320.6889112193, -2724.288314852689, -14460.927630842314, 60916.8072655694, 98667.22601638257, 17729.265036993544, 33510.027055641054, 29768.462199497968, 6766.093708699045, -24548.518147338997, 956.2678622214007];-0.3847748735904091;0.9126099606673841;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;39232.398575370324;0.0719612426971047;54.54545454545455;1.6019201687220819;773411.48985826;1.1081160963186978;507142.48769135686;445850.7611762951;489851.90069185756;484674.14231701195;479070.82735538186;456846.089671652;490001.26204794814;495298.1079432576;453125.95968932915;475556.4254562856;489175.226708937;464120.0765107742;[6674.048308643163, -25325.563176295138, -24300.610691857582, -17159.44131701195, 35140.17664461816, 63408.485328348004, 49531.84095205186, 58902.28805674234, 24827.182310670847, -42055.39645628561, -54747.62170893705, 18400.59048922581];-0.3261599648681259;0.9217167124663879;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;42957.355687806594;0.07918269028207836;45.45454545454545;0.00274821101353804;1016079.153042742;0.9730628470891783;531009.3700141466;419099.9889189703;492487.7044822249;479335.2994999268;482312.8722729999;455410.5368830628;476111.55194379506;472056.8909732713;440326.9101228081;454144.42005281465;484992.4678159439;482717.94100945746;[-65315.36301414657, 33077.42108102969, -37164.3824822249, -8863.657499926805, 37765.795727000106, 69841.49111693725, -1201.5349437950645, 47453.82002672873, 10899.473877191893, -62198.67305281467, -47338.518815943855, 23199.95599054254];-0.31369357444706086;0.9235423967530392;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;49105.74812454769;0.08189679113990382;36.36363636363637;1.3235019248818984;1354869.9230248525;0.7871417869373517;496047.15810472344;419275.0260366399;459381.03027249547;454769.2865117957;456675.92366785725;423393.3627642881;464371.4338346722;484266.74863244325;439901.3855802745;440499.3762034835;466261.20497648674;448045.64810704713;[1704.2358952765353, 42668.514963360154, -111370.45827249548, 35982.379488204315, 50131.67533214274, 94057.00323571189, 9181.239165327803, -25580.398632443277, 18686.323419725464, -9426.788203483506, -29432.585976486735, -3464.098107047146];-0.3695112562112665;0.91506620175319;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;41796.8385870797;0.07117059688351005;54.54545454545455;2.8482347932113865;823951.3956842727;0.5704401834387254;457573.31868236593;405404.73277306237;431279.1507654787;450256.8004884509;424472.7659258579;414936.7841042218;444508.167781525;462550.3645719734;412315.7186219088;411020.16231747717;455447.4492609784;429784.92150115076;[33169.16441763408, -23866.853473062394, 2177.903334521281, -2419.341888450901, 78695.10297414212, 78648.96779577818, 36045.86691847502, -8226.70647197339, 19290.937578091223, -16054.753117477172, -66638.04426097835, 21614.926498849236];-0.5410939824454921;0.8837447738961357;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;32836.84554484423;0.06386237393369039;54.54545454545455;-1.1267286027522445;647217.0837662071;0.35750068672320523;458441.01163450914;406362.3014380982;427371.228073193;452483.228673821;413743.13934231014;437471.4449393899;441487.3181843112;454805.17839749536;417842.4698606809;402101.6852381422;465205.5031848698;418838.8472330122;[16577.233365490858, 26077.492561901803, -19117.117073193018, -10091.310673821019, 42267.74565768987, 10719.950060610136, 20868.438815688773, -32189.498397495365, -18548.813860680908, -24830.209238142183, -83595.1644848698, 13967.018066987803];-0.14113954366602605;0.9451835601957019;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23065.660468097856;0.04298880662935628;63.63636363636363;-1.731626615297594;363619.99942195386;0.2507067003894313;460390.86452351237;413857.18426021544;438258.8699351167;439297.51449891226;420280.54094450927;449935.35451221955;453397.00574471115;445192.1330929303;438343.81130127225;422231.9286755865;440756.88290230976;435476.5337731754;[16271.589376487653, 567.2707397845807, -26007.970935116697, 2278.472501087759, -890.2311445092782, 20372.764287780446, -2719.718944711145, 23846.961307069694, -40537.422201272275, -36653.17097558646, -37153.35490230977, -8864.42977317539];0.07321330446476874;0.9641839336621736;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;35931.71248698232;0.0675984106358722;63.63636363636363;-0.7458666486073481;566830.5625873809;0.3940454983443822;470786.1334458721;411487.6822421261;438829.48301621695;431201.6878434887;423952.2997531503;423698.60715295543;443648.7502054329;448527.5686544122;411765.1288006378;421382.4309183261;451315.3105669559;417572.3421031792;[-32274.02744587208, -242.14924212609185, 1004.86098378303, -29666.44184348872, 41305.059246849676, 49857.616847044555, 4500.164794567099, 55514.92534558778, 873.1591993622133, -38114.53591832606, -27402.17826695589, -63811.1951031792];0.6662606380010992;0.9891399229806941;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
