train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14309.75445105608;0.5835400863785876;36.36363636363637;63.57749731204664;397942.2183356583;1.0293916586309428;5816.20526008701;6516.351843375175;6269.043398646133;7531.717430991937;7387.3111583864675;7213.09598646012;8591.322143156778;7447.473725767777;7851.563954621142;6537.0660690654195;7230.3313810713;6976.198630941504;[5310.29473991299, 4391.148156624825, 4696.956601353867, 5576.282569008063, 4698.388841613533, 12093.004013539878, 14027.577856843223, 16387.426274232224, 16258.136045378858, 21222.133930934582, 18664.268618928698, 25688.401369058494];-1.7598759949916083;0.400556113696352;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3318.0767614830415;0.3813738453048043;27.272727272727273;-8.354083228385967;105052.27523152083;inf;1437.4907370574438;10219.872017142496;9898.076544820964;7684.176412322119;10767.771922210159;6147.271630543649;10150.128515052162;8692.009180131516;6915.218028842798;7972.820571815037;9089.746471478684;8134.9446052374615;[7697.009262942556, -1523.8720171424957, -2259.076544820964, 254.82358767788082, -6424.271922210159, -1477.2716305436488, -1505.6285150521617, 1132.1208198684835, 1631.281971157202, 317.4464281849632, -3505.746471478684, -1823.9446052374615];-1.715050930102604;0.4233749441745623;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5588.994494848614;0.8116795832665167;45.45454545454545;-59.62513430031498;133989.28165486036;2.0606921693025404;11407.090297150718;14238.052205499118;12576.631527476924;12250.807427661059;11384.394178602555;16648.73650109638;11124.751936830153;13486.559529730881;9928.101784214206;10580.390112455105;13972.684635364083;12828.59486147784;[2702.1517028492817, -3857.052205499118, -2858.631527476924, -4360.807427661059, -2925.3941786025553, -7580.53650109638, -3935.7519368301528, -6301.059529730881, -3990.1017842142064, -5352.795112455105, -9987.684635364083, -7741.594861477841];-1.7602405386156024;0.4003720536597315;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6372.613339407701;0.6334690047288541;45.45454545454545;-8.959121199803253;152276.92611041173;0.6635382420417819;14450.814138191221;15830.791178813606;13066.403144239692;14101.894703444937;12955.352621433554;13572.110443853066;14399.442253997608;13665.88514561884;16431.64058073519;14791.232533674658;15432.7958719715;14010.963274567495;[-7859.814138191221, -12172.791178813606, -7225.364144239692, -5379.3947034449375, -249.80262143355503, -395.1104438530656, -22.042253997607986, 7395.714854381158, 11040.23941926481, -264.23253367465804, -2609.7958719715007, 3541.436725432506];-1.765503016208054;0.39771792189484306;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5842.088104981702;0.3478852053113956;54.54545454545455;6.266184339302068;115873.18071085306;0.6812493407839456;18242.448454359062;22560.578793841163;8794.99385724013;14308.859271494413;14508.02904655079;6010.1778813061765;11248.717900442396;11655.30864507288;13518.12169155973;23572.400054892507;9157.50945103926;14379.353869565788;[-6901.867454359062, -8157.140793841163, 8076.691142759872, 636.1407285055866, 735.9709534492104, 10059.822118693824, 5306.274099557602, 6171.191354927119, 2419.8783084402694, -5220.194054892509, 2715.12054896074, -4613.853869565788];-1.7236391849633022;0.418975850151763;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14282.579697011166;0.5957349365008396;72.72727272727273;72.98196609082098;172360.61066170488;1.1877553258821374;3080.2206318280546;4151.244475452324;4221.361053128868;4619.946447888354;5477.5761827182305;3735.247984212012;3834.987945111219;3922.3425432484582;3507.7670000057014;4416.019240297752;3715.164872250049;3703.531649578055;[961.3163681719452, 283.40052454767647, 2483.7299468711326, 4663.053552111646, 8870.42381728177, 19484.752015787988, 25731.72105488878, 28757.802456751542, 17292.491999994298, 9292.790759702248, 5174.835127749951, 7703.879350421945];-1.1624654229806197;0.6895302502135744;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2074.451142861174;0.5151827754789684;27.272727272727273;21.338308450634237;65807.26271037018;0.4823687761306428;2009.744500794295;2838.880761434602;2507.0068453351028;3263.5719035113784;2990.2083672623953;3739.4420042134684;3637.5282495068814;3887.173105848531;3073.831452414406;2854.5991050010352;2927.3081049546636;3038.8746027327743;[-346.944500794295, -1401.078761434602, -729.2068453351028, -1970.5719035113784, -927.4083672623951, 972.3469957865314, 4384.915750493119, 982.2568941514692, 3112.584547585594, 3022.088894998965, 1129.2808950453364, 1745.7213972672253];-0.8840148987183541;0.7931909524894463;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5595.447064141546;2.0220440896867697;54.54545454545455;-168.91217601524133;115070.81093454537;1.215116954678181;5923.54397374226;9189.562034077924;9325.059977823506;9334.28596456649;8292.635217780302;5013.776354438556;9126.35148819015;8973.13419828292;10087.175826881308;8246.17929553163;9164.38351394152;8159.25804518032;[-2470.49397374226, -6190.162034077925, -5398.017977823507, -4929.568964566491, -4149.903217780302, -1108.376354438556, -5430.20648819015, -6190.22319828292, -7907.375826881308, -5628.226295531631, -7349.58351394152, -6585.707045180319];-1.3120585170799652;0.6236376294412929;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3140.836172261925;0.32677368572834825;63.63636363636363;23.024255238940285;49904.90863519246;1.3264261377983553;10327.734324935851;6405.162896530031;6451.494001428065;5752.456503002662;4885.2201358449565;6516.93824256263;5870.273222317545;5942.949443598669;7083.743768628018;7965.097863699175;5618.681760464339;7125.794576431666;[1547.4446750641491, 3700.3381034699696, 3144.3059985719347, 3522.340496997338, 4324.7798641550435, 2982.4787574373695, 4065.7267776824547, 4931.550556401331, 135.53623137198156, -570.4708636991745, -573.6817604643393, -3297.7945764316664];-1.3891975652958772;0.587443844994376;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1359.8952203638448;0.14814029146745758;36.36363636363637;-3.288155176345211;37563.708620053156;0.43308938867086183;6834.30084204373;6941.78828915431;6634.862393244475;6939.552915176369;6371.326219875481;6556.924402861918;6639.0886165593865;6420.183865406382;6993.599767978937;6731.378866313716;6779.094803939259;6778.907685659683;[-983.8438420437296, -1298.7882891543104, -1053.8623932444752, -1745.5529151763694, -725.326219875481, -697.9244028619178, -423.08861655938654, 167.8161345936178, -319.59976797893705, 679.6211336862843, 149.90519606074122, 3684.092314340317];-1.2880198603499962;0.6346352640711823;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
