train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15335.0726058756;0.03884727644508403;54.54545454545455;1.8804482180595001;302089.6861197748;0.814273195293218;262569.8947584964;256077.83806806873;262049.861334723;237433.43157419685;248850.5769169903;248473.69526356974;242297.2506749431;254661.4838178873;260988.8252423574;257058.64871440316;264210.7173080819;247373.82165956375;[2098.7212415036047, -8422.245068068733, 6132.807665276981, 9088.968425803148, -4139.456916990312, 9487.159736430272, 7217.982325056917, -15321.983817887289, -5585.815242357377, 46082.30928559683, 8025.166691918101, 3636.795340436249];0.19280897632525645;0.971855375001254;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;26374.18747881336;0.07619963397101552;45.45454545454545;4.722495684185783;623800.6548852909;inf;227516.98231129974;241075.42175969528;262076.91942344114;229708.70584564976;244337.01940095145;231799.78592166727;218890.7331857154;254977.44392822005;238355.95040034235;235060.33500676288;257625.00727492612;226513.9974466059;[16184.894688700268, -8407.039759695268, -29280.87142344113, -8975.965845649771, 600.0505990485544, 18394.733078332734, 34608.1668142846, -781.7099282200506, 15409.80059965764, 62409.79299323715, 4784.557725073886, 37204.944553394074];-0.10880468207824659;0.948554460797257;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;34252.96976851198;0.11344471753970715;36.36363636363637;7.005953033686849;945538.4339600906;1.9346591463711051;204275.52309334613;212224.75255153992;249591.4122301875;192696.2331904663;229874.24274106993;250055.18633132387;200322.317565833;259246.6146027255;214549.63497491553;203598.79390342472;244113.71423688796;192547.88713378986;[11982.524906653882, 16802.08744846008, -26825.862230187515, 31396.1418095337, 19323.799258930056, -17574.632331323868, 33433.60043416702, -15838.482602725475, 22259.39102508448, 84665.95509657529, -6547.554236887954, 46801.07486621014];-0.6779597038619819;0.8523761759559727;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;39878.50901108798;0.1657200076222767;45.45454545454545;-12.861355349122263;944751.0563031487;0.9989900592103637;258141.78755021782;228923.69871811516;259584.011512375;231527.5288280085;239683.63087830116;254297.4932210232;230059.70335366097;247690.94632210035;262881.8463802869;237496.04428850688;254838.12926656683;235743.8887769515;[-64443.304550217814, -57878.93071811515, -67318.747512375, -31366.878828008514, -27512.058878301177, -50679.08422102319, -8773.388353660965, -1192.4163221003546, -32956.01438028691, 34406.28671149313, -16491.991266566823, -10926.408776951488];0.5117800757503652;0.9852267783157479;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;24406.75904160678;0.07447063535967031;54.54545454545455;2.6095997996536413;481171.9892745309;1.8499575038875524;266754.3998297382;205318.050958646;244234.6741462835;220701.4872483214;227804.9961447969;253029.5972448124;223733.2076123401;228924.98199265893;262103.37676256002;217611.53391176832;246223.95873929717;228216.9913896879;[-29371.681829738198, 32822.37404135399, -14170.917146283493, -3556.7512483214086, 10518.9878552031, -13927.947244812414, 2515.4123876598896, 22068.140007341077, -12763.859762560023, 61920.94008823167, 7945.222260702838, 11687.468610312091];0.19950748151078534;0.9722339565410253;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19940.356017021662;0.06585308094229643;54.54545454545455;-3.4710025269921183;393043.8741417098;0.663901893185202;253343.27216992597;235321.39699018156;240655.6737070861;229744.19073093476;229862.861852465;241857.1915134121;228569.9703865953;235401.94056757388;243718.42229975542;234354.25954212976;246982.10088922866;233751.65850348803;[-4789.420169925957, -2133.267990181572, -48514.46770708609, -11106.530730934755, -13716.984852464986, -13245.225513412122, -20790.8823865953, -7408.048567573889, -8508.449299755419, 36174.98445787025, 3264.06911077135, -4950.413503488031];0.6071462892253654;0.9877904547625135;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14725.040847316377;0.03836145656245763;63.63636363636363;3.2109393923013;232104.46430585897;0.49869952853701555;229186.90945032035;223262.73327657967;234169.87558391463;221420.82579127207;226993.37307300756;231869.83324686688;222464.71422330613;223665.92192337397;229360.99316034513;222621.80333418187;230097.50350988322;224387.50687240076;[20466.561549679638, -1235.1692765796615, -8858.143583914643, 6978.938208727923, 568.6479269924457, -1551.0992468668846, 1976.4407766938675, 8445.81607662604, 4434.9198396548745, 42054.48166581811, 13195.938490116794, 3741.087127599254];0.8224404557051584;0.9919898981020838;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13496.261749016896;0.04807712298208371;63.63636363636363;3.635536065899399;212792.73191229123;0.4148929735550869;226259.130511182;208602.0768643819;227056.33695308596;206021.04076299982;207044.34181774693;220584.75226133486;203874.78481218012;224093.5929105899;226758.4118526273;209993.8426889389;225633.07198285966;210480.03565579935;[5837.743488818, 11263.27513561811, -13495.42695308596, 4093.3812370001688, 10296.840182253072, -26.116261334856972, 22298.02918781989, -2999.2219105898985, 2098.1131473727, 25982.78931106112, 17463.66701714034, 15141.199344200635];0.8027022190123865;0.9916796619226571;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;20999.587227433352;0.08341535542008587;9.090909090909092;-2.1736800507141703;827406.1507932342;0.49065418199961097;232381.50343264255;211469.8644049238;229703.55300625152;207000.66737919836;202983.87883990307;232082.4710484518;194085.60546147655;225045.3101711377;232988.00700954298;213149.75706563148;234263.6438945893;213257.81836505793;[-25102.961432642565, 6653.101595076179, -31717.431006251514, -2455.2603791983565, 12046.009160096932, -26474.61204845179, 11618.61053852344, -9659.464171137719, -28633.359009542997, 38320.28193436851, -11269.80889458931, 10757.098634942056];1.0913527694896472;0.9951421421054839;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22145.37912344262;0.07044314874196157;45.45454545454545;5.292954174567153;523726.09293850407;0.44974518147044146;219742.3852913238;202032.72223381494;214735.9045309185;190836.8542197652;191092.32383600328;207720.65845435197;190380.73944222226;197793.99087905855;213551.19276673417;201466.82195108634;214057.3503777504;200872.62484268914;[-13133.78229132379, 12237.74476618506, -8265.684530918486, -41.09721976518631, 16404.062163996714, 1577.363545648026, 23309.12855777773, 33487.18812094146, -4019.2267667341803, 54835.31004891367, 22967.33562224958, -2753.0788426891377];1.4337804093748105;0.9972623256386913;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
