train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;339.70175141418395;0.03432712662104897;54.54545454545455;-0.01947522734393206;6691.869231873706;1.0714719791430254;7523.990113982979;7360.468239643009;7609.43186698389;7440.701292053807;7890.876268790621;7875.131396602744;7462.088325095812;7641.036799554267;7617.136924247233;8007.600424905532;7192.963037189809;7316.894624901721;[721.0116980170214, -135.95193564300916, -8.627518983890695, 539.4671859461923, -411.330978790621, -56.303497602743846, 14.38268890418749, -299.31397355426725, -270.63692424723286, -412.7399179055319, 195.1347888101909, 107.20138909827892];-0.9568639450331133;0.7686704266383841;9;387;-3.447360865754795;-2.8690374364690445;-2.5707639493486636;False
1990-01_2022-02;2022-03_2023-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;426.63977926576314;0.050084802013137815;54.54545454545455;-2.8715767283473697;8407.53136626705;inf;8020.122968353915;7726.796409321735;7830.555498244898;7700.119684701585;7936.766792936187;7807.268622809493;7434.584697921958;7684.027280115625;7612.1374190951565;8120.102921265448;7401.207467566555;7464.050807033908;[305.3516696460847, -621.6442353217353, -169.68955624489809, -115.59432270158504, -823.5602709361865, 136.56289919050778, -126.45788592195731, -324.8207581156248, 485.1741749048433, -464.60654426544716, -348.6096415665552, -520.8044300339079];-0.8048092018014804;0.8177053175020381;9;375;-3.447909006729481;-2.8692783343881483;-2.5708923751111112;False
1990-01_2021-02;2021-03_2022-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;375.31525969896035;0.040347864889640934;54.54545454545455;-3.5362985307947423;7394.4547211296895;0.8766723494198032;8311.979647978853;7824.247746636246;8066.147410630344;7980.189374370992;8048.530731212162;7981.380940667094;7865.931819325302;8020.635969840077;7929.698874984415;8248.952311297058;7621.05708169529;7679.317191568754;[172.98955502114768, 1.0819633637538573, -362.3865406303439, -13.841548370991404, -107.15573121216221, -208.6381866670945, -260.7977613253024, -786.3298108400777, -514.5467009844151, -235.7077462970583, -566.2092556952903, -382.9421915687544];-0.5400402766316321;0.8839632536268086;9;363;-3.448493650810824;-2.8695352280356556;-2.5710293341377715;False
1990-01_2020-02;2020-03_2021-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;440.42222709898533;0.04836121572794472;72.72727272727273;3.9089347662388634;5210.932696884442;0.6824698512973056;7766.814875576687;7442.145505204286;7688.208475476934;7583.147334140827;7794.471141025687;7579.980379337788;7370.974401579769;7703.36624572487;7777.478589621898;8174.152559377156;7259.190962370382;7331.222571581404;[803.6307764233134, 493.45413279571403, 253.57232152306642, 576.3689698591725, 666.2589309743134, 210.42904066221217, 289.5926274202311, 368.63737727512944, -432.4785896218982, 279.9796866228435, 257.59708062961727, -46.04322358140416];-0.6577439585723583;0.8573933825997944;9;351;-3.44911857009962;-2.8698097654570507;-2.5711757061225153;False
1990-01_2019-02;2019-03_2020-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;262.8300206491152;0.022142611767681303;90.9090909090909;-1.4149113868515828;1037.2320718858377;0.3558410398642014;7940.98085098132;7772.731841989459;7910.762990611939;7742.029997267442;8016.434481902327;7726.969368131736;7543.256077465022;7699.591363289325;7422.684869797643;8017.497667817973;7362.489504891654;7175.658735796907;[-487.0750539813198, -102.34778398945946, -43.605381611939265, -680.644127267442, -18.70984390232752, 18.69186386826459, -115.2307154650216, 296.888708710675, -49.279072797642584, 23.775883182027428, -100.05291089165439, -30.588083796907085];-0.549139039864055;0.882065453970049;9;339;-3.4497880749874628;-2.870103829170425;-2.571332495975496;False
1990-01_2018-02;2018-03_2019-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;556.1594429652729;0.05418050398443203;72.72727272727273;-2.4400892676564023;6581.617896577031;1.0718518576633957;8164.481985488086;7948.547747962701;7933.679635326529;7596.089395431515;7908.999665477301;8014.372157954158;7751.29609967762;7907.218704587032;7628.732764628154;8179.66248433143;7587.908805495113;7496.842842502532;[-124.14321748808652, -387.35571896270085, -903.8915923265295, 1360.5066185684855, -411.5703174773016, -44.171070954157585, -566.5587806776202, -215.1661685870322, 29.25998937184613, -346.26212233142996, -413.450472495113, -219.05298750253223];-0.43160112285596575;0.9046873186299629;11;325;-3.450632157720528;-2.870474482366864;-2.5715301325443787;False
1990-01_2017-02;2017-03_2018-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;372.54707105708553;0.040029949908064334;63.63636363636363;1.4017318359013775;5873.182892263342;0.8361357147930721;7999.784086215804;7676.750626015783;7737.00684346565;7569.575043859737;7919.189864025312;7780.660950692614;7456.136696907984;7676.980941943729;7601.696008625403;8034.753873410614;7336.793669909645;7454.418108139036;[737.5832127841959, -370.46982901578303, 287.95692453435004, 583.7435871402631, -308.8347920253118, 424.11129430738583, 146.33115109201663, -36.99190994372839, -80.8429816254029, -165.6421334106135, 381.947272090355, -287.4996301390365];-0.5853699739523573;0.8742536642461449;10;314;-3.4513486122290717;-2.870789013306053;-2.5716978530569192;False
1990-01_2016-02;2016-03_2017-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;320.1657841984179;0.032612065175782;54.54545454545455;2.075139541326178;6306.792688128846;0.8585385947407138;7860.564833479164;7559.349716491418;7652.238028184635;7470.550973129043;7719.723205987388;7415.198074825129;7084.948735217276;7492.384636710802;7359.071642714645;7830.223495551041;7187.46302785766;7128.8610841640075;[-50.722442479163874, -248.85877449141753, 168.41414581536446, 354.8004758709567, -166.51849598738772, 497.0700411748712, 730.7306127827233, -98.14731771080187, 274.999009285355, 319.8127364489592, 122.50617514234, -1.9570981640072205];-0.6914533665850229;0.8489509056122497;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;False
1990-01_2015-02;2015-03_2016-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;260.72033841700835;0.029418441930918495;54.54545454545455;0.044780852470011824;5135.501053021493;0.4910784092807894;7822.676771335468;7351.295616505683;7585.593067353745;7379.97197532794;7524.5177067237055;7495.571218849603;7231.560610985349;7408.878876955386;7433.921261920678;7787.857526676655;7092.841318788904;7141.040434732393;[-14.953945335468234, 281.32032549431733, -213.98618335374522, 18.682010672060642, 399.11635127629415, -53.201653849602735, 323.5209110146516, -152.40242795538597, -359.27089992067795, 129.13341532334562, -478.2634197889038, 160.2928982676067];-0.526946143010793;0.8866500119206424;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;False
1990-01_2014-02;2014-03_2015-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;252.9148325453255;0.027806103805083127;81.81818181818181;0.8481793246938962;1994.4520199585431;0.5118778048481413;7696.580518837035;7347.489001240573;7525.870235318603;7266.439062370364;7335.13676665782;7288.928072820086;7127.346207468095;7287.410606384572;7331.029533041957;7752.667117976674;6963.252914078617;7026.944699818768;[-43.42109883703506, -297.7444362405731, -109.92096031860274, -229.35935237036392, 453.9248273421799, 35.282072179914394, 122.14111153190515, 454.19446561542827, -185.22156204195653, 181.52672302332667, 340.07317292138305, 30.87232918123209];-0.5128982062684614;0.8894748262512391;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;False
