train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;712.2271546054416;0.4458398435039949;45.45454545454545;45.31983792193575;16970.032647012027;0.9500296354297253;498.00586091509234;533.3822138475351;564.5934118729119;935.573894124445;489.5744535870604;786.5369220371684;770.2696870897714;850.5513081182839;897.2200618966909;968.2523269975418;513.324198114828;501.47291547658597;[463.21013908490767, 300.23978615246483, 204.76858812708804, -207.04389412444505, 385.6695464129396, 467.2790779628316, 590.7983129102286, 576.075691881716, 526.253938103309, 941.0326730024583, 1379.471801885172, 1258.682084523414];-2.6110863165521447;0.09072753088242008;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;464.50186555570536;0.708120809161579;45.45454545454545;-46.31278330106582;11130.164379384954;inf;504.70090914611694;949.019944404872;904.5515600200007;893.0987773971299;1119.0801765589454;964.9107722533249;1156.1529064566764;1138.4702467030384;1149.1148315884593;1326.6488362068137;688.2212888864851;962.1024076849783;[488.99709085388304, 41.53305559512796, -134.58356002000073, -92.4777773971299, -621.7611765589454, -517.4617722533249, -741.6149064566764, -620.0042467030383, -431.9268315884593, -656.9258362068138, -117.03228888648516, -317.9234076849783];-2.620988094153717;0.08873657466858742;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;372.8955482015149;0.39533038637098;54.54545454545455;-14.468561070955902;7411.092132038763;1.2186760501573395;1316.4649784939975;893.3493614275676;884.3274705674062;950.7747531793333;664.4109031706739;1284.324078469673;1382.001271498292;1258.8445041577359;1270.9707172767232;1338.834212139385;836.5567841561707;922.3825993872124;[118.3150215060025, 393.7886385724323, 319.7505294325938, 103.13024682066668, 287.899096829326, -373.36607846967297, -491.833271498292, -453.7315041577358, -456.6697172767232, -626.7172121393851, -170.54478415617075, -293.60059938721236];-2.7244258035347477;0.06990606877446762;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;439.10685354546524;0.45628015698187835;63.63636363636363;-33.23397578583002;7008.080952140404;0.8632224259107419;1264.8095119867503;1140.6932325867776;1223.86788103766;1492.6324285544267;1277.6828237210439;1511.8654374797654;1430.9092551578615;1671.9109763650886;1465.1222359271565;1664.8867446043564;1130.356833271814;1061.3681957956148;[-354.96051198675025, -445.5422325867777, -578.77088103766, -794.6154285544267, -485.3008237210439, -628.7014374797654, -242.31825515786159, -331.5739763650886, -241.85423592715642, -281.6757446043564, 18.417166728185975, 292.00680420438516];-2.6992914663130594;0.074160956583138;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;219.95036842029432;0.12492190113608619;90.9090909090909;7.3320052920970396;878.219507238189;0.24767010972746098;996.8630418277812;1114.8357015954375;1240.80302981046;1205.5715356695553;1441.220049402709;1102.199120240604;1227.8322116249658;1522.0947644050252;1439.50507425594;1573.337864357596;1129.0102580329997;1049.7684998967898;[145.83695817221883, 391.8712984045626, 470.74797018953996, 12.776464330444696, -306.85004940270915, -113.28412024060412, 149.60678837503428, 11.896235594974769, 58.99092574406018, 61.551135642404006, 151.54174196700023, 155.53850010321025];-2.609115691706213;0.09112783742432135;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;296.3650209355451;0.18058149586913183;72.72727272727273;15.46052261307318;3525.210696302851;0.42985171465393873;853.7110805584175;808.9541834428168;912.9833756942826;982.9834391962552;1020.2629580095343;1212.7730591723655;1104.8982608731621;1307.1972706214508;1212.7290987732315;1373.2397795609495;798.1457583957884;815.4791046101423;[301.04691944158253, 126.31881655718325, 79.8826243057174, 359.7535608037449, 336.23704199046574, 516.3719408276345, 543.7337391268379, 212.8177293785493, -36.118098773231395, -279.90177956094954, 106.35424160421155, 1.8208953898576965];-2.6590234850396843;0.08140133005376388;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;343.5690343212174;0.3487660046830483;72.72727272727273;-7.8857271204091415;4113.361541032547;0.6733423636905587;711.353039201391;978.4771594708559;1015.4895821502153;1044.8320387702774;1073.4261997525512;1326.3608816285648;1408.0597263041132;1362.0300987946223;1248.9589690503333;1318.789459044707;962.0589213287919;805.5286831508489;[138.14696079860903, -341.4771594708559, -258.98958215021526, -455.83203877027745, -305.92619975255116, -413.3608816285648, -250.05972630411316, -376.90209879462225, 57.61303094966661, 315.3615409552931, 526.712078671208, 395.8353168491511];-2.5182255398100053;0.11110259398456857;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1303.347678096113;1.2004997578858816;63.63636363636363;-115.47036671895803;21218.82795651222;2.92359127590021;2016.8629721906636;2424.738437155073;2510.5256387745544;2274.650369157216;2710.03869483178;2027.7799582334253;2139.1009533832453;2697.6594707030936;2432.1911765642253;2693.0516042233385;2442.5041877479553;2245.251347426028;[-760.3629721906636, -1203.738437155073, -1379.0256387745544, -1284.6503691572161, -1683.53869483178, -881.9799582334254, -1096.0509533832453, -1541.6594707030936, -1302.5911765642254, -1248.5516042233385, -1447.5041877479553, -1504.752347426028];-2.9206268593342726;0.04300141658073351;7;305;-3.451973573620699;-2.8710633193086648;-2.5718441306100512;True
1990-01_2015-02;2015-03_2016-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;864.0121432935268;0.29788360408264575;45.45454545454545;28.2615094132479;20525.47684920667;0.4280038768972669;2339.3675266686473;1217.6661856017413;1194.9439185071685;1883.8924547294293;998.3006157444156;2282.6243068860963;2052.575513845579;1696.5485760908741;1993.550020576448;1602.056808403243;1362.0491291426151;1580.6633256565487;[310.06747333135263, 1016.3338143982587, 984.2560814928313, 377.60754527057065, 1458.2993842555843, 119.37569311390371, 369.5244861544211, 1720.9514239091259, 692.849979423552, 868.7431915967572, 369.35087085738496, -327.8633256565488];-2.871846402527673;0.0487211956948893;7;293;-3.452867117291862;-2.8714554160827745;-2.5720532321867466;True
1990-01_2014-02;2014-03_2015-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;370.7712295844886;0.19085063218281575;36.36363636363637;-9.085871826093843;10252.6321624329;0.32811436826719426;1515.0586299550682;1525.3257526161428;1638.3795000374705;1665.390033673135;1852.6231229328357;1868.3517695894298;1840.965299725972;2009.7030239570233;1860.5184280982287;1910.9828542004245;1627.8598220438566;1512.9388919768612;[-124.05862995506823, 72.61424738385722, -175.12650003747058, -374.1790336731349, -270.32312293283576, -478.75176958942984, -351.6652997259721, -564.3030239570232, -282.5184280982287, -60.68285420042457, 84.74017795614327, 789.4611080231389];-2.7628266191012685;0.06378304128228;7;281;-3.4538376962008495;-2.8718811911083093;-2.5722803076202174;False
1990-01_2013-02;2013-03_2014-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;207.0312584561308;0.10656125831535011;72.72727272727273;1.7957337454693225;2455.7340140809965;0.17453320714491335;1369.5294608272102;1516.6909781789643;1530.55886989659;1709.078720899042;1732.0858095275337;1806.8130228526436;1767.3777073468439;1953.1799971881528;1785.7287477019856;2091.5905366330826;1459.3502081175711;1376.7565852527828;[391.51253917278973, 173.80902182103569, 270.44113010340993, -106.57872089904208, 137.18119047246637, -91.8130228526436, -189.37770734684386, -221.97999718815277, -250.22874770198564, 33.90946336691741, 261.7497918824288, -41.10540025278283];-2.7098508118391313;0.07234910553535759;7;269;-3.4548957220044336;-2.8723451788613157;-2.572527778361272;False
1990-01_2012-02;2012-03_2013-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;476.6638884292136;0.2493971474002951;27.272727272727273;-21.671950680555106;15070.3494302876;0.4144163359277639;1363.6288989499292;2066.1461253730936;1904.3481140264194;1768.9079440867258;2286.9885583952328;2156.7529537349433;2329.2249242189428;2328.6763939331718;2110.933285659504;2499.3648553854273;1797.1379687427134;1677.4823057593676;[258.9161010500709, -452.0461253730937, -325.34811402641935, -119.40794408672582, -771.8885583952328, -360.2529537349433, -644.8249242189427, -655.1763939331718, -335.9089636595038, -783.8526943854272, -186.13796874271338, 49.51769424063241];-2.641343246678666;0.08474990644713237;7;257;-3.4560535712549925;-2.8728527662442334;-2.5727985212493754;False
1990-01_2011-02;2011-03_2012-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1415.355201236605;0.6993668129731802;72.72727272727273;-67.01373195599103;17151.426355800402;1.0107026151654563;2520.223861439945;3388.6718491183733;3516.2013249232496;3382.359931020434;3011.914746511442;3849.638215986199;3543.1901839718776;3793.099547164451;3326.0065755320866;3596.3682416545294;3303.473044324091;2593.796063858327;[-42.67386143994463, -1540.4606951183732, -1317.4013249232494, -1158.520048020434, -892.8649105114418, -1607.588215986199, -1716.3901839718776, -1885.889547164451, -1408.2065755320866, -1583.8682416545294, -1742.973044324091, -1082.7960638583272];-2.462189567412388;0.1249470826907435;7;245;-3.4573260719088132;-2.873410402808354;-2.573095980841316;False
1990-01_2010-02;2010-03_2011-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1305.5300514833946;0.3723946016008377;63.63636363636363;-31.088160879777117;20773.149584979932;0.38697352612999875;3755.1851810803773;4613.013837901101;4644.752678727401;4458.328915881515;5226.945399271116;3822.826582761798;4500.515078652333;4917.089254063187;4280.817950845475;4910.289276238885;4311.041825541255;4268.458982432335;[-1434.3678210803773, -2049.1096769011015, -1927.3526787274009, -1369.3789158815152, -1944.6453992711158, -134.226582761798, -27.393078652332406, -678.6392540631869, 4.168850154524989, -332.30247523888465, -1113.249283541255, -1730.9031464323348];-2.8890305090146247;0.04663855092181914;10;230;-3.459105583381277;-2.8741898504150574;-2.5735117958412097;True
