train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6208.9076901456965;0.060752704718617455;72.72727272727273;5.070194240032431;73487.75950194169;0.9412450273214206;87158.09525071376;87528.74442084119;85175.62601791299;83541.64418887252;87319.85433788771;84084.85378351604;81291.61598428113;89200.3684129551;84857.20892331943;92741.4200435774;86774.74150384204;78817.75186571701;[1004.3767492862389, -5819.084420841187, 9045.17298208701, 7113.299811127479, 3941.7466621122876, 9421.276216483966, 7847.844015718874, 1658.1615870449023, 4977.721076680566, 6901.639956422601, 7177.188496157949, 1662.3381342829816];0.401134712472051;0.9815373261557314;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9587.523161901456;0.08812722933845031;63.63636363636363;7.526617698555678;151331.5880396421;inf;75117.1655950706;80916.14685142392;79812.79369128728;71796.63981630585;85875.34611570765;76216.17833620832;77738.34151249813;87154.97107060041;78945.3469354682;83723.09447658143;80605.00150156558;71132.22752158211;[120.56440492939146, -4344.486851423921, 1062.736308712716, 6843.93918369415, -4085.3991157076525, 16423.11166379167, 14691.458487501877, 4472.68092939959, 7989.071064531803, 17262.124523418563, 6072.458498434426, 10735.703478417883];-0.08430686513502257;0.9509793701570501;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9364.62898607657;0.09511279384590919;63.63636363636363;3.3657973123708462;147841.84576657906;1.2187753307092346;71258.13659453344;73569.29883241632;91369.27055786217;67097.97413909902;83418.84416688292;76350.65690349034;69170.75255455951;86814.36547916035;74666.47839632184;77191.62930485586;84574.79557120196;70939.81005515641;[441.8234054665663, -1211.4788324163092, -13477.980557862174, 11365.135860900977, 2518.1438331170793, 8238.52809650966, 15153.467445440489, -2940.3264791603433, 7066.019603678171, 14584.700695144144, -12477.835571201955, 3007.3499448435905];-0.1822551646043807;0.9406039657706348;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11527.675840592276;0.13225699583670256;63.63636363636363;-2.6004768104939973;182176.08095024194;1.0778721862371425;78493.63533082853;78630.93015523582;81621.68647722735;73696.87522689816;79839.08714650637;79370.1073778152;78786.67615939092;81354.25142957615;78296.99871839443;82732.8372747868;79486.53361956877;75718.39282690507;[-12068.668330828528, -20029.110155235823, -23818.762477227356, -3587.1352268981573, 1750.901853493633, 1792.968622184795, 7120.733840609086, 10527.958570423856, 7405.181281605561, 13441.052725213201, 1342.4763804312242, -7905.992826905072];-0.1640441519848919;0.9426739460869092;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3732.9311324023056;0.03960987176938275;63.63636363636363;-0.4201431387593264;58843.071010586966;0.4464531307289977;80390.67669851103;79553.94420722126;79908.7068335335;74703.37175309334;77382.91401420483;81939.79705680297;81782.14272197214;80500.81000270817;77437.09100136197;81641.37901202915;79475.45856393188;75369.88825420458;[-5804.776698511036, -1879.9342072212603, -2350.6668335335125, -1836.8417530933366, 5515.89598579517, -643.5370568029757, -4805.265721972144, 2118.9999972918304, 2215.818998638031, 7044.170987970851, -815.1165639318788, -2733.7682542045804];0.11028076531035161;0.9667560403933241;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3172.322140278823;0.035442248778835735;90.9090909090909;-1.4214303340172643;12536.604797012698;0.3622771240568231;80793.57140449068;80544.7200412838;80935.5124653079;77524.03600622833;80921.52476848228;80340.56089092178;77950.12929446987;82667.15312299962;78555.1008762794;82859.09283930733;80061.70988955743;76899.86190343928;[39.720595509323175, -5225.808041283803, -3235.3174653078895, -5370.786006228329, -3629.5547684822814, 928.378109078214, -2796.104294469871, 2465.6108770003775, 2287.4441237206047, 3479.3121606926725, 532.0891104425682, -2930.2119034392817];0.12715121340467755;0.9678666839913711;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4221.758519550318;0.04489895356133983;63.63636363636363;2.3061077622170716;66558.2424793431;0.5460838507695397;77413.50997756266;78859.64851711715;77049.10596750243;75712.21018676863;80033.42902276713;76922.87219956993;75770.12852420456;80795.51666394749;77761.48193278552;81411.27005836215;77129.10092810013;76525.54215789371;[1321.4200224373344, -4194.398517117152, 3868.2610324975685, 4298.559813231375, -173.66902276713517, 6365.2778004300635, 4775.621475795444, 156.06433605251368, 1248.3080672144715, 6745.297941637851, 3731.0170718998706, -6061.609157893705];0.5746641912791911;0.9869742084898891;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4486.03467482793;0.04278732924607918;63.63636363636363;3.826621131372771;70720.51564333285;0.4049410130275939;76403.99794050143;73826.54856248351;74050.72716933727;74233.73453746653;74165.54639710602;73817.6843434867;74708.13849446159;76223.69109025899;74199.21097549888;77156.99546798064;73867.45211522123;71884.49501092578;[1694.7210594985663, -1777.5485624835128, 1835.3728306627308, 364.26546253346896, 2695.4036028939736, 7031.015656513293, 7937.326505538411, 1067.1589097410179, 2277.7590245011233, 9352.604532019366, 4166.007884778781, -1051.5050109257718];2.156362874712607;0.9988446375927014;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3240.0853655831415;0.03372086491503031;63.63636363636363;-1.0635368925385371;51065.95467640941;0.2227339760733287;78971.8543315257;74210.09319154173;75790.4971657873;73560.96424910497;76018.54341727534;74860.00870024353;72581.83705278864;76777.33423729616;73424.0234849716;78816.48299279621;74002.88633428905;72734.13816476344;[-7650.454331525703, -2417.9931915417255, -4455.797165787299, -2010.5642491049803, 1641.6565827246523, -363.1087002435379, 3092.419947211354, 1048.4657627038396, -2772.0224849716033, 4052.9170072037814, 324.5136657109397, 20.461835236565094];2.8986449929536717;1.0;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7918.88722934316;0.0851769574639457;45.45454545454545;7.826647758599233;187329.28658823628;0.5964764362702226;73078.14589700685;67572.62273731323;67969.814045705;68373.58646689638;67754.71662420468;68636.58742585777;68633.51187721844;69039.55985860154;67710.94705284278;70716.38374345783;68242.35614718625;65634.60304568664;[-4709.11589700685, 4034.877262686772, 3249.1949542950024, 419.5385331036232, 7558.397375795321, 6533.912574142232, 8274.988122781564, 12781.640141398457, 5552.852947157226, 15329.61625654217, 10268.088852813758, 619.6089543133567];3.4131084528294013;1.0;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
1990-01_2013-02;2013-03_2014-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5941.221462773368;0.07024138282896145;81.81818181818181;6.160213744536736;46956.246029624075;0.2863202151432623;67906.88863336484;62719.113679415794;64265.15305291767;63354.83052114241;64907.861995162755;63403.10024540815;63119.233612997676;64361.75197949407;63724.61151113234;65686.21714093217;63327.13187845951;61655.247578048686;[-4469.388633364841, 2010.3863205842063, 582.7419470823297, 218.66947885759146, 3527.138004837245, 6191.899754591846, 4255.856387002321, 6847.445020505933, 5594.388488867662, 12153.23485906783, 9299.368121540487, 4232.749421951317];3.4377053652050615;1.0;11;265;-3.4552699038400827;-2.8725092359464526;-2.5726152830188678;False
1990-01_2012-02;2012-03_2013-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10234.708053661396;0.140426562121314;54.54545454545455;13.773890387157731;202068.67270799115;0.4164867733379341;60724.97130897364;53907.887851294654;53481.34656382645;55272.302530275716;54962.02630391761;53718.094693268155;53187.494557614235;53997.11104511777;54570.11277819685;56249.619539769345;53748.61506457647;52940.37029866687;[-2646.411308973642, 3857.2121487053446, 6705.126436173545, 4587.785469724287, 8884.643696082385, 14778.691306731838, 12769.397442385773, 16088.888954882234, 9093.107221803148, 14634.880460230655, 11428.384935423528, 4730.130701333124];3.7216776436002257;1.0;11;253;-3.4564641849494113;-2.873032730098417;-2.572894516864816;False
1990-01_2011-02;2011-03_2012-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10113.949740909919;0.1659120070937593;54.54545454545455;17.02569712301612;199796.6312663394;0.2956330809822583;48146.581385280384;44354.90911427064;42750.276007548884;44826.38001422568;46260.73091587943;44193.68544551828;43813.51700621102;45617.278608294684;44764.837259326756;47014.797273740565;44682.63032701651;43927.78074446713;[1220.0186147196146, 4483.727885729364, 7521.236992451115, 5127.978985774316, 7898.585084120568, 11610.214554481725, 11980.882993788982, 9512.121391705317, 10835.969740673245, 17357.480726259433, 12384.080672983495, 10944.119255532874];1.9200019509228612;0.9985595286466816;9;243;-3.4575505077947746;-2.8735087323013526;-2.573148434859185;False
1990-01_2010-02;2010-03_2011-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10004.288057685982;0.20574900365431248;63.63636363636363;20.885747788321073;158421.22478022557;0.22554836161299302;42967.07687448903;34277.343270774676;31425.22536506288;37056.30902227201;33053.9016005529;35639.21118066533;34754.153009242735;33537.57721031367;35341.19577990393;36297.018237736236;34826.113132653794;32388.797988155453;[3351.8231255109713, 7535.056729225325, 9064.074634937122, 2385.038977727985, 10727.698399447101, 6718.988819334671, 10855.446990757264, 10751.92278968633, 10431.904220096068, 17085.600762263763, 11548.357867346203, 10834.75201184455];1.8029450105689826;0.9983548401565232;10;230;-3.459105583381277;-2.8741898504150574;-2.5735117958412097;False
