train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10135.369346862408;0.09066105929881546;63.63636363636363;6.143756700192603;159989.9944388275;1.2997838839055509;89008.87594678851;93503.35392526677;91421.21788075549;89173.53069332594;94244.08564316267;88513.73947565153;90121.57984993258;94195.46428866025;88078.74414167993;94039.38648606537;91568.9940362473;87071.46308485423;[4183.924053211493, -16743.329925266764, 3099.982119244509, 4476.269306674061, 4966.114356837323, 17369.887524348465, 10064.920150067424, 9643.33571133975, 13544.755858320073, 10925.073513934636, 8997.005963752701, 884.1739151457732];-1.1306217481896839;0.7027071383574672;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7182.051542473474;0.06558981854426903;72.72727272727273;3.012118994575456;85020.74118837043;inf;84591.88459412802;93805.97860441446;90659.77514887822;81452.41540838036;95258.01641475405;87753.49017781473;86748.94789529793;93967.83386885063;85034.46228722039;91691.4274219309;89273.20870305742;82622.84023073367;[3710.2254058719845, -9935.256604414462, -1189.6231488782214, 7048.922591619645, -4054.916414754043, 14008.149822185267, 11225.052104702074, 4159.966131149369, 7991.637712779615, 4882.618578069101, -2323.552703057416, -2514.3402307336655];-1.046936809644079;0.7357627764981223;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13371.26701743737;0.14047545426247576;81.81818181818181;9.775420133398656;106085.87531403314;3.5420375395525774;69155.23532057037;89094.33766537323;89481.20215567407;68943.69003670484;84988.72574208608;88651.0762570819;79594.02682951702;85725.56338310735;78001.3966368508;85125.20802388544;84876.74342663493;69699.38264193424;[16052.549679429634, -13936.288665373228, -7816.3511556740705, 18866.753963295167, 12199.157257913917, 9348.223742918097, 15749.072170482978, 13514.93661689265, 15783.531363149203, 13252.991976114557, -1109.6434266349243, 13551.629358065766];-1.204704390277419;0.6715687349905703;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14884.302751927047;0.15941040293181435;63.63636363636363;-4.28478269561229;235396.9120865546;1.0546155698233064;82034.25042964109;88215.10455868067;89417.97984590488;79049.91537535994;90912.82966503843;87884.47488008789;84635.90533089441;88181.88030250231;84660.86567299001;88821.30750597158;86501.23345268547;80768.79399082293;[-11842.240429641097, -35790.116558680675, -28273.679845904873, -3919.035375359934, -3785.052665038427, 1794.4251199121063, 9256.982669105593, 12503.154697497695, 6587.575327009996, 9229.93449402842, 4978.344547314526, -3104.796990822928];-0.9439081991667828;0.7731692797973235;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6016.643170576859;0.059768796030007974;72.72727272727273;2.6795663655939603;71209.59088483952;0.9725294610048303;78879.01092169508;87113.94952437005;87562.29744512893;75720.5323583371;90727.72826480528;86022.68153956476;82628.3954130002;87389.08712379084;82199.8544296853;86410.31214677876;87319.17035745631;78693.69466920824;[-4554.43892169508, -8287.315524370046, -4501.779445128937, 3864.7206416628906, 44.42773519472394, 7280.318460435243, 3880.5045869997994, 10004.162876209157, 10009.858570314696, 5589.037853221249, 2448.5296425436827, 2049.105330791761];-0.9106182132125914;0.7844555787276128;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8488.475944060849;0.08577811699705444;45.45454545454545;2.4721879641686004;200805.56284614885;1.188248491786505;75502.66474899474;86992.67615543913;88853.605873518;75651.73197043045;89299.97928974903;84411.52578968799;81159.48914668732;86966.42577494729;80769.54058858202;84354.42716078459;85428.43071480082;78550.06329964673;[6304.438251005267, -11147.643155439131, -15912.373873517994, 11142.968029569543, -1564.3792897490202, 9121.77421031201, 6694.268853312678, 9038.122225052706, 9725.237411417984, 3773.9498392154055, -1450.0597148008237, -429.9632996467262];-0.8619885072807791;0.8002323667894471;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6601.977952218316;0.06210286790975622;72.72727272727273;-1.08221508041396;78143.91421519598;0.686474764357922;77729.6112738986;88429.1213165814;88263.78631232517;81091.49555603505;89222.04152900634;84248.58367227996;84081.24128251488;87553.21745410073;83400.81031339207;88238.93058119786;85868.07303737638;82246.17419254206;[3532.7462561013963, -17337.156456581404, -4313.154782325175, 2254.6428939649486, -5137.838959006345, 7274.771897720042, 3245.14832748512, 2864.7380758992804, 4259.411196607936, 766.3069288021507, 2.7719626236212207, -8336.79319254207];-0.7179608915862897;0.8420422498523632;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5785.320820090791;0.057188829683512854;45.45454545454545;-2.4638218071710973;136787.38272014866;0.8010793828397051;80039.08697766003;90142.86016405544;92943.10751739415;83058.36863203131;90546.38606700016;88332.3976589998;89546.91969305127;89121.56753723808;85432.8690552353;89266.71228834832;87836.54483400629;84348.01663196471;[4797.370022339965, -9475.881164055434, -8976.41451739415, 3851.5523679686885, -3760.453067000155, 4547.288341000196, 105.08030694873014, -2123.99953723808, 2075.487944764711, 236.724711651681, -5726.423224006285, -10813.178141964716];-0.3902897097191452;0.9117074674688963;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10702.708505108918;0.10608339495580478;72.72727272727273;-9.816192320345522;126885.85188830747;2.527098498295967;90523.08824527396;101187.8718542483;102442.22622501772;90848.24060459888;103455.27192491433;96438.95630185529;90947.24923008382;100856.55695917048;96818.0966799424;100200.70794873589;97244.21248135883;93078.49861346796;[-2209.4321352739644, -19025.3428542483, -16128.300225017709, -1835.0506045988732, -9317.533464914333, -5898.578851855287, 2706.1138099161763, -4543.602599170481, -9616.972289942409, -9888.141278735886, -15584.198481358835, -12709.646613467965];0.8628173981510836;0.9925853821555438;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10202.734739994368;0.09207494979668336;54.54545454545455;3.429737189559582;201222.8521890065;1.486812402371339;94320.62307499368;93481.17838415124;92821.59851798591;91257.67426332427;94089.41074411957;93280.13921741972;93016.91786372005;93308.12055769381;92074.540719769;93974.44024102949;92321.20947481667;92394.69229258971;[-10874.996074993687, -5725.594384151234, -1981.9245179859136, -4163.226263324264, 4564.8942558804265, 10505.004782580276, 15189.89713627995, 19469.3054423062, 10109.45228023101, 8579.720758970507, 5410.4945151833235, -11435.68129258971];1.1732051543564623;0.9957954257164191;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
