train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7481.743930547478;0.36761400251473914;63.63636363636363;-29.05927754582881;119003.65858321609;1.2690134529827788;13124.670437083147;29071.906863215117;27863.531671562243;23842.13626176186;26929.508457667656;23243.35166740779;30484.049941192323;27396.80111095056;24531.61259636133;26965.63430254189;22878.61184103606;27988.797187600892;[6332.029562916854, -8667.646863215119, -9444.731671562244, -9377.68626176186, -10819.803457667656, -2144.8316674077905, -9097.049941192323, -3220.7351109505616, -1356.4125963613296, -9684.932302541889, -3522.6168410360624, -7517.097187600892];-2.5864630013884145;0.09582749099339105;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15171.544481235169;0.672707979281935;63.63636363636363;-57.39152259034939;243319.79983225153;inf;39506.54318347735;38075.851596622444;38771.26758225984;37392.4314811704;38397.26296429523;38400.97502009111;38067.882235036945;39316.16702292792;38707.91702159225;38974.110410833135;34698.57723981486;39493.73166654442;[-782.2431834773452, -9234.986596622442, -9563.867582259838, -21516.731481170402, -17915.81196429523, -12596.975020091108, -11864.182235036944, -12369.67202292792, -13557.66702159225, -20498.960410833133, -14922.645239814861, -22839.531666544422];-0.28566301790352333;0.9275104764068931;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4315.365030359164;0.08826342440367468;54.54545454545455;-0.15467641796712328;85103.38839464249;0.24469896176036668;41259.708473577564;36713.09306611087;38068.143194868666;38065.68984785525;37584.10397882844;38119.637578263195;38426.48339272273;37507.89931112708;38800.449524105556;37670.303286352566;37326.41810442265;38700.69187161048;[-1973.1914735775645, -1458.1570661108708, -3971.5421948686635, -4709.289847855245, -6158.027978828439, 659.162421736808, 1301.7986072772692, 10394.000688872919, 391.28547589444497, 4024.8727136474336, 3111.08189557735, -2319.6918716104774];0.49223511692624006;0.9846351683039359;9;363;-3.448493650810824;-2.8695352280356556;-2.5710293341377715;False
1990-01_2020-02;2020-03_2021-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4339.352957740222;0.09805089041878141;45.45454545454545;4.272816251000569;102677.18654468852;0.28538398966419715;44669.34175663201;33693.83461873921;32558.916116733875;36468.49895656676;35726.093493302214;35741.079433870924;33756.04205666689;34664.99423892689;36966.75136716752;35681.157909844806;33174.48872835772;35935.61349775601;[-3213.141756632016, 2179.665381260791, 2074.3468832661238, -6123.298956566756, -963.5934933022145, -778.588433870922, 4636.20994333311, 8118.243761073107, 3270.2486328324812, 5746.018090155194, 5817.1112716422795, -1613.0134977560083];0.3104329210602966;0.9778181117405311;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19913.44535708319;0.533755536312745;63.63636363636363;53.80061132262425;318166.3047209129;1.5660664533882214;26309.186729305027;14606.631867833461;12031.364608980843;17176.80450844415;13664.577282719536;18079.376129484;16178.635684632185;16072.623886574893;19125.6243291716;15493.299683024497;12121.427335098273;17853.621661055142;[7523.986270694975, 26421.623132166536, 20897.28539101916, 11803.745491555848, 18000.073717280466, 17957.323870515997, 18690.96431536781, 22421.27611342511, 21762.275670828403, 20867.873316975507, 24104.172664901726, 20957.012338944856];-1.0158750745034928;0.7474302867938335;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7709.991166855124;0.3168069029344563;54.54545454545455;31.347001962922473;152814.9987616281;0.6084729744994937;11811.385914335315;10718.097216815822;10328.968975278267;10168.593912588343;10278.425371849897;10616.623717929344;10448.554560384451;10550.751984335086;11913.552373940436;9676.750714880429;9009.292123024963;12210.801079547617;[4702.997085664687, -703.9112168158226, -1659.9889752782674, -209.80791258834324, -2918.4253718498967, -388.52371792934355, 11915.48443961555, 16751.761015664913, 5728.7006260595645, 5702.876285119572, 10945.757876975036, 8455.498920452383];-1.755890134320462;0.4025702853366672;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2234.0129627707597;0.20367247937960217;63.63636363636363;1.4015353872969396;35376.8122233626;0.13684520645407913;10806.414643539048;10148.33546711577;9164.540908393217;11445.54831227128;9747.252654945918;10132.541896025454;10108.14421670768;9238.410637283412;11646.940770719926;9601.592901424227;8496.493975501877;12450.690583803203;[-782.5729035390486, -799.5064981157702, 1159.8008316067826, -3697.0283762712797, -3744.9000089459178, -532.9892500254537, 1376.6193332923194, 3644.5071027165886, 1669.0796092800738, 2612.479478575773, 1865.8570244981238, -1023.139583803204];-1.7870594590080953;0.3869049746533169;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3409.3416117028646;0.29695365456160994;45.45454545454545;-9.119477749346732;80970.21505542952;0.1902894824544346;11101.00886320947;10278.539250889218;10326.282185342443;11777.383491514323;10432.200579543978;9584.951970551918;11184.929141161949;11095.72250964139;11028.432997583512;10407.778603782306;8916.643094239986;12552.85785793335;[7465.449136790528, -669.3392508892175, -2663.6821853424426, -4864.383491514323, -4263.000579543978, -1347.3519705519175, -2457.929141161949, -1884.7225096413895, 463.0670024164883, 3269.021396217693, -346.1795452399856, -3455.7270189333503];-1.7746554526524954;0.3931151555911858;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2603.089920280994;0.2538558755195741;45.45454545454545;-9.37548725350984;61774.18929740307;0.1620846599231806;14052.627822613504;10256.618487951584;10390.032053115587;11468.647189266912;10659.054346408366;11628.86693052401;10788.501249948276;10732.69881346526;11786.747123843003;10612.803623174392;10058.88682165272;12333.965629896384;[22.673597386496112, 2119.881512048416, 1206.4679468844133, -3213.2471892669128, -3436.803264408366, -4632.3075425240095, 3090.4619200517245, 1474.2563865347402, -2923.418892843003, -965.8280921743917, -1327.4868216527211, -2966.8656298963833];-2.9719804757663817;0.0375952224089536;2;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;True
1990-01_2014-02;2014-03_2015-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2785.2798850547606;0.22856301364696377;45.45454545454545;15.026582752206266;66066.23593448171;0.1851663643171529;12315.709508898102;8139.57390582143;8139.090625384211;9982.196162839837;7653.44176386149;9597.325691635851;9240.702121722046;8386.584944107428;9872.39545131196;8568.691062208161;7927.866174640079;10414.254542971317;[-940.1095088981019, 2484.4260941785697, 3289.1093746157894, -2340.496162839837, 617.7582361385112, -2008.4256916358518, 2840.097878277953, 2299.7150558925714, 2838.80454868804, 5358.008937791839, 3628.8730353599203, 1426.545457028682];-2.898227841752049;0.045554463806119064;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;True
