train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13506.047575618717;0.0524723794424806;63.63636363636363;4.601280959572499;212972.79638398867;0.6072285170972694;199163.38332574282;177974.33172126496;177887.3826424023;189535.6178985759;175848.59537356888;177689.88914931603;183850.57608639158;186411.70084090903;187262.45557595967;196647.85339150025;194616.4676431863;177462.30535891006;[-3385.8583257428254, -986.5597212649591, 26205.937357597693, 7091.329101424082, 16582.99862643113, 18816.150850683975, 2117.123913608433, 5024.116159090976, 2429.2644240403315, 20243.909608499758, 18375.5103568137, -5228.814358910051];-0.24134650378708608;0.933410406219304;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;20403.149598060543;0.0882104582280774;45.45454545454545;6.390341095683093;482680.8400057602;inf;171337.24089814207;168369.2789645675;170051.6422418955;169435.5664254634;169912.4502936345;168548.41306188508;168378.55113714823;179490.44362927385;169138.92632381822;184644.56858859415;179445.027218674;165383.71800626157;[-15302.149898142088, -3183.3879645674897, -7237.927241895493, -5664.637425463385, 8937.4497063655, 29846.997938114917, 30477.964862851775, 10339.656370726152, 7812.801676181785, 39175.87541140584, 19707.802781325998, 25999.499993738427];-0.7163959351639245;0.8424567890955177;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12381.82158475208;0.06224306255334047;63.63636363636363;1.909169217721355;195297.8233386479;0.7947014402678956;166706.60623727224;160873.72571987912;173138.1842194648;166452.47047041295;167526.64057615984;164158.34750426927;162812.83637640456;176698.26505617544;160501.53531101815;177407.53315682212;179408.504779937;167595.54642149506;[-15614.206237272243, -7961.522719879111, -9013.0842194648, 2030.945529587043, 16069.165423840168, 6829.211495730735, 18090.855623595446, 8245.375943824562, 9666.664688981866, 23893.516843177873, -6576.637779937009, -6280.617421495059];-0.7668759922422566;0.8286589226680066;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21727.790965166812;0.12422889204458669;90.9090909090909;-4.227413329478807;86700.28050882752;0.9553519646075437;174038.794395053;169643.12022330024;168182.00172788528;169159.2418832222;175047.73142093592;167101.63861988136;169083.30425777368;173676.20062423163;165834.89741314435;186886.33373938815;181491.2467451992;165513.30711417762;[-26099.203395053017, -38056.588223300234, -29881.24872788528, -23714.213883222197, -15586.448420935922, -9843.060619881348, 6491.394742226315, 22733.05237576837, 15189.80158685564, 26343.02026061184, 4131.1842548008135, -15489.769114177616];-0.39558095490737943;0.9108339892022432;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;False
1990-01_2019-02;2019-03_2020-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7986.721419581816;0.03377362299104601;81.81818181818181;2.823471205092334;62996.190989874936;0.4332365613821071;159782.5897677186;168868.30237791676;163300.8357972239;162688.4718079364;167779.64577225957;166053.34817332603;167928.65289349935;167800.21683491953;162819.37745305637;178569.65545891091;177072.48265398623;160551.3826806058;[1683.6132322814083, -17.801377916766796, 2105.0642027760914, -2973.476807936415, 2668.1852277404396, 3181.95282667398, -4082.8598934993497, 10389.085165080469, 8340.641546943632, 19686.991541089083, 7598.005346013786, 9624.157319394202];-0.5053613830037782;0.8909660052915487;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22215.467574279355;0.12525293898782947;72.72727272727273;-12.131042490529726;263558.5317374466;0.8639188794703943;187213.60181911106;184790.13980017882;185500.91000616772;185469.5660472512;180180.89114942806;190526.54473932573;187213.88294161842;186305.1780303076;184168.95231748433;196237.6186606836;188474.11636997553;183215.8580395033;[-4673.681819111051, -11793.05180017883, -23451.27200616771, -19808.895047251193, -17550.377149428066, -18913.60773932573, -38568.33394161842, -26449.794030307618, -31291.356317484344, -15181.388660683588, -8381.716369975533, -26197.808039503318];0.09592493932663453;0.9657817669635417;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9880.547716114817;0.0411730406734098;72.72727272727273;-1.3668416463067257;116860.35006083509;0.3750904120176405;193998.27980004545;185418.13110284458;180990.54710956555;188254.90200350518;185928.31150418153;184309.26673799267;184706.70903114922;188409.88560363767;185782.83282865485;198288.07140042906;193051.33029696599;185119.86426815199;[5634.629199954565, -1208.5831028445682, 7373.928890434443, 5677.285996494815, -30.35050418152241, 3245.917262007337, -10043.174031149218, -7309.033603637654, -12780.740828654845, 6370.532599570928, -1222.7432969659858, -26104.333268151997];1.184111338636576;0.9958742480553833;11;313;-3.4514162625887037;-2.8708187088091406;-2.5717136883095675;False
1990-01_2016-02;2016-03_2017-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17798.249437875926;0.08252901280215262;90.9090909090909;8.471076116583044;70698.80216116077;1.3854426742499864;176719.98581268705;168364.44342593037;164360.47951929644;170516.6706475276;168063.705425228;168104.11616743496;169472.66540484971;173353.24218144375;168039.66394432326;179258.69614020747;178657.01523857936;165130.461886607;[14066.322187312937, 11254.79057406963, 9616.227480703557, 10463.500352472416, 8445.841574772, 14281.783832565037, 23645.55959515029, 12518.725818556239, 13512.682055676734, 37596.65285979252, 24176.34576142064, 10154.538113393006];0.7836911235567331;0.9913682986557123;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16237.184357725862;0.08616042392003015;54.54545454545455;-7.356857787871389;320194.1667709049;0.8402584919783571;196645.60602921294;172136.24827866233;178814.30888688544;185826.78582476373;170590.74995674667;183694.37638175415;181929.23647926137;181409.28944530297;179695.45562058187;189234.58599231986;185126.8945163701;181402.16716928352;[-27050.00902921293, -6953.9462786623335, -21144.387886885437, -17120.005824763735, -391.15995674667647, -21283.583381754142, -13223.710479261354, -12639.565445302986, -23800.055620581872, 11363.514007680147, -10444.10951637011, -7147.950169283518];1.4792382541379288;0.997445988895078;2;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2014-02;2014-03_2015-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;20829.933160542412;0.09188184146181257;45.45454545454545;7.360472886906735;492810.49021757214;1.4263565893954933;180560.97869285409;159567.20496633172;161337.5065725133;168442.5731377648;159982.52134953646;165093.2536418517;167671.8731250916;165825.65816290554;164834.5030403905;176008.1065348971;170221.24478796782;162856.40282532718;[-17466.67569285407, 16973.620033668296, 12280.493427486712, 3416.3428622352076, 16035.75865046354, 9938.570358148281, 13799.5668749084, 29848.889837094466, 4375.748959609511, 39912.033465102926, 36809.36621203218, -6827.216825327196];1.5004239101073171;0.9975258389831321;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2013-02;2013-03_2014-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15507.52657300026;0.07619317181337788;54.54545454545455;6.370511056654143;305738.40532439284;0.7312872444155332;165480.6390285344;148241.17101059246;152762.78003527396;158203.1333006427;148139.40026334926;153567.8237651038;156776.06771471945;153605.89446097668;151491.66448990107;162790.78042054462;159236.8446117057;153922.69616576098;[-13955.190028534416, 5431.226989407529, 4818.886964726029, -867.1673006427009, 18725.53973665074, 13673.413234896201, 2409.4882852805604, 20792.79953902331, 17945.09451009892, 24447.467579455377, 26293.489388294314, 7125.620834239031];0.8726799049473407;0.9927232306373299;2;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
1990-01_2012-02;2012-03_2013-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21345.581853852593;0.12102804661049847;81.81818181818181;12.416334391142664;169172.47799404;0.6552870321512044;143393.88829696988;130536.38744818741;131513.86953488935;136836.32745291738;130809.673297262;132262.69414574708;135506.92822907786;134373.98387035707;132054.6106213849;145014.428161908;139458.1471910627;131856.9568215115;[3007.261703030119, 11662.772551812595, 13598.040465110651, 16314.42354708261, 19148.940702738008, 30240.96885425292, 20287.799770922138, 34300.19812964293, 19169.682378615107, 34507.41283809199, 19151.714808937308, 8783.643178488506];0.8420281578911928;0.9922851659444804;2;262;-3.455558114028747;-2.872635586277424;-2.572682677000175;False
1990-01_2011-02;2011-03_2012-02;BA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25767.227080120185;0.1823486456401956;54.54545454545455;18.340674222999812;509198.90612342197;0.5076808854994854;122983.80904236845;105007.49215337205;104451.17399811547;112166.93558365108;106384.50333348292;104560.58140725375;109040.40197455602;110957.64524158607;106205.77804842836;120193.48118003926;114026.08358352212;106782.23538961026;[7432.291957631547, 26402.257846627952, 25967.28800188453, 19959.03641634893, 23756.806666517077, 31361.676592746255, 26640.257025443992, 20830.386758413937, 25333.29095157163, 22027.153319960722, 38876.11641647789, 28505.193610389746];-0.0945605120499682;0.949977639572052;2;250;-3.456780859712;-2.8731715065600003;-2.572968544;False
