train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1040.8178301291564;0.05910413643468065;27.272727272727273;0.5822863849004919;32805.75993288984;1.692116576338844;14853.582235165715;14840.365143473478;14636.545695528215;14119.277990987095;15133.109276029258;14681.65028123101;14720.711966281464;15060.294228629187;14827.970843932975;14509.562874584853;14840.140251376277;15073.750601997317;[1012.6242848342845, -865.9684034734782, 528.0213344717849, 2199.6948390129055, 606.3164439707416, 1512.4421087689898, -178.0145062814645, -520.0985786291876, -620.1447539329747, -440.0157745848537, -816.082281376277, -1380.3520519973172];-1.6579765892332676;0.4528837899682218;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;988.2036753326032;0.052660455119058924;54.54545454545455;0.16681414795080823;19473.785754972938;inf;14917.05032317735;14640.14041300417;15484.002921850795;13937.343911455633;14881.067472032148;15116.154497774323;15426.448022859186;15022.15748309452;14689.85445184818;14458.165947211435;15072.119386171084;14993.746156665116;[492.30837682265155, -550.2201230041701, 377.85577814920543, 1945.4368885443673, -75.69609203214713, 1147.5574622256772, 168.39255714081446, -612.2987830945185, 442.4825081518211, 208.71630278856537, -1544.5559761710829, -1701.487096665116];-1.801401019774697;0.37976634835937556;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1414.5745425028347;0.07677725419263845;27.272727272727273;-1.9541531488977206;44596.99119901287;1.7477398513493287;16129.562510966318;15091.064874231723;15754.068677333851;15091.960578023296;14498.682061291429;14948.813415521969;15230.558081193707;15302.176850341464;15673.321791325801;14713.357304686415;15581.575028591771;15966.528786929224;[-296.85599096631813, 120.90070576827748, -447.6791873338516, 1242.7839919767048, 2479.4067087085696, 1197.996364478031, -644.8859811937073, -753.6768503414642, -1407.4902713258016, -207.96056468641473, -2478.388438591772, -2330.523356929225];-1.573888115445486;0.4966957005285254;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1096.6087743413325;0.05522344213547287;45.45454545454545;3.722042310218682;25928.192099908374;1.0573841383617262;14912.560666314599;14490.293575385427;15073.91850478706;14355.648378462698;14421.856678053877;14722.617659010495;15181.898543324765;15029.279452899997;15051.883508285086;14684.502060506262;14614.231668738197;14469.459505574503;[1368.5788236854005, 547.2354146145735, 116.72461521294099, 1522.1632115373013, 2454.6197719461215, 1313.494660989505, -494.1105033247659, 321.443377100004, -592.7313382850862, 1002.0323594937381, -28.371158738196755, -688.0609555745032];-1.6771530668823378;0.44292067375534094;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;897.815912576745;0.04893484476668894;54.54545454545455;2.978420379919032;17691.155257802362;0.7832991715555808;14587.669753128333;14172.586112802508;14669.719676149141;14136.903719802598;15822.286075030419;14411.839322992526;14667.910152437515;14382.518500287973;14057.1980991786;14204.465680928113;14551.392879993919;14406.72964938203;[-140.8110531283328, 887.8015671974917, 947.6897438508586, 179.99121019740232, 1190.8787849695818, 1757.0610370074737, -489.09312243751447, 1170.2785997120263, -169.59302917860077, 1055.8477290718874, -777.2859999939192, -269.03399938203074];-1.8340040575150391;0.3637150292929433;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1691.9352167781622;0.074107155098414;54.54545454545455;3.472732749097634;33357.089855475555;1.4572162218856926;14124.987127071863;14551.382988847394;14263.842882573901;13423.863726154546;14545.425368823664;14813.813310620246;14467.462781660792;14198.539373425077;14109.02403245046;14081.875310273746;14538.518923484527;13793.639657735472;[334.30997292813663, -243.1420488473941, -1952.616432573901, 4835.014893845453, 255.60180117633536, 1629.4294393797554, 555.691208339209, 1189.2233065749224, 1034.881767549541, 107.25511972625281, -1106.623993484527, -490.16139773547184];-1.9892340303353542;0.29131346102474603;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1224.369173908712;0.07141167715671164;27.272727272727273;-1.6384784175694347;38597.738417757755;1.5183852482750737;14709.581266662259;14869.755012575682;14802.261046259135;13755.989837253652;14484.769454742856;14744.893124223714;14625.84435200916;15027.472105761008;14663.71787301686;14287.858405567915;14563.287723598029;15004.179039010322;[707.6086633377417, -2491.394502575682, -603.0798862591346, 1822.880092746349, 754.7178652571438, 1318.9037057762853, -459.98835200916074, -901.0736057610084, -212.16233301686043, -193.30291556791417, -627.0540235980279, -1945.8674490103222];-1.9741926623527501;0.29800207425898945;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1133.7649105727023;0.06460007074515393;36.36363636363637;1.7554937627351275;31274.78767601302;2.585479924490039;14415.049175842752;14454.239702714056;15200.545166181744;14157.905837649598;13791.406934630595;14552.67750382665;14897.53805110488;14682.64884072298;14553.04455117318;14013.068293372768;14401.058130728086;14613.836181146573;[531.534154157247, -841.7415127140557, 300.7646138182554, 2123.032572350403, 1780.3050253694055, 1458.9112661733507, 432.7952788951188, -621.6597107229809, -150.6586811731795, 656.5041666272318, -950.8733507280867, -1614.5445111465724];-1.6385920599418133;0.46299657685192613;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1192.6902239358649;0.054497644065453904;45.45454545454545;1.1305918559488388;28199.433376025663;0.9653798890695241;14793.92956420566;14332.4412907447;14785.756298292725;14122.176426509583;13992.898090360573;14519.863504672723;14452.087050584985;14681.22660958742;14706.448600283398;14191.516638472523;14276.599884021045;14605.154779515147;[-40.377024205659836, -32.58984074470027, -8.343258292725295, 1265.3326334904177, 3067.312049639426, 811.6038853272767, 17.39301941501435, 9.092230412579738, -1554.7312102833985, 677.764161527477, -1252.7266940210448, -976.1783295151472];-1.6134064382830384;0.47618769744084133;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1349.6637333846052;0.06918860228485411;45.45454545454545;5.789122644643091;31919.60800307334;1.3764176984893401;14133.538014498765;13695.724225340387;13995.827695957778;13384.120029348896;13260.55860061052;13621.208715342302;14041.064021688258;13804.61144734149;13646.082332038879;13577.818833316063;13724.845218160459;13916.620206785215;[-203.00178449876512, 201.25765465961194, 1055.6596240422223, 1281.8799706511036, 3487.6642293894784, 1541.5122946576976, 932.6153283117419, 978.3142726585102, 537.0861479611212, 1343.3079766839364, -392.23833816045953, -637.2107867852155];-1.770736887814665;0.39508371441096957;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1092.1325821763005;0.055812838839568474;36.36363636363637;4.153916405079242;30122.031891507017;0.7004498860208148;13617.060242094727;13313.141025288951;13420.057080349758;12767.645546121856;12898.436731019287;13466.344951607478;13755.195134785656;13516.244022821938;13173.226955195381;13021.15535770935;13239.690781873647;13356.89834029914;[-830.4171220947264, 658.9511547110487, 928.120099650243, 668.935473878144, 2592.447328980714, 2023.6912783925218, -237.31107478565536, 798.0553071780614, -78.73406519538185, 543.5975822906512, 93.44146812635336, -246.18095029914002];-1.9585330811782582;0.3050454656063959;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
1990-01_2012-02;2012-03_2013-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1146.3983841991792;0.06436510628247916;36.36363636363637;3.0767968871468017;31623.137790640903;0.5946040412410534;13535.843115344067;12790.754368571219;13117.486166855693;12862.386307593248;12639.734258206521;13006.44447710021;13437.269398323695;12922.345278612083;12973.134992284204;12765.512434303455;12973.985509597213;13119.453901407976;[-21.830435344067155, -252.04148857121982, 1230.8796931443067, 1165.921592406752, 2297.827121793478, 2131.03922289979, -1055.7234983236958, 939.5931313879173, -534.9543022842045, 94.28828569654434, -219.50362959721315, -818.7419414079759];-1.95549963113797;0.30641912035958413;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;False
1990-01_2011-02;2011-03_2012-02;MS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1034.4602824815647;0.054442202511073845;63.63636363636363;4.8800468717473295;16313.768940607182;0.4281030499310463;13192.519704351236;12327.304209119155;12599.895938386115;12177.859803754554;12112.185622150335;12508.867768578239;12853.837564221902;12558.454574965845;12604.700444600492;12253.977661268977;12359.76109321784;12722.24367928583;[117.95589564876354, 21.69995088084579, 850.6913716138861, 1682.2041862454462, 1518.3288678496647, 2414.8731914217606, 321.305555778099, 273.87332503415564, 335.378435399507, 804.040458731024, -328.33899321783974, -302.4574492858301];-1.9406985346374632;0.3131639687138772;15;237;-3.4582467982399105;-2.8738137461081323;-2.5733111490323846;False
