train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RN;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;910.6698825788887;0.04907045421805009;45.45454545454545;1.0977949635286681;21529.506823873122;2.3135091838867186;17078.516475410474;17171.114364246176;17234.150447623004;16072.695851122233;17367.532050702215;17363.924273301032;16565.30210088313;17588.1231501943;17353.569975731316;17125.83845054162;16956.388005545432;17278.63611679318;[797.112144589526, -1433.9060342461762, 509.8984623769975, 1343.1302388777658, 614.9099792977831, 1023.6971066989681, 648.9986191168682, -493.7680801942988, -514.4956957313152, 522.630749458378, 700.2116344545684, -1441.2303167931786];-1.9031268748625714;0.3305915629429489;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;RN;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;912.6105376483047;0.0440897652490777;54.54545454545455;0.6725300432693413;17980.65240738677;inf;16642.608415724288;16497.753324792342;17603.863403807423;16634.87242677852;16740.821745027224;17347.48083624607;17301.665352455548;17128.47834006265;16789.375061026156;16556.44553298076;17177.961395368147;17482.981794496718;[1356.194124275713, -410.6391947923421, -434.19854380742254, 608.518873221481, 704.6076049727744, 1109.9086537539297, 236.5719675444525, -420.9511700626499, 279.6059139738427, 873.989247019239, -412.60994536814906, -2110.3948344967175];-1.9240962333487153;0.3208117579367288;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;RN;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1669.635659944551;0.08197609349739786;27.272727272727273;-5.613570636913404;52641.735264660245;2.278526626234541;18244.10938841405;17225.83079155092;19002.773766526112;17325.920974747158;16970.08721397389;18791.9619425378;17468.198653476473;19363.975641612633;18288.382409396254;16701.197748905513;18059.473496090868;18817.75795332925;[-48.43366841405077, -272.8163015509199, -2235.3498565261107, 679.7384452528422, 1332.5957560261122, -1601.0307825378004, -491.93416347647144, -3022.0155016126337, -1974.4258893962542, 456.5866710944865, -1536.0858160908683, -2781.4590433292487];-1.5795180970883604;0.49387353881170126;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;RN;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1463.48717876479;0.06457678207461304;45.45454545454545;4.498554124477232;34608.36831421969;1.0996365856590133;17285.557979990044;16956.716123301594;17916.06587125982;16327.987492960814;16805.63469577918;18268.993994127628;16789.07409513777;17535.598559455615;17333.883547446527;17464.728228910768;17156.120266446953;17267.07986259005;[422.9619500099543, 1295.6824266984077, 141.95405874017888, 3038.7172170391877, 2529.8163942208193, 736.7360758723735, 1423.8009048622298, 1255.0681105443837, -642.7893474465272, 1063.0471310892317, 70.7384335530478, -1580.0273225900492];-1.6832687058744726;0.43975290400952644;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RN;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;789.6836352255546;0.03271332572773531;72.72727272727273;0.27050901024780466;9337.291816413694;0.7379188123854062;17623.14658714548;16655.8606663782;17746.837261759378;16531.977395128448;17244.884840818115;17883.172898179793;17688.73628265616;17257.41221621169;16901.879346009548;17339.72412610025;17212.039844169136;17140.868397625527;[-1390.9581771454777, 306.82592362180003, -90.69777175937634, 94.27260487155218, 1201.3452291818867, -10.689198179792584, 10.453937343841972, 1180.9645937883106, -167.85941600954902, 735.3066738997513, 113.44928583086585, -1420.3267276255265];-1.6643668068547506;0.4495589093030441;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RN;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1254.5725433362177;0.05115431020709671;36.36363636363637;1.1150861912934482;34599.389186844914;1.1742168169543947;17712.357098626515;17609.16478914648;17425.154609087538;15611.195886522526;17088.286673824263;17792.827805956655;16803.349767945907;17118.2512079494;17187.373114258065;17288.454693473093;17238.054141875968;17103.070795211752;[-665.8063786265157, -540.0977591464834, -1444.292289087538, 3391.8638934774735, 1436.7622361757385, 285.49284404334685, 755.8024020540943, 543.3140120505996, 130.76456574193435, -431.9148334730926, 20.753828124034044, -1159.9149952117514];-1.6536656479185268;0.4551293885983715;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RN;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1109.8437273630627;0.056346022524040605;54.54545454545455;2.797472337504786;21872.570825275845;3.6091285747749993;16399.62770632845;16697.844374173237;17066.935154332354;15618.77684375685;16964.384721000053;17444.706629749453;16483.62109914852;17183.825513825297;16882.610422632115;16124.967970070704;16662.440026005734;17241.480559902135;[1709.2707736715493, -1121.3498041732364, 355.555785667646, 1581.0908962431513, 926.1841189999468, 1103.6997502505474, 1198.4647408514793, 193.73875617470185, -79.04160263211452, 1153.795099929297, 454.386063994265, -1697.632729902134];-1.808163256742488;0.3764164610772993;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RN;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1006.4325273651189;0.05269705686924548;36.36363636363637;0.7561200094457389;27757.021685487656;2.304448085591472;16311.147383439056;16663.76979682485;17472.59351167818;16202.481948157816;16221.110447147727;17028.8972403881;16418.11486765338;17248.29454787481;16972.090420295914;16190.886943438629;17016.34596224583;16797.72184812752;[644.4812365609432, -199.1266768248497, -651.5590916781803, 803.1376218421829, 779.4710728522732, 1403.4578296118998, 877.4883923466186, -939.1351278748116, -152.32593029591226, 1554.5496465613724, -748.259002245828, -1844.2780081275196];-1.7037139043737393;0.42919998465574694;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RN;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;878.8923721123394;0.04399797067411604;63.63636363636363;-0.14506421817807008;13856.403009131101;1.1230854552577316;16914.25131512084;16527.483599866147;17336.773500082472;16311.843581772628;16358.685120738108;17827.050133863188;15939.4047260458;17670.777375889713;17016.173440678645;16699.470968738817;16669.227538545536;17025.504166935913;[-123.09189512084049, -142.86765986614773, -797.1140800824724, 564.4082282273739, 1853.4851692618904, -535.7711438631886, 847.9503439542023, -417.08715588971245, -842.6788706786447, 1062.0290312611833, -511.2746385455357, -1251.0222869359131];-1.606692266950481;0.48023094550091205;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;RN;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1053.2149973504668;0.04564442222297991;54.54545454545455;2.3160334054539753;20751.508947175622;1.1165919574095418;16511.319370499965;16339.115836968265;17317.27554028175;15653.860523653988;16110.63212771148;17425.597051341705;16177.648179590871;16679.997513866354;16264.007944180992;16312.92801662631;16826.915012632107;16333.688287963174;[-590.9498004999641, -11.748086968265852, -259.89148028174895, 621.1757063460118, 1914.5272922885197, -152.79814134170374, 2151.1724704091303, 584.6311061336455, -278.02968418099226, 1594.5683633736899, 209.867597367891, -1089.1683579631735];-1.5685949193559239;0.49934738338574935;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
