train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;55074.49694738081;0.07572825735365665;45.45454545454545;5.905377319386651;1302605.3925592694;1.0833275568425809;535616.0935866474;525473.2344686679;506520.39829272387;495950.2279630452;508484.05915951444;491645.83281898696;514582.16769048513;501272.6168836788;525069.5568061279;519777.7345046571;495266.5011230651;503094.53323761735;[102624.80941335263, -40918.63046866789, 43582.15170727618, 18613.235036954808, 33774.00384048553, 125389.92518101307, 54589.31230951485, 20674.296116321173, -15476.548806127917, -9776.812504657079, 29492.84687693487, 21695.3087623826];-0.056152696133118615;0.953634519878665;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;45498.59820003114;0.07975733543790779;27.272727272727273;-5.629097853277101;1434408.0986330772;inf;590867.3848933632;532085.8894059153;508174.5098505556;550303.6604914935;528325.8430328623;498690.8835232611;563577.8542686764;522907.9479716846;529251.9593914276;532999.9340938443;505943.79690386995;506458.6249504499;[-42947.777893363265, -54966.73640591529, 2995.385149444395, -81702.44949149352, 10144.93196713773, 52538.52547673887, -55030.272268676374, -1327.7219716846012, -32429.939391427557, -37352.63609384425, -52375.59390386997, -46988.50595044991];1.3049185802629581;0.9966363338971214;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;54060.902524330755;0.07446630198680967;45.45454545454545;5.424960928824129;1278602.6248688968;1.5416916949704471;524646.0083283291;515502.3500189753;476030.0638707867;511875.08574527444;480077.33676506416;456800.40392749436;531921.4073069732;510237.0265101088;483338.4851498183;508481.6023737118;490883.03995007806;465605.30021834385;[93076.63967167097, 3117.3889810246765, 14858.466129213339, -32148.066745274467, 67726.13123493583, 127257.78507250565, 10828.106693026726, 30052.27648989117, 27292.8518501817, -17853.766373711813, -23909.24395007809, 41311.673781656136];0.6925948683647896;0.9896889230434647;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;48476.970605477916;0.0776739326550893;36.36363636363637;1.3058119998127076;1337432.6791306185;1.190338984770836;508965.2692963109;477643.66640841786;469043.1735512213;493099.9383853919;477703.33866216004;442284.57567005884;527069.1788205209;451014.45173178223;460333.9059149824;499012.0963689817;470531.9505041439;471257.0890815584;[4851.266703689122, -57118.46840841789, -3491.883551221341, -25585.237385391898, 36507.66533783998, 77969.99932994117, 12463.92417947913, 103185.94426821772, 17619.23608501762, -65511.06736898172, -36104.345504143916, 11263.577918441617];0.6554121551887448;0.9889047187528062;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;48931.395846408624;0.08480527067326682;36.36363636363637;0.35746727205830026;1350121.1061447775;1.0614610675578666;524676.2014524483;463248.73389460664;463264.2404502411;486074.6628154103;487315.5202715774;439039.11565373227;508903.49451549846;437841.6295514354;462402.3678259771;464306.902560681;458733.6356154613;454086.3047495231;[-58982.19445244828, -11071.32389460667, -7940.9184502410935, -15603.020815410302, 32763.1477284226, 86212.91234626778, -33993.47751549847, 81669.0814485646, -11175.983825977077, -72361.15556068101, -21079.68661546125, 51831.59225047688];0.6452264042929554;0.9886789226825367;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;43496.55052129733;0.0642111131398037;45.45454545454545;0.9663465185644013;1028550.4789963126;0.6337005128020252;499334.89039979666;475312.13223683403;420084.31218470755;471729.9479583701;467952.5473443408;401960.7156437871;503409.4282876357;442112.61835344863;454686.7343609699;461257.3135177631;434883.02498863434;439900.41512568604;[-1583.4963997966843, -13368.591236834007, -72073.74018470757, 19021.718041629938, 38855.05165565916, 115489.65035621286, -29856.755287635664, 16573.731646551343, 3900.974639030057, -30184.725517763116, 1945.5940113656688, 4681.134874313953];0.44229414913804105;0.983009523076355;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;43646.92459021512;0.08111222335470543;63.63636363636363;2.4309083849463025;688795.0987941299;0.6368454570051654;461146.5887064591;443477.2198850338;410802.3691731635;452268.3655292483;428141.83360997186;413421.14596709545;470174.6606801624;426317.46317205054;425840.09840288886;447193.1090428183;421101.41892542096;422001.3209343145;[29595.89439354092, -61939.34058503382, 22654.68492683652, -4430.906929248304, 75026.03529002814, 80164.60593290452, 10379.374019837647, 28006.19492794946, 5766.557797111163, -52227.699842818314, -32292.013925420935, 29398.527065685485];-0.0039853091829904165;0.9582012602283002;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;27401.33194398205;0.04883235352382272;63.63636363636363;-1.3530032972187045;432039.2538056529;0.27196856353725757;463128.65279530967;439500.4890446367;412244.1710454887;446625.9249055097;414980.4610614154;427157.8623497494;480628.6336055376;430044.56221537554;410970.471266674;446737.008617508;415524.40605822473;420237.29336134146;[11889.592204690329, -7060.695044636726, -3990.0600454887026, -4234.006905509683, 41030.42393858463, 21033.532650250592, -18272.876605537604, -7428.882215375546, -11676.815266673977, -69465.53261750797, -33914.06735822471, 12568.57193865854];1.0177701543340638;0.9944499503699771;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;33167.418937420516;0.05883814887754519;45.45454545454545;-2.371469445069935;784223.5284093989;0.34163100605588226;461639.0678130283;455123.8055528783;426708.8431933672;427795.0085076439;429807.0786994139;449074.4391130659;453709.20096247445;433149.90367930173;448938.6435239726;465374.0581445765;403528.8168060926;435636.3837766782;[15023.386086971732, -40699.350552878284, -14457.944193367206, 13780.978492356138, -10416.768899413932, 21233.679686934105, -3031.9141624744516, 35889.19072069827, -51132.25442397263, -79795.30044457648, 74.71119390736567, -9024.279776678188];1.3441207462864906;0.9968448989235604;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;50438.19811157512;0.09992762147732744;9.090909090909092;-1.058908579123936;1987675.522069593;0.5866859453736761;471491.4415229069;435329.86642399937;421697.0986739315;437744.78142565716;425480.741232444;409594.3357364952;478717.24512824556;402691.91416866845;431865.87232495734;449651.54545776226;417927.884168666;428114.24095471087;[-32979.335522906855, -24084.33342399937, 18137.245326068485, -36209.53542565717, 39776.61776755599, 63961.88826350478, -30568.33012824558, 101350.57983133156, -19227.584324957337, -66383.65045776224, 5985.248131334025, -74353.09395471087];2.329394347494747;0.9989731077236779;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
