train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;770.8227528074165;0.45702374552483044;27.272727272727273;51.4339124198188;24441.55739255425;1.0170419518919696;505.51086305318245;621.4789239156835;601.3313721490508;654.2005650800885;640.5285572073601;606.7744663761641;658.449356422031;582.362676336086;625.6725391568402;610.6787448750898;640.3694547001013;632.3541924076369;[455.70513694681756, 212.14307608431648, 168.03062785094914, 74.32943491991148, 234.71544279263992, 647.0415336238359, 702.618643577969, 844.264323663914, 797.8014608431597, 1298.6062551249101, 1252.4265452998989, 1127.800807592363];-1.920415775155949;0.3225186711720898;7;389;-3.447272819026727;-2.868998737588248;-2.5707433189709294;False
1990-01_2022-02;2022-03_2023-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;353.07471975847915;0.5514285213475704;36.36363636363637;-34.85242792425153;9828.59922528602;inf;554.5527522911501;995.2752488893719;959.2828669741916;848.7472503537725;1014.861358672829;912.7935197697268;976.6316934950296;921.7080086110312;839.9630655926833;1000.8514881537632;876.1245526783943;934.4537890852292;[439.14524770884987, -4.72224888937194, -189.31486697419166, -48.12625035377255, -517.5423586728291, -465.3445197697268, -562.0936934950296, -403.2420086110312, -122.77506559268329, -331.1284881537632, -304.9355526783943, -290.27478908522926];-2.111469445363933;0.23992776026105178;7;377;-3.4478152097574224;-2.8692371153451903;-2.5708704003405356;False
1990-01_2021-02;2021-03_2022-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;227.52186213885992;0.23084000167659893;63.63636363636363;-4.653845613566465;3608.917338953504;0.7108468414094284;1137.3012924764598;959.1780831252476;1031.7520781624785;990.5541116173448;885.109609772943;932.3431778572727;1016.7445806874532;963.2991412650581;1012.6511401146952;1001.0456458202725;1032.7428242435042;925.6014465602467;[297.47870752354015, 327.95991687475237, 172.3259218375215, 63.35088838265517, 67.20039022705691, -21.385177857272765, -126.5765806874532, -158.18614126505804, -198.35014011469514, -288.92864582027255, -366.73082424350423, -296.81944656024666];-2.4050070770128555;0.14032818254940976;7;365;-3.4483935212959844;-2.8694912343676497;-2.571005879151811;False
1990-01_2020-02;2020-03_2021-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;371.9527891637014;0.3809069360500071;36.36363636363637;-24.812240622398757;10321.135690213941;0.6760966021683134;1315.130480969061;1181.9602394842136;1221.789748479515;1395.0367872096153;1169.7426702520643;1347.5734658026809;1263.5249418313824;1267.6062623453045;1352.8764056383784;1222.9217627194905;1296.7068420357868;1268.6288103845623;[-405.2814809690609, -486.80923948421366, -576.6927484795151, -697.0197872096153, -377.3606702520643, -464.40946580268087, -74.93394183138253, 72.73073765469553, -129.60840563837837, 160.2892372805095, -147.93284203578696, 84.74618961543774];-2.8050535853455583;0.05755551746754224;4;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2019-02;2019-03_2020-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;265.62009071276515;0.16299749598645222;81.81818181818181;14.084767571700551;2111.246610366676;0.3386074306397562;917.096218089398;1246.988891823942;1285.225275808489;1100.9376799723275;1215.9499801802135;1152.1413753275688;1162.3472285569117;1176.7688855468427;1134.6098114023096;1217.4654643307235;1143.4286692370436;1193.8878751760153;[225.60378191060204, 259.7181081760582, 426.325724191511, 117.41032002767247, -81.57998018021362, -163.2263753275688, 215.09177144308842, 357.22211445315725, 363.88618859769053, 417.42353566927636, 137.12333076295636, 11.419124823984703];-2.2077162984826613;0.20345681533771942;7;341;-3.449673193310592;-2.8700533746644323;-2.5713055939491403;False
1990-01_2018-02;2018-03_2019-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;420.0789471807691;0.22360029743417856;45.45454545454545;23.529823554852484;9967.74597016165;0.5634088324889291;889.7390159370145;989.7746352903172;1014.4040167499902;843.6399714001052;1004.6738472109276;823.3961146314571;963.4209785851018;990.370996801027;883.8060352391675;995.822817453907;937.6268004159032;882.7805302436782;[265.0189840629855, -54.501635290317154, -21.53801674999022, 499.0970285998949, 351.82615278907235, 905.7488853685429, 685.2110214148983, 529.6440031989731, 292.8049647608326, 97.515182546093, -33.126800415903176, -65.48053024367823];-2.8843978089684303;0.04719263491563432;1;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;True
1990-01_2017-02;2017-03_2018-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;321.3644990063775;0.3033729779974003;72.72727272727273;-4.457370564253031;3840.9324129029083;0.5717497753929306;830.5240611287913;1071.3834044455841;1134.464786477739;1044.8635503887538;1089.6515408974683;1111.665886299638;1149.1674563390288;1098.633787464231;1027.2124935731097;1079.0100689830097;1108.6275251470402;1088.935649200676;[18.975938871208655, -434.3834044455841, -377.9647864777389, -455.86355038875377, -322.1515408974683, -198.66588629963803, 8.832543660971169, -113.50578746423105, 279.3595064268902, 555.1409310169904, 380.1434748529598, 112.42835079932411];-2.425713083887842;0.13461019632416693;4;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2016-02;2016-03_2017-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1182.8957481325301;1.0973986093432775;63.63636363636363;-104.40335051996443;19205.154462130587;2.643385774445681;1813.9389998746415;2447.2240677048185;2568.579504586965;2097.175300466154;2275.639877505118;2329.909519325971;2117.6413480362944;2243.8773995518277;2305.701648928859;2341.236846656784;2224.0869889656287;2379.6492017394476;[-557.4389998746415, -1226.2240677048185, -1437.079504586965, -1107.175300466154, -1249.139877505118, -1184.109519325971, -1074.5913480362944, -1087.8773995518277, -1176.101648928859, -896.7368466567841, -1229.0869889656287, -1639.1502017394475];-2.261258532696224;0.1847673464806483;7;305;-3.451973573620699;-2.8710633193086648;-2.5718441306100512;False
1990-01_2015-02;2015-03_2016-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;908.9822988352888;0.32217752927413146;45.45454545454545;32.464864742733425;21603.557804148146;0.4785278638490182;2079.492628108348;1488.474635524455;1493.193948867273;1649.1024403902002;1454.7882957202019;1497.875953990653;1557.2876088829726;1548.4239000911525;1641.7272380248548;1489.17649256225;1623.6262601766398;1497.2471234091277;[569.9423718916519, 745.5253644755451, 686.0060511327267, 612.3975596097998, 1001.811704279798, 904.124046009347, 864.8123911170273, 1869.0760999088475, 1044.6727619751452, 981.6235074377503, 107.7737398233603, -244.4471234091277];-2.1974176812438824;0.20718402428502924;7;293;-3.452867117291862;-2.8714554160827745;-2.5720532321867466;False
1990-01_2014-02;2014-03_2015-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;262.4008703394703;0.13332917611233241;72.72727272727273;-5.068993632662281;3115.530423630336;0.23274178373709623;1507.5718116261735;1737.901109252452;1746.8622493598878;1559.0184134961398;1753.1715004559826;1649.7168228200137;1672.6694897680038;1755.1155725433312;1616.7735961511885;1750.5685055473386;1640.0904662073717;1671.6828267969693;[-116.57181162617348, -139.96110925245193, -283.6092493598878, -267.8074134961398, -170.87150045598264, -260.1168228200138, -183.36948976800386, -309.71557254333106, -38.773596151188485, 99.73149445266131, 72.50953379262819, 630.7171732030308];-2.094218024856699;0.24684590996606898;7;281;-3.4538376962008495;-2.8718811911083093;-2.5722803076202174;False
1990-01_2013-02;2013-03_2014-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;194.26954661767454;0.0864439048965186;72.72727272727273;4.334154213364727;2302.5066520790415;0.14498832317546723;1572.2250728345175;1653.5684833972484;1636.8231045945884;1619.2844503368167;1667.927933017032;1603.8404748601176;1641.8184933946475;1642.0031687843878;1625.9113522905316;1648.4492473778525;1645.0501896169108;1622.3189363689842;[188.8169271654824, 36.93151660275157, 164.17689540541164, -16.78445033681669, 201.339066982968, 111.15952513988236, -63.818493394647476, 89.19683121561229, -90.41135229053157, 477.05075262214746, 76.04981038308915, -286.6677513689842];-2.0630112893237054;0.2596455920332432;7;269;-3.4548957220044336;-2.8723451788613157;-2.572527778361272;False
1990-01_2012-02;2012-03_2013-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;347.0973241332522;0.18954551581759613;18.181818181818183;-17.73296125009326;12332.275788721628;0.31107383792187226;1537.2870681362149;2079.242958956445;2064.643915001383;1846.9276938703617;2106.011008253652;1924.9562354211362;2041.030521541942;2046.3393820199444;1873.7578408416985;2077.2427989605426;1977.34622883551;1928.4590678273528;[85.25793186378519, -465.142958956445, -485.643915001383, -197.42769387036174, -590.9110082536522, -128.45623542113617, -356.630521541942, -372.8393820199444, -98.73351884169847, -361.7306379605425, -366.3462288355099, -201.45906782735278];-2.007013024646448;0.2835066234808731;7;257;-3.4560535712549925;-2.8728527662442334;-2.5727985212493754;False
1990-01_2011-02;2011-03_2012-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1203.767542966946;0.6075369394902519;54.54545454545455;-55.97734696994805;24021.663288001455;0.8632985078562976;2326.9802592497513;2913.766109637769;3514.7154053111494;3103.1906199009086;3059.4785622973236;3378.0944217024694;3169.8756322686286;3165.285309542053;3029.828892378898;3050.2487489290147;3398.7526555255713;3083.0666596984215;[150.5697407502489, -1065.5549556377691, -1315.9154053111492, -879.3507369009085, -940.4287262973235, -1136.0444217024692, -1343.0756322686286, -1258.0753095420528, -1112.0288923788983, -1037.7487489290147, -1838.2526555255713, -1572.0666596984215];-1.8214715244240658;0.36985497970219583;7;245;-3.4573260719088132;-2.873410402808354;-2.573095980841316;False
1990-01_2010-02;2010-03_2011-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1120.3370330481662;0.3326688244793869;54.54545454545455;-22.31913588876371;22218.84869783176;0.35691498127795607;3444.104081674649;3867.243542487188;4429.248513670658;4434.930332837847;3924.6306222359713;4867.846386128376;4104.025679262542;3986.6078321195205;4376.003177704241;3893.3586395943153;4393.5963525088955;4394.836678105485;[-1123.286721674649, -1303.339381487188, -1711.8485136706581, -1345.9803328378475, -642.3306222359711, -1179.2463861283763, 369.096320737458, 251.84216788047934, -91.01637670424134, 684.6281614056848, -1195.8038105088954, -1857.2808421054847];-2.446898958915104;0.12893450059905393;1;239;-3.458010773719797;-2.8737103617125186;-2.5732559963936206;False
1990-01_2009-02;2009-03_2010-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1472.2958344819751;0.3162529742497358;45.45454545454545;20.797844199678188;34983.05878052952;0.34288311224468065;4403.658789091735;3224.1865841295185;3385.1565249154955;3755.9748434972103;3102.3555118986687;3801.1096933270155;3414.683889594707;3334.8128668239574;3737.203127312096;3219.713141044543;3559.2751514928023;3494.955926654102;[-26.258789091735707, 1198.163415870482, 1041.1434750845046, 1097.6056935027896, 2138.9444881013314, 1612.6903066729847, 2439.2161104052925, 1830.457133176043, 496.11687268790365, 1524.5368589554569, -473.27515149280225, -1736.7559266541018];-1.8837558111575416;0.339741050485485;4;224;-3.459884913337196;-2.8745310704320794;-2.573693840082908;False
