train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;131.354443376801;0.03793414490748764;45.45454545454545;1.8080970126426363;3105.497718172589;1.4077497459262112;2675.557439241483;2641.584151951992;2682.0965607405365;2580.4494547117847;2647.9700813411914;2605.2199604097373;2630.403975792515;2753.9040902446795;2656.8643303203316;2659.2972193633004;2628.1133657886317;2682.1308150543914;[270.2450967585173, 27.187587048007572, -40.625546740536265, 118.7317042882155, -22.881313341191344, 197.2836625902628, -128.26448279251508, -76.60155424467939, 0.6755246796683423, 198.98357763669947, 108.28880821136818, -66.65798905439124];-3.7930111242439675;0.0029796352146260604;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
1990-01_2022-02;2022-03_2023-02;AP;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;177.71264561759085;0.05468091549633435;54.54545454545455;-3.1768511035755296;3503.0946316800682;inf;2820.305346603743;2649.992646831326;2850.564435447912;2674.5307767716176;2692.955554957951;2697.2172489349996;2811.8123662130247;2843.606368016193;2730.709745675785;2610.711894419384;2732.0556843390427;2840.1120261927385;[46.303349396256635, -15.19011083132591, -181.4792904479118, -57.47824077161749, -91.6258449579509, 6.04362106500048, -198.3123662130247, -196.05202001619273, -190.7043106757851, 309.8152795806159, -117.26764133904271, -328.73521419273857];-3.666558218073587;0.004608903200787542;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;True
1990-01_2021-02;2021-03_2022-02;AP;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;218.85927900805632;0.07119178395964144;9.090909090909092;-2.9654123497389366;8624.899007351178;1.7953622248930918;3111.7176044379694;2757.0038974497766;2893.0274453577676;2662.9763680523984;2702.89630575377;2740.8011826351394;2839.2275038298794;2979.3473703604914;2892.502119897213;2710.555467475499;2781.163073839914;2826.1593635033355;[-116.04187943796933, 84.4997255502235, -131.29556135776784, 232.6051539476016, 100.43702724623017, -34.54212463513932, -172.78366282987963, -439.92708036049135, -247.03472889721297, 245.33402552450116, -208.7174218399141, -288.78074050333544];-3.3252413308726396;0.013787204349629966;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;AP;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;253.5398841845041;0.07107443692314033;72.72727272727273;6.529527549048956;3002.8056980456004;1.1202595575695147;2753.417271780442;2643.0689547826846;2652.8426989712957;2568.0091788520613;2594.9417815308907;2631.62155878869;2626.2929467900526;2683.410598118603;2667.1098950800365;2640.762343234324;2607.943501991833;2649.74853733749;[139.76569921955797, 298.3151032173155, 297.6717940287044, 336.2498791479388, 411.7140154691092, 130.27699221131024, 28.467923209947458, 247.27599588139674, 19.344814919963483, 446.6199027656762, -109.47429899183271, -30.435131337489565];-3.4862355364317352;0.008347711894757637;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2019-02;2019-03_2020-02;AP;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;124.94506123764313;0.035021578278627986;36.36363636363637;2.485557792293449;3445.7651599387577;1.4442046173656482;2679.657590595203;2587.6593906267217;2554.1121806505657;2529.9827710262052;2543.4314968377566;2584.4045924334546;2625.0561447969903;2625.9283193675838;2573.3353973793933;2554.9236274778127;2577.6223111308695;2602.3886528718963;[-79.94019959520301, 95.11778337327814, 156.07079034943445, 55.03534497379496, 148.44350316224336, 35.6823645665454, -36.902158796990534, 105.10972363241626, -10.411484379393187, 322.4187635221874, 48.88855886913052, -48.36872487189612];-3.507877787030246;0.007787065796871726;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;True
1990-01_2018-02;2018-03_2019-02;AP;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;100.55961998661054;0.029393717267694085;72.72727272727273;2.7157414349345768;1189.1795609066105;1.006227805118168;2586.7868454104955;2559.3721251787215;2503.3491833631683;2474.0912854068815;2525.881927857787;2500.4598864323875;2528.8642395986167;2561.140058008052;2523.436529291671;2545.770203823689;2529.8356351909706;2525.7484917435386;[110.08634258950451, 87.84526582127864, 243.26857063683156, 68.20219259311853, 19.724956142212704, 74.81547556761234, 34.666557401383216, 24.535666991947892, 27.683035708329044, 159.74972417631125, 40.956031809029355, -43.88617274353874];-3.504590436749283;0.00786998159533011;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2017-02;2017-03_2018-02;AP;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;116.98800234895724;0.03139582999034969;54.54545454545455;1.7628717740011057;2304.8125085713687;0.5903354875563893;2549.3254012305756;2522.4639205671588;2492.7369494947843;2430.5029460440023;2466.2964464770125;2489.7215772285476;2498.100487194116;2577.0119573465304;2511.6840639373386;2475.2523277434602;2481.4408831453034;2520.1701382990104;[133.8023517694246, -79.64145656715891, 312.98587650521586, 120.52291095599776, -4.155142477012305, 101.37636877145223, -19.898109194115932, -1.906377346530462, 32.7221840626612, 36.429192256539864, 23.999333854696488, -117.62122529901035];-3.4206342504093974;0.010275244365663893;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;AP;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;131.6781616853926;0.039122666433643476;45.45454545454545;-1.1644416392299761;3113.244736748385;0.6416063946672753;2613.351866908169;2541.8515686919204;2548.644954469607;2470.807843519651;2459.9334493348088;2542.781656970105;2574.9508884578804;2610.503604399193;2532.26950701355;2499.8736167593283;2520.6324576873917;2533.1709588435497;[-31.366359908169215, -7.650481691920504, 40.416639530392786, 6.449402480348908, -73.76315933480873, 61.50457502989502, -65.20451145788047, -190.19019839919292, -84.48146401355007, 307.1807312406718, -106.15781968739157, -207.21443684354972];-3.2550846523128443;0.017009521532236508;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;True
1990-01_2015-02;2015-03_2016-02;AP;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;119.48931396735452;0.0368174990224573;72.72727272727273;-0.5931499817101649;1413.4413099557817;0.7610398661384729;2693.703177978596;2572.9868888798223;2570.0936959720466;2482.4286883388936;2494.295785263136;2553.939398027186;2551.5984995165004;2591.14211033535;2580.4198743365005;2547.3363837463958;2530.3911494990593;2570.106357043599;[-35.907887978596136, 99.65260412017778, 3.4298550279536357, 67.18544166110632, 79.66254773686387, -8.796282027185953, -49.25791951650035, -25.582327335349873, -247.85103333650068, 214.38463025360443, -140.16288849905914, -138.00671904359888];-3.0414334224746113;0.03120205907600418;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;True
1990-01_2014-02;2014-03_2015-02;AP;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;130.39570346904455;0.039924876210581904;63.63636363636363;2.2598692481452005;2056.0827818585144;0.9603678628658109;2672.1143209049683;2487.6122828771204;2461.9573874457956;2441.190903784729;2464.8550506690185;2531.590943832949;2503.861422586946;2498.6574203057703;2494.3838327990575;2452.210157260685;2513.901110641132;2508.7081145939605;[-57.05091490496807, 86.05619512287967, 177.50819255420447, 37.38880621527096, 99.44567433098155, 65.64999816705085, -15.500915586946121, 191.76286969422972, -103.50883279905747, 296.69745173931506, 17.015556358867798, -101.11028859396038];-2.9395849201148243;0.040934666922167066;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;True
