train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3117.210144591861;0.052801538103745334;63.63636363636363;2.869084792424907;49155.43291963475;1.7255400430329397;45332.128268575994;43436.80432243591;46718.66477869862;41414.73053192843;45097.77855600315;46777.27892436104;44350.794923403;47426.741376474885;44205.055197922535;43307.972800647185;45655.58853422378;45246.024744125134;[1028.221371424006, -1628.6612024359129, -565.9292686986228, 7259.412588071573, 3988.9931839968485, 3418.666725638963, 2431.672466596996, -1113.7866664748872, 859.6404520774668, 3859.333359352815, -594.96172422378, -3022.3417741251324];-1.503799400870252;0.5316309993154934;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3500.091290045784;0.06804223177545726;54.54545454545455;0.34195949185262936;68994.6441497292;inf;43706.769508040394;43927.972263035896;47993.02317164438;42965.38941339736;44384.933417328735;45695.086699299274;46157.93845892609;45743.6263799442;43715.5757916518;44005.81289954479;45894.87815431301;45985.12958005456;[3243.4116519596064, -2100.874433035897, -2916.519551644378, 3424.3859466026406, 2786.5629626712616, 4317.214020700725, 687.2535710739103, -978.474209944201, -654.6573116517975, 4686.6544904552065, -3740.3075043130084, -6901.127770054562];-1.5329682939497578;0.5171439609021158;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4114.601441453065;0.07991348520010548;54.54545454545455;-4.281019752444665;81129.16578500427;2.4158574379396436;48073.417259581205;45049.52231227929;50194.87678559593;44761.855847698105;44981.05558650843;49627.16098668244;48265.94921808454;49302.02953787358;47368.09807473585;44061.07355335326;48106.95209129381;47226.885607102166;[24.088170418792288, -634.8357222792911, -5329.007215595928, 3225.091612301898, 4595.90274349157, -1570.3348966824342, -2792.5542880845387, -5329.185337873583, -4428.648794735847, 1730.6420266467394, -6525.549921293808, -6243.2769071021685];-1.1887186402346819;0.6784297436172557;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3170.041975868245;0.060270325173573586;63.63636363636363;2.1274593611001666;49998.89622416521;1.2283248204993225;45720.46385626264;46300.29033875777;48648.81864968;44515.51688033468;46577.29397650945;47043.84571157339;44919.34492744871;47730.95779266199;46650.715010855536;47015.214622535896;46133.90872688878;46343.50244170291;[2311.0542637373583, -1164.6073687577664, -2601.9472696800003, 4135.580949665316, 5615.387183490551, 2763.2339984266073, 3851.758332551297, 1638.3990873380098, -1929.2784208555386, 3003.589727464103, -1100.821766888781, -4401.777801702912];-1.2827683869654498;0.6370184652239844;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2257.320015043297;0.039550850487366514;45.45454545454545;1.7184862763236874;53354.95153296346;0.8000937202865086;45471.69396246564;43926.607060698996;47646.627849442;43973.30634230404;47082.71238975629;47631.61857294102;48433.791801873056;45440.397173356294;45474.724732859;46462.38425003704;46559.40032430964;43981.1884108445;[-504.6740324656348, 2023.5958393010005, 726.522510558003, 1294.6066976959628, 3870.405360243705, 1825.0698370589816, -381.83166187305324, 4194.198836643707, 253.702807140995, 1797.637489962959, -3181.1503243096377, -2264.6956608445034];-1.1742610602661105;0.684568815813673;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3032.0308998779437;0.04402682042820025;45.45454545454545;-3.193203086332599;71672.00077906117;0.7577240344583099;49769.63559837698;46855.141869486564;48606.60975398631;43840.250714341295;47965.69407291421;49892.34503429645;47792.10554458192;48670.595864389375;46822.775227643324;45982.324072079275;48941.31025506863;48274.75272851885;[-2647.82218837698, 351.2983505134325, -8150.481133986308, 414.19856065871136, 87.07585708579427, 762.3361257035504, 23.838295418077905, -1222.8060043893784, -247.2408076433203, 1040.934987920722, -3852.7595350686315, -4302.240048518848];-0.9193702746677769;0.7815266004683945;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3873.1306599234144;0.07086362280333075;54.54545454545455;3.742192457516992;76352.73082330776;1.1815942702499647;45491.81320886384;46304.13195720535;48047.55563023394;43228.36616664429;46473.74802333935;47968.15660490437;45634.05028700367;47884.54026837278;45918.92399151123;44844.43322935099;46870.10969180934;46558.107595661524;[4737.001211136165, -3450.3330472053494, 628.1255297660609, 5715.505303355705, 4567.915016660649, 5360.214485095632, 4905.637312996325, 526.9551816272215, 1034.569768488771, 3864.4151706490156, -1971.4901218093364, -4333.203605661525];-1.0908279678870874;0.7187157109522535;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3429.301123653162;0.06396260636276689;45.45454545454545;0.21288766222481778;81092.72415039797;1.8742357186409266;44458.24801273325;46757.32076843997;50288.39245725895;44651.16724783745;44806.53672564885;47932.97311413977;47135.777326502415;48287.29763101586;45729.18534877378;44658.54736695185;48470.69987686595;46522.100602529405;[2570.797277266749, -605.7084484399675, -4289.30731725895, 2793.6298521625504, 3053.013994351146, 3669.682685860229, 568.0378934975815, -1570.3592210158604, 637.4070412262154, 4981.001543048151, -4666.663646865949, -5947.461112529403];-1.4614751384112639;0.5524757384494624;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;PE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3511.0177373322526;0.06604992509600179;63.63636363636363;-2.763606681553966;55385.648611621575;1.5863956506371537;48145.97511897073;47871.7327670259;49563.59712771032;45501.68127629168;47028.48760080693;51573.80574255583;46804.461902592564;49783.66615768866;49079.53610340269;47133.000351296825;48806.1839990053;48635.24324157542;[-6.676208970733569, -2509.207407025897, -3914.4322677103264, 2524.26437370832, 4568.776889193068, -1897.305742555829, 1232.9891874074383, -1528.3074576886647, -5128.054223402687, 2098.4797187031727, -5566.546319005298, -5469.882731575424];-1.1321752013446702;0.7020717818900641;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;PE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3472.8973866518395;0.05767001824858197;45.45454545454545;3.620570514315389;82114.01481800676;0.7949448315582273;48265.338631160244;45769.55667005601;48658.44069946156;44017.72507255956;45263.43811567422;49748.95257440101;46275.93210127541;46596.78302030701;47137.65698769833;45927.05173054724;47763.3923488977;46854.73617545046;[-1894.3947911602445, 1137.0791999439898, 1330.1317605384465, 2163.003187440445, 6942.442314325781, 2235.4133655989936, 5150.499058724592, 3879.291259692989, -83.79828769832966, 4794.165659452759, -626.5010488976986, -3904.8702354504567];-1.0441420679736504;0.7368261287187028;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
