train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;822.8298176619145;0.05711349388368594;45.45454545454545;3.002852538482639;19456.012572849468;0.7852125188706539;13092.037556256411;11334.10379198986;11850.654699758785;10574.926173089554;11215.472585793681;11523.333623820594;10785.415962024757;11652.508635217764;12228.272605957052;11465.380059639943;11706.242907210706;11872.570677413083;[336.6128037435883, 587.3672180101385, 298.7021802412146, 1728.731436910446, 759.242994206319, 1151.2569561794062, 793.4572279752429, 367.92071478223625, -704.2146359570525, 210.43153036005606, -42.375157210706675, -1174.6340874130838];-0.6982729134309805;0.8471963851793411;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;SE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1570.5084441574352;0.10905545090871042;63.63636363636363;11.341961535339399;24804.975066981602;inf;10197.756433804863;9980.769497038142;10807.905694930461;9827.457638572778;9987.857636668447;10634.035820565985;10347.050396939036;10386.08286240603;10171.025438541836;10136.810311226447;10649.419464084418;10531.132897412457;[950.328706195136, 178.7631129618585, 101.04539506953915, 1274.5278714272226, 1546.9322233315543, 2285.7449794340155, 1934.706853060965, 1839.4678575939688, 1740.0977514581646, 2945.8690387735533, 677.7671259155813, 344.14246258754247];-1.4034360524067309;0.5806277277031439;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;SE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;950.6168313900699;0.07836463722010485;45.45454545454545;-3.980356228825338;22486.60783405628;0.5971084790794778;10495.374638776992;10431.089595064377;11576.12484993531;10173.496694794001;10283.558682961913;11081.772294794479;10295.597250893044;11367.391011289925;10869.076877364485;10237.633544111599;11128.425530087718;11029.38764613315;[377.2394912230084, -45.892135064377726, -1227.1121699353098, 413.729755205999, 969.5898670380866, -519.6635947944778, 54.56578910695498, -1146.1247112899255, -1083.7435443644845, 462.23964588840136, -1511.7280660877168, -1680.0162691331498];-1.159366963778084;0.6908263795043174;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;SE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;891.2690793376174;0.07278055774877133;54.54545454545455;4.615152686576584;17571.831309531764;0.7846676052834574;9897.179547108452;10061.897088069201;10965.941737553647;9794.009325619742;10411.336805536614;10402.03740178239;10036.768378816347;10420.634391490828;10562.499105578903;10279.859782316018;10193.73637333634;10224.932406672582;[878.5034228915483, 526.5521919307994, -218.70079755364713, 1595.1899543802592, 1346.7084844633864, 1057.6564382176093, 835.733431183653, 783.5757485091708, -583.3016415789025, 721.2018076839813, -98.76898333634017, -880.9142906725829];-1.4847798933917968;0.541026623755488;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;SE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;548.6860518573901;0.042748563419628044;45.45454545454545;-1.8487183861930496;12970.513300212127;0.3365108784303965;9946.659237280492;9685.622416392114;10998.201345600979;10088.645186954294;11035.672208062444;11113.780903417108;10604.88328361098;10517.380512754382;10581.678190306231;10479.789144899509;10999.526285640222;10296.083315275297;[-219.67554128049233, 252.35222160788544, -805.8734456009788, -106.09627395429379, 305.9835919375564, 144.67923658289146, -142.06444361097965, 582.4202072456173, -385.60573030623164, 162.72353510049106, -1148.410343640222, -933.8514312752959];-1.0611721011900639;0.7303051522695578;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;SE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1027.914351197846;0.07768651877518083;54.54545454545455;0.05802791849435279;20267.924166097207;0.6510405759512937;9788.463181546807;10873.620070438872;10808.078280521617;9675.247879927654;10853.581408553871;11209.586635711872;10415.584737526715;11082.553397172465;10096.465982778578;10621.849244701756;11154.839992914158;11025.007132073553;[-92.08818154680739, 327.52122956112726, -1760.772121521617, 1846.398860072346, 762.8189514461283, -54.986995711871714, 597.2649024732855, 57.741892827534684, 1290.1771372214225, -375.24236470175674, -1020.9885429141577, -1503.7553200735529];-1.1864507495324164;0.679396931796529;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;SE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;987.0037456888507;0.08084878715259337;45.45454545454545;-0.30587854879871423;23348.380876286326;0.8970409375174082;10281.587937468239;10948.315932546231;11196.859033808718;10013.648087608999;10918.6287356771;10988.685240710176;10527.247909193931;11101.568601022944;10589.673886198381;10624.128241656425;10970.130808992066;10727.793899774988;[783.1509425317618, -1104.9825995462306, -245.83004380871716, 1229.707072391, 478.5016943228984, 854.1271792898242, 1547.966800806069, -441.46957102294436, -55.21587619838101, -541.2984916564237, -1102.9985629920666, -1794.6978857749873];-1.0049483528630936;0.75145522713959;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;SE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;658.791864704025;0.05033941756399402;45.45454545454545;0.6494454901478234;15575.471518699629;0.6047394334052663;10278.150750951121;10494.600563765263;11128.279387739018;10355.977290049634;10426.651706648548;10994.14424865141;10843.039294912303;10869.966259467112;10694.230665823845;10525.031823459529;11024.078319007705;10761.137458929392;[358.7188190488796, -134.02085376526338, -418.7069277390183, 501.1096699503669, 1068.5892333514512, 899.0822013485904, 290.78860508769685, -170.9082894671119, 66.55375417615505, 453.29426654047165, -715.1851990077048, -1360.0070239293927];-0.906821431951186;0.7857177224280767;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;SE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1185.6816579001284;0.09102141817696031;36.36363636363637;-8.650388570244244;32721.117435018594;0.9807317763007961;11885.08720783279;11397.389527799625;11870.992584081696;10907.306238494139;11525.633985878869;12255.2849671757;11028.011598831457;11729.588701885134;11975.395018457823;11362.814548728522;11861.317143095295;11958.797240057555;[-1157.8100378327908, -977.1703277996257, -1630.1103340816953, -58.070728494138166, 89.82434412113071, -828.0114171756995, -109.69094883145772, -655.7825418851335, -1882.6794384578225, -120.12795872852257, -1830.7863430952948, -1966.628762057555];-0.08044093169913867;0.9513521797253817;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;SE;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1588.3934443522976;0.11372196193929447;36.36363636363637;10.21693690065769;43850.09425712469;1.894877751958508;10733.895791916684;10331.368181508129;10740.452740146982;9668.948946602362;10226.741126178318;11261.70013908247;10234.605671573832;10398.4525842478;10600.710002264821;10453.724528775107;10663.405915196794;10813.371522690835;[272.4610880833152, 828.0267484918713, 1230.8099398530176, 1810.942353397637, 2775.469013821681, 1368.3940609175297, 2492.091788426167, 2314.998505752201, 1165.1450677351786, 1058.5798212248937, 80.61401480320637, -1044.7646386908345];-0.431195158074196;0.9047585703425165;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
