train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4287.98969872745;0.0916093295464933;63.63636363636363;7.876619783070043;67689.86592173499;1.2139024802715943;35484.37875943569;36622.069522368285;37181.342702930895;36246.4120879317;35863.278894737465;38722.35737578996;36348.47362004066;37099.945959037206;39357.67927777234;35870.49474497695;37888.186946184316;36368.44378539122;[5894.34124056431, -3606.852522368288, 712.5802970691075, 82.54791206830123, 1546.1211052625367, 5900.822624210043, 4757.987379959341, 5887.494040962796, 3245.8707222276644, 6562.695255023049, 3933.4230538156844, 2964.346214608784];-1.0620133732564427;0.7299804646902435;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3751.8624669016804;0.08649066191030548;72.72727272727273;3.2507459459541783;44448.91914273504;inf;33849.51079051894;36506.26597678359;37042.90987173068;34631.16488440846;36436.839201847746;36521.38616750403;35232.648597831445;36548.524346415055;36292.186955155354;35443.09954272768;36925.8816159948;35147.58032674721;[1656.678209481055, -3915.285976783587, -2771.4698717306746, -3306.254884408463, -1856.8392018477462, 3184.1038324959663, 3983.2114021685557, 4943.585653584945, 4310.963044844648, 7619.9404572723215, 1175.5293840052036, -556.8703267472083];-1.1682618192086258;0.6870975488053879;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3592.7844544957998;0.08149644933437243;36.36363636363637;4.13496352490774;99129.47804140068;1.6904542343355964;30079.192556099817;34224.70713186246;37526.36549800332;33719.978951774654;34762.75189580631;36236.388307596244;31870.928016012054;35788.773494430294;36974.51447818508;35191.67530375007;36331.30547544997;32966.370175749005;[5163.607443900186, -1713.2871318624602, -5249.275498003317, -141.4369517746527, 2439.6081041936923, 1502.8016924037584, 6062.551983987949, 4062.3205055697035, 2360.0255218149177, 5222.5846962499345, -1845.9654754499716, 65.7598242509921];-1.1595589525777412;0.6907461546031647;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5627.519625420114;0.1450518414875135;45.45454545454545;-5.6319456014671605;133272.56708796107;1.4868870160382937;35472.732309174135;36207.167634074016;37381.1617757469;34990.13699413105;37029.91569734347;36902.881755617826;35993.88958009737;36764.07148537961;37482.132403677344;37175.584973509736;36352.82207824709;35514.63502309299;[-4392.962309174134, -12105.747634074018, -10642.741775746901, -5387.126994131049, -1530.1786973434719, 771.8682443821745, 3445.4294199026335, 5599.77851462039, 347.5175963226575, 3295.385026490265, 994.1779217529111, -3709.0350230929907];-0.9923613261249488;0.7560401260148867;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2471.1560935077637;0.05173385724953599;72.72727272727273;1.7392003447204576;29238.931351550094;1.385252389146592;33512.34230613407;35446.77477364864;36220.120432849704;33519.98522061762;37399.34275301507;38386.08620654275;36818.41991211984;35401.48704553077;34902.86922804151;35604.098941551885;37475.67069588607;35474.96442646277;[1181.7076938659302, -868.2647736486397, -586.8004328497045, -2064.580220617623, -1768.493753015071, -1203.3962065427477, 116.14008788015781, 5113.988954469234, 4069.8107719584877, 4095.121058448116, 844.932304113936, -1316.3644264627728];-1.025816251869987;0.7437323616498882;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4412.326406669776;0.09645554553718887;45.45454545454545;-3.6729439821508176;104400.74980624327;0.9258397682164766;34223.840862823985;38324.98119587375;38405.56538608403;34515.719640497446;38202.78569706422;39055.96810527783;37349.88217998178;38076.63833471616;36667.85745328206;37526.05378198315;37974.519574655955;38042.87771600629;[1940.8811371760166, -5832.859195873749, -11652.525386084031, 5474.830359502557, -371.98569706421404, 2134.381894722166, -2076.640179981783, 380.2716652838426, 960.2345467179402, -2079.7087819831504, -907.0795746559525, -3854.617716006287];-0.9605759824194257;0.7673704684862729;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2885.625982753544;0.062366555548578784;36.36363636363637;-2.6913335592013405;79594.09110045154;0.9518125758313025;35937.190560970725;39699.76594902581;39610.33661691101;36456.19731544326;39372.136073173795;38819.6633712662;38038.47128929893;39753.79277515481;39344.370531015884;38047.52904235478;39419.271516804794;38458.80172431708;[3536.5884790292766, -5296.732889025807, -1588.3975769110111, 247.56671455673495, -3602.5040331737982, 1595.4786687337983, 1361.4587507010729, -984.161735154812, -846.5116910158831, 673.862797645219, -1256.6065168047935, -5973.227724317083];-0.687300977415581;0.8500115073864231;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2637.7646108188355;0.06132215923433806;54.54545454545455;-2.404551622223431;51988.77466608756;1.024671045789687;37685.139190499925;39690.006577669985;40354.30627205525;39278.12228040296;39492.83914098349;39848.402291403334;39687.57396015917;40439.0275952767;39729.30585463377;39075.28194874516;40580.015353959636;39602.44903527813;[1037.8508095000725, -3250.874577669987, -2996.296272055246, -2296.412280402961, -1589.4181409834855, 1923.857708596668, 1262.066039840829, -658.9575952766972, 1102.991145366228, 2960.0080512548375, -3361.5103139596395, -5297.593995278126];-0.5885643381449587;0.8735451372521519;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3393.0432183764774;0.07406241390963052;45.45454545454545;-6.846350036150271;80250.42650371176;0.9234243485511674;42143.11102025434;41292.22432126095;42924.01277781838;41684.198870716646;41098.38101818882;43405.5436020103;41707.19246110858;42268.183036063085;43353.57055827648;42650.37568667325;42469.74726010605;42280.879214907705;[-68.09252025434398, -2523.0143212609473, -5010.54277781838, -3805.4388707166436, -1203.7437681888186, -4321.085902010302, -775.7636011085779, 811.0786839369175, -3130.9597682764797, -1779.3592166732487, -4789.357260106051, -5908.329214907702];0.7299488847972375;0.9904169861648531;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3036.8974715830177;0.057901089268827276;45.45454545454545;3.123342547674653;71805.60907204142;0.5087935625560732;40688.45212385425;39532.41578763027;40737.49358970149;40524.03121113291;39903.84585266142;41729.365452917606;40892.32439501022;39901.292019364315;41469.65837859591;40537.022766283975;41302.56798376297;40615.2218479928;[-1742.692123854249, 369.15421236972907, 506.6464102985119, -3149.9512111329095, 2158.334147338581, 1540.1845470823973, 3680.3156049897807, 7012.508980635685, 798.2916214040888, 3505.3772337160262, 3179.5375862370274, -2129.7518479927967];0.7268578649319151;0.990358902274048;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
