train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RJ;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;24405.234165061684;0.24147653624364826;72.72727272727273;28.239116071994825;290766.8049975116;0.9159831540986528;45597.35605415533;43182.44475956028;46579.582585600365;47599.659307370195;46259.54434020644;48078.714247216616;47353.566348037544;51302.51135995039;49870.28521096295;53693.30753131053;47538.19301594755;44383.31218556921;[3701.6009458446715, 3953.2192404397138, 2358.792414399635, 2731.2866926298084, 4255.486659793562, 12473.172752783386, 21960.787651962462, 19653.890640049613, 27979.659789037054, 40488.39846868948, 41836.00898405245, 43478.35781443079];-2.707847212185058;0.07269017456426903;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;False
1990-01_2022-02;2022-03_2023-02;RJ;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5487.705520573751;0.08854759133604904;54.54545454545455;-0.48324012690133056;108223.34437169695;inf;41104.447409333814;42533.03070714731;44192.65499723561;46119.188058355096;47823.577305761995;48598.2656310052;49748.18575378939;52553.50634886548;48565.29701527194;54791.63552736118;48363.17249988443;44253.41197475439;[13912.137590666185, 6434.518292852692, 774.3070027643917, -2008.878058355098, 1971.1756942380016, -3476.042631005199, -2148.0167537893867, -3429.136348865475, -4744.248015271944, -6291.63252736118, -5058.738499884428, 1329.8420252456126];-2.671188269625354;0.07915802437347097;10;374;-3.4479562840494475;-2.869299109917524;-2.57090345105665;False
1990-01_2021-02;2021-03_2022-02;RJ;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5252.655073382602;0.07947809429105387;81.81818181818181;-1.177915372283779;41535.32989693782;1.7795684631489201;40204.05021286991;42694.94273798302;46647.4866605645;45445.22591848582;49006.81104397859;47521.325095069275;47776.877066343295;52202.140057548;48028.085801273555;55234.42569702433;49028.99920614577;42881.73075188372;[12164.944787130094, 3353.3412620169765, 1549.7013394355017, -3393.4859184858215, 1321.4159560214102, -1164.6350950692722, -616.670066343293, -1008.7390575480022, -2191.454801273554, -6446.595697024328, -10346.125206145764, 181.09424811627832];-2.6142506859627503;0.09008756444191562;10;362;-3.448544133483233;-2.8695574079525565;-2.5710411593052713;False
1990-01_2020-02;2020-03_2021-02;RJ;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19766.56028825163;0.4550816914056596;81.81818181818181;-38.968953452608766;159520.00839102533;1.9121400063921226;63303.10831788826;62935.57123057927;61311.14646407078;61356.22327027095;63577.405431342995;64873.01945073535;64595.967048087776;67698.58086576153;64536.14005569487;71454.01348096988;66635.09476198105;60093.16416229869;[-25026.05131788826, -34385.172230579265, -29710.281464070777, -24164.89527027095, -18037.809431342997, -16760.290450735352, -12680.789048087776, -8830.031865761528, -14025.907055694872, -13470.92648096988, -9990.893761981046, -9500.784162298696];-3.227922072322498;0.018424272060848415;9;351;-3.44911857009962;-2.8698097654570507;-2.5711757061225153;True
1990-01_2019-02;2019-03_2020-02;RJ;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10907.988995946342;0.1318467163040957;72.72727272727273;-0.5057064496146807;129441.52072106561;0.47580692380641343;85715.33795833991;74722.88704320461;60305.91821690279;59367.484134090075;60599.331537520324;59270.285814635645;57917.38350257991;61324.18807672627;63461.140308120914;71413.8407161055;66019.73030154352;57569.26323537601;[-28208.435958339905, -14805.470043204608, 8488.480783097213, 7145.602865909925, 11410.63146247968, 6078.267185364355, 4842.694497420089, 7833.643923273725, 253.20269187908707, 1442.0792838945054, -3726.5133015435204, -4667.207235376016];-3.095092936381825;0.026918470880694843;9;339;-3.4497880749874628;-2.870103829170425;-2.571332495975496;True
1990-01_2018-02;2018-03_2019-02;RJ;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;28239.350733674048;0.3318814790700615;72.72727272727273;36.63349351897154;337553.0078192808;1.1804318526890016;42249.17615944081;41159.51752856598;39705.07007953098;41339.47255803469;43126.45369310679;43002.971851492315;41021.49708403511;43172.80725846773;41683.38335732939;46942.55244294666;41458.31757821349;36478.83437720289;[6773.2598405591925, 3667.3734714340244, 5413.303920469021, 10682.45244196531, 14320.18330689321, 28132.800148507682, 34111.51691596489, 41007.89474153228, 37511.674642670616, 47749.12555705334, 32455.0144217865, 28010.49862279711];-3.254926717230034;0.017017464299281162;9;327;-3.45050711373316;-2.8704195794076743;-2.571500856923753;True
1990-01_2017-02;2017-03_2018-02;RJ;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6594.129172846992;0.13172340734704927;81.81818181818181;9.676889832429353;52292.45583959355;0.7278677472478124;29617.480889359325;31903.262230013435;35538.9932830319;37421.21947937648;38916.22098171554;40759.153919203585;39885.63278311831;43711.82686180879;40270.5036372881;44644.38785410434;39394.73277655049;34577.148569336925;[4281.531110640677, 669.8967699865643, -2666.2712830318997, -3965.7734793764757, -3908.220981715538, 4407.846080796415, 6882.34021688169, 4992.992138191214, 7518.794362711902, 11102.75914589566, 10563.342223449508, 9043.574430663073];-3.107124902821051;0.026030387305480684;9;315;-3.451281394993741;-2.8707595072926293;-2.571682118921643;True
1990-01_2016-02;2016-03_2017-02;RJ;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15854.5389736827;0.407708753132528;63.63636363636363;-38.9347977657873;252449.67446698583;1.6581874291704826;46745.75140303773;48629.44343465511;52759.53598742257;53440.34937255915;51349.4050788989;52360.09669949059;53689.22977942006;57416.784234080864;54921.448670070415;59645.52169241518;54413.050297452755;51369.00365430067;[-6551.2494030377275, -9183.443434655113, -12102.542987422567, -14239.79537255915, -10055.378078898895, -10470.44869949059, -11067.183779420055, -18268.114234080866, -21965.925670070414, -20530.77669241518, -22623.565297452755, -21380.15865430067];-3.0984205409377807;0.026670296546624596;9;303;-3.4521175397304784;-2.8711265007266666;-2.571877823851692;True
1990-01_2015-02;2015-03_2016-02;RJ;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7875.964291230622;0.12077522772863247;81.81818181818181;9.08994303085139;62419.9795758601;0.8930886394794495;51394.227254874604;48202.451674324635;46278.81350824088;46411.70247920249;47985.850197882035;50129.253913993125;48074.192351082005;49669.26596748587;49355.06437746338;54708.874748295464;49845.551355648255;45177.332426538174;[4655.018745125395, 8485.242325675368, 5982.092491759126, 6228.405520797511, 8154.2038021179615, 7423.706086006874, 10454.778648917993, 16867.908032514126, 1197.296622536618, 5.129251704536728, -6266.551355648255, -4470.836426538175];-3.0477388387891042;0.030670357940581847;9;291;-3.4530232710482367;-2.871523926671883;-2.5720897694878424;True
1990-01_2014-02;2014-03_2015-02;RJ;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5450.155292831199;0.09459238520612667;63.63636363636363;-7.760902155359113;86042.41597772144;1.3927096018794298;60339.677970308825;54862.10693053675;52942.33090630301;51841.34016424686;49790.31568640295;50679.80586862845;47306.14555623079;49644.04933966896;51486.845430198315;55858.92903934343;51260.28304574123;47105.91631239508;[-11294.655970308828, -6515.692930536752, -5239.687906303014, -7982.1731642468585, -4338.991686402951, -5447.5288686284475, -1020.1105562307857, -1041.9733396689626, -5888.958430198312, -392.4290393434276, 2695.9699542587696, 1589.5116876049215];-2.962018212040971;0.0385969019394399;9;279;-3.4540076534999957;-2.8719557347997178;-2.5723200648758366;True
