train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;410.65710406037465;0.02128541979227418;90.9090909090909;-0.6117733413532227;1620.411868201049;0.46455048682205446;14503.330934879072;14380.927381192752;14969.026334712527;15096.24663067572;15089.607403823993;15271.871576442156;14171.515690705268;14363.50125347325;14192.815648973346;14828.261120258165;13347.936186767189;13398.729413381463;[265.368345120929, -218.49984119275177, 103.04794528747334, 470.65372932428, 43.33281617600733, 302.9979935578449, 38.567639294731634, -786.8671934732502, -906.0928189733459, -362.2267002581648, -61.33292676718884, 55.386526618536664];-1.8067527111517796;0.37711435117588743;9;387;-3.447360865754795;-2.8690374364690445;-2.5707639493486636;False
1990-01_2022-02;2022-03_2023-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;503.22010171047816;0.028195332265108657;81.81818181818181;-1.6188510525139241;3968.1965975238463;inf;14592.265283585042;14543.540802842377;14547.391276757802;14950.681809783306;15121.870577161526;15313.643670601326;14489.11842860945;14615.91314633369;14320.822516337865;15128.541252796289;13423.457977604681;13655.318662967773;[169.08978641495742, -1072.2147128423767, -232.1503367578025, -178.71079978330636, -682.3107971615264, 86.637129398674, -75.84125860945096, -56.2011863336902, 246.7825536621349, 441.19425720371146, -803.0032676046812, -626.3911229677724];-1.7057688337532202;0.4281426780910025;9;375;-3.447909006729481;-2.8692783343881483;-2.5708923751111112;False
1990-01_2021-02;2021-03_2022-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;428.1953815735422;0.026323160206037605;72.72727272727273;-1.1360421476089382;5061.938066428358;0.7299373559685373;14742.6436846258;14409.867069085698;14938.532774596735;15540.182008445852;15397.772343998105;15469.696983769516;14882.280607604762;14728.470864149107;14255.913561395844;15231.683794482746;13465.611024308299;13400.433194528867;[610.9939953741996, -237.1877190856976, -253.96031459673577, -491.80700844585226, 53.88888600189421, 29.237796230483582, -687.5342276047613, -279.20999414910693, -469.158131395845, -373.7924944827464, -463.00232430829783, 579.3548454711326];-1.6830488542939366;0.4398666972801599;9;363;-3.448493650810824;-2.8695352280356556;-2.5710293341377715;False
1990-01_2020-02;2020-03_2021-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;826.6091523235322;0.04730642953976307;45.45454545454545;-1.348978422212677;19541.62777415327;0.8699319809806824;14856.761465753203;14880.131191466502;15135.6485649183;15090.235379847309;15188.399093927546;15421.122675133593;14926.663416038435;14851.39100177351;14612.162102351536;15276.963319479739;13648.546340335239;13818.945003066576;[1154.5718642467964, 1007.3615585334974, -1672.3732049183, 235.46933015269133, 501.5157660724544, -62.63173513359288, -989.2123260384342, -583.9399117735102, -787.156672351537, -205.5774494797388, -95.38692033523876, -867.961303066575];-1.5054084630929778;0.530834173062593;9;351;-3.44911857009962;-2.8698097654570507;-2.5711757061225153;False
1990-01_2019-02;2019-03_2020-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;503.9245802269538;0.030946150170498368;63.63636363636363;-1.6216380759671813;7941.994231725641;0.7319985538894186;15393.529819390627;15132.283272564058;14942.508259111673;15502.547772351989;15547.91952288342;15347.742621487716;14709.442505066017;15004.41906163245;14455.589921241148;15724.089222444229;14192.7535861103;14150.058535297334;[-809.919309390627, -211.46805256405787, 729.431960888327, -737.0568323519892, 309.68011711658073, 256.61607851228473, -666.7396050660172, -464.3955116324505, -199.46492124114775, -346.92255244422813, -466.77894611030024, -266.99331529733354];-1.4130789144234044;0.5759901100499829;9;339;-3.4497880749874628;-2.870103829170425;-2.571332495975496;False
1990-01_2018-02;2018-03_2019-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;974.3936867987885;0.04099898374215195;36.36363636363637;0.24629649929833303;26868.190969391744;0.7283892025319849;14956.8362923917;14815.310921064716;15196.711361029935;15115.099634065627;15363.023912658264;15463.624283565478;14761.032582088199;15006.04181265274;14597.33431886176;15269.312215937802;13801.013619522953;13817.354086822086;[-75.09535239169963, 720.527848935284, -2078.2711410299344, 2400.7626859343727, -402.5873226582644, 219.0224564345226, 86.42937791180157, -432.47116265274053, 504.43923113823985, -256.7343159378015, -246.42303952295333, 0.2926531779139623];-1.4309197444961168;0.5673663570376355;9;327;-3.45050711373316;-2.8704195794076743;-2.571500856923753;False
1990-01_2017-02;2017-03_2018-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;539.3671584279989;0.028532851338837456;36.36363636363637;1.3386954401216515;14869.903016278531;0.5147919877428437;14843.313132078363;14597.529713388205;14781.087976234781;14862.913605439564;15286.717462697448;15384.89742720948;14627.31994147003;14748.250600277921;14408.698577577217;15108.776451814872;13630.857132972558;13614.345185320197;[856.5207079216361, 817.7667366117948, 349.671083765219, 178.1280745604363, 381.9093473025514, 43.9533127905197, 900.4031985299698, -892.5084602779207, -324.3918975772176, -156.2232218148729, 8.15011702744232, 223.2653246798036];-1.3347271844101776;0.6131386848293078;9;315;-3.451281394993741;-2.8707595072926293;-2.571682118921643;False
1990-01_2016-02;2016-03_2017-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;330.20725314983207;0.015131296213820066;63.63636363636363;-0.11591493327610643;5201.817601882294;0.4492074016056173;14624.55113703039;14302.856166411219;14736.74444296276;14922.297174048965;15336.514288912469;15433.465024202686;14736.025208998199;14924.705770417897;14533.939961762148;15209.763341635173;13752.406047335031;13613.971673933564;[-174.9406270303898, 139.88658358878092, -3.5016929627599893, 329.8332559510345, -142.89834891246937, 350.1780957973151, -9.445498998198673, -920.4829404178963, -65.09032176214714, 373.1352083648271, -118.81546733503092, 38.22035606643658];-1.3934815654881063;0.5853971175662216;9;303;-3.4521175397304784;-2.8711265007266666;-2.571877823851692;False
1990-01_2015-02;2015-03_2016-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;608.6673629733058;0.032866956357283185;63.63636363636363;-2.083026183746436;9593.20539088663;0.8320169383649374;14999.384088619849;14439.506073462479;15168.715172261305;15408.258739212533;15413.213292298737;15542.34008442938;14930.258218248237;15039.588904722827;14837.858967065878;15584.923048863535;14145.08860113135;14131.995343493094;[15.931131380151783, 393.93233653752213, -372.5992322613056, 70.5691607874669, 446.107357701263, -53.517624429379794, -443.4556782482359, -643.3370947228268, -1390.605347065879, -19.79804886353486, -895.0831711313513, -773.7598334930935];-1.4056357733609648;0.5795712954344308;9;291;-3.4530232710482367;-2.871523926671883;-2.5720897694878424;False
1990-01_2014-02;2014-03_2015-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;577.8465567067692;0.0322565231550968;81.81818181818181;-0.5092354147920198;4557.686813276101;0.6778112375992023;15652.99025143285;15121.98388334851;15549.60257055512;15225.03675102243;15242.499851488488;15229.155983841858;14782.58944029451;14840.753859094353;14640.277201258483;15453.249075237904;14078.129293738417;14066.48517560774;[-718.5083714328503, 314.85669665149, 627.1329394448803, 347.14802897757, 1054.2755085115114, 45.6610461581422, -375.00792029451077, -29.66327909435313, -453.6830012584833, -42.372265237903775, -869.8376237384164, -811.3873456077399];-0.7549339972305756;0.8320029060812344;9;279;-3.4540076534999957;-2.8719557347997178;-2.5723200648758366;False
