train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6198.9307988313285;0.05186205801127591;45.45454545454545;-2.245721558166728;146552.20337099078;1.247267006224362;110646.5253209895;107098.3360716284;105669.17648123454;110995.36281491531;109362.46202339021;108045.90780822908;109916.4465664802;110356.47783503872;112267.59539729312;106350.75597707293;99016.17185819209;100998.1030667359;[9350.474679010498, -9471.936071628399, 1392.6235187654675, -4346.662814915311, -2210.0620233902155, 2899.692191770926, 721.5534335198026, 3273.0221649612795, -5324.995397293111, -10482.655977072922, -7431.47185819209, -6718.985066735899];1.4902736717369498;0.9974880199193018;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7918.79593498883;0.07007406343838439;63.63636363636363;1.002901136304751;124930.08212293794;inf;112118.95720449438;101111.18479315618;98442.84273708172;102934.58911496396;102796.6458234263;103238.21291329406;107961.93193496145;109017.29061445936;107784.69605966225;104508.51844891043;96184.57273682611;95392.04582059922;[-7395.357204494372, -4659.384793156176, 6693.45726291828, 3593.510885036041, 11501.810176573708, 13212.187086705933, 3817.7680650385446, 4748.009385540645, -4907.496059662255, -11519.518448910429, -8819.372736826117, 6311.454179400782];1.5825928989408826;0.9978044018465035;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7512.735212408673;0.06273300585809925;63.63636363636363;3.544884047267182;118499.96597677875;1.3179009580497434;102173.34264650113;99550.52627363447;98582.14166676962;99782.96894630603;98822.84744382354;99500.27613628995;95169.88751118294;100769.2554548145;100490.97510907445;96392.51680068804;91410.51066194025;90121.56341705576;[9980.227353498878, -662.7762736344739, 1850.3583332303824, 2761.731053693962, 13112.052556176452, 8998.223863710053, 5841.212488817066, 7077.844545185508, -884.0751090744598, -5032.116800688047, -10045.110661940256, 10103.536582944245];1.370250373548901;0.9969747132404372;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10426.045971006812;0.08361826954539331;81.81818181818181;6.511522660792821;82461.98651725496;0.8548859531037816;92324.73646374997;87722.14833594982;88562.30531720299;89286.32857934991;88929.49445454584;90583.03882086682;90583.06608509012;92161.26783073993;91192.27541484906;87556.95743811945;81954.93401171413;82414.53489381916;[-725.3664637499751, -10010.048335949818, -2135.6053172029933, 4999.31142065009, 18368.255545454158, 13086.781179133191, 13442.083914909876, 19333.102169260063, 8718.794585150943, 3754.162561880541, 706.8359882858786, 4519.095106180845];0.8942700986203901;0.9930150921135221;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7750.1079819302895;0.07925111120137063;63.63636363636363;1.9918895124102651;122299.75893072276;0.37488771664034676;95056.41932039641;78879.85158599057;82839.93887316201;86430.38704118064;86438.3934159887;84130.17791320726;83888.12847864088;85733.43850187198;88636.63345763575;85195.37609941547;80172.44297145616;76328.54390945443;[-12353.049320396414, 2959.98041400942, 3762.4811268379854, -5802.997041180643, 4288.986584011305, 10804.752086792738, 6193.031521359124, 12699.741498128016, 1194.9665423642582, -7473.666099415466, -5257.082971456155, 9585.616090545576];0.9097385186466368;0.9932161096025971;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8129.621986189936;0.0854594021212079;54.54545454545455;3.9877213482409752;160312.9542885145;0.3001602485485082;80725.9723572642;77641.885741088;78572.78637743434;76788.95424469876;82777.36991883177;81473.9131280885;79161.6208292946;83132.38166990347;81684.17402614627;77005.04933513483;74671.38043905066;71735.9287530732;[8150.397642735799, 6760.889258911993, -17472.811377434344, 11114.975755301231, 788.9090811682254, 7379.606871911499, 2886.2501707054034, 7283.138330096539, 6195.818973853733, -859.6973351348279, -2471.7004390506627, 9508.761246926806];0.45072731529513893;0.9832959971657785;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8205.955793306513;0.08497142241235707;63.63636363636363;8.801817964461291;129513.55964101617;0.2583352293687994;67523.68639716264;67295.59286575715;68839.74453021547;69967.12243597105;75120.96671349388;73639.03438949418;73993.0483603278;78683.3266097384;75461.32418562667;71344.58194161169;67056.76008536873;64119.19609184454;[18699.18815283735, 4479.009874242853, 9243.87701978453, 7158.627574028957, 5052.715116506122, 10833.107440505817, 6369.775739672201, 5230.712940261597, 8616.91046437333, 3290.727708388309, 1908.4789146312687, 1446.8149081554584];-0.1952910289891013;0.9390805914877665;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6951.5088445485135;0.08596317625779064;54.54545454545455;-6.508049158989773;137082.79568039466;0.16827648783606228;73036.65380863893;70318.64665099255;70875.50913423618;74181.75206674829;78386.02859955675;75557.80184582745;76708.08830142202;81942.16430261171;76889.10478690121;74326.27176298363;72877.2828688455;68341.22571679781;[4974.826191361062, 1836.9533490074537, 827.8408657638211, -1845.4520667482866, -7210.678599556748, -1462.1018458274484, -8486.73830142201, -11704.464302611712, -7237.304786901208, -5565.861762983623, -12961.663768845501, -5757.988436797808];0.5952498486354911;0.9874979590193739;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5550.009091104401;0.05827214606432347;63.63636363636363;-3.846242474371041;87530.93794130921;0.12630418972319;75218.37907196266;75247.94513083757;75259.58116032061;75926.72534681037;79121.42954738838;78545.8066709763;77433.81139442098;80763.00555598944;79928.32736956561;76431.71759955987;73079.32412388362;68874.4081694496;[1727.3013080373494, 1339.554869162428, -3527.8811603206123, -1292.0473468103737, -2639.419537388385, -4169.17229097629, -827.3532644209772, 3475.532664010563, -5438.624229565612, -3123.9480995598715, -16250.82412388362, -3193.5181694495986];1.318788887314142;0.9967120918378447;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5729.322306066763;0.061325263952466014;63.63636363636363;3.533209742873226;90366.5358349498;0.16327585260075478;75031.02984485352;71670.25446468194;71672.75603899264;72528.3813543237;73537.89653579191;74385.81529882495;74162.01309272676;76241.75856532065;75343.01069015;72628.53044210411;69150.48760868415;66851.4861088852;[-4289.256844853517, 1312.7955353180587, 4142.454961007359, -219.4513543237117, 7201.656464208092, 5194.294701175051, 8312.836907273246, 12361.291434679355, 2876.6393098499975, 3071.1695578958897, -2222.39146868416, -5759.936108885202];2.062634413384323;0.9987490112999206;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
