train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;38.950166941236006;0.7085053579571317;45.45454545454545;75.55108867020125;948.6428023472346;1.358026745450313;10.231802217991426;13.901175041241725;8.610280688551587;9.570548943655186;11.19014488000077;12.494533904875947;12.309469732685699;9.505125408907688;13.155311406984207;11.826305441482145;12.082483807087236;8.187974351872434;[19.648197782008573, 6.0548249587582745, 16.348719311448413, 15.377451056344814, 28.713855119999234, 47.34346609512406, 37.5205302673143, 40.43787459109231, 26.844688593015793, 58.17369455851785, 72.91751619291276, 41.812025648127566];-1.9281328432578033;0.3189444423411312;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;False
1990-01_2022-02;2022-03_2023-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17.41684720748259;0.6328168535485514;81.81818181818181;52.123012263777305;146.87677600169908;inf;3.2984140971814444;12.094204663901497;16.15923806452375;9.495140127457912;6.881734383874182;12.900094294417915;14.68021453997753;15.175517940194204;18.604389252877386;12.166144140908628;13.066178461518632;11.76925991058219;[31.506585902818557, 27.631795336098502, 16.14676193547625, 15.390859872542087, 8.036265616125817, 16.819905705582084, -9.68021453997753, 9.657482059805794, 11.119610747122614, 2.833855859091372, 26.65182153848137, 3.1497400894178114];-1.82078024343284;0.37019476894058534;1;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2021-02;2021-03_2022-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19.385240467529645;0.4464809126549028;54.54545454545455;45.17488268271039;394.0835699491738;1.3106469548582982;2.597972805946302;13.485710924850643;16.78667625837725;14.57007931763571;16.833319264454403;10.852262138234508;11.279241812365665;20.16624399133654;11.34721385584324;13.499362873465973;16.965091358366898;12.325691791293877;[57.03702719405369, 11.323289075149358, 22.94032374162275, 5.284920682364291, 7.9916807355455965, 13.934737861765491, 3.606758187634334, -10.15624399133654, 13.496786144156761, 1.4106371265340272, 2.947908641633102, 2.603308208706123];-2.038482539271599;0.269958796986702;1;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2020-02;2020-03_2021-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;28.291433101722703;1.7316742529025468;63.63636363636363;-85.9265010567469;493.9553012728009;1.5193000362835472;42.54085566165616;53.63317160668785;61.49976781677796;45.825046027023305;65.52818020696292;55.30226916483703;51.244773627652734;44.83077970118345;49.23678906910046;60.57718303516981;64.15145186879259;47.896096729592784;[2.1651443383438433, -48.68217160668785, -36.65276781677796, -32.9050460270233, -25.774180206962917, -10.57326916483703, -11.509773627652734, -20.13177970118345, -34.38678906910046, -30.87018303516981, -34.39245186879259, -13.112096729592785];-2.037225993781379;0.2704929949231933;1;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2019-02;2019-03_2020-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;24.542213419834372;0.38458705945924776;45.45454545454545;15.457867722534447;592.830017261591;0.4753389126520771;66.81549441698954;53.59239635474321;60.31943085974984;58.7719102285438;55.93649258506912;64.61406027044548;62.722785849155414;58.320434170154456;66.90470730725747;60.799576015347256;62.649835128605886;58.93264767071007;[-31.815494416989537, 6.2436036452567905, 24.299569140250156, 21.8420897714562, 1.2115074149308853, 19.99893972955452, 24.229214150844584, 36.495565829845546, 17.45229269274253, 33.39242398465274, 14.314164871394112, -34.119647670710066];-1.5509802921779163;0.5081584906775165;8;340;-3.4497304638968043;-2.8700785273763487;-2.571319005190311;False
1990-01_2018-02;2018-03_2019-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;58.922586800952836;0.7167503408546199;27.272727272727273;73.67425032676029;1896.4393694259977;1.1162056199558161;14.948088601960208;23.456848413328466;16.875703159444235;16.808698901408686;12.170938200393262;28.83906566842395;20.501144385541846;11.477069908766655;32.23628110994626;21.61988744708314;21.510623080376615;16.17201570139863;[54.876911398039795, 36.408151586671536, 72.94129684055576, 43.19130109859131, 77.73306179960673, 46.116934331576054, 74.21385561445815, 93.41093009123335, 67.65971889005374, 33.31611255291686, 38.48937691962338, 23.82798429860137];-1.5166558094305904;0.5252564489596114;8;328;-3.4504451681828194;-2.870392380216117;-2.571486353732897;False
1990-01_2017-02;2017-03_2018-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;33.69889363775508;0.7636314884702909;54.54545454545455;54.92810083578693;689.4479989468397;1.0402960952995348;-0.5681345844854366;16.785137332519806;31.304177391117392;18.31025524617701;35.655132704387476;12.961946743206632;14.318409556083072;24.744736028395756;7.836861996805368;20.247177158560802;24.002019031492082;17.056111109977724;[10.568134584485437, 3.214862667480194, -21.304177391117392, 1.689744753822989, -15.655132704387476, 27.03805325679337, 30.608590443916928, 45.041263971604245, 51.961138003194634, 49.555822841439195, 40.84998096850792, 47.77488889002228];-0.743428779460634;0.8351776209743209;8;316;-3.4512146067362317;-2.870730188960711;-2.5716664849383113;False
1990-01_2016-02;2016-03_2017-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;127.3879954266151;5.472482195609184;36.36363636363637;-352.6170746654211;3962.882972506875;5.969992353321947;102.74733696692185;128.2663909827355;195.4458215393537;132.45318770586047;105.920042340738;231.59392682229407;151.88092391910823;87.92086474757191;218.13628019224052;167.42822203496573;134.24521713036805;149.90391353287222;[-62.74733696692185, -103.26639098273549, -170.4458215393537, -112.45318770586047, -15.920042340737993, -166.59392682229407, -107.88092391910823, -67.92086474757191, -203.13628019224052, -142.42822203496573, -114.24521713036805, -139.90391353287222];-1.558118000476578;0.5045906915079477;8;304;-3.452045317832011;-2.871094805558846;-2.571860921485457;False
1990-01_2015-02;2015-03_2016-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;120.51213083472645;0.47630460638873634;81.81818181818181;55.81614327652535;977.3920351260596;0.6519126020702422;64.35936918824521;73.75854833381536;80.62713547594124;76.73334857554033;78.48911524438618;72.54404568448659;86.32725382614404;91.36334122332367;78.55806032365761;75.55432107024285;81.76426555203571;80.15366657772145;[48.64063081175479, 44.241451666184645, 128.37286452405874, 135.26665142445967, 143.5108847556138, 124.45595431551341, 188.67274617385596, 225.6366587766763, 106.44193967634239, 34.44567892975715, 8.23573444796429, -0.1536665777214523];-1.4303816025769953;0.5676272754650955;8;292;-3.4529449243622383;-2.871489553425686;-2.572071437887033;False
1990-01_2014-02;2014-03_2015-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;34.35322618567167;0.3945620947468354;45.45454545454545;-26.082879995303827;826.5729181044247;0.45282212125833426;82.26394769216117;125.38215687455599;108.1495528369925;111.89987669078415;115.85792269276014;121.49346639937721;104.95202061166782;95.86840013650607;118.11318094074787;116.09696920765852;124.25539420709953;109.37181630001288;[27.736052307838833, -56.38215687455599, -22.1495528369925, -61.899876690784154, -34.057922692760144, -32.49346639937721, -34.95202061166782, -1.868400136506068, -47.11318094074787, -14.096969207658518, -3.2553942070995276, 4.628183699987119];-1.5020538521786195;0.5324950840299606;8;280;-3.453922368485787;-2.871918329081633;-2.5723001147959184;False
