train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6647.898095519447;0.11113526888862411;45.45454545454545;9.574995605022579;157338.4133725828;1.1055553574203578;48637.98383040281;52652.225798146;46421.21688118994;43043.510033554536;47344.81271950262;48532.59068272993;44759.02664937195;45963.525176753516;48001.58172429306;46179.91537317715;50935.102239517335;46246.75387809435;[839.016169597191, -5496.125798146, 4887.183118810062, 9737.789966445467, 5844.38728049738, 5734.70931727007, 6580.973350628054, 7727.474823246484, 4292.858275706945, 11989.784626822846, 6851.897760482665, 1230.9461219056466];-1.8295375824137432;0.36589881328581275;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6222.77629106846;0.10039831849730797;27.272727272727273;6.937283364497604;196240.32004408425;inf;41447.943812626756;44803.06330522664;44281.54784670554;41816.60126042331;44986.99341663207;44386.049739395814;42526.64236595374;45499.22518673968;46270.140425631;42541.32135272183;45478.0930229892;44086.06140646645;[-1274.943812626756, -5644.563305226642, -1750.6478467055422, -1608.601260423311, 707.1065833679313, 8200.950260604186, 10296.85763404626, 6964.174813260324, 2493.2595743690035, 12449.07864727817, 5945.6339770108025, 2590.238593533555];-1.8961942327138503;0.3338535764609729;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5674.558401731709;0.10063658406471963;27.272727272727273;3.775682461292028;178952.69377269672;1.1529624859300007;38059.729327112145;46163.354177907815;43375.212943500184;39240.9172829953;50322.106693695096;41646.24766672219;39854.49226070137;45139.975121219184;41568.38417572651;38583.38030572924;44705.48863585506;43121.0400110901;[2369.803672887858, -8044.544177907817, -1288.4329435001855, 4989.032717004695, -3067.4066936950985, 5906.952333277804, 8200.207739298625, 1136.6248787808145, 2038.3158242734862, 12672.319694270758, -2787.1226358550557, -2044.3400110901057];-1.7784160123306296;0.3912289636854772;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7948.056626893457;0.16356686787319422;36.36363636363637;-8.333687651667997;219578.95245809312;1.4289540928186777;45164.53152971959;46412.279276406785;49071.40884066735;42649.99845215977;47565.552083022725;47112.05199031933;46038.85827929295;46896.689954057554;49386.890075985655;45288.326792461274;47675.65854263326;46834.37996321398;[-7503.691529719596, -14083.759276406785, -14692.938840667346, -3667.7384521597705, -7311.072083022722, -4625.881990319329, 1042.3017207070516, 4497.170045942446, -91.4500759856528, 10745.612207538725, 491.30145736673876, -7885.899963213975];-1.4878668698547177;0.5395046590770909;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2997.4066960752493;0.04424564437962016;72.72727272727273;0.9881796695850394;35455.63612214294;0.5217442185492539;45151.404323931434;46943.191717663736;46919.240300821795;43917.154958972984;47852.58655979772;45620.63695943937;45993.73644291007;46901.76421282056;46412.57025479462;44567.91986329306;47836.69694196811;46107.84900979819;[-1016.6703239314375, -992.6917176637362, -1519.0403008217982, -1432.663958972982, 2386.603440202285, 1860.2660405606293, -859.416442910071, 2288.2257871794354, 554.2297452053826, 8361.360136706942, -89.34694196811324, -4009.4590097981927];-1.3078316179557334;0.6255817656779645;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5366.363841144797;0.10415914917697011;45.45454545454545;-10.234507393102115;126991.97000599962;0.9712271898660314;51635.391771414244;52098.17330042295;52497.5154376169;47600.59127872167;52879.04664482669;49406.09172193347;49270.74540145376;51914.93093711201;50239.61614313397;49135.657032831135;53940.984121864756;51414.85997225062;[-2479.4967714142476, -6327.7263004229535, -7705.7214376168995, -2135.9412787216716, -7363.846644826692, -1888.5417219334704, -6428.021401453756, -4000.613937112008, -3931.431143133974, -179.19403283113206, -6351.060121864757, -8031.4689722506155];-0.8635954573367987;0.7997245078577284;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3076.7515708082815;0.046204488733325;54.54545454545455;-0.20641712345818722;60620.30778190841;0.48312625090726546;50853.14827406746;51507.54002499035;50136.56192261045;48008.18114400146;51869.49841287983;49873.22410346442;49775.323938961694;51647.67639206305;50406.77795287806;49505.56582398543;52787.020600148135;50052.7062593617;[-93.54827406746335, -2760.8740249903494, 1871.3880773895435, 2990.9188559985414, -393.34841287983, 2549.7298965355803, 1.616061038308544, -791.8743920630441, -858.982952878061, 5650.911176014568, -2557.891600148134, -6857.227259361702];-0.5280821880463815;0.886418972107811;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2911.422327335564;0.04145886957395438;54.54545454545455;1.5127469315935747;57356.84832787478;0.5724175605862565;50246.757354188005;49516.93538662663;49065.75866141483;48496.76346329085;49860.694836666604;48147.296252074004;48437.53066614502;49897.98170898184;48291.69122491848;48699.881378916056;50305.8140312673;48486.77976155445;[-28.265354188006313, -2658.475386626633, -104.7586614148313, -945.2634632908521, 318.52516333339736, 3395.434747925996, 4608.899333854977, -891.3317089818374, 1374.3087750815175, 6747.898621083943, 720.4659687327003, -3483.5297615544478];-0.26693419638598737;0.930058637014436;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3104.1345415953974;0.054854969892393184;72.72727272727273;-3.1639613223157568;36732.462314993936;0.6229460039277983;52484.07508178733;50202.86144527896;49801.366069661206;47995.10278741956;49895.74401776321;49381.78341768953;48626.37532104659;49645.20736577771;49045.9514083724;49418.09617367833;50885.27105554963;49216.23932971573;[-5304.808081787327, -3630.0614452789596, -3724.866069661206, -645.0527874195541, 1333.7739822367876, -1306.7834176895267, 644.047678953415, -51.20736577770731, -3655.8514083724003, 4596.303826321673, -2998.4710555496276, -3554.2393297157323];0.5359720303480563;0.9859263864227318;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6057.372014301595;0.09805821467221541;72.72727272727273;7.9847840726741826;71792.51192195974;1.4162445513925592;47468.19648139408;44847.733633206284;43496.38150066498;43205.37228652491;44673.66403113113;43588.79341502633;43133.50155015174;43721.42345134421;42842.97944653305;43734.948275175055;44765.44315144632;43467.95362666161;[-4354.6964813940795, 1709.7063667937182, 2679.565499335018, 623.6277134750926, 3213.8779688688737, 3529.101584973665, 5540.990449848257, 8201.076548655787, 4349.510553466949, 13474.540724824947, 9193.056848553679, -2260.093626661612];0.5842074066171141;0.9872198308746123;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
