train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MT;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1036.8668168634604;0.03901670863040193;72.72727272727273;-0.22765939208094207;12262.792038160585;1.280928712736285;21228.340571966834;20718.85137869833;19738.89721155581;19844.702715669922;21075.96171433801;20446.861138473418;19425.627333614328;20304.735921271407;19277.383015720607;20295.905982490192;19801.14084704438;19006.94767947445;[704.8297180331647, -2554.21188869833, 779.58104844419, 1662.8769943300795, -159.88381433800896, 44.47400152658156, -327.5838536143274, -1030.0819312714084, -33.98446572060493, -788.3606924901942, 682.9551629556227, 471.6012305255499];-2.2373418720407;0.1929726419502219;2;394;-3.4470566389664703;-2.8689037160476016;-2.570692663557422;False
1990-01_2022-02;2022-03_2023-02;MT;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1002.032396221317;0.044643414370030166;36.36363636363637;0.6814832196895385;27631.95777277153;inf;21022.861042456978;20340.67713432899;19209.021825722903;19895.33367818828;20667.6933754796;20039.930886297036;18944.271540309903;20046.036029742874;19127.21401870521;19969.97230887233;19554.015159453356;18439.68255034036;[915.3418575430223, -1836.7188043289898, 1044.9908542770972, 374.5141518117198, -1330.1553354796015, 937.0999137029648, 538.3280996900976, -1216.5686397428726, 1263.9961212947892, -84.36723887232802, 335.6279605466443, 685.8699896596409];-2.2936624678454516;0.17402009942727398;2;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2021-02;2021-03_2022-02;MT;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;934.0662663811264;0.03907340100574641;54.54545454545455;2.375468346051115;18401.234501847706;1.0213561404817184;20185.866263011947;19254.566106871174;18988.89431709353;19206.89295416361;19819.691851350017;19630.484086458182;18862.993854551765;19359.560871309677;18747.740029592416;19019.022042883884;19025.69779190772;18240.81250408046;[1717.3964169880528, 283.29440312882434, 594.3194529064676, 632.2284258363907, 847.8679286499828, 631.2496135418187, -51.606174551765434, -1516.8978313096777, 274.6730104075832, 1058.4942571161155, -277.9188019077228, 1411.7472759195407];-2.4769062713480183;0.12119486016694425;2;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2020-02;2020-03_2021-02;MT;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;768.8139323506565;0.030441736836847727;90.9090909090909;2.3091777179996997;3036.6740588580637;0.5218432457199659;19331.888322539104;18880.573976362648;18791.045886016476;18644.54221732584;19306.4593580405;18892.518456949412;18300.933355844052;19034.21112861494;18174.0457455313;18741.800222616865;18016.162740094504;17626.889409866468;[1345.595377460897, 238.04559363735098, -17.96436601647656, 1255.32553267416, 1371.9265119594966, 80.4253830505877, -249.49676584405097, -461.04808861494166, -218.96241553129948, 914.6997773831354, 703.1524799054969, 327.0055201335308];-2.492255913966929;0.11736993255175299;2;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2019-02;2019-03_2020-02;MT;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1162.395427963072;0.04915971818126047;72.72727272727273;-0.5842202757434247;13752.560159762917;0.6020306551067776;20342.026260875544;20047.2333940487;18056.47094726827;19399.72431939748;20205.796681415555;19064.634674274956;17794.978771643193;18479.790666903456;18014.757632184275;18454.652912133537;18046.65839670812;16839.001517579825;[-2126.6059708755456, -1420.7152740487, 1107.427602731732, -2154.4489593974795, -112.15719141555383, -84.3158342749557, -42.87189164319352, 738.9810730965437, -123.90980218427649, 713.7438278664631, 716.502833291881, 1482.9858024201749];-1.729349916684032;0.4160574679982642;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;MT;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1871.345082840204;0.05815272496143617;72.72727272727273;0.5323258506255159;22147.341313518835;0.5411803024712923;18944.886420078932;18684.253136636024;18196.112709565445;18309.844133702583;19289.217547546195;18755.42094506938;17790.675749538073;18650.475318938577;17792.12701052535;18371.74167265658;18143.344293813236;17155.67702130965;[193.3255399210684, -554.6679966360243, -3678.004009565444, 5083.248256297418, -1070.1233475461959, 538.9286949306188, -438.927559538075, 78.64425106142153, -36.43317052534985, -91.79239265657816, 603.1937461867637, 550.4407286903515];-1.8462812667107515;0.35773825484675703;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;MT;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;814.5793207835683;0.03643809441559109;36.36363636363637;0.7449691977037489;22459.877972723138;0.4102408000526248;19260.550031530045;18749.863852865692;18048.723668397663;17936.663116894506;19123.431558682227;18379.47531804991;17467.05657315057;18240.471451867503;17574.973069452113;18365.47001516011;17676.511875874807;17031.392736423313;[1174.2482384699542, -1933.1682028656905, 638.6060416023392, 849.6072731054956, -342.97684868222495, 675.9484019500887, 445.0767468494305, -595.0629018675027, 373.48962054788717, -160.65147516010984, -128.87600587480847, 638.8898735766852];-1.8839942820133786;0.33962776023762237;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;MT;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;785.4307594217572;0.037547463341476746;36.36363636363637;0.6116019741825655;21656.62700938269;0.35700155090645164;19309.762904353112;18319.351513051635;17466.35161139425;18057.466209609327;18970.648240365896;18067.352043170424;16966.892079452093;18336.479690995107;17459.974133835556;17732.103680745437;17837.81522619921;16415.41547030523;[-318.0074743531113, -1081.4583930516346, 362.1846186057519, 359.7077003906743, -1157.1881003658964, 640.0229568295763, 1146.2383505479083, -710.1554109951066, 230.04035616444526, 582.8800192545641, -109.97283619920927, 1378.3725696947695];-2.057710312831382;0.2618557884813133;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;MT;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1135.0201480175149;0.04738143446178381;54.54545454545455;2.982242382836482;22364.13501924181;0.40835517329145293;18355.926448007034;17204.36095543747;17512.760790089906;17258.277134833508;18075.099663206394;17702.13569302181;16624.212674961433;17427.403198655415;17100.337334328906;17292.339546652503;16936.923115866375;16206.03931283594;[2756.0463819929646, 305.2767245625291, -807.2136900899059, 686.3514851664913, 1780.1394667936074, -162.15018302181124, 1019.3706550385687, 212.33412134458558, -461.2105243289043, 487.40320334749777, -653.151375866375, 1221.1943871640615];-2.31685506493577;0.16658948682615698;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;MT;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;643.6599244900385;0.02848417623974836;81.81818181818181;1.6655450680506791;5075.670853715269;0.1860863031035881;18073.66346908052;17132.09232315909;17300.23793369409;16860.99037277245;17413.653417814126;17305.0809401275;16380.706431327382;16887.9564264634;16474.077705184925;17017.00114373416;16514.091866805902;15762.073665637787;[-542.1308590805202, 342.2862968409099, 146.4106163059114, -153.24762277244736, 1098.4643321858748, -107.25666012749934, 928.2754486726171, 623.0779935366008, -86.99074518492489, 1351.0079162658403, 238.07117319409736, -397.58453563778676];-3.1418092584102877;0.023609892485350403;9;279;-3.4540076534999957;-2.8719557347997178;-2.5723200648758366;True
