train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2894.63671838875;0.32793765055253044;36.36363636363637;39.912035613137945;80182.81700581923;0.9081411488231873;2811.292183197586;2782.030679626051;2766.0317055632368;2790.087165560749;3135.874262022611;3286.422006639602;3660.6837443662266;3187.776250495591;3014.745691861041;3582.3255072854613;2865.081349925677;2404.98986687253;[709.3408168024139, 504.0283203739491, 592.2702944367634, 394.3368344392511, -414.3192620226114, 329.46399336039804, 887.8082556337736, 2221.222749504409, 3557.2333081389593, 4034.612492714539, 5073.055650074322, 6213.970133127469];-2.3618437230957596;0.15279651919969417;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1047.3312505837505;0.32891209075334904;54.54545454545455;-16.378836233285064;20769.625890999505;inf;2606.8443315937056;3360.773200165113;3225.7640309166777;3394.7116862115327;3624.139669005824;3923.7316044758554;4003.5437924379703;3987.726671136584;3769.6376171391275;4022.370739941353;3560.5334970365093;3016.5976216997974;[1573.296668406294, 427.8617998348873, 342.06396908332226, 207.45131378846736, -1149.1626690058242, -1572.8146044758555, -1658.9417924379704, -1207.1846711365843, -1026.2736171391275, -775.2097399413528, -702.4684970365092, -439.44062169979725];-3.961530906941041;0.0016258979150562043;9;375;-3.447909006729481;-2.8692783343881483;-2.5708923751111112;True
1990-01_2021-02;2021-03_2022-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;729.6793517497381;0.17833910679608952;81.81818181818181;-6.282561392058588;5802.487204345863;1.2846793294468808;3926.5043864606478;3465.2190781513677;3802.073440673575;3384.3929065826965;3866.214349334711;3905.353744358367;3630.5178607444554;3956.376471592697;3662.198580647395;4320.216968535875;3534.3410846329284;3191.759714625331;[1440.199613539352, 919.0069218486319, 39.50755932642505, 45.63209341730362, -699.412349334711, -586.6577443583669, -852.4268607444556, -610.6644715926968, -377.25458064739496, -871.8519685358751, -688.6770846329282, -396.4607146253311];-3.928218514807431;0.0018367150357649531;9;363;-3.448493650810824;-2.8695352280356556;-2.5710293341377715;True
1990-01_2020-02;2020-03_2021-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1562.1156306124549;0.4793571157622021;63.63636363636363;-37.26292698198061;24928.73487414043;0.975207285138098;4997.605885738598;4520.2522128129;4745.0070336841745;4753.100217844037;5191.781542112483;5007.6685484147065;5066.125142547593;5394.735314709738;5028.020110839603;5296.6851914631625;4761.059168219528;4483.9345999131465;[-1364.7168857385977, -2360.4872128129005, -2896.7060336841746, -2178.0972178440365, -1837.8665421124833, -849.822548414707, -1018.779142547593, -1053.617314709738, -1308.772110839603, -762.9211914631624, -410.469168219528, -41.3185999131465];-3.9483500854532756;0.0017064702715865944;9;351;-3.44911857009962;-2.8698097654570507;-2.5711757061225153;True
1990-01_2019-02;2019-03_2020-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;580.3233497097815;0.09584909695567805;72.72727272727273;4.0263275172087125;6878.509818753378;0.25357089702740776;5678.851932701934;4152.655241970561;4405.872354085332;4688.8569517683845;5357.738982921254;4202.612534377379;4441.4269627526055;5123.191448388948;4692.490186767833;5191.872451992719;4491.2700894317;4272.727026405994;[-1118.860932701934, 521.5267580294385, 554.0736459146683, -6.327951768384082, -546.0909829212542, 511.906465622621, 227.5690372473946, 33.97755161105215, 290.12481323216707, 958.6245480072812, 741.3919105682999, 210.76897359400573];-2.8685744674476483;0.049126301731964736;10;338;-3.449846029628477;-2.870129281376164;-2.5713460670144603;True
1990-01_2018-02;2018-03_2019-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2552.338668200094;0.4570766411333991;63.63636363636363;48.61000726804163;40701.26731449934;1.1105776273182486;2312.7933649045344;2246.241617732237;2068.5507538800925;2367.233259181281;2752.855069405713;2587.457313453992;2738.4752585939577;2594.214321487039;2215.816250239606;3169.1657420489696;2276.27715949837;1722.8539588846338;[775.9336350954654, 754.0943822677627, 1015.2582461199077, 1898.2097408187192, 1528.5139305942866, 2368.845686546008, 3199.7567414060422, 4323.544678512961, 4049.4217497603945, 2550.2712579510303, 2557.9178405016296, 2458.577041115366];-4.14135154243293;0.0008268302331672623;9;327;-3.45050711373316;-2.8704195794076743;-2.571500856923753;True
1990-01_2017-02;2017-03_2018-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;744.9604873290936;0.30936262947099696;54.54545454545455;-16.036237076465216;14768.489349597075;0.7228747919019609;1962.922622013853;2631.451586418183;2742.216571493517;2814.3941689376206;2906.5694869248873;3294.874875123779;3154.0232587776536;3345.904007299764;2977.0150029279253;3160.8716212469217;2630.8745004129714;2594.2728581216315;[107.82137798614713, -1085.451586418183, -976.2745714935172, -969.2041689376206, -1222.0694869248873, -821.374875123779, -444.0962587776535, -673.638007299764, 62.60999707207475, 387.48237875307814, 764.2884995870286, 141.33114187836827];-4.012544922762102;0.001346228298781438;9;315;-3.451281394993741;-2.8707595072926293;-2.571682118921643;True
1990-01_2016-02;2016-03_2017-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1786.146758140534;0.6719485730756182;72.72727272727273;-61.06620347026307;21621.024837109795;3.111607867280346;4727.438154522203;4066.9525598046357;4438.139165544189;4500.962560521168;4799.521438705781;4438.480434482198;4391.070219374509;4884.503543375221;4468.385316563619;4946.375085043952;4281.153373256822;4127.414577749185;[-1277.9381545222031, -1004.9525598046357, -878.7501655441893, -1349.4625605211677, -1664.5214387057813, -1425.9804344821978, -1546.5702193745092, -2246.802543375221, -2219.385316563619, -2375.072085043952, -2076.753373256822, -2433.914577749185];-2.3966182659964463;0.14269315392538534;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1657.511921496458;0.3008298546446567;45.45454545454545;31.321226657061548;39371.584286145284;1.007093990433289;4356.264279449634;2420.7456638576627;2710.371361543509;2690.870462485237;3720.009924037295;2925.8546644590615;2913.485626947864;3213.025836405833;2895.269613618082;3760.7139646841524;2588.932405820366;2232.3059885619473;[-14.76427944963416, 1772.6583361423377, 1198.628638456491, 1229.0795375147627, 254.99007596270485, 1355.6453355409385, 3737.0753730521355, 1991.9241635941667, 1847.4303863819177, 821.1860353158472, 1090.567594179634, 1328.6440114380525];-2.475291418165729;0.12160251102795672;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;589.4956541490274;0.1507400947910715;63.63636363636363;1.1107467504235764;9323.000630283506;0.7123775618091504;3184.5433572747684;2487.7602771558004;2564.628238233566;2709.859293575661;3313.2629606096743;2930.5386261867516;2911.912196570978;3184.1982812782308;2766.378241464341;3326.5770280541587;2626.0330530214605;2311.048954393924;[-502.04335727476837, 127.7397228441996, 112.87176176643379, -304.0992935756608, -612.6749606096741, -409.53862618675157, -351.9121965709778, -370.24828127823093, 169.97175853565886, 297.1229719458411, 671.0129469785393, 1557.2510456060763];-2.3940290296710325;0.14342876790706993;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
