train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14245.39335718311;0.5764289551342837;72.72727272727273;62.76424592828314;171792.55258600818;1.0162241980323075;6501.594949521472;6269.053962501417;5969.205355520847;7267.052294384911;6921.2149900342;8556.18535178448;9669.02040800418;8744.074780258949;8306.760233554423;8927.140056171183;4772.669715276132;5369.8213040970195;[4624.905050478528, 4638.446037498583, 4996.794644479153, 5840.947705615089, 5164.485009965801, 10749.91464821552, 12949.879591995821, 15090.825219741053, 15802.939766445577, 18832.05994382882, 21121.930284723865, 27294.77869590298];-1.8738522418496362;0.34446002889525723;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;False
1990-01_2022-02;2022-03_2023-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3558.1054668543134;0.424669310643976;36.36363636363637;-9.90513088465451;98710.84682775429;inf;1855.0584244046934;5892.9594110369235;9553.843076088564;8574.364565245745;9991.359277805584;11135.933039656999;9151.861278172351;8219.954401971765;11094.190185397949;8798.830203898753;6049.298736503186;8181.960124632163;[7279.441575595307, 2803.0405889630765, -1914.843076088564, -635.3645652457453, -5647.8592778055845, -6465.9330396569985, -507.3612781723514, 1604.1755980282342, -2547.690185397949, -508.5632038987533, -465.29873650318586, -1870.9601246321627];-1.8240991554788248;0.3685644602142768;10;374;-3.4479562840494475;-2.869299109917524;-2.57090345105665;False
1990-01_2021-02;2021-03_2022-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6005.378196525741;0.8079530042001936;72.72727272727273;-67.79895158838136;73030.68395435756;2.1375914791613124;14981.292920687833;12892.53710350586;13878.526945582544;10314.055512144483;13348.402967994729;16982.848133470812;15248.263143167933;16563.586762552924;9081.411227026458;14886.973763383023;8831.655028236024;11120.045580960345;[-872.0509206878323, -2511.5371035058597, -4160.526945582544, -2424.055512144483, -4889.402967994729, -7914.648133470811, -8059.263143167933, -9378.086762552924, -3143.4112270264577, -9659.378763383022, -4846.655028236024, -6033.0455809603445];-1.7859209397293694;0.3874736182578086;10;362;-3.448544133483233;-2.8695574079525565;-2.5710411593052713;False
1990-01_2020-02;2020-03_2021-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6240.22613214685;0.6228194567166295;63.63636363636363;-11.068396073535164;99950.80475579246;0.6988418575658034;14869.861693052899;13368.777511528802;14095.711758813133;13870.31014977878;14132.980285907086;16319.249601481806;15997.08334698821;17249.76372925318;15089.237909797675;16342.641962318563;12007.215312512086;12709.869829188401;[-8278.861693052899, -9710.777511528802, -8254.672758813133, -5147.810149778779, -1427.4302859070867, -3142.249601481806, -1619.6833469882113, 3811.8362707468186, 12382.642090202326, -1815.641962318563, 815.7846874879142, 4842.5301708116];-1.759136943138804;0.40092934474732334;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;False
1990-01_2019-02;2019-03_2020-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3391.6354183022722;0.1829806589237739;45.45454545454545;2.2782682978373123;80379.6628739755;0.32890108575479604;20707.678109798362;12458.977654691182;13395.07459423404;15329.24257819128;12347.181670489148;16810.70641214259;16033.101646552781;15603.95224147567;12535.755960703727;18805.874150599855;9567.507316252559;11507.175277684648;[-9367.097109798362, 1944.4603453088184, 3476.6104057659613, -384.2425781912807, 2896.818329510852, -740.7064121425901, 521.8903534472174, 2222.5477585243298, 3402.2440392962726, -453.66815059985674, 2305.1226837474405, -1741.6752776846479];-1.6970849825962706;0.43261500393990643;10;338;-3.449846029628477;-2.870129281376164;-2.5713460670144603;False
1990-01_2018-02;2018-03_2019-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14151.435849626281;0.6052387422841501;45.45454545454545;73.08714393641799;337964.0370834436;1.1904033083396377;4093.0493583421508;3712.1407288517903;3292.817634224642;5299.173059104711;4838.822677454546;5428.2651383651155;4326.565959810613;4163.964412447339;2649.244012413925;5836.992596099999;2157.3307435209263;2398.6853218663837;[-51.51235834215095, 722.5042711482101, 3412.2733657753583, 3983.826940895289, 9509.177322545454, 17791.734861634883, 25240.143040189385, 28516.180587552662, 18151.014987586073, 7871.8174039000005, 6732.669256479074, 9008.725678133616];-1.3615213680671536;0.6005780142853453;10;326;-3.4505694423906546;-2.8704469462727795;-2.5715154495841017;False
1990-01_2017-02;2017-03_2018-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2182.5351861139934;0.5719196103518248;36.36363636363637;18.822627989001578;60696.79005561637;0.5038821602451384;2063.643632190728;2536.223603624767;3011.1141626683766;3587.104292865347;3276.7658829487737;4896.440013901622;3803.64337537931;4155.835074864402;3470.6464923714066;4680.419182662691;1013.6414523189706;1448.5750727373863;[-400.84363219072816, -1098.421603624767, -1233.3141626683766, -2294.104292865347, -1213.9658829487735, -184.6510139016218, 4218.8006246206905, 713.5949251355987, 2715.7695076285936, 1196.268817337309, 3042.9475476810294, 3336.0209272626134];-1.093995092859827;0.7174606420967088;10;314;-3.4513486122290717;-2.870789013306053;-2.5716978530569192;False
1990-01_2016-02;2016-03_2017-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5751.927028333308;2.0085842834843564;63.63636363636363;-179.9511984092201;95603.68475091062;1.2945292480393498;7587.036173481535;8264.69561769012;8212.815601967744;9984.96337269451;8421.819435352683;10636.877192906923;9589.56522989442;9547.643313506122;9119.212997097584;10531.276912891055;6008.1472907254665;7070.65028480112;[-4133.986173481535, -5265.295617690121, -4285.773601967745, -5580.246372694511, -4279.087435352683, -6731.477192906923, -5893.42022989442, -6764.7323135061215, -6939.412997097584, -7913.323912891055, -4193.347290725466, -5497.099284801119];-1.3113898298992908;0.6239454766594035;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;False
1990-01_2015-02;2015-03_2016-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2603.5844001300943;0.26040876975695326;63.63636363636363;17.7616086803469;41293.50373501404;1.0684296162983267;11951.766663679657;6139.7675528637055;7025.480775831444;6339.079342383349;4871.347122247964;9190.952999951918;8500.362483972945;8206.16416916826;4585.369530816691;10965.70882298554;3469.64864296728;4165.583410671796;[-76.58766367965654, 3965.7334471362947, 2570.3192241685556, 2935.717657616651, 4338.652877752036, 308.4640000480813, 1435.6375160270545, 2668.33583083174, 2633.910469183309, -3571.0818229855395, 1575.35135703272, -337.5834106717957];-1.3669126041228463;0.5980318715869376;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;False
1990-01_2014-02;2014-03_2015-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2360.828097562674;0.2845610026205801;45.45454545454545;-8.308558088018673;56057.72167848767;0.8357645337332326;8359.158338839841;6635.450978620904;6704.3680137527635;7149.901727049526;6397.0013745665965;9046.1323647895;7933.577419086076;7835.071323104582;6410.753106584978;8680.937378161421;4595.390931778851;4791.913943797518;[-2508.701338839841, -992.4509786209037, -1123.3680137527635, -1955.901727049526, -751.0013745665965, -3187.1323647895006, -1717.5774190860757, -1247.071323104582, 263.246893415022, -1269.9373781614213, 2333.609068221149, 5671.086056202482];-1.2312076964899663;0.6600289798983097;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;False
1990-01_2013-02;2013-03_2014-02;DF;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1765.0034915193119;0.21301587763420107;63.63636363636363;19.700022755964202;27957.75302766775;0.856988963081644;5135.436686378333;5063.410148431391;5281.685378253104;5990.842439216754;5288.531261971056;7287.775446953896;5820.860882815185;5469.583446686884;5063.768604797952;7141.3450037968805;3134.263127190633;3505.370403936504;[2069.5633136216666, 1860.5898515686094, 1108.517621746896, 216.56756078324543, 925.4687380289442, -694.4654469538955, 430.48911718481577, 1555.4165533131163, 1591.2313952020477, 70.65499620311948, 3412.576872809367, 3199.3970680634966];-1.1103937783365745;0.7109092377480905;10;266;-3.455175292841607;-2.8724677563219485;-2.57259315846006;False
