train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7184.887067755187;0.08570514277514014;36.36363636363637;-4.507719356356187;198251.10781887322;1.6629791180134945;70801.3179261532;80353.7082081291;75238.90031236567;70722.25544394256;78958.24086735646;78601.87444948661;72015.46669839737;78578.2163134645;76509.35286279664;72394.6819757316;80009.81130896547;75039.1197023599;[8909.22917384679, -12594.159298129103, -6165.5470523656695, 7500.523546057448, -1801.1448573564703, 547.1853305133845, -184.59712839737767, -6801.238053464491, -7730.293082796648, -2343.1692957315972, -9257.773268965466, -9296.4240523599];-1.8468085438565134;0.3574824301913394;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6718.530130864625;0.06886804170705982;45.45454545454545;-4.444473625619576;158886.09908863172;inf;77102.08605976774;81024.30066473362;79346.94613972478;74599.5670485305;81049.9639355614;80570.25902361138;76936.24994095358;81589.03158586084;81202.55949208495;77701.74339308511;80984.2258669874;77989.82725368845;[2346.977350232264, -12156.999944733616, 1172.5756002752169, 4001.4601214694994, 1071.7280944386002, -627.8242436113796, -757.9854509535799, -8982.301515860832, -4711.311302084956, 464.7946469148883, -8107.993986987392, -14143.022903688448];-1.5433552401273258;0.5119656058960199;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5962.607106210002;0.06790984143179134;54.54545454545455;-2.314930572227448;117535.06352040192;1.343976795496684;84037.25147767643;80923.52940246204;82499.3144211853;76793.80708245783;80387.58848402658;82717.33041534355;79997.68699745077;84614.49202505275;82219.41228374088;78554.82716393919;81854.76890483321;81187.51923709217;[-5278.943507676435, -3552.1870124620327, -2877.9774611853063, 8996.187487542164, 6872.764775973425, 3759.0808146564523, -1267.2250374507712, -8042.821735052756, -6040.093443740872, 1484.1837060608086, -7570.738104833217, -8559.950397092165];-0.971604476596007;0.7634795420403705;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7611.317365345326;0.07587990438486504;36.36363636363637;6.914592452617111;209984.71822342032;1.0097218783348867;76841.75812717872;78296.90056474177;77048.51945436205;71270.969522571;77372.26757097631;78028.2557770097;73361.09638057511;76164.99617574223;80944.15651950234;76449.97894458286;75958.50445621088;75134.017804016;[3631.406732821284, 1327.8911052582407, 3171.389965637951, 13565.191707428996, 12184.531339023684, 8320.541322990292, 10492.753259424891, 7685.478464257772, -1759.1746395023365, 8992.271055417135, 3006.700253789124, -2511.7188940159976];-1.331754432669591;0.6145223502478292;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4654.092491712631;0.0547007395589881;45.45454545454545;1.664524090542753;110035.95650509946;0.9840802725083638;76694.92980909366;76424.32566940766;75034.09890951848;71421.35092184329;77551.1912014526;78280.68628269968;73542.85252983255;75235.91165615323;76403.38925194913;74559.50928330852;76762.46329871422;74502.18398224772;[-6425.203359093663, -2609.209729407652, 1497.0025404815242, 2622.313938156716, 7457.308798547398, 5895.228577300324, 4193.620300167444, 6306.715153846773, -2003.0432419491408, 5148.0052066914795, -2430.619098714218, -4309.272752247722];-1.4600178664588965;0.553189147787812;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5512.572116821833;0.053107590030406965;45.45454545454545;0.441577002201378;130328.77270791658;1.1852334884122946;76216.16223711587;78066.51316442239;74000.67261177824;70134.90706167184;75620.55883610722;76265.09048280497;74631.74677214424;76472.29905042058;76559.0787952552;74077.35939343619;76608.84562309815;75168.21930873848;[-677.2727471158723, -4456.815704422392, -4617.629131778245, 13641.621928328168, 5525.707463892788, 5570.516397195039, 236.82387785575702, -231.9584704205772, -1498.0045152552048, 1384.3887965638132, -2982.2333030981536, -7886.3751087384735];-1.379645108865366;0.5919946772549198;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5927.360807480965;0.06926127660938079;45.45454545454545;2.6538783414769376;140176.9953349163;2.10028084560903;71048.07951572405;75854.87029532096;73084.41368305797;70075.79035655853;74308.50187748238;74490.63941822782;71453.25599868059;75439.15148238107;75804.27658555648;71799.96562048387;76751.33584223702;72790.65419463016;[7944.329824275948, -8031.314135320965, 2867.5355969420343, 6337.09173344147, 6484.378552517621, 9531.456861772182, 7462.313561319417, 863.5563576189306, -1785.3108055564808, 2066.976479516132, -3821.9517822370253, -5849.159624630163];-1.480252641465206;0.5432564793471104;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5060.817679471627;0.06346251984933596;27.272727272727273;0.32470081014968677;159515.4947331331;1.5186552299977774;69993.66461795106;75012.81041036911;74788.84932209108;70121.72444867819;73721.84555632986;73402.91972492807;71961.91432268455;76150.48283201114;76885.42928728576;70768.015801931;74435.03587799944;72733.83221439202;[2267.478502048936, -4564.480700369109, -2150.039542091079, 3349.878811321818, 4698.400823670134, 8250.909985071936, 4821.2958173154475, -2791.5172520111373, -4566.027117285761, 5945.149058069001, -3817.3438479994365, -8577.105764392021];-1.2643350793811805;0.6453270812921303;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5672.201047282346;0.06680667232658134;27.272727272727273;-2.836677737511181;178794.19743451432;1.3785836901172581;75839.12798075436;76016.89166631458;76695.2317232286;71686.92767582115;74847.91153739628;77600.61178076417;73662.7818770296;78719.74624762927;78975.64857606699;73587.42864166424;76290.22438335966;76183.37371239418;[-2290.463120754357, -4763.804706314579, -3270.595853228602, 5322.037904178855, 7467.242452603721, 2673.1979992358247, 1054.2887729703943, -4680.789727629264, -10107.137706066991, -329.4793616642419, -8253.11387335966, -7926.016832394176];-0.8737759665342788;0.7964856709776438;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5578.8512630911055;0.06269718959589272;45.45454545454545;4.169035095243821;131919.12794830665;1.8391265576560099;73249.8028955203;73342.01886037526;73838.0864834014;67293.34672102354;71712.4158580939;75683.0114790366;70928.52822546753;73435.80756807343;75258.84720376415;72262.09715878165;73750.83070380514;73465.8889865305;[1980.421744479696, 740.0391096247331, 4537.81025659859, 7640.285528976456, 10378.808781906104, 4282.303740963398, 6829.828654532481, 4316.161631926574, -3060.6461137641454, 6654.690881218354, 431.34864619486325, -6698.9125365304935];-0.7981747233331705;0.8196576409382523;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
