train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6071.574258363329;0.2890530750301411;36.36363636363637;-19.622114591866037;168072.28192317553;0.9585349636232847;13945.355191314113;23832.178239248246;24570.032287359347;27849.963871677162;25510.132059332864;22771.875322633918;24287.134171366604;22160.492920578086;25065.2625611674;22569.965943699943;24973.71837158588;24531.756276182936;[5511.344808685888, -3427.918239248247, -6151.2322873593475, -13385.513871677162, -9400.427059332864, -1673.3553226339172, -2900.1341713666043, 2015.5730794219126, -1890.0625611674004, -5289.263943699942, -5617.723371585882, -4060.056276182935];-1.5050302388847927;0.531021500226996;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14633.626870087388;0.648125043743954;45.45454545454545;-54.982182564921956;349751.98103814665;inf;39262.25090933474;37038.858281784036;38074.010396493;37514.513265009606;37312.30048178599;37090.03347310478;38982.17082594957;37606.67487996707;37333.617148308665;38622.25534205237;36241.882865783366;37685.517024832974;[-537.9509093347369, -8197.993281784034, -8866.610396493, -21638.813265009605, -16830.84948178599, -11286.033473104777, -12778.470825949571, -10660.179879967069, -12183.367148308665, -20147.105342052368, -16465.950865783365, -21031.317024832973];-0.23662271194790013;0.9340131595710907;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3847.8426541784947;0.0817567502437762;72.72727272727273;1.4692060174460926;45578.04237448669;0.22949618076327905;41256.78326422896;36890.17639975227;37786.475952631394;36269.64626037826;36428.404835875146;37902.36632631005;37982.286828382654;39046.989103562155;36780.467832310176;37280.46962103076;36400.93249033288;36787.79346457196;[-1970.2662642289579, -1635.2403997522706, -3689.8749526313914, -2913.246260378255, -5002.328835875145, 876.4336736899495, 1745.9951716173455, 8854.910896437847, 2411.2671676898244, 4414.70637896924, 4036.5675096671184, -406.7934645719579];-0.2461737054965772;0.9327893446282902;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4375.5183761280705;0.09613200996876038;54.54545454545455;5.683176762384089;86304.71247880337;0.2856681725148367;46524.00992415389;33006.17284584773;33619.978373661266;33914.35940745242;31918.885907402386;35393.90479813793;35965.81919590496;35904.09699965705;33828.65246257028;34935.38305366678;32896.99680147955;34807.49965740402;[-5067.809924153895, 2867.32715415227, 1013.2846263387328, -3569.159407452422, 2843.614092597614, -431.41379813793174, 2426.4328040950422, 6879.141000342948, 6408.3475374297195, 6491.792946333218, 6094.603198520446, -484.8996574040211];-0.9204714610859692;0.7811561423964204;5;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2019-02;2019-03_2020-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21419.318208763107;0.5655392570096582;36.36363636363637;57.19094766592555;595477.7584469304;1.66475477462509;29133.044144351454;13680.619852312133;12625.651551212966;14857.09408523665;12857.521251768678;13700.224465690511;18173.742241562726;14434.38465266381;12556.605725219435;15873.988216172693;11322.729090531078;14915.027101750227;[4700.128855648549, 27347.635147687863, 20302.998448787035, 14123.45591476335, 18807.129748231324, 22336.475534309488, 16695.857758437272, 24059.515347336193, 28331.294274780565, 20487.18478382731, 24902.87090946892, 23895.60689824977];-1.0792291497837372;0.7232836094567807;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7825.394667924948;0.3210691445460932;81.81818181818181;33.45329251212732;62699.4742935676;0.621003119439776;11932.811645748869;10205.865552432575;9712.413646260247;10456.006691487411;10270.51126480638;9317.82621595669;10503.165589853075;10504.632418152922;9785.482006077818;9934.310043528294;10521.259957824273;10668.670523713341;[4581.571354251133, -191.6795524325753, -1043.4336462602478, -497.2206914874114, -2910.5112648063805, 910.273784043311, 11860.873410146925, 16797.88058184708, 7856.770993922182, 5445.316956471706, 9433.790042175726, 9997.629476286658];-1.48333123478288;0.5417404347719661;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2475.836079406426;0.20884424403218113;36.36363636363637;9.016880655094837;68452.18911806848;0.14620903589332923;10041.05017354545;9159.733632335168;8214.463060765389;10329.605030035727;10018.463742226;8610.818612673695;9761.623716283097;9543.072807700348;9080.498526448146;8983.266954909337;9935.47739345496;9809.823736862276;[-17.208433545451044, 189.09533666483185, 2109.878679234611, -2581.0850940357277, -4016.111096226, 988.7340333263055, 1723.139833716903, 3339.844932299653, 4235.521853551854, 3230.8054250906625, 426.8736065450412, 1617.7272631377236];-2.318369662091686;0.1661118154501658;5;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2016-02;2016-03_2017-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3150.7557253096065;0.2545269029658505;63.63636363636363;-2.969525078209076;49962.79955332286;0.16938216701799208;10876.945599598494;9567.445147589897;9403.95167755295;11356.688098473127;9758.567917620974;9288.47241328455;10896.711026781559;10739.463147033477;9248.229499355828;10648.526068833868;9663.018527465221;9985.952165793302;[7689.512400401505, 41.75485241010392, -1741.3516775529497, -4443.688098473127, -3589.3679176209744, -1050.872413284549, -2169.7110267815588, -1528.463147033477, 2243.270500644172, 3028.2739311661317, -1092.5549784652212, -888.8213267933024];-2.7190760299284236;0.07079505266234216;3;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2015-02;2015-03_2016-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2051.3716050816124;0.2001517747236505;72.72727272727273;-6.635032017372981;24405.696888155333;0.12958404479663121;14750.97782173675;10253.063791687704;10207.548989437015;10580.920653324809;10409.454882548709;10691.04873309523;11204.18843204787;11537.057073292433;9894.060446391508;11023.069703935711;10285.037491667363;10556.308931115993;[-675.6764017367495, 2123.436208312296, 1388.9510105629852, -2325.5206533248092, -3187.2038005487093, -3694.4893450952295, 2674.7747379521315, 669.8981267075669, -1030.7322153915084, -1376.094172935711, -1553.637491667363, -1189.2089311159925];-2.8211226163951157;0.05531932309424462;2;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2014-02;2014-03_2015-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2845.0278422710544;0.2109939281420213;54.54545454545455;17.48571111826192;56261.0466050092;0.18031615697470804;12741.805615133062;8293.321755546362;8143.678163814507;8755.761043813753;8306.453714919813;8373.416523250742;9848.371674426846;8854.938441668266;7803.718948892347;9152.746016242183;8114.134714521653;8659.205507968469;[-1366.2056151330617, 2330.6782444536384, 3284.521836185494, -1114.0610438137528, -35.25371491981241, -784.5165232507425, 2232.4283255731534, 1831.3615583317332, 4907.481051107654, 4773.953983757818, 3442.6044954783465, 3181.5944920315305];-2.7802106832154374;0.06115660474978464;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
