train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7299.87815780752;0.07185749666366263;90.9090909090909;5.6563170185999585;28963.237958460137;1.034226457636586;88013.47635911117;85620.36087254286;86320.52131776814;87643.64946777673;93656.2862375428;94975.62696430707;93952.55351174729;96714.33777318479;94130.09968011457;96204.30347857677;93109.07922189114;86265.90812678244;[5179.323640888833, -8860.336872542859, 8200.678682231854, 6006.15053222327, 5553.913762457203, 10908.000035692923, 6233.94648825271, 7124.462226815216, 7493.400319885433, 8760.15652142324, 7456.920778108863, 1689.7288732175657];-0.7063211621883312;0.8451054131249929;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;False
1990-01_2022-02;2022-03_2023-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3958.8340760601072;0.033700864826131;90.9090909090909;1.873682660964073;15641.771175461252;inf;86103.69876470247;84876.24039638901;86566.65977738566;88128.8657870277;91863.71238040763;93780.56237807666;90326.42716356745;94473.57137167479;92122.4263252104;93048.58725387052;90559.35357831372;83485.94831065409;[2198.4112352975353, -1005.5183963890158, 2903.492222614339, 372.4722129723086, -660.6123804076196, 7981.077621923338, 7647.572836432548, 3654.228628325218, 903.6736747896066, 3525.458746129487, -3609.697578313717, -3377.4483106540865];-0.5830040420305849;0.8747763560488707;10;374;-3.4479562840494475;-2.869299109917524;-2.57090345105665;False
1990-01_2021-02;2021-03_2022-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8229.099174534409;0.07803270226710839;72.72727272727273;7.207851921211514;97460.00673630869;2.0276107820135287;76986.93573467934;79113.15748288603;80859.30027694207;75977.38285996884;85380.34166805129;89127.7105505246;87151.39510801459;88819.08328127734;88162.21918477252;86382.42372919717;84204.2933303609;78871.0949330736;[8220.849265320663, -3955.108482886033, 805.5507230579242, 11833.06114003116, 11807.541331948712, 8871.589449475403, 8191.703891985409, 10421.416718722656, 5622.708815227481, 11995.776270802831, -437.19333036089665, 4379.917066926399];-0.7062318265364712;0.8451287440517082;10;362;-3.448544133483233;-2.8695574079525565;-2.5710411593052713;False
1990-01_2020-02;2020-03_2021-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12813.730473747148;0.13827791158352673;90.9090909090909;-5.3114779585681635;51208.76274105982;0.9044247086955117;84760.90515423864;82886.11436498846;83260.83461428617;85217.44095391764;88854.56955458161;89689.33659521905;88495.67857981281;89245.74923900132;88816.07076270207;91914.51872468484;86943.01817946299;81151.4460611916;[-14568.89515423865, -30461.126364988464, -22116.534614286167, -10086.560953917637, -1726.7925545816106, -10.436595219056471, 5397.209420187195, 11439.285760998682, 2432.3702372979315, 6136.723275315162, 4536.559820537004, -3487.449061191597];-0.6370484863820823;0.8623889500490327;8;352;-3.4490648539347544;-2.8697861692116478;-2.5711631253228306;False
1990-01_2019-02;2019-03_2020-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4283.614410066362;0.043780868032797154;72.72727272727273;1.8332346152349008;50668.8002814874;0.7100577558576293;81389.41470321057;79842.44397380273;80965.49871033509;82732.34500880058;88150.0397810574;88710.429713441;88583.39938664548;89664.45123929883;87265.59848628944;88851.53511167645;85021.26956692175;78279.39165656446;[-7064.842703210568, -1015.8099738027231, 2095.0192896649096, -3147.0920088005805, 2622.116218942596, 4592.570286558999, -2074.4993866454897, 7728.798760701175, 4944.114513710563, 3147.8148883235554, 4746.430433078247, 2463.4083434355416];-0.6557317795628469;0.8578853116719513;8;340;-3.4497304638968043;-2.8700785273763487;-2.571319005190311;False
1990-01_2018-02;2018-03_2019-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4217.450865977129;0.04153270417693942;63.63636363636363;1.4051081582061138;66484.13029526817;0.5859075251012646;78029.48533642288;77949.83082181533;79684.45806138452;81534.52555555115;86530.64461242485;86436.26919230296;87049.40045614126;89013.42188605618;87163.35235989222;89831.4045041884;85773.83912512675;79862.68292901819;[3777.617663577126, -2104.7978218153294, -6743.226061384514, 5260.174444448843, 1204.955387575159, 7097.03080769704, 804.3575438587432, 6991.126113943814, 3331.4256401077873, -1703.0275041884015, -1795.4681251267466, -1742.5829290181864];-0.6795319489429793;0.8519802321772811;8;328;-3.4504451681828194;-2.870392380216117;-2.571486353732897;False
1990-01_2017-02;2017-03_2018-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3689.2944316785483;0.03455350351786407;72.72727272727273;-1.9259617462775092;43624.099033403494;0.37916903768603927;79305.37955689347;79021.49184311938;82253.9501175976;84989.05038322456;89416.13197310915;88708.64308871137;88971.08657802464;90726.78160161708;87465.4053455019;90147.15581653977;86947.93593343183;80937.26387023643;[1956.977973106521, -7929.526983119387, 1696.681412402395, -1642.911933224561, -5331.929403109156, 2814.7124812886323, -1644.6969680246402, -308.8260716170771, 194.816164498101, -1141.9183065397665, -1077.0909334318276, -7027.882870236441];-0.6287786961028337;0.8643457352619208;8;316;-3.4512146067362317;-2.870730188960711;-2.5716664849383113;False
1990-01_2016-02;2016-03_2017-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4618.568022272634;0.04584169281419118;54.54545454545455;-3.6242733790049964;90997.06365777591;0.648747417439882;82176.22518796333;82541.75019808237;84501.55797551437;88966.83129618395;91216.57458388165;91246.78053728584;91954.4617378003;93949.55397309532;90674.03250424888;92671.35200196326;89924.61996599034;82689.81039252538;[2660.231812036669, -1874.771198082366, -534.8649755143706, -2056.9102961839526, -4430.6415838816465, 1632.9054627141595, -2302.461737800302, -6951.985973095318, -3165.6755042488803, -3167.9150019632507, -7814.498355990334, -9154.971902525387];-0.36729858365148377;0.9154172356673325;5;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2015-02;2015-03_2016-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10202.643440339627;0.11044721845609988;81.81818181818181;-10.840031580450948;80813.79696430311;2.6526967331221614;96071.60022069467;92771.49219492223;94814.53642641168;96649.5836443905;99123.86270791732;99158.393122492;101492.29830965788;101023.16774491449;98845.98661935498;102494.01268392244;99731.55244816362;92717.08770330422;[-7757.944110694676, -10608.963194922238, -8500.610426411673, -7636.393644390497, -4986.124247917323, -8618.015672491994, -7838.935269657886, -4710.213384914488, -11644.862229354985, -12181.44601392244, -18071.53844816363, -12348.23570330422];0.5416116465577931;0.986084452927662;5;295;-3.452713099849546;-2.871387839457783;-2.5720171933352485;False
1990-01_2014-02;2014-03_2015-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8406.36878190634;0.07185476171751684;72.72727272727273;2.984501300664506;99536.88978382296;1.1665779092135826;94266.84548305783;90169.96244764203;90187.84274101327;92320.0282153901;95011.85257269422;95498.15138575339;94798.57384936805;95771.18111104611;94245.18562477738;97417.41794620024;94179.47734262251;87620.8995984691;[-10821.218483057834, -2414.378447642026, 651.8312589867273, -5225.580215390102, 3642.452427305776, 8286.992614246614, 13408.241150631948, 17006.244888953894, 7938.807375222619, 5136.743053799757, 3552.22664737748, -6661.8885984691005];1.203903966007747;0.996012745182739;5;283;-3.453670163592738;-2.8718077069772248;-2.5722411158835796;False
