train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9422.201629369449;0.05929420713240744;63.63636363636363;1.9548419979714415;148604.0494988398;1.485237529811552;125012.46292892669;132403.87448130522;124871.51273150452;120655.52190759203;130337.21150548593;130414.66381713802;127323.96019768942;130765.45471811782;127079.52839917075;127069.22409815436;129366.72559865976;128029.06606156011;[16901.487071073323, -19340.980481305218, 6431.392268495474, 3793.199092407973, -3157.567505485931, 9139.657182861978, 623.939802310575, 7706.4812818821665, 6316.852600829239, 9466.379901845634, 836.6264013402397, -8145.674061560101];-1.1337179133317938;0.7014400537584987;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15513.794408183121;0.09214780557678127;45.45454545454545;-7.1835743383897865;367039.56043168606;inf;128772.50163452956;156001.55335933808;138029.32675979158;125164.22820563838;149266.3408045727;129549.9413935692;132702.30190543373;142004.26539837953;138405.82130709122;131899.27903095237;134740.7483218319;139197.32312360662;[2654.7623654704366, -33757.90335933809, -10266.759759791588, -6982.8572056383855, -28404.864804572717, 4440.123606430803, 1849.5410945662588, -2625.827398379537, -7249.720307091222, 3711.039969047619, -9171.528321831895, -24495.08812360662];-0.7744342710087789;0.8265167111471938;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;33181.9317285146;0.18281370388648954;54.54545454545455;15.286470566810676;655730.2067703848;1.523703649863961;114714.84900757919;126967.87483432202;125560.87847459002;82344.52209458302;126647.60935910014;129351.11467303048;107393.89174995678;119686.34216811367;122108.23626509836;118689.6903321704;109182.6300396119;126910.53623927185;[8973.12899242081, -16605.772834322022, -12620.565474590025, 61102.489905416965, 19601.202640899864, 31544.047326969536, 57835.68625004323, 54894.28283188633, 29140.188734901632, 15602.171667829592, 10231.863960388102, -5345.379239271846];-1.0847919895603033;0.7210984239919221;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;20117.54232861664;0.15067392047178113;45.45454545454545;-0.07298045804254562;476469.812574385;1.0196227199229206;118387.64781844418;120431.49650664224;119055.1002535275;102188.82350512611;120291.00450526549;118085.79220613731;108634.53235038543;119525.96805598435;117069.77741863753;119692.09446609298;120181.38094282123;113709.11175848987;[-14005.351818444178, -41887.63950664224, -30139.063253527507, -422.5215051261184, -5391.154505265484, 790.8147938626935, 17232.57764961457, 19676.606944015657, 16504.843581362482, 13776.822533907005, 28160.82305717877, -5315.735758489871];-1.0894731101864332;0.7192515979200633;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11016.982929419653;0.07548347384406374;63.63636363636363;5.234277730772244;173833.7745255038;0.8411436237813936;110969.47622320104;116364.6064729248;115943.83538501905;96203.06881527216;119272.26966294594;112404.94074840951;107637.81177811162;117680.05871601557;105680.28792843982;107987.96302035415;110666.69398014701;110929.32739041859;[-5643.910223201034, -5030.9844729248, -2401.954385019053, 7693.716184727848, -4876.531662945941, 5084.199251590486, 9638.987221888383, 15020.822283984424, 21010.083071560177, 19139.718979645855, 12507.556019852986, 1415.4726095814112];-1.1116588473381444;0.7104001672534435;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11352.217387729643;0.08189849702226679;45.45454545454545;1.9575426750392655;268531.1185165119;0.5533554054823592;104074.86862450639;112670.41490452882;107117.66327990261;95642.34647322888;111525.07856683742;109272.1148058431;113041.25667179174;119214.07036430623;111208.8441612965;112806.01128954155;113173.43484301989;110169.98329936557;[6878.1383754936105, -8973.316904528823, -24049.74227990261, 20143.37552677111, -2002.3815668374154, 11644.100194156897, 22.62832820825861, 4463.552635693777, 9082.13083870351, 13243.625710458451, 36.994156980115804, -4135.297299365571];-1.151800982906018;0.6939787592848935;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11686.738318824757;0.09105725491946047;54.54545454545455;1.8061638061596128;230485.59419220645;0.6169078695547026;100001.1993306349;108303.25932831038;115699.9316887491;108321.68786394643;116722.80646599238;110681.83210129966;106089.23053759753;112557.8881642621;107710.26502882656;108608.9205751472;108367.2992168631;108864.97874037639;[23175.06246936509, -8817.163888310373, -9843.718888749107, -7172.451963946427, -15603.155165992386, 1611.6801987003419, 4534.03216240248, 15659.857635737906, 12553.91527117345, 10655.9937248528, 5372.815783136903, -7995.4217403763905];-1.1100228774373624;0.7110583911581143;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;20033.13333672388;0.16471609588543965;45.45454545454545;-14.934882454425836;474592.8019508817;0.9572957198688894;114735.30911602931;125236.18618418073;133566.93718008223;117994.6385923633;136622.2804598011;126173.5600023584;129751.58404649248;145883.91979213734;120571.93757607404;117604.64875726559;122430.91741608066;121628.9614537586;[-8345.759116029309, -24594.06618418073, -30652.23018008223, -13287.638592363306, -34541.93045980111, -14194.1590023584, -11879.68804649249, -25671.707792137342, -1572.7485760740383, 6925.080242734417, -15351.388716080663, -23332.35405375861];-0.8547056837662689;0.8025224835366852;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;33172.32298486739;0.25499677104169255;54.54545454545455;-23.52314716274881;656578.5840405984;2.0726503474791342;158548.54495856623;146842.97704746167;162891.20648818807;140218.49464769123;149275.54739420454;149517.97707240473;151883.8357559754;155550.07791525748;151540.5754554467;158713.98616496313;156893.35526833942;149114.40952136813;[2439.0868414337747, -23914.821047461664, -39962.04648818806, 44.02635230877786, -21990.61069420453, -38866.71897240472, -36608.08385597539, -29594.06711525748, -24665.442755446697, -37656.16976496314, -48594.41926833942, -49315.748521368136];2.2873439276847787;0.9989470029092434;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;27516.187912487527;0.13794643347024127;63.63636363636363;13.63617980924845;434913.3797894138;0.9430540495045993;132223.4362585526;124589.89190653301;142264.87511244937;118808.26910355284;123350.77124267335;137776.41879507684;129369.83700225985;123532.08869428885;126032.91457966508;135643.85285495187;132608.07249365933;126905.81492397677;[-10529.386258552593, 7655.613093466993, 2059.9548875506152, 22.686896447165054, 14174.040757326657, 18502.38120492315, 41242.91899774014, 53673.47030571116, 37913.21542033492, 34394.60014504814, 30242.23820634067, 15871.740076023227];0.6982870550940754;0.9898036227968044;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
