train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;26755.732246630425;0.22319791514158768;81.81818181818181;20.19608514820287;213234.39474631622;0.8035932092072009;61733.70561384168;65435.76618328271;72249.3285587626;70415.83661009667;67158.64590271913;61491.31462541566;69345.4402189929;70091.4050873722;71251.51583699432;72552.7642359655;68332.29307633394;64260.336350968755;[3231.6813861583214, 2006.0348167172997, -7968.5155587625995, -8147.997610096667, -9539.030902719132, 14607.365374584333, 20011.691781007103, 26778.835912627794, 28985.853163005682, 47522.6987640345, 45093.663923666056, 43498.37064903124];-1.9577631841350847;0.3053938201974444;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16521.153593749877;0.19723219992237273;54.54545454545455;-8.359353014988292;326590.7352116683;inf;53465.84627923302;71386.19445225947;90017.19038135215;72545.12599714486;75069.90769425093;74894.55621236778;70978.80486871548;80436.42844357585;88476.34479739096;81014.59389883271;66124.29534610324;73112.83215018609;[37662.08772076698, 10868.686547740523, -19488.773381352148, -4355.6339971448615, -6502.649694250926, -12762.259212367782, -3472.0878687154764, -14805.139443575841, -22539.812797390958, -8440.71889883271, -11782.198346103243, -13620.602150186089];-2.0090892979704793;0.2826020344646077;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;35927.63476858944;0.479862402679978;63.63636363636363;-40.94797994829965;573186.3685943574;3.732904217947565;92779.01253146362;112005.54811762933;107445.9407064223;99820.83966378549;105338.06964405312;109532.9417596503;106957.79904851582;109106.07800720063;116063.48568669843;104013.52629928502;106031.5991143471;113170.67104480769;[5930.449468536375, -3671.5071176293277, -17395.2617064223, -27709.02966378549, -29291.10964405311, -37209.1977596503, -36030.58804851583, -37122.132007200635, -60193.38868669843, -31942.008299285022, -51876.050114347105, -46011.88604480769];-1.6888571879899628;0.43686254001049324;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;42791.515560610904;0.40409661405054415;63.63636363636363;-38.46781217335812;681285.6060818117;1.0988053241882063;150319.36356473534;148180.1499698927;146629.90260872708;144285.6910021981;146463.39553738295;146957.43371000068;145268.13822643404;146758.51914223528;149921.3265064441;142843.07768935733;149264.66383849;147815.98142561023;[-33916.933564735344, -53689.7949698927, -54676.24260872707, -58114.012002198084, -52209.06253738295, -48007.31671000068, -34348.93222643403, -23964.53414223528, -42513.1055064441, -14295.03468935733, -37879.38283849, -36639.96142561022];-1.3485321989579648;0.6066869062920296;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21886.86173786027;0.12032797614159156;27.272727272727273;8.604626672306829;690401.5641553063;0.2319802700126165;171317.75229159984;136037.44555059395;131485.22024779543;129495.0339311823;136484.70854599413;135739.64265611526;123969.30263433486;128164.23013907585;136354.37502557147;120816.2359437298;133982.5406312212;131465.7056961788;[-32888.450291599846, 8817.461449406052, 15142.45575220458, 5466.7740688176855, 8435.437454005878, 12884.889343884744, 27671.290365665132, 32027.592860924153, 19435.92397442853, 42950.865056270195, 4476.207368778792, 7656.817303821183];-1.2276076869495347;0.661608282860366;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;51450.76506948834;0.316357145476922;27.272727272727273;33.593082539211885;1627336.925586312;0.6760915816817276;91034.71550884111;95677.02731601727;89967.56294244752;91678.01287343266;90645.5489953974;86476.28904285886;94563.5634556394;91158.81563040044;93087.0268117762;87898.67310023299;91802.34794970127;89245.09350032744;[13192.720491158892, 10027.831683982731, 18010.924057552475, 28030.760126567344, 42131.54400460259, 64815.178957141135, 52398.2835443606, 72184.98136959955, 65880.45218822379, 80770.131899767, 55094.769050298724, 50494.00649967257];-1.1763865545857246;0.683670256049117;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19301.467640045666;0.17840408814038108;45.45454545454545;1.3056989481515588;457374.2206656558;0.5583064397935781;63894.92067332409;93501.49140627119;104339.464926662;88432.94736614899;93827.74895076755;92975.99746638021;89258.06703505461;95823.043183908;125365.48780321924;92728.66714465262;90925.69810433013;97420.37332147543;[14100.300326675911, -18028.628406271193, -30303.997926661992, -14650.415366148984, -17258.940950767545, -558.0284663802158, 18380.42396494538, 17135.206816092003, -9644.443803219241, 37651.89585534738, 19288.03189566986, -1181.7343214754364];-2.0339557631443324;0.27188593459325183;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;45957.705858230576;0.49431087328290557;45.45454545454545;-44.2522938623908;1095317.8889056752;1.5797371471017838;142665.05431447257;138912.58848827804;140176.93992111707;136839.4201072373;136870.88205984124;134780.3850030464;130145.62847008945;138324.07691894114;149986.7819939724;137495.55230145363;138890.03198327427;134667.86285557348;[-39381.37631447257, -36908.932488278035, -35501.688921117064, -37939.7771072373, -29133.282059841236, -24064.93300304639, -15739.691470089441, -37065.57691894114, -67980.8009939724, -41949.460301453626, -73473.99498327427, -70023.79285557347];-0.7725262359468352;0.827059384840966;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;36997.9409671817;0.2228738918732258;63.63636363636363;23.386850589998808;586140.5646496292;0.4633728227940836;122143.03779044028;112377.44095136202;98944.17886434434;104120.08099753413;102470.23509529288;105665.1419106711;106332.58169507676;105161.762153367;102083.26032934037;102647.309760917;111958.9041412866;107310.35373265993;[9342.579209559713, 34576.74404863798, 37702.35913565566, 34072.419002465875, 43457.844904707104, 43093.89808932891, 48179.468304923226, 58511.798846632984, 30971.480670659643, 45754.47323908299, 3920.0928587133967, 1518.9872673400678];-1.2028737183399596;0.6723582907447986;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19708.248280028474;0.14571196446985124;54.54545454545455;9.017850041002271;389151.9005350561;0.429879058362078;108645.19960787657;99642.00967929352;90142.40876148528;94297.81896248182;95199.22517921745;98492.85673319326;94104.92020070448;95041.02082076897;94189.53203603024;93867.4450889472;97117.11472716695;95373.86032760645;[-22835.297607876564, -11753.612679293525, 1717.2172385147278, -3699.111962481824, -1796.679179217448, 10778.261266806745, 12465.909799295521, 21182.367179231034, 16831.092963969757, 41367.42991105279, 25280.53627283305, 25052.027672393553];-1.366339917386595;0.5983026272180754;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;PR;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;29054.694655437685;0.25839680515357455;63.63636363636363;26.988417747553445;460747.76630894945;0.9331935954728798;72694.41010416216;74702.6203517568;67586.38031863226;70644.87880510796;70950.50185379268;68857.97177894459;71179.24415989553;73849.35329526397;67180.44056122696;73417.9187586159;69837.0496314659;68152.28286397271;[17584.477895837845, 9531.792648243194, 13524.871681367731, 16709.975194892046, 18116.041146207324, 22525.24922105542, 16649.234840104473, 35384.13670473604, 42125.98843877304, 51845.6182413841, 35596.18636853411, 34255.24123602729];-1.5261494847535975;0.5205381965458303;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
