train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25046.062604576055;0.11685211775656905;54.54545454545455;5.985171970399369;494236.1028236224;1.4016292839559905;167880.06349833435;163328.78492066136;161580.4488333682;164872.05323477468;149722.9385783335;159880.28905892232;159121.68096585857;146496.20674355997;169605.1573297185;151591.53896999394;149327.95504212042;161756.59294608003;[33170.91950166566, -25980.543920661352, -63.189833368203836, -11039.470234774664, 30753.89742166651, 51336.84094107768, 26139.45203414143, 28325.696256440016, -16621.783329718484, -7984.245969993935, -1615.7200421204325, 14864.679053919972];-0.26027139750520645;0.9309456608488157;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23499.631492267003;0.13215312439211202;45.45454545454545;-2.826190739574884;556382.7142905385;inf;197605.020046465;165466.96308230076;145756.4001182155;178185.64177486236;143512.46742253454;154791.26014496037;167509.5806704085;139588.1416040206;165277.99638128397;151116.34184509274;144318.4608183328;164642.84360870728;[-35893.823046465026, -23288.597082300752, 5341.820881784486, -27515.387774862378, 36191.76957746546, 27444.428855039645, -2215.9416704085015, 28932.323395979387, -9387.87138128397, -11114.832845092751, -15866.7728183328, -25337.295608707267];1.1354560996844696;0.9955081503643722;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;35526.738579894874;0.16183442325801553;54.54545454545455;15.652280727217516;701744.0908379372;2.1140859790293067;144194.65386719943;136192.15431336625;128005.43427426832;148031.68099168377;118542.2429482359;123133.60631146522;137863.678215011;126203.73076302398;139563.75016662217;131930.7916310232;117137.28278852074;132879.7407080033;[45353.91213280056, -794.2223133662483, 3785.1927257316856, -13321.402991683775, 49910.406051764105, 58991.88468853479, 41573.525784989004, 64403.90223697602, 12111.810833377822, -5964.840631023195, 10219.831211479264, 27610.90829199672];0.13344513042270212;0.9682717466634876;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19584.717971607053;0.12813749986326703;63.63636363636363;4.892456159018761;309468.01148499124;0.6538578963945787;133412.17115877208;124675.48271340417;124268.28760273727;136735.57006724138;114130.11136917984;121546.59578806811;127814.56629957882;110888.26255051939;124137.5584920968;121557.58837319099;112482.22934999481;125389.09777208495;[14115.58084122793, -18855.172713404172, -8135.8136027372675, -15741.930067241381, 32793.39163082016, 18360.326211931882, 26532.391700421198, 36124.937449480625, 5237.722507903207, -13049.460373190988, -8243.039349994811, 6841.803227915065];-0.3586469730323777;0.9167776743167467;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19646.15946366991;0.13424179522368146;36.36363636363637;3.585044935827565;542502.5729276767;0.4803924978408894;133165.1046596435;125133.80902607179;111515.18885287113;128098.16524218387;113793.30131887997;114274.82861031122;117258.46863758666;104962.12322438716;116779.57690630229;113670.76107507873;107139.71404905751;114088.80504449454;[-16921.499659643494, -12714.121026071793, 5915.281147128873, -6795.879242183873, 33017.95068112004, 31815.901389688792, 7579.735362413339, 31966.490775612838, -6300.227906302287, -25056.415075078723, -5417.601049057514, 14962.808955505461];-0.1148492755921323;0.947939255153893;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19609.834839245355;0.13770900564760682;45.45454545454545;10.109587062574203;464334.81300268666;0.40371357840971217;99797.47548268284;106010.53703175906;104033.31596100623;119452.59028836663;98913.24568573803;102836.50365837962;105626.37254152213;96088.60140871417;110267.87454137889;104624.51014698601;91083.9484873206;107319.97096817265;[22111.899517317157, -3112.684031759054, -22054.693961006225, -419.47628836662625, 33244.84231426196, 32165.266341620372, 14913.915458477873, 27116.614591285834, 5625.205458621116, -1006.6021469860134, 16580.034512679398, 14974.104031827344];-1.1149043417045261;0.70909177595667;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18664.78689574723;0.1702905676325096;45.45454545454545;-9.95354589071801;442221.5877666729;0.29642361302858533;114250.50406147478;111715.39116603829;108462.74827929543;123176.94943909594;110448.97899919302;110790.19841689285;116546.02506967395;105912.84043584761;116678.83497040685;111828.31195236438;106325.94586691119;117377.54244818183;[1031.686238525217, -27020.443066038293, -16379.959029295424, -19539.423139095947, 16180.45770080699, 8686.412283107158, -2.034869673952926, 6815.184864152383, -21757.596110406856, -34078.92009236438, -25847.189866911198, -10615.068448181832];-0.3943538161578764;0.9110372281824918;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14202.778089563299;0.12333887299281353;63.63636363636363;-1.9019354260874095;224396.2310013912;0.30292458896972824;112524.19578656062;117043.14708387665;108774.78957138507;121709.83110900685;108228.02084835742;115015.5708395534;118877.04198452448;104478.9231540129;125050.928710673;110783.53942886747;106212.5886126315;116893.32031786496;[8098.116213439382, -9383.452083876648, -13767.14857138507, -8010.989109006841, 17647.748151642576, 12049.855160446605, 12348.811015475527, 16622.697845987102, -18008.731710673004, -23110.051428867475, -15901.522402631497, -4073.2455178649543];0.570738343952904;0.9868717272984905;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;MS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17819.751400653728;0.14334171802891624;54.54545454545455;-3.1151725890848705;351844.26712205075;0.39245321571242864;115576.45745737375;122094.7910483344;119696.9815162693;121451.01728979219;108618.85744521173;121559.74765320224;120045.03511333077;106269.08079288174;130896.23109731064;117361.99462276239;109499.92018742656;120969.43239931841;[2369.656642626258, -19356.672048334396, -21428.35851626929, -14597.967289792185, 15339.12575478827, 22516.056146797753, 6745.666286669235, 28554.996807118252, -25993.153097310642, -9899.885822762386, -16442.01918742656, -10526.447399318407];0.9983211745590644;0.994248203370071;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;MS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17603.035248129676;0.1177747886018395;36.36363636363637;1.0041579079511416;485958.82801064366;0.3638017468188761;120237.8120905213;119639.70130761132;116833.84235554528;121706.43405105143;106448.33387887174;116221.15293182559;119380.10553120474;103619.38660264546;117934.82282810213;112221.52304324054;111281.77556653903;117162.8666686022;[-10897.301090521301, -15812.003307611318, -7692.382355545269, -7219.904051051431, 13452.356121128265, 28709.397068174396, 9486.994468795267, 40285.077397354544, -5792.302828102125, -12801.023043240537, 271.6829334609647, -17965.387668602198];1.5285198903912067;0.9976264655732242;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
