train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9744.860027077642;0.07006276597030466;63.63636363636363;4.518579078275962;153738.49505689365;1.1556013955269806;109737.12735195471;114823.53712056586;115378.06260051644;108949.53869125649;114083.28332580689;107820.05794193172;107646.17076205276;115351.36890126782;113121.63676130517;105915.98873117517;105707.15997443609;110533.56930517225;[982.7126480452862, -10471.411120565856, 8019.262399483559, 7313.922308743509, 3123.4386741931085, 13574.073058068272, 7706.870237947238, 4481.385098732178, 2831.2022386948374, 20874.31726882483, 11820.596025563907, -7359.351305172255];-1.9479897410604177;0.3098326298743105;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13370.104405413344;0.08742484688540807;45.45454545454545;6.370916537823218;316295.0244646208;inf;101041.73700106927;109403.05451879556;105348.1860109893;102580.61003429125;106880.79772496404;97017.05534961379;100634.82111464482;107623.90377508359;105915.86138979574;101211.01670140855;97559.88207979596;107003.86622745935;[-1228.0340010692744, -12462.510518795563, -1300.772010989298, -2102.933034291258, 4575.154275035966, 22659.84165038621, 20703.656885355187, 11238.892224916417, 6806.618610204256, 27337.941298591453, 9836.876920204042, -1538.806227459354];-1.9875427356705448;0.2920617449218593;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11417.026629753998;0.09320898214982108;45.45454545454545;1.987934127326461;270120.3212006469;1.1918590269564642;98943.845153701;112275.70876476997;107056.44439739468;94533.08155518757;109640.37012758538;94576.26307045769;98102.58765537164;99373.43062843775;110414.94717023408;94890.71232524826;93895.57054057116;103039.28437316106;[-5145.785153700999, -18372.69576476996, -6747.632397394671, 12302.383444812425, 1889.7138724146207, 17300.619929542314, 10150.09734462836, 8895.983371562252, -6647.138170234088, 20314.64667475174, -1592.3065405711677, -7669.257373161061];-1.1371076957345483;0.7000492937890272;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17288.67275172585;0.1564914234698418;36.36363636363637;2.0569267357982945;477571.3342616587;1.522127167337198;100539.46249651317;101573.87111703142;103185.40585015724;92756.69167886466;98632.10848921695;96687.99703204758;97527.8223483437;100608.12234023384;102992.8647143342;95566.08051191007;96335.06989443101;97891.34429996305;[-11602.841496513167, -27186.05711703142, -28810.86285015724, 2398.029321135342, 10680.391510783054, 11720.423967952418, 15055.38065165629, 17972.538659766156, 7940.884285665801, 29701.581488089927, 6451.086105568989, -9448.843299963046];-1.0213513997962045;0.745397434745281;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7747.797202807244;0.05696269317864391;45.45454545454545;4.172599277663204;183186.70016287814;0.49728957346907227;94016.81788468084;98323.7087710027;96416.9363309293;89525.06835214238;94901.9970890155;93470.57621413002;95511.77114323212;95318.05582590774;98526.43117457473;92574.52872567679;91603.1221560099;95724.29594101619;[-2528.5378846808453, -3926.929771002702, -665.0893309293024, 2336.5946478576225, 9416.2289109845, 7866.765785869982, 2004.876856767878, 9584.558174092264, 2274.5988254252734, 19590.0072743232, 6808.3608439901, -3300.51794101618];-1.0179580301362456;0.7466583040597206;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5817.554385588472;0.0519190358277977;18.181818181818183;-0.8521756095150929;206238.75903853375;0.31667666545454903;93376.98439409293;101702.55463699836;94015.41070903465;94422.68045478547;97295.38840097298;92312.58936111542;94748.40783025819;99438.27486252473;101010.2850396361;92371.71808323654;93361.5899411521;96746.21259956306;[4880.377605907066, -10134.864636998362, 883.3292909653537, -4782.171454785464, -2318.50940097298, 6618.536638884587, -3288.1138302581967, 1709.448137475265, -4476.5950396361, 9265.406916763459, 1179.3650588479068, -9260.198599563068];-0.7992507283175034;0.8193420614471549;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6420.705364665749;0.05251530585647538;36.36363636363637;0.4936605657251326;177072.26028964153;0.3522904769480641;92281.35466231917;98373.21526931143;94616.56490477658;95864.08933350978;97909.65784848212;92306.95997131025;95239.76380453027;102219.15696668359;99692.27675563075;93055.59605716303;93694.40038350962;95309.1856767067;[2812.4953376808407, -9468.07826931143, 3245.0880952234293, 2546.091666490218, 1552.042151517875, 9511.660028689745, 1143.1601954697253, -2650.718966683591, -3548.8027556307497, 12072.101942836976, -538.6603835096175, -10968.32867670669];-0.9290642406371147;0.7782505504491039;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6006.943224651866;0.04473044160843998;54.54545454545455;1.814455574648988;118348.26051804067;0.29541337946571994;95992.63304847643;92500.416810913;95914.6806248922;94368.2015006193;93004.95555842399;90354.4054774558;92960.64698849249;97780.17018837448;95693.03723821754;93234.19343941417;94524.81133365;93155.31515433158;[-275.2170484764356, -253.31281091299024, 891.4523751078086, -736.4845006192918, 5138.694441576008, 9252.564522544199, 9853.594011507506, -1269.7701883744885, -687.287238217541, 11354.109560585828, -3497.126333649998, -8898.515154331573];-0.498410019817325;0.8923263972894624;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6113.464516202231;0.054463832243432285;18.181818181818183;1.2278397838386925;216735.83475840033;0.3191075541833076;98878.98462723802;91939.30345789166;95447.52836209645;89966.24965234491;91282.93732516275;91684.38836482179;91304.47924639832;95326.25120358693;96128.58490874972;90681.73683895306;93079.76380738746;91618.68975220261;[-9046.856627238027, 183.64654210834124, -4213.244362096448, 2907.250347655092, 6757.512674837242, 4533.991635178216, 5453.064753601677, 5717.636796413077, -5806.044908749725, 12587.393161046944, -4348.627807387456, -836.0477522026049];-0.08894349360509629;0.9505287293729954;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11432.158792575292;0.09382678209821665;36.36363636363637;8.709045840164551;315484.23306478315;0.5138459132845022;89679.70083776617;82856.50480849658;86466.75620077229;83801.50933409912;82928.88716511894;83296.31414683821;84271.72268689623;85631.00583600777;86130.75379461635;83262.32350830235;84687.0409349168;83332.33910347872;[-6359.580837766174, 6292.108191503416, 2161.14479922771, 1514.2406659008848, 10990.562834881057, 10095.18585316179, 11008.277313103768, 17749.893163992238, 5944.263205383657, 25329.87649169765, 12059.009065083199, 173.0808965212782];-0.08067446768677958;0.9513297339932432;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
