train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AM;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15664.766222360695;0.17373736871043263;81.81818181818181;-13.400452153544705;124507.885761198;0.9641759607688398;86434.67139872223;83643.3554967853;86166.77612410509;86894.23320537871;89509.53184381587;92977.20046491979;91598.08943969972;93281.15038602978;88625.56030826806;87437.88757339692;82913.39439427764;77407.95366574163;[1863.4236012777692, -5341.410496785291, -4530.086124105088, -4931.349205378705, -941.4178438158706, -1737.1784649197944, -8107.33643969972, -12791.92638602978, -28921.729308268063, -29345.67057339692, -30564.499394277642, 1638.944334258369];-2.0775376493804774;0.25364221142608767;2;394;-3.4470566389664703;-2.8689037160476016;-2.570692663557422;False
1990-01_2022-02;2022-03_2023-02;AM;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7422.902280137511;0.07229036162344978;63.63636363636363;4.053891198964821;117113.8937407535;inf;93861.45394069524;78197.68677653106;82144.73074045296;80513.27802016294;85839.25453003445;89711.31519398982;85331.96982129519;82792.22758171406;83351.93456199286;85819.5105843301;77598.61716931815;72261.23093062828;[-13382.29494069524, 3248.74122346894, 9523.630259547048, 5664.718979837067, 955.2064699655457, 8475.924806010182, 7951.888178704801, 7871.597418285935, 4221.209438007136, -3342.4955843300995, -82.4151693181484, 11037.167069371717];-2.0615759025591283;0.2602430430871767;2;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2021-02;2021-03_2022-02;AM;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22982.2962010681;0.2601429786206547;63.63636363636363;26.421227409231317;364470.2572722519;3.184419828950283;51996.881190763925;58560.83020444507;59817.50812019053;61453.85945845212;66389.0566472832;67730.99633773332;66366.51285835443;67865.25106777473;61477.35196331978;63699.30151905075;57060.988875777824;53532.841570537574;[9784.937809236078, 33578.584795554925, 21572.46687980948, 25959.436541547882, 11023.387352716803, 21535.013662266676, 22732.257141645576, 26750.506932225268, 23109.450036680217, 15793.219480949243, 26397.538124222177, 26034.241429462425];-2.0130911026614586;0.2808627696120226;2;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2020-02;2020-03_2021-02;AM;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19063.316536144568;0.3073366685089059;45.45454545454545;-29.635005697735263;452798.3017522715;0.7064946857724028;68073.73909724908;78556.4717576848;79584.6108000351;78591.25471439307;83152.64086805824;84846.30045870731;82952.27193138552;87273.00202558145;78701.62739842274;82570.66556303855;74337.87486892674;70760.33811750938;[-2211.1580972490774, -22144.695757684807, -21768.742800035092, -16350.524714393068, -12245.369868058246, -20765.849458707307, -18379.75893138552, -22019.328025581446, -13085.737398422745, -21292.45356303855, -22350.858868926734, -24421.79211750938];-1.9846897484145658;0.2933261937297216;2;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2019-02;2019-03_2020-02;AM;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15025.429522606248;0.18303648197005995;72.72727272727273;-17.142044688660263;178634.9020710729;1.632887080923644;89186.23509744351;90471.95120501496;91745.41733552875;90220.32297471377;95144.32512003716;98736.95454627265;96386.37917366778;99320.85620024426;91892.7144730804;96941.57979355605;87972.0860562833;80366.15524448246;[-11048.28809744351, -6048.69520501497, -9981.109335528745, -14285.708974713765, -9577.968120037156, -5520.641546272658, -11572.891173667784, -9660.414200244268, -16627.326473080393, -29922.454793556055, -17333.57705628329, -20617.042244482465];-1.8791750328135868;0.34192034876565147;2;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2018-02;2018-03_2019-02;AM;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10580.807928335775;0.10219249853670569;54.54545454545455;-0.8290340507675709;208725.86580467052;0.7551277149455881;97364.99052320722;86593.7332210372;90165.01547913424;91644.6137830043;95919.01184929379;99932.83202642796;96269.15160842048;92406.29801513164;94136.60547529337;93055.31560162477;85565.93101231895;84207.85902148225;[-2692.4725232072233, 10042.042778962801, -25809.784479134236, -6444.608783004296, 3612.422150706203, 3553.9599735720403, -4163.219608420477, 15144.503984868352, 8768.034524706629, -6654.185601624762, 5649.877987681044, -10110.66802148224];-1.7655345906400621;0.39770201393645027;2;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2017-02;2017-03_2018-02;AM;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14272.439685130861;0.13966366805536712;54.54545454545455;12.633936757263536;281781.6942198304;1.363965707245499;60281.72808333719;81235.65317626922;79930.23713074159;81000.66704604449;86012.432405888;85557.0824809549;85744.23298916656;89450.58981398772;80857.59689938989;84465.24282889509;77005.06574721319;75214.38312131142;[5171.1699566628085, -9428.566806269213, 17463.495909258418, 21016.46495395551, 14984.988194111997, 18389.599119045102, 17263.020110833444, 5354.345226012272, 7762.576120610116, 17069.599171104914, 16541.915252786814, 8213.049878688587];-1.8336466699309073;0.36388958315688424;2;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2016-02;2016-03_2017-02;AM;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17017.19607242356;0.1920812193256131;54.54545454545455;-14.078556486629335;336358.3462985142;1.4254154541139932;80476.87552767256;91679.70263121265;91425.51600376013;91357.80443578356;95631.98655243906;97014.64846472854;96436.7496475041;99590.0690919757;91760.41972365754;95194.36666358887;88299.2580634372;85146.94358847172;[-385.4135276725574, -13879.286631212657, 450.1539962398674, 251.43456421644078, -4585.2365524390625, 12285.202535271455, -10393.293647504091, -23347.1550919757, -26247.12372365754, -15746.28166358886, -30979.703943437198, -23670.88509847172];-1.6706419896852773;0.4462985258375194;2;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2015-02;2015-03_2016-02;AM;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16507.58751301543;0.1638355040870595;90.9090909090909;-15.441827648005715;66153.51368096506;1.7651197263619343;93254.80919854443;105854.79261874451;106293.66370424494;107561.43595796086;109912.84987933906;111125.31225609817;110917.14449428218;116144.26834794469;106685.37101678649;108891.78152104;102423.24256246799;99759.57781921978;[-1397.3776385444362, -5778.351618744506, -22479.030704244942, -21212.285957960863, -22083.98484933906, -229.4404560981784, -17875.86820428219, -14303.075947944686, -9533.848206786497, -9612.73776104, -23832.393562467987, -22720.778819219777];-1.7300915838397934;0.4156788575082323;3;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2014-02;2014-03_2015-02;AM;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11118.546952424718;0.08843004773706005;81.81818181818181;-5.525037886388268;87962.295781443;0.43764720852930716;107708.26521728681;108294.02656847618;112083.08497478347;110917.16498207067;115438.91850738655;115784.81100319776;115979.4010418679;119444.19712370637;112971.76705112503;114226.9094386946;107114.42663796483;105889.79667911597;[-8437.22321728681, -4503.389568476181, 13913.890025216533, -8276.00798207066, -505.1035073865496, -18375.08600319775, 3489.8569581321062, -8287.21612370637, -9980.92405112504, -124.86743869459315, -5204.532437964837, -24175.01967911597];-1.570426747512586;0.4984298991712768;3;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
