train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8276.887862390702;0.4578641798957713;45.45454545454545;57.0204414827055;197142.5752506831;1.014784528162499;4714.414163433471;4706.975535627911;4637.219692746292;4769.010794546157;4890.86653639261;4777.175077845887;5014.223419823371;4598.67116530135;4539.501142746944;4648.120181750229;4597.97276712002;4714.985494593336;[1176.585836566529, 766.5754643720893, 1174.030307253708, 920.9892054538432, 1648.1334636073898, 4080.3549221541134, 5995.30658017663, 7255.358834698651, 8576.714857253057, 12610.779818249772, 15501.13723287998, 15396.664505406665];-1.5805891884308516;0.4933364349254194;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1193.6792943101432;0.17930645515704882;36.36363636363637;8.78793706490421;32989.8756947384;inf;3306.4406258941035;4153.796127393136;4732.360002530183;4602.478417762408;4888.253356129943;4727.591563644467;4591.402385907638;4255.401096653475;4635.414453051262;4770.448851035853;4288.63221255763;4537.920404356222;[2963.8133741058964, 1410.698872606864, -221.83800253018308, -313.97841776240784, -763.4563561299437, -943.8965636444668, -719.896385907638, -48.67509665347552, 1379.0915469487381, 1078.0511489641467, 1004.87578744237, 328.7825956437782];-1.245628240882597;0.6536662758710753;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2016.6844778621264;0.449015116933565;54.54545454545455;-41.063901525854945;40094.121715364;2.6108344624359083;6534.712963056136;5922.181804987949;6802.16417652368;6087.590316321918;6369.241282969429;6608.305647492842;5852.9009935859885;6455.523384187607;6186.498707352754;6297.839886552954;6595.959671033514;6218.743662142114;[176.3910369438645, -648.2688049879498, -2525.15117652368, -2126.299316321918, -2032.7352829694291, -2425.1766474928418, -1192.3559935859885, -2197.1063841876066, -2598.3687073527535, -1858.5248865529547, -2501.9146710335135, -2174.303662142114];-1.5060782088017357;0.5305024216865093;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1259.2425436364347;0.1728382793757015;27.272727272727273;-0.2100990078465781;39755.54190047393;0.6326031807212287;6438.237104569122;6266.294769716303;6612.0380717007365;6079.912654343852;6361.586832489365;6268.160131521492;6368.016370806571;6795.855259978503;6864.9592061950825;6686.514415902609;6630.041221021026;6521.476464639635;[-1201.0571045691213, 2555.5952302836968, -1252.0030717007367, -855.8056543438524, -1216.2388324893654, -1139.5811315214924, 543.8226291934288, -285.3402599785031, -822.1092061950822, 503.56558409739137, 1226.5597789789736, 1779.2825353603648];-1.3850459173568765;0.5894239269496373;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;False
1990-01_2019-02;2019-03_2020-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1762.061211020229;0.24754032554741792;63.63636363636363;-12.246348391692292;27938.03832929851;0.8181273538794726;8503.776301538548;8579.985263545173;7403.928610671838;6910.447911812534;7939.919621019104;7186.146604753294;6974.220876964161;7552.960952757859;8032.2785030575305;7602.138329511995;7071.1776424956615;8174.162712143957;[-2339.513301538548, -1239.0302635451735, -171.24561067183822, -1492.6789118125334, -2450.9836210191042, -2267.1446047532936, -1448.0888769641615, -403.76495275785874, -1142.9095030575309, 2360.5776704880054, 2224.9883575043377, -1660.1167121439566];-1.670380403212607;0.44643434303783536;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3670.404296393944;0.32709263666257454;36.36363636363637;31.154398856202796;101668.16066105245;0.8302243911698162;5025.3343893819065;6333.477738735402;6324.627102926971;5654.802816449154;6173.504450140555;5801.541818215933;5790.903097482091;5158.169243398548;5574.613946701799;5122.3256109816275;5180.952104127143;5711.128157002139;[-235.99238938190683, -1179.323738735402, -1370.627102926971, 3815.8471835508453, 1840.1595498594452, 2577.019181784067, 6084.514902517909, 7274.504756601453, 3927.6770532982, 3398.999389018373, 4071.8478958728565, 499.86184299786055];-1.2139282630929435;0.6675756101055912;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1586.4186567744239;0.21929118351711727;54.54545454545455;7.243374272508486;31379.475431731906;0.8737865510375504;4337.432306922917;5407.398569035478;5611.834395334075;5799.943373800833;5633.877992121717;5716.981434612151;5775.07027079393;5270.471379520145;5757.882994304612;5779.352723154871;5491.406967157977;5660.430637156376;[686.570693077083, -1008.7885690354788, -1316.3043953340757, -1623.3113738008333, -1172.0389921217175, -18.87143461215146, 1006.1027292060699, 1374.0266204798545, 1804.5610056953883, 3380.11427684513, 2308.009032842023, -247.21863715637573];-0.8797343907193462;0.7945728994380121;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5777.360164296156;1.0268450706160681;36.36363636363637;-99.07802592515213;161794.3260380049;4.867181711638903;9505.553520895439;11134.46671078067;10908.463874478626;10981.170347391804;12254.93205445664;11694.524183261265;11630.548431846406;11426.378338985121;13478.471095956309;12147.671179040812;10075.928512534665;11039.088114358143;[-3307.853520895439, -5326.548710780671, -4794.950874478626, -5862.717347391804, -6068.34205445664, -5129.262183261265, -5196.0194318464055, -6109.578338985121, -8476.161095956308, -5619.387179040812, -5021.034512534665, -6911.178114358143];-1.3813622755591464;0.5911779481178934;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3800.467770601;0.26878680009800976;45.45454545454545;20.992399531631612;90211.44953925656;0.4556797768301427;13224.566537044691;8706.920366294715;10368.807454139562;8003.3714135734945;9108.994157953322;8410.742862286947;8392.438357381714;9675.96032666574;8501.890658051858;9901.049708156736;9925.230248871243;10013.593687812934;[3049.435462955309, 4608.312633705285, -61.10445413956222, 3327.3885864265058, 4031.305842046677, 4934.944137713053, 5575.311642618286, 6441.040673334261, 1974.1593419481414, 815.0652918432643, -665.4062488712425, -3678.4786878129344];-2.3132905270645274;0.1677173339353265;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2825.206907554973;0.23715627509718762;45.45454545454545;1.3401568893416256;67023.93441255338;0.5014984476298998;11244.024314470631;10585.78164882959;9471.955471156749;7876.6555631913025;9221.214963242057;9235.0652122382;9128.628158692758;9396.533318092113;9128.956586545917;9033.91262306136;9358.621397303106;9277.895352259784;[-3324.1953144706313, -865.7276488295902, -2247.339471156749, -1430.3175631913027, -2215.424963242057, -1716.0242122381997, -1054.7501586927583, -383.3493180921141, 1187.901413454083, 4078.20337693864, 3243.7716026968938, 6261.6466477402155];-2.2264786097068536;0.19677597107059308;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3120.470796559763;0.18753888700923996;36.36363636363637;16.14879176513635;86244.24758605905;0.45792225107218937;7434.019174255909;8237.927769129303;8297.38900741153;8109.953820693132;8169.809541028772;8207.45881941254;7957.145300019532;7807.526669049295;7804.324717819303;7806.261029155028;7690.436400020022;8047.803462352616;[686.3498257440906, -1194.4717691293026, -1141.0890074115296, -1130.4738206931324, 180.54045897122796, 69.44418058745941, 504.3826999804678, 2164.167330950704, 7982.697282180698, 4601.748970844972, 4623.096599979977, 1059.316135647383];-2.2357485288528327;0.19352750461329732;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
1990-01_2012-02;2012-03_2013-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1628.5993880200397;0.17836077392247676;36.36363636363637;-12.8760953100249;45007.32782987109;0.429504623767485;6778.0504938813765;9341.409246750962;9912.224703343685;9742.770103057901;9602.970602794187;9551.29034347034;9020.151766623305;8366.346308294165;9075.556940094802;9009.046370749938;8710.899379926163;9306.489279877444;[1445.4655061186231, -1542.2732467509613, -2273.6957033436847, -2795.672103057901, -2439.3446027941864, -1670.85534347034, -1925.451766623305, -17.016308294165356, -1337.4940130948025, 265.66009325006235, 138.178620073837, -214.9582798774427];-1.8144033820249843;0.37333462376793036;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;False
1990-01_2011-02;2011-03_2012-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13124.827664090482;1.4838184363603977;45.45454545454545;-142.7361586403362;318461.5677992013;3.1656194099018724;13770.309121368527;21249.119418390623;22912.55020383656;24247.597291362963;22631.208781634377;21955.11027605186;22843.225536976915;20874.58590328473;23806.18743549722;22019.414010939963;21331.07871994248;21598.671194649025;[-2266.8801213685274, -14604.953038390624, -13954.22220383656, -14261.655130362962, -14132.521955634378, -12669.72927605186, -14743.257536976915, -12304.402903284728, -15235.779435497221, -11891.177010939964, -12877.627719942482, -13498.153194649025];-1.7963856348527458;0.3822575963514325;13;239;-3.458010773719797;-2.8737103617125186;-2.5732559963936206;False
