train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5243.720360723331;0.08552938655666487;0.0;-4.99307044151085;227257.65848060104;0.7764448832807644;52719.67898341376;57783.14890640355;56185.48806306958;53528.62207116141;55760.88073300855;50303.04599064509;52707.44848307581;55560.022408025405;57025.0720487023;49412.63620228209;52327.50756830071;54635.626998379346;[-3728.533983413763, -8924.878906403552, -3372.284063069579, 1928.9729288385934, -2028.0257330085442, 6089.205009354904, -227.29048307580524, -3242.5794080254054, -7574.9530487023, 2120.622797717908, -1601.9245683007102, -10252.324998379343];-2.770457827899664;0.06261913750995964;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6945.042099342087;0.09886764206320404;54.54545454545455;4.731233353297086;136994.33541118164;inf;50249.746587550726;51135.60445361904;54662.80033688768;51303.508932247736;51672.27077793959;47372.76408634278;51292.45285290616;53807.88091130066;53450.51567632049;49476.615038117925;49292.63121403434;52709.18031293729;[-3354.4515875507277, -2352.7694536190393, -6073.121336887685, -1480.2349322477385, 3760.587222060407, 14712.558913657216, 7925.743147093846, 5968.565088699346, 3631.0253236795106, 12668.355961882073, -4487.044214034344, -306.2943129372943];-2.714780063163972;0.07151540699373463;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7059.7714412951755;0.10743786291564922;45.45454545454545;3.2634956784415166;167074.8286813092;1.395594650397888;42949.11790237537;60656.57577257013;53977.55880407827;44855.32535513765;53109.66913631658;43992.92277603244;54631.966831377154;47010.25216865068;59565.076726439926;46562.262656991814;46007.83672931767;50653.93672728946;[2112.4980976246297, -9860.021772570137, -942.8428040782674, 10455.867644862352, 3334.0558636834176, 10900.431223967556, -890.9948313771529, 8375.205831349318, -9841.988726439922, 9230.066343008184, -984.9437293176743, -1511.7607272894602];-2.782065572106934;0.060881591653713846;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11076.507920432345;0.21619947778612417;18.181818181818183;-6.475249289005022;393466.5885304596;1.987720289184476;54600.04606667112;54623.03693495915;54441.110628556926;49443.22232590683;53771.36944353858;53536.42612933565;55392.77442115928;53005.95704786701;56071.23822927245;51857.687101212796;54010.36950196154;54543.51990979017;[-9685.480066671123, -21372.39893495915, -13413.369628556924, -1042.784325906825, 6759.009556461424, 5943.00287066435, 3479.216578840722, 8827.281952132995, 1734.6657707275517, 10029.647898787203, -14599.779501961544, -15902.47390979017];-2.1752667526473743;0.21534433253202245;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3920.4563299384977;0.05552956284099401;45.45454545454545;3.130650609598975;92692.34556430814;0.640823308090224;53393.394338400794;52598.655756027314;53013.33984801284;49476.30024145212;51996.53826059586;50435.68143039503;52264.260888526434;52557.50397635992;53888.76423520547;50302.620314672095;51993.51189363283;52585.603356597414;[2629.585661599209, 1356.5902439726851, 2928.867151987164, -1019.8822414521201, 707.3227394041387, 9429.564569604969, 2255.079111473562, 3452.3500236400796, -499.53623520546535, 5577.121685327904, -1544.2398936328318, -5089.858356597411];-2.0053633898143146;0.2842264025616884;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4435.142190798112;0.07499774110597862;18.181818181818183;-3.218530759670441;157276.28935318207;0.7407317575484011;54617.53236992481;54658.925922599214;55840.63419939654;50441.0803059154;55463.55044456764;50995.99700005589;53799.217472254924;55987.158720489584;55575.80938916118;50678.37605015797;52840.2025818877;53853.30890254336;[306.21263007519156, -2754.200922599215, -5194.712199396541, 663.6436940846033, -4947.298444567641, 5510.9499999441105, -3459.596472254925, -4018.323720489585, -7352.384389161176, 6838.345949842034, -2166.6775818876995, -3530.42490254336];-1.8967741435665288;0.3335801738995539;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4961.237027147145;0.07988457364967756;36.36363636363637;1.5520449692961584;136882.45692597402;0.8274807911699857;51163.7861670618;52533.067248861764;53810.30042820779;51235.2438445101;53037.629437588585;50954.98791773244;52987.68188423208;54423.866128860594;54107.707560512;51899.094359689596;51910.25494376376;53192.97182085937;[2968.813832938198, -2097.5622488617664, 4715.215571792214, 6365.588155489902, 2353.5715624114164, 7924.847082267559, -68.11588423208013, -1118.3401288605965, -2423.8485605120004, 5906.491640310407, -6098.561943763758, -8476.25582085937];-1.7076333352905464;0.4271839065288216;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3477.2436257000186;0.056695535525129855;36.36363636363637;1.9619995672606627;95903.60640836402;0.6961841040042459;51578.945796976855;50549.14713008616;53133.570075576215;50771.65863565211;51290.98124835366;49100.782561508524;51507.5942985561;52141.164618002906;53446.127223724114;51251.70885849481;52025.525928077666;52301.79982701139;[448.51320302314707, 2211.301869913841, -464.4400755762181, 1688.4883643478897, 3389.588751646341, 5594.571438491475, 3503.619701443902, 2806.0783819970966, -420.95122372411424, 4215.86614150519, -5449.73892807767, -5133.08982701139];-1.48755167177114;0.5396601155167916;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3864.2864402052733;0.06602597045697532;27.272727272727273;-2.8094695917098322;121806.02226922115;0.8292884512606513;55935.05459409655;52613.14932000609;54364.748823126836;48581.93855977937;53187.71391667175;51601.64384962209;52965.930912003205;53832.33547084343;55056.34391355598;52343.241645481736;52613.21719352022;53565.249510662354;[-6034.89459409655, -1237.50432000609, -4518.831823126835, 2029.4044402206273, -401.698916671754, 3537.8041503779095, 1975.6760879967987, 1382.2765291565738, -6704.134913555979, 2323.9713545182676, -5283.258193520218, -4466.80351066235];-1.3801404447031056;0.5917591433633951;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4729.294661717243;0.06868568042514812;45.45454545454545;4.127554654558735;111842.89767402713;0.9029343236188792;52862.26583938629;49166.36420977953;52766.172590864604;47564.73535365032;49729.31827034727;48442.19009184149;50443.27124082208;50361.4988045146;51463.564833098964;49103.12638086661;51179.94031261206;49458.26984607355;[-2383.4268393862876, 1793.665790220468, -322.1485908646064, 1171.1696463496774, 2697.782729652732, 6412.634908158507, 6637.315759177916, 7795.104195485401, -184.96883309896657, 8592.74361913339, -759.1313126120585, -5509.817846073551];-1.2400807620069225;0.6561208282963866;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
