train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;158.18018211317263;0.042092716893989975;63.63636363636363;3.003750334079431;2494.2378169567983;0.920233651408679;3167.4632338779015;3177.6852615662674;3101.5813122915088;3024.721265648565;3195.2551077668986;3119.2491045516404;2964.939092885963;3133.811971729134;3126.0464043603497;3247.1293467233045;3031.425489775115;3026.597570699734;[132.7450991220985, -156.3718555662672, 215.41868770849123, 226.2098933514353, 36.127138233101505, 193.44473644835944, 16.23482011403712, 145.5141152708661, -16.352563360349905, 196.8434792766957, 237.29371322488532, -71.51967169973432];-0.8311896700886862;0.809788247468009;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;False
1990-01_2022-02;2022-03_2023-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;144.00214617423038;0.038763259606053424;63.63636363636363;-0.7774039094642373;2270.4731964857397;inf;3220.6494230446838;3144.8866912089943;3188.5577052262283;3119.030688167376;3208.396643242749;3079.5311436271345;3000.282047667925;3194.302074731504;3115.3120716801045;3307.397492580733;3058.0941875167473;3013.9705456221477;[85.53898295531644, -220.57690820899415, -26.639227226228286, 12.492862832624269, -265.84954224274907, 147.7188563728655, 173.93534333207526, -97.16982873150391, 132.89082731989538, 9.895985419267163, -41.94382551674744, -200.73141562214778];-0.7706217527563026;0.8275997767627588;10;374;-3.4479562840494475;-2.869299109917524;-2.57090345105665;False
1990-01_2021-02;2021-03_2022-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;152.61946387834647;0.0408177963121111;72.72727272727273;-3.1801732612948173;1805.529520031729;0.8489470653886754;3358.6639986356217;3244.8354278295506;3323.067190726434;3231.636881297786;3272.106139346175;3183.5034961544193;3031.8775039537477;3234.2710885433517;3211.912475372958;3388.569905026079;3112.1397672638354;3073.5019255722755;[106.43926236437846, -107.53651482955047, -211.72298772643398, -62.10970729778637, 11.201831653825138, -94.14842415441944, 31.102568046252145, -274.69318954335176, -275.9939973729579, -11.789108026079248, -166.36983926383527, -136.12873757227544];-0.4367677103676307;0.903776530052078;10;362;-3.448544133483233;-2.8695574079525565;-2.5710411593052713;False
1990-01_2020-02;2020-03_2021-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;239.8016441117917;0.0643214189353661;63.63636363636363;5.668176613539847;3783.588401564569;1.0711697284279051;3021.044513976435;3092.6341036727636;3149.2229500349804;3014.5328174690953;3030.5571958733935;3052.2268074126127;2925.446341932045;3072.7756621159283;3100.962082702358;3240.1251524873396;2928.1759979559947;2967.5103982662004;[319.60403702356507, 262.94379532723633, 163.81509296501963, 364.2733415309049, 395.9083841266065, 153.0123225873872, 208.34532506795495, 281.0902798840716, -134.24831470235813, 188.51071751266045, -41.520200955994824, 37.18525373379953];-0.6321244326140346;0.8635567684867742;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;False
1990-01_2019-02;2019-03_2020-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;125.42408664243072;0.034073137144250594;90.9090909090909;-0.5922432947680972;495.7139445786866;0.6082201078096655;3137.9209633567752;3131.6334654213515;3148.8537754583567;3028.0002002300657;3140.6234902220694;3077.2206109178323;2922.939789728626;3069.188280390406;3094.731157271986;3236.3823346893205;2981.6829667293814;3025.739799114016;[-46.26335435677538, -41.539262421351395, 13.729557541643317, -231.27918623006553, 141.94716177793043, 30.641708082167497, 24.71600727137411, 178.96027060959432, -59.46304127198573, 117.10498431067936, -161.54709672938134, -184.8176981140159];-0.5243329401862981;0.887179983107002;10;338;-3.449846029628477;-2.870129281376164;-2.5713460670144603;False
1990-01_2018-02;2018-03_2019-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;138.65717168757052;0.03990586891245478;72.72727272727273;-1.7036252221280728;1640.3304054731473;1.1007331348416638;3327.4690047790964;3175.263713413614;3093.617063865082;2995.502128932095;3233.9552581037565;3016.247184636615;2872.5190369227817;3170.953300768109;3098.6761370286345;3386.343443180115;3046.680421457144;2983.7232189472775;[-194.36936677909625, -147.01009041361385, 167.85576213491822, 83.45982806790516, -165.77953310375642, 96.52636636338502, 53.412122077218555, -31.00402576810893, 17.159007971365554, -210.39960218011538, -88.63875445714393, -207.71053794727732];-0.23060956504926589;0.9347733219553476;10;326;-3.4505694423906546;-2.8704469462727795;-2.5715154495841017;False
1990-01_2017-02;2017-03_2018-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;210.51870016470355;0.05773505485047515;36.36363636363637;1.9507066444857386;5807.77113536625;1.17242605365722;3191.514904274871;3114.918549199316;3101.3695696453938;2978.4194796286247;3051.393001500827;2990.433828305524;2886.6287811717575;3145.738786086798;3013.340266242089;3187.2175536829336;2945.950218942645;2907.6555219255047;[418.505707725129, -262.85876619931605, -4.1358736453939855, 229.25427437137523, -63.505320500826656, 267.241642694476, 148.33286382824235, -198.85235308679785, -97.48796824208921, -102.44215768293361, 173.69470905735534, 218.71676107449548];-0.20104200499781447;0.9383972991846928;10;314;-3.4513486122290717;-2.870789013306053;-2.5716978530569192;False
1990-01_2016-02;2016-03_2017-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;151.3419579081207;0.043622869093386446;36.36363636363637;0.37124232579583566;4174.341969039945;1.2491425302607293;3096.0245944418693;3023.8843412852034;3118.8283076551843;3003.3947282662457;3105.8712906111045;2975.4060133397443;2809.798979993685;3040.274017176296;3027.834499287462;3249.6585803979124;2896.496542778267;2914.5117163790915;[-6.477493441869228, -124.15245728520358, -38.28482965518424, 101.90599673375436, -193.23723261110445, 120.71898666025572, 297.16116500631506, -176.67619117629602, -79.84536928746229, 154.21641960208763, 186.1357032217329, -106.34323837909142];-0.2344499385049346;0.9342887508996064;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;False
1990-01_2015-02;2015-03_2016-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;158.45627713722263;0.043048120277190266;54.54545454545455;-0.3856686394621183;3122.600098303664;0.7279328850747818;3250.7090799951998;3039.492151288415;3172.4562718147254;2910.0847728374497;3041.230962010796;2973.456593028313;2776.8432247780593;3040.790253708719;2949.6355482586446;3229.5794527774874;2914.0388259401257;2911.169987069594;[-118.79965999519982, 22.225239711585346, -257.02692381472525, 165.77573416255018, 182.96106698920403, -85.81710002831278, 330.2165582219409, -56.15619570871877, -66.14641825864464, 3.677793222512719, -160.98266694012545, -99.03955206959381];0.28546092988168437;0.9766675210036775;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;False
1990-01_2014-02;2014-03_2015-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;230.31640485648032;0.059221608144697034;72.72727272727273;4.551155933356334;2726.512688549144;0.886770727370535;3037.509343080153;2897.080615136359;2945.270510596063;2778.218599036337;2903.681882792604;2862.0744010648586;2644.4977428572324;2860.7460253857766;2880.6632635368524;3043.9386660406863;2751.762468089657;2752.292999140944;[-75.32274908015324, -34.801629136359225, -45.89369859606313, -93.50301903633681, 220.28732020739608, 68.85132393514141, 418.01312714276764, 294.5075976142234, -30.246596536852394, 339.1881459593137, 392.4060099103431, 184.7468558590558];-0.08560341520198907;0.9508537430520758;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;False
