train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;224.61497812686324;0.06100318857402857;0.0;3.479583628242743;9734.688611545083;1.3296440873291298;3119.096052920047;3187.8361499463986;2998.494407401699;3006.730413987341;3131.2873134025167;3071.1398684867067;3120.5610479154666;3111.44810584524;3134.0301745576803;2984.6651536612185;3124.2873089815457;3143.2689934853634;[181.11228007995305, -166.52274394639835, 318.50559259830106, 244.20074501265935, 100.09493259748342, 241.55397251329305, -139.3871349154665, 167.8779811547597, -24.33633355768052, 459.3076723387817, 144.4318940184544, -188.19109448536346];-1.2188426818386886;0.6654380006228767;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;168.44837157805802;0.04516157337291817;18.181818181818183;-0.20314737898029853;5972.735555932449;inf;3197.132790565054;3157.575793485186;3129.553931841942;3141.9070530152503;3150.461634417819;3043.659706889812;3157.5620128375876;3187.763010395099;3114.660656241932;2995.418524299153;3105.8272209617917;3054.3462956311137;[109.05561543494605, -233.2660104851857, 32.36454615805815, -10.383502015250087, -207.9145334178188, 183.5902931101882, 16.65537816241249, -90.63076439509905, 133.5422427580679, 321.8749537008471, -89.67685896179182, -241.10716563111373];-1.1958849734473562;0.6753633826218408;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;191.84497535148628;0.05420971463563342;36.36363636363637;-2.55578136393165;5292.35320220462;1.145881209693645;3340.9905962597036;3240.1441813034335;3269.3690840633544;3223.005057918555;3190.5152120388248;3115.0040416173556;3235.635193347858;3268.475712827085;3240.23610575662;3067.5059459266927;3146.8994812014475;3094.318463917469;[124.11266474029662, -102.84526830343339, -158.02488106335431, -53.47788391855511, 92.79275896117542, -25.64896961735576, -172.6551213478583, -308.897813827085, -304.3176277566199, 309.2748510733072, -201.12955320144738, -156.9452759174692];-0.9820676849364289;0.7597483857925794;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;302.36902890027454;0.07594078439341526;27.272727272727273;6.484900191695335;9534.489334951537;1.2728230505717264;2971.597953672314;3074.4494922766344;3049.5475852413592;3026.7660510531427;2908.3374845501385;3010.5434044538783;3135.4376108795523;3099.4344164379513;3160.969563933924;2903.580651724874;2948.1706157593653;2989.538354123079;[369.0505973276863, 281.1284067233655, 263.4904577586408, 352.04010794685746, 518.1280954498616, 194.6957255461216, -1.6459438795523056, 254.4315255620486, -194.25579593392376, 525.0552182751262, -61.514818759365426, 15.157297876920893];-1.0806711043589452;0.7227181762232395;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;188.38339484904262;0.050744420315473465;27.272727272727273;0.17460183976383892;5938.275764203365;0.9199182629846144;3070.5323842951893;3118.3182158612017;3001.2828049230397;3028.1749715919755;3087.7062221666106;3093.3166009253214;3081.782838041597;3064.322445704854;3091.5233696148834;2965.350355109671;3034.633389789586;3075.949780744693;[21.125224704810535, -28.224012861201572, 161.3005280769603, -231.45395759197527, 194.8644298333893, 14.545718074678462, -134.1270410415973, 183.82610529514614, -56.25525361488326, 388.13696389032884, -214.49751978958602, -235.0276797446927];-1.0345480030051537;0.7404561403212107;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;155.3185990550965;0.042500695551115526;36.36363636363637;-0.64854056391708;4283.888444815161;1.1646545745592314;3224.6633230775237;3154.2787393236404;2944.478695966382;2996.7088841103828;3185.86197807007;3016.136466127072;3040.6832682774184;3122.9666823465896;3086.4202892695803;3063.322812761517;3110.8600139930472;3066.5671671403034;[-91.56368507752359, -126.0251163236403, 316.99413003361815, 82.25307288961721, -117.68625307007005, 96.63708487292843, -114.75210927741819, 16.982592653410393, 29.41485573041973, 112.62102823848272, -152.81834699304727, -290.5544861403032];-0.89427982266206;0.789850316934646;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;218.65766570211895;0.05493012464110985;36.36363636363637;2.770379676798085;6031.903818226274;1.1278609181608465;3084.441406997487;3086.064720416224;2973.0692388585408;3016.36223795918;3013.736416412289;2977.287251690276;3036.4019910448505;3129.0003847551984;3007.5717668341053;2897.5185827699484;3017.7287845933442;2970.142883819199;[525.5792050025129, -234.00493741622404, 124.16445714145902, 191.3115160408197, -25.84873541228899, 280.3882193097238, -1.4403460448506848, -182.1139517551983, -91.71946883410556, 187.25681323005165, 101.91614340665592, 156.229399180801];-0.8590311069030075;0.8011646144592572;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;163.12764059739288;0.0436366886014524;54.54545454545455;1.2744699616876651;3214.6839563909343;1.2727011147083251;3009.7012344985224;2998.6601852176927;2998.403400613118;3059.2088179747943;3020.4406024088344;2943.877778214664;2987.1939264529883;3010.6774415740115;3031.5770114597217;2981.036162134662;2946.101890230851;2946.3564491663474;[79.84586650147776, -98.92830121769293, 82.14007738688224, 46.09190702520573, -107.80654440883427, 152.24722178533602, 119.7662185470117, -147.0796155740113, -83.58788145972176, 422.83883786533806, 136.53035576914908, -138.18797116634732];-1.0135779095908939;0.7482799127520364;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;144.6508476832682;0.04053941466708134;63.63636363636363;0.48554944107356635;2280.837702504656;0.690198009441102;3173.0189615386566;2978.035887680702;3020.0611487452593;2961.377850550803;2977.7919261001466;2939.911554126325;2991.7143996063505;2998.344480395055;2958.5542796562145;2971.328987520774;2967.6030200468977;2957.4929988320323;[-41.109541538656686, 83.68150331929792, -104.63180074525917, 114.48265644919684, 246.4001028998532, -52.27206112632484, 115.34538339364963, -13.710422395055048, -75.06514965621454, 261.9282584792263, -214.54686104689745, -145.36256383203227];-0.6958669749219403;0.8478171819137921;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;AC;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;247.43631182908936;0.06013378859283892;27.272727272727273;5.084331253240766;7800.559618521963;0.9081507424127973;3025.792320447394;2837.6133666509236;2815.7871966940834;2831.4107943818935;2858.400257299699;2864.0112296737125;2858.90007060605;2797.354643915857;2843.732427256956;2803.362410573412;2821.4174687358127;2808.032706567469;[-63.60572644739432, 24.665619349076223, 83.5896153059166, -146.6952143818935, 265.5689457003009, 66.91449532628758, 203.61079939394995, 357.89897908414287, 6.684239743044145, 579.7644014265879, 322.75100926418736, 129.0071484325308];-0.9047889852714379;0.7863912451907104;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
