train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1831.0293546702605;0.04354445423327729;45.45454545454545;3.4794674133434103;43282.4058880421;1.1390841929803368;34175.040301890374;33095.63577684961;32520.3848779259;30992.196590944553;33491.656840073745;32670.186417303223;32909.83297909225;32852.60081604418;32754.223231848926;31968.37336881194;33066.76829763294;33021.0625198009;[1261.0140481096241, -787.2118668496078, 2448.680342074098, 3399.272609055446, -550.5626400737456, 2005.556332696775, -585.1644990922505, 731.6673039558227, 65.43980815107352, 3165.2135911880614, 2085.445472367064, 946.5733501990981];-1.4260462486663776;0.5697275002022388;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;PA;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1337.307481770295;0.03514570036708214;36.36363636363637;-0.4495124433975743;36871.30105425612;inf;34642.17562839121;32869.76653964548;32770.342381740775;32110.549608991925;32977.06819590243;32269.279711841253;33022.894443846584;33439.227538145744;32914.88402108488;32010.81671823895;33008.47480790754;32410.643039853872;[-1085.5705583912131, -769.7737896454819, 436.49094825922657, 781.0772010080764, -1761.20225590243, 2010.426808158747, -929.622703846584, -995.8362381457446, 308.36597891512065, 2480.9495817610514, -368.72299790754187, -1871.7318098538708];-1.467067725869721;0.5497350449359285;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;PA;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1739.3603732526049;0.050044222787739755;45.45454545454545;-1.632154158696855;41120.60817673719;1.2440742530757993;36527.4874007931;32902.184706213906;33547.81866305334;31493.690473054765;33087.674474738094;31911.807303403682;33365.502800771945;34380.37139810684;33345.50634678632;32711.981702563146;33678.721909621985;33129.10624259187;[-595.3442807930987, 1144.5797837860955, -1316.8494630533387, 2331.233436945233, 680.481325261906, 1099.667336596318, -2104.865120771945, -2110.701108106845, -2416.562506786322, 1232.3751774368538, -2256.575169621985, -2112.524722591872];-1.1265219106154842;0.7043802368733;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;PA;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2741.5255883171867;0.06588345788901753;63.63636363636363;6.740364153870862;43247.08147408953;1.7303033838013528;31983.668792602937;30819.905828097933;31613.229958636013;29534.869331613143;30260.155529189346;31094.67214319539;31604.130103194075;31956.573294321548;30839.86282303939;29845.831033206206;31187.031509046188;31034.711842221648;[2812.318527397063, 2594.532581902069, 2544.5146113639894, 4353.308208386854, 3965.7593308106516, 718.0379968046109, -8.646403194074082, 2616.346995678454, 1206.497686960607, 4985.437086793794, 806.7203009538134, 275.28090777835314];-1.4111199988969172;0.5769335935841091;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;PA;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1263.7951654931167;0.037191883559091025;45.45454545454545;-0.07215563505194172;29870.650888336524;0.6696512923502269;32288.614706123586;30567.27722168904;30970.89663628186;29915.415265667296;30824.961719342296;31584.4841751097;31316.27265751509;31176.439742829964;31294.957565673158;31033.10778892087;31410.312353822934;31212.78273900497;[-1295.4299261235865, 1524.7010383109591, 1349.9258237181384, -360.6942556672948, 1117.2448006577033, -501.0729451096995, -1611.2237475150869, 756.8338071700382, -1047.2691556731588, 2083.4936610791337, -646.765253822934, -1639.119699004972];-1.3808115209999812;0.5914399657089346;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;PA;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1684.7475622144902;0.039978230146741234;27.272727272727273;-1.385571718985644;53086.212438806135;0.7959080585450407;33185.45279711954;32223.784497922286;31116.665377903453;29600.900567801484;31653.373672053945;31278.172570609084;32174.504544101892;31279.17743803636;32055.32729073092;31059.710093994523;31686.268393371454;32131.498997596256;[-701.1629371195413, -152.89681792228657, -559.7396579034539, 3344.644722198518, -916.8012120539461, 1044.3872093909158, -2350.589684101891, 372.80082196363946, -1695.4124307309175, 19.282656005478202, -193.40788337145568, -3396.734507596255];-1.1670117313839072;0.6876230785487493;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;PA;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1586.6153234925905;0.04336724054633182;36.36363636363637;0.8324317227546704;43750.73587499007;0.9942598552051423;32076.288170589625;31717.150824586017;31081.54899833262;30135.030548191407;31119.26034075323;30961.44677148634;31912.222888912067;32439.886394935646;32077.398499940748;30537.310525124794;30759.820434234392;31284.342678087778;[2688.9330194103713, -1175.5077045860162, 2572.110421667385, 989.2574018085943, -66.14077075323075, 2054.1888585136585, -1027.481098912067, -835.9605649356454, -1822.834769940746, 1068.8697848752054, 523.6904357656058, -1812.0546380877786];-1.089893936081114;0.7190852138923534;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;PA;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1664.013217246391;0.04406012414732683;63.63636363636363;-0.8085346076539478;26233.85385986598;0.9970064497616022;32362.344886952258;31377.642604858367;31671.38546331301;31759.48278616469;30804.839464828412;30507.42232537431;31482.169518196275;32601.3199530247;31892.57921834295;31736.256127482528;31551.216575894814;31508.573407901127;[945.8181530477414, 744.2305851416313, -258.0611833130097, -250.15126616469206, -647.2198948284131, 2688.503394625688, -619.044518196275, -1653.861623024699, -2303.05204834295, 2331.484812517476, -994.7727358948141, -3025.689347901127];-1.123095744784512;0.7057742673962119;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PA;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1553.1824102905452;0.04349543609217726;18.181818181818183;-0.9872215896773515;55057.424708655155;0.9117353264065626;34223.23762040476;31431.618695451754;32667.350674761612;31054.266391004257;30973.15504886396;31325.693348336972;31634.39837439193;32844.375164037774;32220.44643393031;31755.719652863794;32054.11511794326;31644.851299865717;[-1670.0184204047619, 1257.1439845482455, -1274.1513947616113, 1498.0071589957442, 1686.86488113604, 330.8881716630276, -895.016124391932, -231.2211740377752, -2677.6348439303074, 1519.6517271362027, -2645.5770779432605, -651.1393398657165];-0.39678858478421;0.9106335894737532;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;PA;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2297.5608217658296;0.05806289633906559;72.72727272727273;5.212539697714509;27191.35142260638;1.363051424008313;32667.23936389228;29986.218425245486;30686.521591045297;28648.58062221047;29173.532227949818;29963.722005231783;30060.23231742948;30558.594373758762;30250.41952938931;30051.442614163647;30612.15863949681;30187.892584464033;[-1000.5002338922786, 1572.8957047545155, 2155.3624689546996, 1462.43567778953, 4059.2250220501846, 1182.205534768218, 1790.0774625705199, 3288.6556262412378, -353.81626938931004, 4323.591805836357, 1539.0388205031886, -65.56106446403282];-0.49590358234695736;0.89281340910507;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
