train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RJ;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7026.852067405709;0.08058153059717336;45.45454545454545;-4.769942331342968;166213.4281283776;1.4001778800708573;79620.28308653676;84195.72590394774;84678.91313695151;76835.60235370247;83381.50571149508;78218.93789437403;80671.58615609062;84657.2856749627;84615.60805191804;76551.25528802091;79605.75776002865;82659.76718874121;[-1193.5131565367628, -7915.852713947737, -5902.360596951505, 5273.991846297533, -604.5546214950737, 4422.3247856259695, -4946.799926090622, -6632.849084962698, -9722.925081918045, 4503.683121979091, -7171.32841002864, -14530.91211874121];-2.3460667251032636;0.15754049142006304;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;RJ;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8202.238875035806;0.08743802693900043;27.272727272727273;-2.4632619988666145;258616.8406876387;inf;84640.69644496951;85213.23346274889;87680.08656311037;81061.55426077655;86358.96545978816;77808.52218278228;84374.18679477928;87617.04438297522;87156.10502734143;77439.12787354476;83752.4109954952;83286.19134098715;[-4673.495354969506, -9033.878392748884, -2741.954313110371, 6145.8116792234505, -2872.0324897881655, 11183.242307217719, 281.7932752207271, -4311.955612975216, -4481.686547341436, 11939.78879645525, -10030.088535495204, -15599.559090987153];-2.2195190220069483;0.19923759966862714;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;RJ;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7491.294316704916;0.07105709913443654;45.45454545454545;1.6077973557660532;177168.1165479572;1.877835674530936;84293.99844250451;85333.30426784107;87651.1232858668;79550.78696958751;85031.92784726071;78949.92272963095;84563.78674744967;84999.63712482557;86022.72910793398;79054.66609351255;82572.81967980454;82339.26189237024;[-1132.690472504517, -1919.6774578410696, -3062.4058958667883, 11666.662310412488, 9354.195342739287, 11408.059150369052, 329.5212225503201, 510.89729517442174, -3699.872227933971, 11100.940786487452, -10167.160259804543, -8041.823482370237];-2.251276559117055;0.18816379590938237;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;RJ;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7552.052731494441;0.07860985158189152;36.36363636363637;2.810115024833842;208358.71553642373;1.9925946568984634;78943.4721347222;82589.73972753393;88393.3287170414;78492.69902541334;81977.31460498087;78932.83171958098;83681.99750085954;84012.81927617222;86483.59251594273;77565.50783257239;80700.8736833972;78962.97150010154;[10688.977145277808, 2487.0138924660714, -3917.180167041399, 7199.493004586664, 8336.71256501913, 10281.394730419022, -1004.7475008595356, 1898.2205838277878, -5648.559905942733, 13097.845427427616, -7713.0421633972, -7349.429830101537];-2.213095505100818;0.2015269222236093;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;RJ;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6391.402521832506;0.06577056649199006;54.54545454545455;0.1504839103108451;125981.43090460665;1.8807218441244262;78998.27159645401;84466.86894786642;87147.92241869909;78106.50999192601;82749.20073168485;80512.68243048602;84602.36479809626;84340.96475798906;85600.55897573552;79572.11242691167;82461.16370135524;82883.98427636691;[-2005.8639864540164, -4750.046487866421, -2720.2611886990926, 2705.6530480739893, 8522.052888315156, 9711.33024951398, -2061.828568096258, 1966.9555320109357, -2807.0825257355173, 10536.503513088333, -8756.067691355245, -8847.134636366914];-2.1928682791588705;0.20884403512037386;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;RJ;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6785.293331994532;0.06717764453370394;36.36363636363637;-0.47521128929700573;187170.3850703314;2.1229887252948343;81146.58812063385;86109.9202650873;86304.29842525757;78824.04451359823;87644.5011051665;79062.44387553618;84647.93102996176;86868.31698448308;89790.34729219391;79061.11825872278;82064.03456978824;83407.18863116845;[460.4408693661535, -5102.595985087304, 2504.746864742425, 7117.325056401765, -2884.497485166503, 12651.23003446382, -711.1013199617591, 402.1413455169095, -6619.965042193915, 7464.903481277215, -10045.25376978825, -9990.331751168444];-2.0837777090912506;0.2510874975866725;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;RJ;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8247.49310483357;0.0866540777317611;18.181818181818183;2.5926893800319153;292507.2937661053;2.353257172494046;78043.86442025109;86825.2785192388;85317.19551792293;79050.65757415607;87099.50924208485;78397.04183740463;82293.22540549634;85176.45866497612;85050.52292413467;76758.61605604709;82199.35904400202;83253.71277165679;[8067.4037397489155, -8250.682509238803, 4206.0870920770685, 9906.697495843939, 3019.048727915142, 15018.687162595379, 4890.394604503657, -3078.6799649761233, -2460.25281413467, 12030.680743952908, -7148.900714002026, -9863.892121656798];-2.1287424636475296;0.2331152462090667;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;RJ;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7958.192069685868;0.08128247631635076;18.181818181818183;1.2035647971711416;282228.2903579764;3.788743936515583;79376.05492510396;83874.9184694859;84948.40395687032;82175.93071089256;85514.23983943767;75712.74071971473;80954.17660019714;85945.73311115219;86880.69801263566;78903.94412595526;82240.99031988588;81356.27776456196;[1675.062824896042, -5725.532599485901, 1462.3732131296856, 7567.984149107448, 3595.937700562339, 15513.692250285269, 5386.584269802857, -2279.2802111521887, -3927.005982635659, 10823.343914044744, -10215.939599885882, -11842.549504561961];-2.0685451556576258;0.25734935167885864;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;RJ;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8268.903162226432;0.08761273835162771;36.36363636363637;-0.22068030795900287;228168.66693862047;2.108828863655541;79410.85496583478;83211.51483409847;91480.21209476859;79431.32115636006;84434.44061203738;77755.35393458395;85926.0852185401;87743.05278825227;87343.00257950072;78699.0047360811;83612.49060363608;80731.38936972842;[1550.7736541652266, -233.33186409847985, -10870.48745476859, 11478.747683639944, 8154.570257962623, 10090.144255416046, 660.8803614599019, -6517.108948252266, -9303.335909500718, 10455.1329439189, -10408.525023636073, -7258.916539728423];-1.9956335730383044;0.28849090101043456;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;RJ;glp;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7640.581495388857;0.07451418827737046;54.54545454545455;2.1907383017255455;150632.9416396748;1.6628954094208281;77655.26934856565;83317.1166406157;89704.24957084311;77696.89441956187;83307.86093864661;78914.87527287964;86598.04847821801;84879.08389020523;88034.72491741528;78769.73404849725;81589.56565115426;79670.27504131675;[-57.0700685656484, -1875.8811306157004, -838.0992108431092, 7444.842900438132, 11471.495941353394, 12350.818567120368, 1708.734131781981, 3933.04653979477, -7650.089047415284, 12047.296751502741, -8854.569271154265, -7503.356561316759];-1.9527130210447747;0.30768361782586223;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
