train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PB;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5425.99034857272;0.07448884664607096;36.36363636363637;4.065692246551582;149692.14934146893;0.9396814376248575;65310.13449970439;66733.55841327975;62024.41394667087;59261.822859907996;61953.12615410462;58756.776590826405;56999.536694164795;59671.59505607648;60470.45905531785;56488.354063206614;58598.99461025058;58523.11784236074;[-2428.44449970439, -7943.8134132797495, 6357.626053329121, 6119.827140092006, 1558.9838458953818, 5886.753409173594, 4133.031305835204, 2912.63494392352, 743.0709446821493, 9949.895936793386, 6092.385389749419, -2665.2988423607385];0.04829611223625951;0.9623485070284682;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;PB;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7937.284388044506;0.10002746531649247;54.54545454545455;7.764250889234445;156570.52851614112;inf;54097.75169334609;58451.24260250742;56245.56103632445;52360.42617602568;54752.281726423615;54641.45243467563;53123.795651558474;59575.30003194949;56716.74181301047;52444.36842180765;56971.37998193634;54463.43818374715;[-2284.2736933460837, -6384.022602507415, -1132.5310363244498, 1050.903823974324, 6488.292273576386, 10826.747565324367, 10141.694348441524, 3040.359968050514, 2115.0501869895306, 18399.631578192348, 7292.9400180636585, 6326.4618162528495];-0.42348800057343444;0.9061026423050828;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;PB;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5645.253601622718;0.07873605436092543;45.45454545454545;5.287941539354602;133528.86448205946;0.8832796691227592;50493.24512029159;54442.71754253586;54113.6370505037;46537.18486968307;56338.03702169401;53371.206023873725;50185.00474717237;55188.268903471995;52295.05173137757;52230.30994799611;52314.34350811205;51760.783509669694;[-2115.495120291591, -5929.362542535855, -899.8670505037007, 9644.96513031693, 3734.3059783059944, 5832.398976126278, 9537.955252827633, 3426.432096528006, 2167.48826862243, 9656.660052003892, 446.20649188795505, -368.44350966969796];-0.6940470005390263;0.8482854789443359;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;PB;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7876.6438454508525;0.1394897303041485;63.63636363636363;-7.0076722932774285;124502.92793877023;0.7865408838019469;55444.66240804691;55108.30163348801;56012.1406649677;53998.870728924514;55137.39218897946;55975.917201892466;55430.58395971224;55522.725333748276;55439.74937946688;54588.605251132765;54238.62326000712;55444.03874242427;[-8756.552408046911, -13650.47063348801, -13896.5686649677, -9039.452728924516, -2945.1221889794615, -3198.001201892468, -422.58395971223945, 5199.961666251722, 2476.7706205331197, 7711.499748867238, 2549.546739992875, -9404.16874242427];-0.39136472831447144;0.9115306054298917;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;PB;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3563.263215233698;0.052586925309705046;63.63636363636363;4.794000260692114;56188.81122078784;0.5126597061075593;48196.983040734296;49294.224874262145;51957.641738661754;51240.67837801018;53724.31399345651;55075.16520169465;52940.23328933892;53306.00573570782;53845.22940045179;52604.209483325765;54196.415652216245;53092.922752980485;[4007.996959265707, 6822.005125737858, 3804.078261338247, 1147.8116219898147, 2581.2260065434893, 1246.7967983053531, 1763.7717106610799, 4963.154264292185, 1265.3605995482067, 5864.340516674238, -410.29165221624135, -1359.7327529804825];-1.022821653714367;0.744849896043223;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;PB;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8014.5925129047255;0.14380237679979282;81.81818181818181;-13.89882736336756;63598.73882030782;0.7563912421006586;60661.38642334002;60206.317289752194;60042.5674981513;56892.9766258516;60065.17705663573;60579.04913416035;57908.754010756114;61141.75589593168;58650.502608828036;57042.53361085049;60113.78132977877;60058.19484800403;[-2247.9984233400246, -3902.0112897521976, -6181.669498151299, -4726.647625851605, -6532.097056635728, -3634.5651341603516, -8744.692010756116, -11410.415895931685, -11769.485608828036, -5170.147610850494, -9979.87732977877, -12750.534848004027];0.08590711993876586;0.9650856313103975;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;PB;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3749.408322143526;0.04944150983183495;45.45454545454545;0.9041555499276049;88638.24325967637;0.5021304208142057;59703.094173199024;59699.01040266553;58415.68725530965;56627.44001719415;58861.824732306326;58047.31871138163;55712.035169072326;59148.88525741769;58109.49490943967;57846.10540551933;59690.588063491545;59494.932112516144;[1403.8558268009729, -2563.802402665533, 1998.3427446903515, 5294.17998280585, -1119.3547323063249, 2839.65128861837, 2098.274830927672, 237.72674258230836, 499.92809056033, 5979.132594480667, -1554.4170634915426, -8714.306112516148];0.9109598703645585;0.9932317016054836;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;PB;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4765.1671038258455;0.06684083718198951;36.36363636363637;6.553208823245596;131445.62498408995;0.9497969850377463;54276.234739497144;53842.93035426788;55500.143133220925;53453.537252786096;54299.425201037724;55816.338558066935;54188.41514132813;55350.05346380524;54643.7541726221;53083.06646555651;55230.3760515009;55599.207051723075;[3818.8952605028535, 1541.8696457321203, 989.948866779072, 4983.7527472139045, 3500.3027989622788, 4021.0414419330627, 6037.661858671869, 3570.0065361947563, 3056.6158273779, 11079.993534443485, 4355.483948499103, -1002.0470517230715];0.4021106166473594;0.9815736996067933;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PB;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4324.588540399773;0.06465523821873843;18.181818181818183;-5.309901571546881;153336.23610352114;0.5801822035659134;60678.33499247622;58301.51987963173;60057.52016637286;54523.85480279648;56605.89289806931;59228.950203558474;55889.760029182595;57511.34392409058;57972.10614546477;57036.63340682537;57798.96823233403;58206.56853047548;[-7982.495992476222, -3671.727879631726, -7562.24016637286, 889.7251972035228, -930.4708980693104, -5408.847203558471, -280.8350291825918, 817.6130759094231, -4011.0661454647707, 1627.0365931746273, -2861.9182323340283, -5607.908530475477];1.9672283523234682;0.9986288243049651;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;PB;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6090.102296603627;0.08747336055175269;36.36363636363637;6.501519919577052;168048.00882600143;1.1028064065431906;57504.230821597426;55397.040547062876;55808.025471423876;52595.4861020411;52201.13860771472;53945.713374948304;51768.56583116517;52470.57609695022;52455.97577607393;51390.00697883939;53046.601078423235;53977.21601708782;[-2978.760821597425, 2455.8794529371226, 984.4515285761227, 2255.5968979589015, 4391.225392285283, 2456.156625051699, 7506.674168834827, 9706.573903049779, 2815.351223926067, 11007.687021160615, 9483.538921576765, -5403.21601708782];2.739424904141353;0.9990880797485131;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
