train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7326.103759943454;0.050742274859698865;72.72727272727273;3.198666664657146;86678.73193705687;0.8402146646039974;110149.39113776812;114676.13097315951;115422.06760180075;111936.51712439848;120116.2485067299;117432.22436528232;111189.99199280131;111244.14162321985;113180.50326499471;113348.77488586855;105235.7158961099;103508.50657475837;[570.448862231875, -10324.004973159506, 7975.257398199246, 4326.943875601515, -2909.526506729904, 3961.9066347176704, 4163.049007198686, 8588.612376780147, 2772.3357350052975, 13441.531114131445, 12292.040103890089, -334.2885747583787];0.8574101536779649;0.992508568897311;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9992.717763682886;0.07077177494716139;72.72727272727273;5.573440102812395;118315.4375149847;inf;102028.01652892651;103867.18105378507;104876.02087565395;102568.10955959685;106590.90034500226;103371.22037255025;107864.20801302495;108488.405346023;104052.30408960435;108555.24822958467;103553.99272610142;96985.67721638743;[-2214.313528926519, -6926.637053785074, -828.6068756539462, -2090.432559596855, 4865.051654997747, 16305.67662744975, 13474.26998697505, 10374.390653976996, 8670.175910395643, 19993.709770415328, 3842.766273898582, 8479.382783612571];0.3096744657924034;0.9777840171105243;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7423.522037259511;0.06442052376027539;63.63636363636363;0.201296484269538;117098.2504356524;0.8029745611128375;102720.294493987;104102.9542728946;106924.14137275248;109041.52372586382;107148.76984980796;98514.93848747213;102034.30852143612;106536.16954880305;98656.58104354217;108014.0025194437;102532.14065268735;92696.11393494648;[-8922.234493987009, -10199.94127289459, -6615.329372752472, -2206.058725863826, 4381.314150192047, 13361.944512527873, 6218.376478563878, 1733.2444511969516, 5111.22795645782, 7191.356480556293, -10228.876652687351, 2673.9130650535226];0.39993286307229275;0.9814924307714278;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15086.040173510419;0.1352995867914307;63.63636363636363;1.4410414767772146;238429.49566663412;1.30905108087426;101131.9763506706;99549.0041826681;100177.86458254416;96100.69376466314;100453.17675391892;100993.94734881396;103026.36167215738;100630.4242903327;97893.18926759972;102712.50900110815;96492.52084207934;92582.26358497738;[-12195.355350670594, -25161.1901826681, -25803.32158254416, -945.9727646631363, 8859.323246081083, 7414.473651186039, 9556.841327842616, 17950.236709667297, 13040.559732400274, 22555.15299889185, 6293.635157920668, -4139.762584977376];0.34487783978764097;0.9793123218217454;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5995.728277052325;0.04315108622514407;81.81818181818181;3.7725978810425174;47316.487921360706;0.37777849774956757;94585.09455169029;95060.55048567348;96335.30332182255;91404.8777427808;96529.0183056454;98318.61050078108;96846.3570970797;95955.04478182248;95108.70538329174;98550.45055385886;91386.92667447517;90573.88366857832;[-3096.8145516902878, -663.771485673482, -583.4563218225521, 456.78525721920596, 7789.207694354598, 3018.7314992189204, 670.2909029203001, 8947.569218177523, 5692.324616708254, 13614.085446141136, 7024.556325524827, 1849.8943314216885];-0.07379509871156764;0.9519868954516586;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3657.328577654879;0.032807008864888985;90.9090909090909;-1.692890865961481;14449.082148383291;0.19810129153066763;93259.87380039148;94356.51338977764;98322.27945929504;96770.26172837433;97922.90116539848;99022.09896808983;97367.38104666054;98579.37699682769;98048.22111698911;100470.96690832285;95581.14083503745;90694.29863172474;[4997.488199608517, -2788.823389777637, -3423.5394592950324, -7129.752728374326, -2946.0221653984772, -90.97296808983083, -5907.087046660541, 2568.346003172308, -1514.5311169891065, 1166.158091677149, -1040.1858350374532, -3208.284631724746];-0.012183879727289328;0.9575128143726291;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3405.1103235863493;0.02693497997319434;81.81818181818181;-0.5270915530852261;26848.217800603277;0.1773883076199396;92823.87965478397;95364.00661012533;97695.18228037666;97884.14236658649;101198.2832991253;98077.04103019708;96120.54052208675;99453.5977422131;97202.34042872384;100136.01774852873;95478.71515814049;90931.12809365985;[2269.970345216032, -6458.86961012533, 166.4707196233503, 526.038633413511, -1736.5832991252973, 3741.578969802911, 262.38347791324486, 114.84025778689829, -1058.8664287238353, 4991.680251471276, -2322.9751581404853, -6590.271093659845];0.1502880566630861;0.9693314533205036;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3570.6221508766625;0.027861396552827978;63.63636363636363;0.7485720296536478;56266.23389740064;0.1829948179992069;95297.42503634767;93778.7563328931;94173.24473512694;95063.65919354469;97941.41296893747;95908.0155284007;95896.91246972019;97855.80473945233;95032.36549240787;98014.8017946848;92935.16398466525;89847.36220128972;[419.99096365232253, -1531.6523328930925, 2632.888264873065, -1431.942193544688, 202.2370310625265, 3698.954471599296, 6917.328530279803, -1345.4047394523368, -26.615492407872807, 6573.501205315202, -1907.4789846652566, -5590.562201289722];2.8105482719926456;1.0;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4303.553513202655;0.03738695628961657;72.72727272727273;-0.45527030801065604;50892.65734884054;0.21621054700705217;98730.46951651902;95542.09710942114;94399.17444706714;94626.13331547825;97719.7198538208;96174.88819082819;93999.91836651502;94807.81552865684;94454.54732113947;96828.00266074963;91075.73284063178;88020.22065322167;[-8898.341516519024, -3419.1471094211447, -3164.8904470671405, -1752.6333154782478, 320.730146179194, 43.49180917181366, 2757.625633484975, 6236.07247134317, -4132.007321139477, 6441.127339250379, -2344.5968406317843, 2762.421346778341];4.354188651562783;1.0;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9955.933780759633;0.0813229206406225;72.72727272727273;7.43391223878527;117925.52320138208;0.4449039578989944;88913.83208174957;86259.09163614285;84842.59636147143;85822.05216553027;88657.76822905877;87148.18390925987;85788.41980854211;86481.72469150172;85633.0202380277;87566.83584886348;82511.75790761289;80915.67509760556;[-5593.712081749574, 2889.521363857144, 3785.3046385285706, -506.30216553027276, 5261.681770941228, 6243.3160907401325, 9491.580191457891, 16899.174308498288, 6441.996761972303, 21025.364151136513, 14234.292092387113, 2589.7449023944355];4.008703053168906;1.0;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
