train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2690.8656638598445;0.056232884229944706;63.63636363636363;1.259108247811031;42436.55268882974;1.0510263468464973;38017.205009359066;41150.62872373143;40350.45913781048;39931.633287325014;40464.071347826706;40539.27439249833;39703.16344003128;38337.58278058775;40795.029467751876;38847.199102539336;37858.37266365407;37556.987311088036;[1178.4379906409304, -4807.178723731435, 3110.2908621895185, -1606.1832873250169, 95.3786521732909, 1959.7756075016732, 891.9785599687166, 1918.6172194122482, -1250.6994677518742, 5379.400897460662, 1925.6783363459326, -2756.9373110880333];0.22263142134277633;0.9735027354351659;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;RO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3558.103093582009;0.0736492547253917;54.54545454545455;5.704750062491904;70146.91374485643;inf;35262.22546607938;38004.485413277325;37963.93997809091;36478.43960139803;35456.25576609775;36998.032574078505;37550.38481157056;36580.55231863171;38092.47161472005;36823.323685352254;36736.01864782752;34844.32666648526;[618.324533920626, -1881.6354132773267, -423.4899780909109, -1177.8376013980305, 4001.545233902252, 4942.969425921496, 4597.015188429439, 4660.747681368295, 2890.0283852799475, 6807.0763146477475, -1069.2016478275182, 2701.7543335147348];-0.18875508013048128;0.9398487758212937;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;RO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2795.4085602165783;0.06559969891726891;63.63636363636363;1.8381454734751919;44096.70749697114;0.99732928708322;34308.75825255839;37051.81625062333;38340.46838393975;36454.4069655138;35358.02837189697;36461.394553413615;35571.63657000994;36568.22009219581;38064.206939164724;36752.03569417298;35763.83001882577;33632.13257441678;[-1142.1082525583915, -2871.666250623326, -2414.5253839397483, 834.7930344861961, 4525.321628103025, 3667.5554465863825, 2655.1634299900616, 2544.0799078041964, -1956.6569391647208, 4712.814305827022, -2007.9800188257723, -413.7325744167756];-0.4559135746238621;0.9003363653320519;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;RO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5091.013359820488;0.1287400762309257;27.272727272727273;-4.956096255216699;160613.2001813872;1.1441189849761741;37496.39372091151;37191.902328733995;38086.07686065837;36855.46285543937;35618.32711714369;38186.3102163077;37316.55595539393;36285.47495142429;38287.32114284392;36667.2480690406;36840.78249376723;36597.168289971916;[-5321.647720911511, -8041.432328733994, -7149.076860658373, -4609.112855439373, 988.3728828563035, -2163.2102163076997, 1416.0940446060704, 5374.330048575714, -458.8211428439172, 7974.301930959402, -3030.3324937672296, -6012.918289971916];0.02744123289707866;0.960743471979553;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2303.8821425854944;0.04401525138953862;36.36363636363637;2.4437097530263276;63529.41037381269;0.8053392119201817;35841.154353618425;35899.0419040314;36696.34989961584;36107.19670260673;34928.59511520514;37154.90790194199;36161.561754790586;35056.57116266419;37510.39871425619;35750.596146993186;35545.972214126385;36010.34769070355;[-215.95435361842829, 498.0580959685976, -455.49989961583924, -1504.4967026067316, 4199.304884794859, 1507.7420980580137, 781.6382452094113, 2759.5288373358053, -623.198714256192, 5371.153853006814, 369.27778587361536, -1849.6876907035476];-0.17816998275435253;0.9410741656045446;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2479.5022563455145;0.05662118849871883;27.272727272727273;-3.2700618580840892;78146.64542708971;0.618577060217959;36487.00602410209;36986.18495511907;38223.611544028405;37926.78768061608;35371.32176561559;37822.96285062514;36591.5419692084;36397.12997076953;38304.57388043409;36431.583570028015;36289.55183296959;36703.47273225226;[-296.12602410209365, -1936.2659551190663, -4099.449544028408, -3590.5876806160813, 162.27823438440828, -2.4628506251392537, -626.3979692084031, 1240.4210292304706, -2054.8428804340874, 3509.600429971986, -2287.3518329695944, -4063.43973225226];-0.06030970202311226;0.9532511309089352;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1974.3117473157827;0.0444683294601013;54.54545454545455;0.2396503782830288;38898.07604092557;0.5596616752813396;34356.64941820468;36016.72627622615;36731.92890335586;36723.63720918898;37206.38815773288;36887.42141617923;35646.74384768693;36575.530868268834;37703.35225677198;36718.85003787439;35840.92204446255;35404.65553977826;[1838.0505817953162, -806.3262762261511, 1011.2710966441373, -194.5072091889815, 355.7118422671192, 1180.5685838207646, 2256.5561523130746, -6.110868268835475, -1683.827256771976, 3420.425962125606, -2644.3590444625515, -3680.5175397782587];0.3042140498389162;0.9775370005113801;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2744.9959200482053;0.06071822862244874;18.181818181818183;2.488685727252942;97324.8937499674;0.7246239705914472;34477.214113037146;35378.689690938;34853.04366862394;35771.44590716952;34348.45615901809;35138.724768468324;34574.86195956598;35308.89543123876;36229.3914775707;34291.65453596493;34890.51406808934;34893.66608632553;[1504.385886962853, -836.6896909380011, 600.5513313760603, -802.9959071695193, 2358.513840981912, 2928.175231531677, 3067.6380404340234, 1574.4655687612394, -755.7654775707051, 6653.74546403507, -2589.4140680893397, -2979.366086325532];1.0933927462189297;0.9951598360024649;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2882.726363110313;0.07616069396251586;9.090909090909092;-1.0862779591088956;113575.98720701833;0.6250439684836165;35903.69062050551;34451.354884391;36073.68382936259;35325.179253676826;33254.242930755856;37217.22793404686;33428.64412759175;33179.0986710046;37136.161472403226;35316.445876317186;34967.920693791384;34963.30719986504;[-3087.7906205055115, -632.2448843910024, -2805.1838293625915, -530.9792536768291, 3430.967069244143, -1859.7329340468568, 2937.2558724082483, 3651.084328995399, -4191.261472403225, 3583.354123682817, -3356.920693791384, -1664.9651998650443];1.6018835643785436;0.9978632156608509;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;RO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4130.039697826687;0.0938981313089604;0.0;5.1159497992226335;179007.9543852604;0.6981452319912914;33539.257583477425;33159.14746152047;32909.31433236854;33338.619225888506;31841.065930566947;33597.0408589142;31809.53250118794;31031.503724733775;33334.94086416662;31613.437076434635;31662.735377223922;32242.26756848505;[-3788.3575834774238, -588.9474615204708, 256.36566763145674, -1086.4782258885061, 3481.5840694330545, 1693.6571410857941, 5881.367498812062, 7372.293275266224, -732.6408641666239, 7374.562923565365, 4405.864622776076, -3237.0335684850506];1.2466053288273196;0.9962925821519645;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
