train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5102.570935405313;0.11435491042111016;36.36363636363637;6.9986487295175;140858.9629460489;1.4928074076208513;35497.56424668242;39470.53405394011;37900.13988265997;38494.906803774895;39680.503165897375;38443.2766771146;37789.2571181504;35257.55110261662;37645.49187009602;36032.08460100726;36099.10398210948;34965.11535109228;[5881.15575331758, -6455.317053940111, -6.216882659966359, -2165.9468037748957, -2271.1031658973734, 6179.903322885402, 3317.2038818496003, 7729.888897383382, 4958.058129903984, 6401.105398992746, 5722.506017890519, 4367.6746489077195];-1.3179075123041197;0.620940305884772;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3854.3794971408893;0.0891491911354248;63.63636363636363;3.633185946909587;60840.93077585736;inf;33604.88891396717;36812.64098352453;36519.7924491901;35713.75207945918;35782.98222501647;36250.88672341266;37554.30988488461;35616.023729399145;35299.580378237384;36163.52054953794;35757.59640694725;33799.99274276055;[1901.300086032832, -4221.660983524529, -2248.352449190097, -4388.842079459177, -1202.9822250164725, 3454.6032765873388, 1661.5501151153876, 5876.086270600856, 5303.569621762617, 6899.5194504620595, 2343.8145930527535, 790.7172572394484];-1.361762767880824;0.6004641387334282;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3941.5933588531934;0.0924997745168918;36.36363636363637;5.545695916424615;108772.4231468108;1.9376404348440437;30482.72757993758;36227.6753633765;34792.73843287335;35434.00853226287;34579.273350963085;34320.244010465154;34729.94516930882;32772.51962401077;35752.67685019851;33543.734720898545;34909.010281739414;32011.430034017987;[4760.0724200624245, -3716.2553633764983, -2515.648432873353, -1855.4665322628716, 2623.0866490369153, 3418.945989534848, 3203.5348306911837, 7078.574375989228, 3581.8631498014875, 6870.525279101457, -423.670281739418, 1020.6999659820103];-1.3436158197108716;0.6089894780129578;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5833.094906136463;0.14915981308302365;45.45454545454545;-5.147393362973328;138151.4088689634;1.5367244929242072;35606.310685674114;37082.29949961025;36378.239795562135;35777.63321319624;36109.76636327854;37090.833745080985;36976.31442473084;35319.94572179645;36226.59754191969;36605.59982416271;36573.99294450767;35513.77701938043;[-4526.540685674114, -12980.879499610252, -9639.819795562136, -6174.623213196242, -610.0293632785397, 583.916254919015, 2463.004575269166, 7043.904278203547, 1603.0524580803103, 3865.3701758372918, 773.0070554923295, -3708.177019380433];-1.1896831830333392;0.6780179261768147;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2993.239500841933;0.0593501531485802;36.36363636363637;2.652634224571386;82558.33310887271;1.5707808914054924;32908.84942523111;35832.44265390699;35156.2257760401;36024.71805377741;36904.527748036955;36878.46338733783;36080.1368817799;33179.47394439054;35600.83915651494;36227.71359954408;36944.21493392207;34425.76241803312;[1785.2005747688963, -1253.932653906988, 477.0942239599026, -4569.313053777412, -1273.678748036953, 304.2266126621689, 854.4231182200965, 7336.0020556094605, 3371.840843485057, 3471.5064004559244, 1376.3880660779323, -267.16241803312005];-1.168400596762461;0.6870391778166082;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4441.959152419475;0.10080925130001557;18.181818181818183;-3.687551540350711;157568.58513223866;0.9691042270653119;34339.04532454508;38370.49485060183;38827.195713942616;36648.137224640675;36807.00888365127;38120.17149308178;38658.325261495476;36620.91398458231;36987.06922159898;38269.733659347214;37824.52719985031;36957.24215221158;[1825.6766754549244, -5878.372850601834, -12074.155713942615, 3342.4127753593275, 1023.7911163487297, 3070.178506918215, -3385.083261495478, 1835.9960154176952, 641.0227784010203, -2823.3886593472125, -757.0871998503062, -2768.9821522115744];-1.0933124760683657;0.7177314306509273;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2646.512561351824;0.058595149960306715;54.54545454545455;-2.8841236810008297;52158.00882078637;0.8964772882307169;35885.41005660858;38710.64940690287;40092.62254819325;39226.79419064981;39616.53954779945;38932.16562425326;38996.133048500305;38205.550498343786;38340.472159564444;39619.09825525814;38909.96535121487;37291.270872655325;[3588.3689833914177, -4307.616346902869, -2070.6835081932513, -2523.0301606498106, -3846.9075077994567, 1482.9764157467362, 403.79699149969383, 564.0805416562143, 157.38668043555663, -897.7064152581443, -747.3003512148716, -4805.696872655324];-0.8908037423528661;0.7909857895207077;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2423.5449017939754;0.05478001445641147;54.54545454545455;-2.783041332224184;47759.73512576358;0.9107730621741943;37722.687593192175;40356.003926677564;40621.149310862456;40377.02975417312;40157.86862602199;39792.40470218586;40931.43293767919;39930.53853558508;39750.25621607188;40249.19096206189;39197.205204314654;38134.02256756522;[1000.302406807823, -3916.871926677566, -3263.1393108624543, -3395.3197541731206, -2254.447626021989, 1979.8552978141452, 18.207062320812838, -150.46853558508155, 1082.040783928118, 1786.099037938111, -1978.7001643146577, -3829.167527565216];-1.2468566842350934;0.6531215844494377;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3692.3140778541383;0.08660208601597956;36.36363636363637;-7.60772585355334;101883.8679989933;1.092076029293634;42107.55985604005;43370.448651746505;43858.06619110384;42922.61763972691;42702.51970828666;43429.76224719617;43313.52749812211;40959.17643712881;42431.444619521724;44007.27477059685;41365.51659180526;40424.31098887647;[-32.54135604004841, -4601.238651746506, -5944.596191103839, -5043.857639726906, -2807.882458286658, -4345.304547196174, -2382.0986381221082, 2120.085282871194, -2208.8338295217254, -3136.258300596848, -3685.1265918052595, -4051.7609888764637];-0.2685554728198561;0.9298412592422161;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;PB;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3146.0821849457907;0.06083891935024573;54.54545454545455;2.444231844829462;62006.51189012703;0.5330824208386505;40671.04308282928;42282.99928154897;41714.24315193317;41060.184949760056;41219.91361923031;41504.60230970924;41966.6088848876;39779.4688197128;40706.797535947255;40454.43911307392;40227.668716036475;39665.4629815194;[-1725.283082829279, -2381.429281548968, -470.10315193317365, -3686.1049497600543, 842.2663807696881, 1764.9476902907627, 2606.031115112397, 7134.3321802872015, 1561.1524640527423, 3587.9608869260846, 4254.436853963525, -1179.9929815193973];-0.2077956706153343;0.9375859924240195;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
