train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MG;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;62223.3533859875;0.07175231343923559;45.45454545454545;3.538597305923098;1471580.5371794505;1.262144270836598;673471.7637861143;645285.5778725169;667270.0296743105;716866.0245352654;644104.113482889;657626.6643463444;669178.0822637295;588444.5158409872;672004.6404783266;658563.8105480616;643191.4610025927;659717.6495975193;[26821.132213885663, -40481.74187251693, 39720.253325689584, -27489.03553526546, 71450.60351711093, 106479.73265365558, 52973.99073627044, 136157.68915901275, 11212.68752167339, -5477.430548061617, -25266.58200259274, -56453.95759751927];-0.5381292485473728;0.8843586279548505;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MG;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;62980.9601260644;0.08012948231486847;27.272727272727273;3.607143664874859;1985573.6490256225;inf;614956.3495666937;619800.7233709709;625749.2538238523;677027.439454612;601727.7913202818;631051.7265513729;655865.9794643435;583214.2938719969;626361.992380768;646755.9800252591;617548.9278366918;606959.6829945968;[71444.15943330631, 15290.852629029076, 47885.586176147684, -33488.208454611944, 80412.49367971823, 95055.06744862709, 28031.74553565646, 111313.6551280031, -262.4223807679955, -56108.39502525912, -83638.62883669185, 4986.3660054032225];-0.8175126986287806;0.8139236425816323;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MG;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;71571.95415639986;0.09269312307354038;45.45454545454545;5.43770345523159;1693323.9078592334;2.217029761070256;578228.6660330585;578776.9780210691;592134.5059602126;645473.0612344665;574687.9337863966;591859.3885907127;595419.5550514642;531094.0988042584;599374.2695149324;610793.3724621803;603474.8424446615;571373.6025405856;[85830.78496694146, 30786.79997893097, 31301.925039787428, -19843.787234466523, 112962.26921360334, 109680.10440928733, 67576.54794853576, 119457.31119574164, -5043.870514932438, -21170.708462180337, -85483.56044466153, -19346.34654058551];-0.8613707723528677;0.8004273501433172;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MG;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;66071.52610464854;0.09072772285031766;45.45454545454545;1.8011555722320136;1563132.9387143156;0.805674879802413;560489.9519710976;578220.3872443772;586623.392593451;608432.8864105113;553657.766588298;575226.5734214765;600204.5559497195;521926.2170428257;572412.853089611;604093.0298614028;593757.9484272151;563428.5047774485;[200.9710289023351, -87288.94324437715, -47480.40659345093, -17586.87941051135, 98635.025411702, 70202.56557852344, 57428.10505028046, 140323.97595717426, 20538.500910389004, -30257.281861402793, -29134.272427215124, -48683.24677744851];-1.0246292260607852;0.7441757110198373;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MG;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;58595.58447927712;0.08398357284403661;27.272727272727273;0.2882574865110635;1847415.8821560738;0.6544411373065775;579883.5224001545;562664.0255309348;552925.1022009144;610118.293488116;565594.5688583129;593120.6297444027;585157.2505200802;524342.05704272;570845.2263071947;590055.6085866095;584015.2196241443;562599.3932085242;[-38182.506400154554, 4022.3334690652555, 35188.414799085585, -49344.93948811595, 65980.76414168708, 41486.552255597315, 10975.389479919802, 130387.27695728, 12061.623692805297, -71309.24058660946, -72133.09462414426, -49239.3072085242];-0.858398136876859;0.8013637376195435;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MG;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;63859.6018004312;0.09505382865213093;45.45454545454545;-0.55963684882604;1510922.6053516525;0.6666461482099524;565303.0523938636;546149.664344344;598828.0550679106;597749.3118698848;539934.1099008619;593626.3707200073;582411.3986897647;523544.26161878085;575232.3248627965;602821.7417291254;582883.3716328595;584336.9943077725;[20224.470606136485, 21527.594655655907, -139588.72406791057, 35774.123130115215, 69504.69009913818, 46775.07327999268, -2158.784689764725, 100259.85138121917, -20850.524862796417, -62694.293729125406, -45830.761632859474, -61302.80130777246];-0.8795947639719985;0.7946178673248276;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MG;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;48593.98371987987;0.07359928180159137;45.45454545454545;1.1135854104690566;1149285.6107561071;0.5492635705555561;542721.436588811;543984.7531309195;579060.5027612951;593188.2208412904;555315.835239309;582223.8564647343;584995.5238478202;538010.8425745921;565621.3229059947;594368.9176810132;566904.9834904193;559814.4525281977;[62397.09141118906, -18582.558330919477, 7765.371238704887, 4215.434458709555, 47531.11566069105, 47398.65543526574, 28552.205852179788, 77094.26142540795, 11934.294794005225, -67992.80998101318, -48738.04049041931, -74928.52852819767];-0.8517915659381265;0.8034335464292162;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MG;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;48839.97128284645;0.08025840921114998;45.45454545454545;-1.3514258478231471;1155244.3863441076;0.536687489265995;532605.5365406321;549893.2623813524;588173.0381933384;618634.8785981563;544996.8450296009;578573.8185793551;594949.367084887;547616.7295536352;591256.9318244312;600950.316754957;572990.5418251031;568773.634293217;[53500.77345936792, 22584.823618647642, -16042.2261933384, -39349.19359815621, 44515.144970399095, 49961.98042064486, 9667.959915113053, 39602.716446364764, -38656.39682443114, -76342.69875495695, -70532.01912510314, -70774.72609321697];-0.8407013004475207;0.8068731273488785;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;MG;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;86417.43034751344;0.1389406177017764;27.272727272727273;-10.006936418314382;2726646.784991112;1.0133570487184496;610312.2306657542;587476.777276549;673548.5548276174;668766.8987696423;576814.1367792188;659299.9846912421;660333.578573404;562742.5973252513;634436.685774927;688699.3830232169;624503.6304162244;618702.9436736763;[-33610.38096575416, -16373.796276548994, -104257.12282761734, -80816.8487696423, 45069.0372207812, -56853.058991242084, -54354.57437340403, 72164.4239747487, -75076.44507492706, -137836.0218232168, -157998.74841622438, -88275.36067367636];0.07476181694603616;0.9642951190193305;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;MG;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;74493.06155028004;0.10045549327772453;27.272727272727273;-2.9407096920678644;2349166.5442407276;1.5161921197914718;633995.9290415687;626534.460884197;645844.7268835692;674697.8339372652;601814.1778591443;659194.0673815892;651435.2073278984;572691.1727687567;635118.1139206722;662489.6383656211;626981.8387427125;640361.7429247155;[-35258.04004156869, -11840.470884197042, 16633.010116430814, -67124.3679372652, 56059.47114085569, 11452.292618410778, 25056.568672101595, 138092.23723124329, -43472.0009206722, -95301.12336562108, -61726.29604271252, -150570.77792471548];1.4605613798377386;0.9973726222957159;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
