train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25360.21792320125;0.20002764557726935;63.63636363636363;19.31224553258475;401519.58462687617;0.7295824056604934;58422.94942400206;64922.09349215156;65495.64931065538;67287.57588228918;69697.06255937854;70231.08422879205;73001.89751110158;75790.98834834917;67944.26249079195;79234.30994796203;68272.47361979977;63036.69612019749;[6542.437575997945, 2519.7075078484486, -1214.8363106553807, -5019.73688228918, -12077.44755937854, 5867.59577120794, 16355.234488898423, 21079.252651650822, 32293.106509208053, 40841.153052037975, 45153.483380200225, 44722.0108798025];-2.299250075803696;0.1722099510690745;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;PR;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19496.413072237003;0.23655417273492738;54.54545454545455;-10.896853560624008;385737.8059990158;inf;46618.53646813467;74150.66370166498;76346.2178569745;74320.53803154756;78513.21970419178;78844.26348117764;87655.59145387364;84922.19340994245;76385.4541279223;87720.46417262124;83410.40921350318;69652.25502639159;[44509.397531865325, 8104.217298335017, -5817.8008569745, -6131.046031547565, -9945.96170419178, -16711.96648117764, -20148.874453873636, -19290.90440994245, -10448.922127922298, -15146.589172621243, -29068.31221350318, -10160.025026391588];-2.280457900124041;0.17834816449454527;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;PR;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;38374.78849597685;0.5123921434147801;54.54545454545455;-43.295438752172;763832.153900882;4.0032763443493025;90583.08168282748;107287.59562999828;106024.05649564181;108386.97974687742;109555.75099653013;108240.2790497898;115634.55300011135;112837.0323342357;113203.46534219466;120508.74999943789;110697.60870398984;100662.2196149566;[8126.380317172516, 1046.4453700017184, -15973.377495641806, -36275.16974687742, -33508.79099653012, -35916.53504978979, -44707.342000111355, -40853.086334235704, -57333.368342194655, -48437.23199943789, -56542.05970398984, -33503.4346149566];-1.9243511092231298;0.3206937055976664;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;PR;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;42938.10517782589;0.4085256937937673;90.9090909090909;-39.1281887122129;176622.17615223993;1.1176685039706316;145717.36747153584;144711.65734337512;145909.18738642806;145221.70641250422;147586.9942305907;148514.14569723114;148856.04069931546;152082.44588598408;150632.75719123313;158786.96739991748;144651.28497174088;140453.27932162522;[-29314.937471535843, -50221.30234337512, -53955.52738642806, -59050.02741250422, -53332.661230590704, -49564.028697231144, -37936.834699315456, -29288.46088598408, -43224.53619123313, -30238.92439991748, -33266.00397174088, -29277.259321625213];-1.3297479313723994;0.6154551245669476;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;PR;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13962.43243443;0.0861301647201288;81.81818181818181;6.245456334457041;110447.06052757504;0.1637356035465796;160121.1133624786;132977.3447981456;137909.5036993358;132428.8693833566;134184.93952915602;131899.14272274115;137652.28114030955;140470.05565778198;136310.150330252;150797.51140099592;130224.98100546519;132032.0281107946;[-21691.81136247859, 11877.562201854395, 8718.172300664213, 2532.938616643398, 10735.206470843987, 16725.38927725886, 13988.311859690439, 19721.767342218023, 19480.148669747985, 12969.589599004074, 8233.766994534803, 7090.49488920538];-0.9278590094726772;0.7786596764103719;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PR;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;47586.76673135492;0.2987415076804731;72.72727272727273;31.4912508164489;568132.2373986943;0.6337902914618456;89524.01931757275;92300.55668331379;92747.36188698965;92073.90631421635;92651.42516829386;96070.00592444564;101396.44684958186;98475.70325300805;87420.10231137264;105049.24534493797;93196.5197611317;86931.13082705041;[14703.416682427254, 13404.302316686211, 15231.125113010348, 27634.86668578365, 40125.66783170613, 55221.46207555436, 45565.40015041815, 64868.093746991944, 71547.37668862735, 63619.559655062025, 53700.5972388683, 52807.9691729496];-1.6354454907457183;0.46464163364624944;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;PR;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17270.271461382465;0.18054736108420968;54.54545454545455;-0.16994590093646042;341274.045345029;0.5423433551188601;64817.01427172564;95103.71113978575;97502.84548521684;100803.62949135418;96075.85431600522;100021.01512406874;96918.64845491944;98657.39941205936;104522.65487155158;104947.5162498913;100105.41241040907;85891.07727246542;[13178.206728274366, -19630.848139785754, -23467.378485216832, -27021.097491354172, -19507.046316005217, -7603.046124068744, 10719.842545080552, 14300.850587940644, 11198.389128448413, 25433.046750108697, 10108.317589590923, 10347.561727534572];-2.1782231231849027;0.21424392148120736;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;PR;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;46055.83337833512;0.49976928004192417;63.63636363636363;-45.22453091562107;735165.9521587429;1.6144444776088231;138409.98974279818;135303.35329428504;140036.57927885104;139814.37760173285;137659.42696988213;139436.6124597789;136728.69652325014;141194.82064449266;143121.24399013584;150546.99845928128;136115.22150080313;132574.3647061048;[-35126.31174279818, -33299.69729428504, -35361.32827885104, -40914.73460173285, -29921.826969882124, -28721.160459778897, -22322.759523250133, -39936.32064449266, -61115.262990135845, -55000.90645928128, -70699.18450080314, -67930.29470610479];-0.970903761933593;0.7637280367192363;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PR;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;34327.138365890605;0.21190514869850882;45.45454545454545;22.056953261257146;813923.1596241476;0.4370230465865568;124058.00049621423;105401.34745721557;106281.64831084189;106205.89353141512;108550.03720016497;103641.06763821065;103951.97738062273;110101.66887495619;110350.5148539005;119945.9022305089;101876.33681342326;103089.98420539332;[7427.616503785772, 41552.83754278443, 30364.88968915811, 31986.606468584883, 37378.04279983502, 45117.97236178936, 50560.07261937726, 53571.8921250438, 22704.226146099507, 28455.880769491094, 14002.660186576744, 5739.356794606676];-1.153196269119272;0.693398757384414;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;PR;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18162.716184994108;0.14508970756667014;63.63636363636363;6.97018991141579;287131.98091474833;0.41925376542143006;111207.48145364686;94987.29913419989;96891.32053094376;97438.00534601293;99722.68843785413;96015.85750456566;94299.22411882076;100122.73588429751;97898.80643216854;108433.002699481;91302.2327070977;93814.44789570327;[-25397.57945364686, -7098.902134199889, -5031.694530943758, -6839.298346012933, -6320.142437854127, 13255.26049543434, 12271.605881179246, 16100.652115702498, 13121.818567831462, 26801.872300518997, 31095.418292902294, 26611.440104296737];-1.427277774608938;0.5691312206941508;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
