train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8219.776658856283;0.44947174931054734;36.36363636363637;56.37463024835648;228111.0292689286;1.0032911192780785;4703.070901887482;4794.971693628149;4759.724269798106;4970.403774737841;5007.776929110791;4586.025616119431;4855.601855142928;4979.835395363406;4500.2734212466075;4900.017473081161;4715.4738658780825;4686.570164179185;[1187.9290981125177, 678.5793063718511, 1051.5257302018936, 719.5962252621594, 1531.2230708892093, 4271.50438388057, 6153.928144857073, 6874.194604636595, 8615.942578753393, 12358.88252691884, 15383.636134121918, 15425.079835820816];-1.8395213618949777;0.3610243620669473;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1170.7609404905068;0.18222063479861175;54.54545454545455;5.604357292700849;23139.343997725613;inf;3163.0854842736762;4694.130481835633;4558.64756417562;4850.602644315902;4943.650020405575;4590.548077634065;4889.749580770694;4837.122649564915;4886.731349362741;4760.187513774111;4923.065547476838;4259.587936227748;[3107.1685157263237, 870.3645181643669, -48.12556417561973, -562.1026443159017, -818.8530204055751, -806.8530776340644, -1018.2435807706938, -630.3966495649156, 1127.7746506372596, 1088.3124862258892, 370.4424525231616, 607.1150637722521];-1.7747635218512186;0.3930609100186595;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2136.109234256218;0.4793168392786747;90.9090909090909;-44.343712830843366;8853.986262925013;2.8015229873475227;6597.353326920371;6157.9501310558835;6912.676442038788;6352.700215097454;6422.850224109831;6086.5655754223135;6778.864102075976;6306.474765757849;6243.301307198356;6800.948586385094;6616.778930520799;6420.650733560158;[113.75067307962945, -884.037131055884, -2635.663442038788, -2391.409215097454, -2086.344224109831, -1903.4365754223136, -2118.319102075976, -2048.0577657578488, -2655.171307198356, -2361.6335863850945, -2522.733930520799, -2376.210733560158];-1.9206989026964545;0.32238721631783396;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1304.0245968145653;0.1851913498279704;36.36363636363637;-4.372677895849984;36042.53208795539;0.6439573353856981;6644.236756598133;7043.316279223664;7054.816829609307;6721.762416037501;6245.557036804429;6929.881300857535;6720.14782362473;6516.989992286356;7045.369480040687;7018.8514319686155;6697.136878820047;6490.589813862152;[-1407.0567565981328, 1778.573720776335, -1694.7818296093074, -1497.6554160375008, -1100.2090368044292, -1801.3023008575356, 191.6911763752696, -6.4749922863557, -1002.5194800406871, 171.22856803138438, 1159.4641211799526, 1810.1691861378476];-1.8764380079419898;0.34322528998215274;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1861.2953689357357;0.2718372276146165;54.54545454545455;-18.49890580373716;36859.19324225205;0.850048160445317;8637.062621199926;7688.603806019874;8968.461508939676;8160.4424272629485;7335.280156436173;7430.178176560651;8515.926589296669;7744.650385641242;7715.113202230768;8634.176772362413;8225.017274164311;7997.152024654645;[-2472.799621199926, -347.6488060198744, -1735.7785089396757, -2742.6734272629483, -1846.3441564361729, -2511.1761765606507, -2989.794589296669, -595.454385641242, -825.7442022307687, 1328.5392276375878, 1071.1487258356883, -1483.106024654645];-1.9351860442793674;0.3156937575889484;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3371.11632336997;0.3048649882974714;45.45454545454545;29.749159335264324;80074.19689143477;0.7731492464327152;5140.915038301835;5884.568269225585;6103.489326731112;5626.984793243559;5786.6135606974;5618.982498107581;6647.950034249264;6041.8884440341835;4970.1261864817825;5790.253320340642;6008.760919215961;5615.794106306711;[-351.57303830183537, -730.4142692255846, -1149.4893267311118, 3843.665206756441, 2227.0504393025994, 2759.578501892419, 5227.467965750736, 6390.785555965817, 4532.164813518217, 2731.071679659359, 3244.0390807840386, 595.1958936932888];-1.8740746579254974;0.3443537493434672;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1551.918342134789;0.21433933801986516;45.45454545454545;5.000962253248209;36803.66335292551;0.8373427139877733;4601.998839946418;5862.024972561259;5685.37562554674;5924.336940821016;5619.298667133504;5763.852557946548;5715.7353993714705;5713.324811097389;5902.565476329529;5712.8161676490945;5898.420169893204;5443.750479181706;[422.0041600535815, -1463.4149725612597, -1389.84562554674, -1747.704940821016, -1157.459667133504, -65.742557946548, 1065.4376006285293, 931.1731889026105, 1659.8785236704716, 3446.650832350906, 1900.9958301067963, -30.538479181705952];-1.7797730870272581;0.39054901994772245;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6444.7015759260685;1.1504647106524575;45.45454545454545;-111.25570384171783;155454.30147931236;5.465406905290958;10421.539065235851;11825.101846460544;13334.940984472343;12884.680839158205;11729.553338643145;11596.947596992697;11952.668964398363;11477.381381189367;13310.261566089755;13030.2796799418;11927.493273486016;11122.475318538694;[-4223.839065235851, -6017.183846460544, -7221.427984472343, -7766.227839158205, -5542.963338643145, -5031.685596992697, -5518.139964398362, -6160.581381189367, -8307.951566089756, -6501.9956799418, -6872.599273486016, -6994.565318538695];-1.8780751679990897;0.3424444840924239;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3283.8918788020596;0.2341697179410344;72.72727272727273;17.755312754877824;39116.662321968746;0.3887393059264783;13881.949825608277;10419.280082626286;10107.789150660146;8555.712238794024;10185.214427673047;8473.028474856019;9553.25118845834;10025.924611726598;8850.28790182302;9970.225050682564;8687.471351040796;10203.790870721901;[2392.0521743917234, 2895.9529173737137, 199.9138493398532, 2775.0477612059767, 2955.0855723269524, 4872.658525143981, 4414.49881154166, 6091.076388273403, 1625.7620981769796, 745.8899493174358, 572.3526489592041, -3868.6758707219014];-2.099164031193014;0.24485088160712004;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;SC;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3046.2472883060314;0.287613730381923;63.63636363636363;-1.4135352249360638;48349.86482718721;0.5763658325206696;11425.349736850976;9410.466337053713;10808.220992105755;8814.722251694957;10026.253071240804;9459.092217262116;9786.440693903598;9786.795831516672;8125.883631936208;9907.55266767552;9064.451720699719;9496.817765636093;[-3505.5207368509764, 309.5876629462873, -3583.6049921057547, -2368.384251694957, -3020.4630712408043, -1940.0512172621156, -1712.5626939035983, -773.6118315166732, 2190.974368063792, 3204.56333232448, 3537.941279300281, 6042.724234363906];-1.9796383568002125;0.295571707185146;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
