train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9927.778782846237;0.06332534399704326;27.272727272727273;4.459579178952788;312918.1708083928;0.7752814465169701;120133.63920598764;121110.26576859393;115391.28698323257;116307.72262675913;112295.0214096069;106654.90391251074;118493.00792122722;116711.04995457767;120403.01802788788;116244.47802166102;114896.70671919061;114490.67167186143;[560.5107940123562, -8492.665768593928, 16225.763016767422, 3858.7773732408677, 5270.329590393099, 16188.446087489268, 322.04207877277804, 6780.500045422334, 1555.9819721121166, 18755.17297833899, 10187.243280809387, -6184.321671861428];-1.3524942918927;0.6048273898028296;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14639.388315464672;0.10565024558579246;63.63636363636363;6.823228073202935;231181.96984512842;inf;99888.6387786877;116430.55861017508;112269.74618739092;104489.42765299551;103028.38010581699;103500.85923006151;112965.57287822514;111326.50859121853;105870.5611594801;110469.90346127901;112345.95727941673;102496.35423215477;[1134.4112213123008, -15602.716610175077, -7167.972187390915, -5862.341652995514, 7035.3788941830135, 21483.69076993849, 14555.027121774867, 13137.201408781475, 11975.888840519896, 29664.74653872098, 8878.492720583265, 15605.595767845225];-1.900476554226291;0.33183695779049344;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9103.46182734803;0.06798071833369473;54.54545454545455;3.5998998614550386;179447.24868388224;0.8613387028782181;99697.61817159956;109761.65536989825;111381.95396496699;99964.22434854964;106858.88617087583;105418.25309518189;110918.34313400454;107374.67541767342;104648.52044699246;107275.30379299456;103988.28298035057;97111.90061258884;[-454.7391715995618, -13231.19036989825, -6432.379964966996, 8068.155651450361, 7580.865829124159, 14120.382904818107, 5238.656865995465, 12313.322582326582, 1468.7295530075353, 15812.096207005437, -1866.4689803505753, 4599.449387411165];-1.48741428336831;0.5397278719024046;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16862.83532176884;0.14505416624296133;63.63636363636363;-8.309745992965551;266582.23948689614;1.2760898514973862;112519.95897467842;113954.95584377315;116493.69635793431;108917.86501552895;110406.71576150796;115818.25352485664;118542.43522607547;114929.69913833537;112909.18120570698;113999.45261806293;116747.42862193128;112505.54116260324;[-17615.115974678425, -32924.88584377314, -32291.21035793431, -13921.815015528948, -5359.954761507965, -8401.243524856647, -5187.408226075466, 10976.221861664628, 4753.113794293022, 14745.414381937066, -2768.128621931275, -16941.205162603248];-1.2762315579606214;0.6399750502648038;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8783.711766987772;0.05889411410023587;27.272727272727273;5.910974982181297;276841.03891740646;0.8361495615153328;107614.22991557528;109086.0845727309;105699.78388361743;106306.77601904437;108628.79717573608;107819.4976082768;108581.36010624387;107051.53900339574;108089.9521285494;106952.19724544724;111168.68707428439;107366.57438695687;[-1186.0299155752873, 4084.4504272690974, 8720.11611638256, 1241.595980955637, 7653.470824263917, 10851.71239172321, 6668.223893756134, 14904.962996604256, 10475.471871450602, 16628.80275455276, 910.4969257156044, 362.9256130431313];-1.3275156662688354;0.6164917548904534;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16182.257923024039;0.1371202619912328;45.45454545454545;-12.868543647097372;383170.77861512423;1.01623600845919;120360.18967879355;124806.25565144417;127060.6598435417;118705.29903729573;118132.28235836553;127395.0373580097;122122.94419667275;123518.97356388214;123683.40738518654;122104.79300617882;122558.85398508681;119697.96581841783;[2215.5333212064434, -15565.160651444166, -30607.697843541697, -9089.580037295731, -16508.28835836552, -11118.587358009696, -19417.603196672746, -16190.90456388214, -19220.154385186543, -1850.9310061788274, -12935.853985086811, -17327.415818417823];-1.1673068097453023;0.6874990727447339;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7739.234996977224;0.04855268460545439;63.63636363636363;0.4876251205759516;122024.82114818033;0.444883771895571;122491.72301556771;122456.03584756456;122698.80092590729;117353.63096712308;122238.81102113418;120261.53764925459;122085.56472208876;122792.58702360441;120510.06015553347;123577.00862050334;121947.99449334948;122039.57169658465;[10856.918984432283, -2446.0228475645563, 4140.675074092709, 8689.03303287692, -59.95302113419166, 4152.302350745405, -4124.064722088762, 3348.3269763955905, -849.426155533467, 6835.012379496649, -3450.476493349488, -19935.89169658466];-0.7745989217654587;0.8264698222206206;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10688.453093762404;0.07397084121951006;54.54545454545455;7.417106966080965;210718.17193827932;1.2030054159028658;111951.67429143982;113708.61083722023;113505.90704724399;111886.19923900042;112176.04325482479;112357.35820035578;112534.14412880021;114960.04079759587;114841.8071506884;110995.56946828862;114225.95653049338;112106.03342239354;[8395.775708560177, -1168.333837220227, 3568.079952756001, 4325.064760999579, 4127.453745175211, 12994.25979964422, 14494.35587119979, 10070.815202404134, 9638.827849311594, 20485.53053171138, 14247.843469506624, 7393.617577606463];-0.963879894935432;0.7662093353372883;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13160.962769516473;0.10602606712017644;45.45454545454545;-10.462378418404048;311453.8622674623;1.0019911993316493;128789.00838955754;122341.12319832537;133374.07230572472;120762.20896746096;121159.75782970026;126907.63584453319;122603.94361139294;125396.60525546217;129795.06093320853;127682.89396409472;125633.64757554438;121254.64880829964;[-13338.48638955754, -1634.753198325372, -20330.81630572473, -10129.99296746096, -7599.944829700267, -16792.707844533186, -11396.948611392945, -11190.990255462166, -22683.695933208524, -5925.506964094719, -12281.455575544387, -9306.237808299644];-0.6075256215316184;0.8692724612621412;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13346.176723505674;0.07948820290070717;36.36363636363637;5.673148040626681;368220.1786574445;0.8685691938631679;126803.28282149433;117631.01799127828;120079.41894076808;115504.73153744274;114498.89086751899;117463.21810947922;114946.78088972672;116639.04671805605;119760.76573591103;116137.36887380839;114839.68997372114;117327.5824235089;[-5135.409821494322, 7227.263008721726, 1071.6700592319248, 399.25846255726356, 6065.939132481013, 4702.606890520779, 12719.334110273281, 18043.687281943945, 3159.034264088972, 28878.881126191613, 21732.41002627887, -13964.1824235089];-0.3582511334788494;0.9168394592375759;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10524.271276759033;0.07012284697188896;45.45454545454545;6.204350748596697;248892.66012817077;1.131849955669899;117971.37787475587;109494.95957028551;110698.47562542949;107991.06131903439;107795.44322644547;109282.33931863683;106833.08745575047;107800.24705879054;111959.65825043117;109560.8680516995;107178.1073586205;110790.88166518521;[-7339.2188747558685, 2756.640429714491, 2432.6953745705105, -32.70931903438759, 10109.064773554535, 7317.385681363172, 5137.944544249534, 13848.34794120946, 8314.134749568839, 21939.5889483005, 17680.596641379496, 4975.411334814795];-0.4852509739381004;0.8948626761627387;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
1990-01_2012-02;2012-03_2013-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15489.561512814555;0.1128513425258003;54.54545454545455;11.032802986531362;305630.811545409;1.463649206558906;111583.33887401977;97106.41254335012;96856.12948544399;96824.07611344877;95609.16144156312;94447.44669046167;91086.43681658036;95398.68328731957;97482.96140549165;95279.52247358093;92599.19957368437;98324.28860302165;[-4592.518874019763, 3170.0274566498847, 6986.061514556015, 6649.973886551234, 6675.705558436879, 17355.703309538323, 16536.31318341964, 23865.42171268043, 12475.24859450836, 30351.36452641907, 21948.802426315626, 2751.3823969783552];-0.42663794612984524;0.9055552920089871;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;False
1990-01_2011-02;2011-03_2012-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;20321.737432582566;0.18713554722880008;36.36363636363637;19.216931535288495;561624.5329216915;0.9279883555937137;86201.08928277652;76840.20351515661;77823.2963523037;76178.91186399385;77653.84688154513;74073.52316596934;75431.51424742078;77300.42849258488;78173.88090389919;77136.22134331381;74233.18226010421;79147.78344249367;[4126.240717223482, 11430.141484843392, 8243.216647696303, 15419.058136006148, 10958.67311845487, 23965.93083403066, 22298.483752579225, 21743.139507415122, 21170.738096100817, 36224.10865668619, 26931.261739895795, 18766.466557506326];-1.9718575694742801;0.2990472304451804;8;244;-3.457437824930831;-2.873459364726563;-2.573122099570008;False
1990-01_2010-02;2010-03_2011-02;PE;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16584.846779162694;0.1968367316461496;63.63636363636363;20.08412314875096;262560.2838158288;0.3919094258993655;70391.06442408432;63363.75636594114;60233.51251382637;60069.45112974215;59933.596208337556;58955.342190693984;59070.65341246987;60900.88126473518;62046.12512609903;59830.22517608706;58948.734394065934;60663.1331655028;[10990.422575915669, 8699.881634058867, 10127.357486173627, 8653.79487025785, 11811.123791662445, 13828.346809306015, 18070.08658753014, 17288.873735264824, 18367.084873900974, 31869.53382391295, 19657.88560593406, 15203.564834497207];-2.421392396798318;0.13578936573321948;8;232;-3.458854867412691;-2.8740800599399323;-2.573453223097503;False
