train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8868.730235317576;0.08864792701715013;54.54545454545455;-7.274042053372651;174900.03346415065;0.8108047612426302;75736.04242068446;78320.15749504713;79989.20494219153;83416.30707454724;88972.67224797653;88716.49934722249;84029.42029509768;90055.835413127;91112.7512833243;82666.86181444305;75079.99331719868;73602.9497037384;[-834.3764206844644, -12595.17349504713, 3873.523057808474, -1330.9220745472412, -2048.5462479765265, 1310.659652777511, -4664.115295097683, -17644.099413126998, -18550.013283324297, -7740.208814443045, -3726.1913171986816, -3295.676703738398];-0.29217613672910336;0.9266051392301495;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;RO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;24386.307337323367;0.32763270937206196;72.72727272727273;-31.395878703456603;291452.1013069348;inf;124053.60161881174;95508.38908793224;95513.73816764208;97767.39976821678;105526.86513129743;101401.85366552949;99442.58170553058;104874.04106336406;97369.97908399158;101358.77457973071;83149.02022441852;90589.29911474971;[-14403.311618811742, -25552.94008793225, -18358.232167642083, -22979.50476821678, -21892.562131297425, -17347.311665529487, -24119.754705530577, -30481.54306336405, -31652.39608399158, -30933.86857973071, -24237.652224418518, -23947.247114749713];1.1010102677042686;0.9952252355694426;8;376;-3.4478619826418817;-2.869257669826291;-2.570881358363513;False
1990-01_2021-02;2021-03_2022-02;RO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23882.961727010857;0.16249481098341984;72.72727272727273;17.935827992369873;283726.71913432545;0.7205318968665888;76457.56999351786;73769.08494071738;74802.18412748296;80346.52719324474;84950.05963207663;83779.5626244852;81221.89705301025;84920.80887610794;83044.41205522181;77421.71758713725;69248.90157815609;68467.88176338661;[3998.724006482138, 3730.2540592826263, 3696.09087251703, 3645.727806755269, 5823.563367923372, 5020.72337551479, -2384.1530530102464, 28836.80112389206, 33425.070944778185, 39190.84541286275, 36258.57442184391, 43859.82823661339];-0.34152654027899493;0.9194135403919862;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;RO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4596.67993396528;0.04740750646803302;81.81818181818181;0.6942303348885805;36284.203177625546;0.506126671069961;76613.87979271109;71756.68733327299;71911.5770772407;77314.08303195347;82335.17117503569;81534.05210318866;78943.53812649251;81878.4057623127;80219.83704826693;76128.02102135969;67320.07850143468;66609.77020013386;[-3662.557792711086, -147.6613332729903, 4900.192922759306, 4011.2099680465326, 8878.895824964304, 1437.8378968113393, 850.0448735074897, 822.2052376873035, -7962.393048266924, 90.23497864030651, -6433.1315014346765, 3594.7147998661385];-0.3491802993307839;0.9182443423288865;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;False
1990-01_2019-02;2019-03_2020-02;RO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4567.322834599485;0.049924644962217206;72.72727272727273;0.7552479092593856;54036.83874689411;0.5244773742182838;74662.64438058832;69928.86443952004;70183.27601170371;75521.5742738899;81083.24123651924;79725.06892440215;76790.0234142673;79625.67023874792;78517.38292349647;74197.96517289056;64036.712837351544;63541.28942322479;[-2308.351380588312, 1753.4395604799647, 5464.480988296287, -1729.9772738899046, 4062.909763480755, 1184.087075597854, -2537.765414267298, 836.0587612520903, -2566.0699234964704, -9189.103172890558, 2462.8741626484552, 9323.637576775203];-0.4754789127514136;0.8967134501401375;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;RO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4795.507298351398;0.05699509905474049;72.72727272727273;1.7686999996024213;56751.26716904002;0.5109595120634212;68861.15189047722;66055.04624365747;67758.75037537176;72482.37261765651;77092.41237331442;76222.90867280972;74435.96139993212;77978.563467657;75742.27310308932;71938.77915525291;62146.0910778516;61175.80401764785;[5355.94010952278, 2070.8287563425256, -8815.431375371758, 8403.75638234349, 4210.860626685579, 845.415327190276, -547.4143999321095, -3014.8134676570044, 931.3668969106802, -3937.2771552529157, 3897.6989221483964, 5937.744982352146];-0.5732317123539463;0.8769165764462128;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;RO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5160.417130592694;0.060396052546423086;54.54545454545455;5.813053341946581;101705.51641723284;0.5537893813317473;63937.555511033584;60954.148748513755;60052.761275502344;65840.02887537569;72905.2501695331;73685.1654962449;70005.65328485721;72690.15693894711;70937.5232602453;66999.0192506195;58456.07264901754;56496.66180294453;[8355.872148966417, 1808.449781486248, 7892.266384497663, 4907.310064624311, 4964.278850466901, 1450.2335237551015, 3873.2630951427855, 205.0277210528875, 3975.42285975469, -872.3491306195065, 2647.1743509824664, 9733.152197055468];-0.8937205557804407;0.7900332942804476;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;RO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7904.0984952908575;0.10338839715622578;72.72727272727273;-7.58581686664906;93698.03129238827;0.5363496502255505;68470.36008467939;64342.25566716006;65420.09001628669;69747.637368071;74847.11713828251;74642.04037639637;72256.94034867307;74863.29618582001;73823.50989187471;70325.19269789099;59781.74566447231;57636.01849732782;[-168.85908467938134, 2689.333332839946, 1523.9139837133116, -2829.6163680710015, -2626.217138282518, -7606.340376396372, -12391.940348673073, -12807.196185820016, -12587.843891874712, -12231.992697890993, -4156.475284472312, 4941.413802672178];-0.5032925396119583;0.8913723763936352;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;RO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3811.5877818510708;0.03902798658743144;72.72727272727273;0.05962042628778814;45077.58227646784;0.32491919959743937;63089.387688239935;63049.48164587504;65081.352020113176;69963.38845491083;73882.69266046838;74108.32624597051;72421.84627858682;75184.31167621093;74579.97218096575;69764.94067363352;59506.49717208837;57482.20183097506;[2965.5234417600586, 607.4973541249565, -1000.3020201131731, -2338.2134549108305, 2888.1714595316153, -1636.466225970522, -869.0775485868216, 177.09226378907624, -7424.155360965757, -839.3166336335271, -1471.9971720883696, 9429.298169024943];-0.7374993307370151;0.8367958437397032;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;RO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5844.369080022445;0.05670517879428355;72.72727272727273;4.065211689236042;69162.88301177294;0.3957695736416786;59186.069484441905;59417.89581437134;62217.38165724705;66156.6671499609;69876.23423479742;70720.8643593898;69218.53907750703;71956.26968805424;70724.89843731826;66396.96389465232;57053.065096214275;54672.0252412171;[17847.29251555809, 4680.039185628659, 1386.7733427529456, 1601.63285003911, 3132.873765202574, 1637.4856406102044, 1128.2149224929744, 3899.570311945761, 1733.4015626817418, -3191.6038946523186, 2893.010223785728, -3798.2252412171];-0.7904624340212294;0.8219076140411907;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
