train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1099.5234567961293;0.1173707050633897;63.63636363636363;-7.7638869254948615;17370.7336629143;0.7910985187316175;6763.254195949438;9143.389553774987;9585.847726083848;9309.675409736772;8593.842569328093;9590.479624267035;9076.032453898548;8637.00178267648;9461.998021334057;9232.382911549945;9696.400978200954;8758.491020481037;[1096.3428040505614, -1409.140553774987, -1782.1307260838485, -1256.2304097367723, -701.8555693280932, -155.2836242670346, -230.0094538985486, 424.6282173235195, 192.35497866594233, -823.5429115499446, -1892.1749782009547, -1232.9620204810362];-2.391020390192265;0.1442868934133396;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;AP;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1253.8743881828043;0.10285665406103289;81.81818181818181;-0.8110471102478968;9928.355808219003;inf;8738.452852590535;9556.77854704109;9613.979641911234;9385.77812549311;9039.728090514833;9465.909412519877;9389.210908690244;9194.709146290394;9587.028942121824;9490.128011354802;9409.221276047878;9294.369580652188;[288.9081474094655, -184.1115470410914, 183.66535808876688, 561.8938745068899, 1416.4799094851678, 2630.7735874801238, 1.0060913097568118, -200.02514629039433, -573.6129421218247, -1282.0620113548011, -1400.5292760478778, -2344.7805806521883];-2.4054406757350635;0.14020670285401227;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;AP;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;619.351631393331;0.053485334215548554;45.45454545454545;1.1257836461637691;14643.995886654235;0.6461939726828192;9043.816399524208;9573.731802882003;9827.8497142564;9366.0199708851;8845.118875720462;9352.588204842572;9374.046166697924;9125.106246091847;9789.054887221257;9866.342744763071;9245.16314311033;9265.93579518098;[436.975600475791, -181.99380288200337, -373.1387142563999, 5.3960291148996475, 1088.7981242795377, 850.8567951574278, -19.558166697925117, 954.9417539081533, -390.8978872212574, 353.13225523692927, -495.53114311033096, -946.0637951809804];-2.404986339815248;0.1403339942815684;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;AP;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1770.2045499316766;0.13202402003290573;45.45454545454545;10.067349567106486;41914.55681724507;0.9269759507787799;8240.569650888838;8533.56250353478;8882.94026407744;8427.120774129204;8340.41647440468;8845.369913549423;8812.720439060602;8453.605198504318;8441.750935585256;8938.802985531172;9068.21773158056;8647.033987673003;[158.86234911116298, 10.231496465219607, -1160.1622640774403, 194.97322587079543, 1334.9135255953206, 1937.0400864505773, 1304.163560939398, 2723.777801495682, 3212.772064414743, 3208.5310144688283, -815.2507315805597, -508.9409876730033];-2.391551160705662;0.14413524450705517;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;AP;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1510.912642882848;0.13346893958466452;54.54545454545455;14.089190300215112;29828.32855464241;1.1567117391796014;6404.411245493738;7890.927714008331;7668.234790782304;7854.9812307555;7501.659067543658;8070.254245413417;7980.831586648621;7522.315730825496;7843.404757663354;7695.896540146822;8208.97551787578;7593.930533371324;[669.6467545062624, 43.08028599166846, 628.7152092176966, 740.1007692445, 2434.0849324563424, 2303.2717545865826, 1656.6704133513795, 2455.6822691745037, 1860.2592423366468, 1446.3014598531781, 600.843482124219, 287.822466628676];-2.2733792780056232;0.1806974552147264;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AP;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1231.8716238480802;0.14119028844341477;72.72727272727273;-12.38198120283803;14624.69127872448;0.7625398289370202;8098.850339771959;8984.955418095367;8872.23481625318;8907.368605173395;8860.03721011885;8985.369725044344;9308.890015897983;8986.458351940899;8687.143972390339;8690.718185783593;9266.909708477364;8961.658094840706;[-962.7773397719584, -1843.0354180953673, -1585.1358162531797, -608.3066051733949, -809.5812101188494, 379.16827495565667, -276.407015897983, -11.69135194089904, -921.5249723903389, -1496.2451857835931, -1294.4517084773643, -2316.1150948407067];-2.2893225470509564;0.1754347909540135;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;AP;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1006.7138501064392;0.08870393858299151;54.54545454545455;-4.401819808375048;19854.953910596672;1.5023948057018264;8494.351083602283;9696.386511754139;9608.264776425114;9612.803068778401;9525.472222888937;9768.34559498383;9816.211747856813;9591.731989534483;9492.9538803984;9560.431957042954;9830.41976577427;9494.658591273612;[858.0125483977172, -1344.0094917541392, 301.41885557488604, -10.681534778401328, 65.18245711106283, 850.5090850161705, -108.48601885681273, -192.05235753448324, -181.09266839839984, -1429.9287450429547, -1639.5627657742698, -1996.5555912736118];-2.2687384698494;0.18224870268846893;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;AP;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7255.706445018274;0.7234995618563493;36.36363636363637;-68.37671307333407;202226.59450065953;9.093755517221377;7544.6781373278955;18254.661064414104;16611.10798386949;17938.949259273963;15655.854184737434;18450.98753585739;18123.16386529723;16077.89270345821;18048.702926830163;15163.112543995887;19369.47793960056;15160.957417239979;[1905.2218626721042, -9044.461064414103, -6712.907983869489, -8190.849259273962, -5872.3541847374345, -7224.287535857391, -7780.763865297229, -6049.39270345821, -8206.102926830163, -5066.552543995887, -10165.052210600561, -7349.104834239979];-2.2419276742681093;0.1913814167728527;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;AP;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22275.806225183474;1.4716973279959678;54.54545454545455;-126.2942776511946;452665.7569157337;2.7952908836717207;31001.68283107484;39860.2974169742;41099.94530101257;37269.14169407551;36849.787669446;39859.442935305975;38917.581760325775;37498.500020049134;39836.53502515946;41528.67377476938;38858.25296680232;36717.06402623857;[-5003.872961074838, -21615.8304169742, -23078.67030101257, -19691.258694075506, -15414.715729445998, -19424.353565305973, -20413.599330325775, -20580.068010049134, -27568.12364515946, -28280.259294769377, -27565.45296680232, -27696.264026238572];-1.3182286541859405;0.6207919707744634;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;AP;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6273.043322033752;0.1549879008973064;72.72727272727273;-4.983578545054452;74503.9370522878;0.18845119649544825;39475.950525530454;40715.71180644416;42506.01208399437;40838.13322712258;40037.68427359209;41098.1627377513;39564.747672800084;39988.1421881304;42873.222766914245;42727.37286179799;40158.45820979426;39858.583331591944;[-7535.890525530453, -6231.85180644416, -9033.483083994368, -7645.217227122579, -2732.089273592086, -1190.8967377512963, 2644.0843271999183, 6450.480811869602, 5470.106233085753, 5549.887138202015, 1739.864450205736, -10737.840331591946];-1.1318217292899344;0.7022164185778301;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
