train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;AM;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4275.279782262557;0.2806458910111937;72.72727272727273;28.3548945829639;51011.50873466559;0.9959833445831564;10871.552000910297;10554.41685329531;10397.228101574754;10523.072850094086;10524.386320405103;10551.885099064373;10339.62056972462;10552.308968442097;10596.565566569752;10496.75699106032;10445.103374283723;10666.324803832036;[4700.152999089703, 3151.61914670469, 4316.592898425246, 2608.4831499059146, 2784.5946795948967, 4344.672900935628, 4513.893430275379, 4480.648031557903, 4917.762433430247, 6094.626008939682, 3781.9186257162783, 4377.391196167964]
1990-01_2022-02;2022-03_2023-02;AM;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1933.2206605961096;0.17697905851541595;72.72727272727273;-2.7111817716153572;22980.489029190747;inf;10365.1315058281;10862.604662405372;11182.597803212095;11089.649022457294;10480.003702397102;10800.08810341637;10833.871342334764;10870.521198495719;10947.47222033721;10971.93672045188;10665.60430595532;10672.497672251833;[2049.4034941719, 2758.9173375946284, 2217.2161967879056, 1040.2089775427066, -672.312702397101, -2710.6691034163705, -3083.8713423347635, -1491.946198495718, -1225.4952203372086, -1109.6257204518806, -2021.9003059553197, 825.3833277481663]
1990-01_2021-02;2021-03_2022-02;AM;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2018.424506124739;0.15268521483112252;27.272727272727273;14.242755338679736;63702.14293891015;0.893954663704297;9591.482947209986;9520.65373286593;9325.978439775621;9371.992144809365;9302.497091013616;9376.357656117456;9302.628417089212;9090.901924350666;9436.15289126187;9610.85076243419;9403.613776617038;9385.732358724305;[2923.6810527900143, 3049.99226713407, 1181.3965602243788, -67.09014480936457, 2383.400908986383, 1969.285343882544, 1791.3465829107881, 3170.5890756493336, 1900.2621087381303, 1563.1392375658106, -804.2927766170378, -341.1123587243037]
1990-01_2020-02;2020-03_2021-02;AM;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1829.990466973787;0.18488161757375723;45.45454545454545;-9.226993769482196;43373.18402270524;0.6321706038519985;13013.913938494165;10643.510583990188;8939.838026906871;9524.195396231058;9406.36459388639;9386.333408081378;8523.983158633277;9074.282038667836;10249.705956787713;9497.47419617938;9194.628651028856;10169.135674599882;[-2523.965938494164, -3938.510583990188, -1679.9390269068708, -400.2613962310588, -1412.3645938863901, -296.39040808137906, 2098.956841366724, 843.5319613321644, -1740.820956787713, 1460.0408038206187, -1494.6646510288556, -851.8926745998815]
1990-01_2019-02;2019-03_2020-02;AM;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3146.1484755799106;0.2474734734451373;81.81818181818181;25.900804195729798;25108.58245823314;1.1278649688968834;7216.70614049815;7305.152179624076;7405.292992819379;7474.790812917525;6967.7696126388155;6905.602268033105;6969.011757455454;7100.586171645287;7470.865299578501;7161.126128974558;6995.387020649123;7366.995898203764;[-189.30614049814994, 725.9168203759245, -600.3989928193787, 3821.091187082475, 4395.6143873611845, 942.3517319668945, 2536.9202425445465, 3572.0148283547132, 4740.910700421498, 2370.6518710254422, 2376.5799793508777, 5486.887101796236]
1990-01_2018-02;2018-03_2019-02;AM;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4097.020005397387;0.3972241866886745;18.181818181818183;44.422386409870676;145869.27611005827;0.7618448890674303;4860.495305410162;4628.41897400095;3944.009071525766;3489.705635421201;3836.9723166299327;3664.7258355673634;4078.7658013712726;3622.788240918635;3430.3973028368346;4112.975908196884;4124.660598027676;3896.8806466085866;[1729.8856945898387, 2047.6100259990508, 3001.7609284742343, 2900.294364578799, 1539.0276833700673, 4865.274164432636, 5434.0601986287265, 7461.922759081364, 7932.465697163165, 1475.806091803116, -599.6605980276763, 330.11935339141337]
1990-01_2017-02;2017-03_2018-02;AM;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1758.7878624731775;0.3502929781664255;63.63636363636363;23.316628718262866;27966.017633970776;0.21668620756025497;2035.0992144890383;2773.6964277631605;3154.267028257719;3247.494671473109;3090.667389376868;3100.3164446048695;3227.3086786799454;3127.1181046050806;3105.898936810145;3135.1297190863606;3037.3159196044912;2808.5472981871376;[178.90078551096167, 840.3035722368395, -1144.2670282577192, -1187.994671473109, -765.667389376868, -74.3164446048695, 1992.0273213200549, 2029.1458953949195, 1420.5190631898545, 982.1652809136394, 3451.958080395509, 3175.7377018128623]
1990-01_2016-02;2016-03_2017-02;AM;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3395.607364764741;1.2721644287148794;36.36363636363637;-108.29806094766738;95472.7327664907;0.4300308252173365;5448.4678477923035;6114.087740107973;6756.036591792839;6515.855363114915;6073.632645471381;6231.933101163486;6365.670858483691;6344.584346664622;6364.295219765109;6245.326665848578;6068.845648478624;6254.6962683048205;[-1695.7748477923033, -3373.2897401079736, -4559.036591792839, -4486.855363114915, -2873.632645471381, -1701.7361011634857, -2370.8088584836905, -3439.225346664622, -4455.298219765109, -2193.326665848578, -3737.845648478624, -3994.4762683048207]
1990-01_2015-02;2015-03_2016-02;AM;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2193.088619426947;0.31957309412271845;63.63636363636363;27.177110674127874;34840.699969963076;0.4785639737337367;6027.928246479738;5043.044245848121;4104.024255690979;4420.770872122314;4433.369517557331;4294.6614948811;4066.3453935130924;4300.030393194236;4627.798483093966;4411.6071432806475;4342.760572225354;4716.620670039194;[1240.071753520262, 1733.4457541518786, 2654.375744309021, 2287.2291278776856, 2399.630482442669, 2660.3385051189, 2935.914606486908, 3593.9696068057638, 1750.2085169060338, 1191.1428567193525, -1146.7605722253538, -852.620670039194]
1990-01_2014-02;2014-03_2015-02;AM;etanolhidratado;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;778.6072292713931;0.1252136086284866;45.45454545454545;8.917199027053222;18434.999323210366;0.09682077513996716;4344.857132683886;4081.3908890851744;3960.208855533555;3949.4235995830936;3947.5342170386066;3958.203006799753;3924.729890270649;3894.8301517435675;4020.7678018826546;3959.801793366313;3952.84323842697;4051.988611967493;[-618.8571326838864, -310.18788908517445, 228.42014446644498, -280.4235995830936, 232.7607829613935, 323.3469932002472, 383.27010972935113, 483.1698482564325, 388.31619811734527, 1454.1982066336868, 527.15676157303, 1892.6913880325073]
