train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5058.408713211222;0.08120998170551252;36.36363636363637;-5.537160603183325;139566.3580163603;0.7345112844342299;52533.41815708056;54839.75880141793;54409.391243126476;53740.63300888158;51625.16102569759;53136.64865763574;57218.648883244605;52745.43760929027;60278.83866996018;53373.11706077223;53767.965468018025;53637.93169170573;[-3542.2731570805627, -5981.4888014179305, -1596.1872431264783, 1716.96199111842, 2107.6939743024122, 3255.6023423642546, -4738.490883244602, -427.9946092902683, -10828.719669960185, -1839.8580607722324, -3042.382468018026, -9254.629691705726]
1990-01_2022-02;2022-03_2023-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7143.3159839474165;0.11375740896542286;27.272727272727273;4.966627274820583;225311.56383448074;inf;50650.581056292016;55863.74869907088;51443.53899791635;50727.88473447139;47451.74886689531;49860.38772107061;51761.729698779236;51170.42276519586;53164.68580452226;50947.61656237455;51862.69619343576;49997.83986087316;[-3755.2860562920177, -7080.913699070879, -2853.8599979163555, -904.6107344713892, 7981.109133104692, 12224.935278929384, 7456.4663012207675, 8606.023234804146, 3916.855195477736, 11197.35443762545, -7057.109193435761, 2405.04613912684]
1990-01_2021-02;2021-03_2022-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3816.375088295055;0.06273869425755794;45.45454545454545;2.705159460652226;90243.64477215889;0.800229571247368;42898.40477640669;54454.52048535533;54751.84221572498;51063.46127409513;49727.16238641334;52411.02534243018;54716.25814428196;54856.166462257395;51710.36261859954;50022.30672068189;47862.2683863032;42984.6841962394;[2163.211223593309, -3657.966485355333, -1717.1262157249803, 4247.731725904872, 6716.562613586655, 2482.328657569822, -975.2861442819558, 529.2915377426034, -1987.2746185995347, 5770.022279318109, -2839.3753863032034, 6157.491803760597]
1990-01_2020-02;2020-03_2021-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11086.286959846906;0.21954251984298434;18.181818181818183;-7.2190074854911535;393830.1255971371;2.0117578150299686;54650.63769959445;54580.50154685627;54316.54282973626;51501.76398691157;51935.69356548881;54570.73577048403;55901.2879219533;53646.12878980163;55059.1358133451;54094.275991781586;54521.57771632728;55026.04717202557;[-9736.071699594453, -21329.86354685627, -13288.801829736258, -3101.3259869115645, 8594.685434511193, 4908.693229515964, 2970.703078046703, 8187.110210198371, 2746.768186654903, 7793.0590082184135, -15110.987716327283, -16385.001172025564]
1990-01_2019-02;2019-03_2020-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3559.1332033491094;0.05710831065769458;45.45454545454545;2.880635741207975;84152.08228823022;0.6503114111969703;53447.83799604194;53203.54726937225;52845.6552220772;51855.498370154084;49780.142498359965;53007.45952275517;51668.77573536099;52031.19938571303;53293.886455528875;51208.49054013058;51734.99832061326;52040.50192617269;[2575.1420039580626, 751.6987306277515, 3096.551777922803, -3399.0803701540863, 2923.7185016400326, 6857.78647724483, 2850.5642646390043, 3978.65461428697, 95.34154447112815, 4671.251459869418, -1285.726320613263, -4544.756926172689]
1990-01_2018-02;2018-03_2019-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3998.0842178973876;0.06500519828875197;63.63636363636363;-4.391560662519012;63067.06193191772;0.6335217817819258;54432.58153554978;53710.07403386054;57370.23195514023;55713.250814717954;49999.69541286102;56569.939471941296;54163.27874645578;55684.65227958982;55033.716614589626;52251.60241869022;54002.30305925698;53147.76694935525;[491.1634644502192, -1805.3490338605407, -6724.309955140234, -4608.526814717952, 516.5565871389772, -62.99247194129566, -3823.6577464557777, -3715.817279589821, -6810.291614589623, 5265.11958130978, -3328.778059256976, -2824.882949355255]
1990-01_2017-02;2017-03_2018-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4678.233039970081;0.07698245396700353;54.54545454545455;1.0641430885637306;92236.29432240482;0.7897549791218688;51037.225028156514;51781.225044939485;52799.66198529283;52516.86255555966;51290.611165458984;52878.631420370424;54372.76107189942;53038.098534564895;54069.31284794388;54561.280718205395;52831.5961672027;53207.79321606566;[3095.3749718434847, -1345.7200449394877, 5725.854014707176, 5083.969444440343, 4100.589834541017, 6001.203579629575, -1453.1950718994194, 267.42746543510293, -2385.453847943885, 3244.305281794608, -7019.903167202698, -8491.077216065656]
1990-01_2016-02;2016-03_2017-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3076.5563896965537;0.0479266414834246;63.63636363636363;1.3611373066330938;48507.80175717285;0.5856531331882902;51578.163613624216;53195.498940724414;50935.13145479767;52432.01056060907;49725.22131448009;52071.85163444125;52808.192924129915;51458.292384414366;52539.65882828321;52278.82531092381;51485.19534338288;52385.34185562023;[449.2953863757866, -435.0499407244133, 1733.9985452023247, 28.13643939092435, 4955.348685519908, 2623.50236555875, 2203.021075870085, 3488.950615585636, 485.5171717167905, 3188.7496890761904, -4909.4083433828855, -5216.631855620231]
1990-01_2015-02;2015-03_2016-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3626.942622493088;0.059904189271189574;45.45454545454545;-3.902746533903842;85759.79828966095;0.7465700505988122;55900.57936760822;53559.537493203614;54275.69963673268;52121.75793415487;50598.195090954396;55193.365522039254;54133.367069081694;52336.41754698351;54388.259467308795;55174.969759825064;52804.2376525533;52944.43610210333;[-6000.419367608214, -2183.892493203617, -4429.782636732678, -1510.4149341548691, 2187.8199090456037, -53.917522039257165, 808.2399309183093, 2878.194453016491, -6036.050467308793, -507.7567598250607, -5474.278652553301, -3845.9901021033293]
1990-01_2014-02;2014-03_2015-02;AM;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4673.8433115580465;0.06778885576731221;27.272727272727273;3.210861158817166;147327.22055820192;0.8844487493546334;53044.282438923125;51656.07047214016;51054.32040066988;50405.02657291479;48552.53753250798;51621.174284417386;50799.08849016057;48783.39654814532;51092.21691413984;50401.30047763822;50287.65053076893;50604.90343640805;[-2565.4434389231246, -696.0404721401646, 1389.7035993301179, -1669.121572914788, 3874.563467492022, 3233.650715582611, 6281.498509839432, 9373.206451854683, 186.37908586015692, 7294.56952236178, 133.15846923107165, -6656.451436408053]
