train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;PR;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23462.916650029823;0.0724211523789139;36.36363636363637;1.3394194381764792;647266.7441940639;0.650667778457547;297532.55610172095;290760.3617171999;275898.9260122678;262404.41702942975;265751.5298855756;261469.9742110619;258665.5046882663;267198.3701131933;285249.1884235604;268561.1891262969;259236.4772551282;276905.4080151342;[-14799.31010172097, -12729.998717199895, 32779.921987732174, 19985.28597057023, 14741.600114424422, 24244.38178893813, 10126.919311733713, -4434.650113193318, -22694.231423560414, 38201.07287370309, 1929.2417448718043, -42961.57101513422]
1990-01_2022-02;2022-03_2023-02;PR;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;49733.843606524024;0.150220815385564;54.54545454545455;12.119537803288997;982119.20156513;inf;267370.30352530145;264333.69856253325;244946.15816650895;227847.0084187415;226278.29353991867;225053.19382092255;225790.23895312662;241668.24294668477;251967.04205956293;230346.84303114895;229612.83079035685;233759.07927733965;[-28545.646525301447, -29595.167562533257, 6759.336833491048, 5836.599581258517, 43400.19046008133, 55519.76717907746, 56826.45704687337, 48770.504053315206, 31205.647940437077, 107548.24896885105, 48139.135209643166, 49793.13172266036]
1990-01_2021-02;2021-03_2022-02;PR;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;45754.76741626713;0.1602455657377225;72.72727272727273;12.960618809908661;543514.799021464;1.2179453079434133;215273.93011946196;222581.41518933562;212931.4197648234;198310.6521417335;204259.97035954203;202717.05103479832;205237.40328760617;217393.02771182533;209916.0842218402;207452.96889432147;198315.1514367466;205062.61135016513;[-30831.167119461956, -22403.177189335605, 5190.376235176605, 20964.177858266485, 49888.26864045797, 45629.19496520169, 43468.93171239382, 36261.04028817467, 42798.4837781598, 102429.41510567855, 38797.69156325341, 39988.184649834875]
1990-01_2020-02;2020-03_2021-02;PR;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22828.50675357169;0.08500993954058865;63.63636363636363;-2.248955680246188;360297.42426943564;0.26166109558645345;215483.50024395404;212409.12921408247;217770.78950510244;206843.2918759393;207988.1315960196;210143.11515495757;214685.3258808464;213815.36549757072;209408.5688511373;209592.25654709406;210743.39530082128;208314.9937184812;[-20860.95324395405, -48198.73021408246, -26288.50950510244, -9629.859875939292, -3837.3135960196087, -7469.446154957579, -2272.925880846393, 16616.69350242929, 10562.100148862693, 45894.99145290593, 1495.0536991787085, -11816.516718481173]
1990-01_2019-02;2019-03_2020-02;PR;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14082.526856870145;0.050181719737696646;45.45454545454545;2.536185171089801;332920.62556598336;0.18144267969998346;199494.19784377085;210330.18258317854;217831.8332692802;210473.649850354;202684.30781292735;208855.0679930256;209500.46523930778;211556.72749297137;204631.91301782438;203113.69103414798;203637.17847651246;198414.3342686544;[3186.3951562291477, 1267.5594168214593, -12266.033269280219, -15713.50185035402, 12729.622187072644, 6969.9870069744065, -5026.040239307797, 8852.884507028619, 11129.08798217561, 36745.22396585203, 3679.6715234875446, 12992.863731345598]
1990-01_2018-02;2018-03_2019-02;PR;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;46935.67894330257;0.21388132343431301;54.54545454545455;-20.408692327013053;928157.6771341679;0.6383579454764066;253254.2416087504;248764.52719138228;257101.19094527658;251354.98211838346;241982.56270639607;249303.60591330053;249617.7971898307;254520.28137913358;255627.16382206033;241019.8881391375;244958.01973730163;251767.89127141336;[-3605.5136087503925, -13531.090191382274, -49085.32794527657, -51564.82611838347, -44849.93870639606, -42081.75591330053, -66968.86818983068, -60261.52037913358, -56593.49582206033, -11708.720139137498, -47403.089737301634, -60708.01027141337]
1990-01_2017-02;2017-03_2018-02;PR;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18051.59369799222;0.06203937192255055;45.45454545454545;1.1857267949118315;426844.72911540774;0.36639408568310294;269773.27040629275;258477.2679374099;250095.60897995878;240494.08139888354;245167.74731857734;243177.59836454858;238654.1303185045;245443.69538693037;247884.55495287807;239856.27884418354;238448.8380345246;246024.18110808972;[7960.653593707248, 1971.3780625901127, 17370.725020041195, 28638.128601116478, 26395.977681422635, 9066.582635451428, -1135.3513185044867, -8752.924386930361, -13119.11195287807, 18158.84215581647, -19917.616034524603, -31076.651108089718]
1990-01_2016-02;2016-03_2017-02;PR;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;35868.05908575452;0.12468569976836241;45.45454545454545;12.829494968655139;849102.6705212566;1.0753153099491712;214403.94058418396;214245.5787021209;214472.6243216822;211981.56280420252;207490.9202187656;212353.0815877594;213989.9483005645;219808.11175371314;220997.27318216744;210631.8842220234;214429.1893206642;214848.1647449479;[34806.900415816024, 27566.71329787909, 19516.558678317786, 13600.924195797474, 24521.994781234418, 26037.176412240602, 23556.8246994355, 21510.07624628686, 32673.528817832557, 83889.37977797663, 37800.40167933577, 32713.280255052116]
1990-01_2015-02;2015-03_2016-02;PR;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;29475.16806068923;0.12060054668481329;27.272727272727273;-10.94061257262564;929770.1036739736;0.45073140980333415;239785.9793256277;241910.35841915803;259442.92350381365;228429.65754489836;217553.7298739674;251436.84994018252;242177.11172184857;233914.1378964967;248050.23656546292;240117.25015797955;233008.65345734358;233600.87666079123;[-28887.601325627707, -25812.189419158036, -53508.16850381365, -15591.511544898356, 40.59512603262556, -44712.329940182535, -34494.217721848574, -18726.515896496683, -39500.870565462916, 11310.35484202046, -21179.952457343577, -11911.489660791238]
1990-01_2014-02;2014-03_2015-02;PR;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22805.18018527574;0.0778702597434638;18.181818181818183;4.381469021263884;808720.7605897316;0.5568862796735831;239011.75210597468;235204.02931746925;235986.02975470037;227946.25765854912;218476.0324212826;231126.77927385736;225829.4495313578;228531.01593692455;235096.2259992716;224686.30166033257;225544.89030400963;231206.41785198895;[-5162.426105974679, 12057.226682530745, 8484.691245299618, -524.1496585491113, 26783.770578717405, 13896.062726142642, 19650.639468642214, 34512.121063075436, -8591.35399927161, 43808.697339667444, 16675.33569599036, -35182.916851988964]
