train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;RN;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5068.857372551891;0.07900649064815747;27.272727272727273;5.430288067471521;159803.50698823828;1.008752602315535;53723.77384197959;56057.50874852328;53573.87641823022;50821.15644455043;51751.664776251026;51118.50710324009;52198.71431408415;52390.805577862775;55378.127463712444;52924.720605770475;51808.548667550844;52570.70842364997;[-40.27384197959327, -5421.50874852328, 4643.207581769784, 6107.343555449574, 4083.7852237489715, 7190.152896759915, 3073.785685915849, 4692.694422137225, 838.1285362875569, 8892.126394229526, 5520.951332449156, -3157.2084236499722]
1990-01_2022-02;2022-03_2023-02;RN;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6907.266528910852;0.10025828582905211;54.54545454545455;8.064397168846753;136253.39117944252;inf;45353.14919848132;50082.396225254415;50820.64502023412;48156.43028198391;47081.49113576482;46082.02776205948;49813.37954300148;50843.86452209433;49230.55718807909;48235.72144112437;50296.02842358937;46857.74521644177;[3.155801518681983, -4314.885225254417, -1013.869020234124, -2598.261281983905, 3948.0088642351766, 11210.787237940523, 8157.411456998518, 5163.43247790567, 4692.469811920913, 15147.468558875633, 4222.644576410632, 6508.310783558227]
1990-01_2021-02;2021-03_2022-02;RN;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3995.850873868788;0.06739302678463673;63.63636363636363;3.7209358746422705;63036.00216793166;0.7111012039207519;42404.08663002095;49530.21947823069;49115.16893755795;46454.95096380396;48168.23936565721;46312.48454835303;50481.91742014285;48350.40570655862;48028.35554893854;49789.10384726823;47501.636197658154;44167.00675384914;[1892.7683699790505, -6982.396478230694, 601.3340624420453, 3323.04903619604, 6023.126634342792, 5310.8204516469705, 1972.5825798571532, 3040.0942934413833, 568.6444510614601, 6508.679152731776, -2049.988197658153, 1832.0382461508561]
1990-01_2020-02;2020-03_2021-02;RN;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7673.665329573282;0.14765619619311351;63.63636363636363;-8.589391739682943;121321.84919726462;1.2321051001603966;52136.01928521615;51492.50408799664;52970.15481041587;49951.97167744485;50729.77915828261;52483.2781830221;52690.28299290366;52190.368817845;51055.67633307118;51495.02650352301;52074.032917160155;51297.60241102772;[-8946.246285216148, -13510.785087996643, -12758.57081041587, -8395.541677444853, -3781.9591582826106, -6404.778183022099, -500.7389929036581, 3688.2621821549983, 3094.7786669288253, 7457.173496476986, -291.6509171601574, -8736.602411027721]
1990-01_2019-02;2019-03_2020-02;RN;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2831.692195593005;0.041151799383795186;36.36363636363637;2.7259402813029787;78079.87276862479;0.6450045910179484;49488.65122188526;50646.535519573976;52163.277768589985;49258.56955906649;48927.303108952045;51582.667161041165;50933.70130911321;50470.809947807335;50928.543378155;50397.82687585154;50520.36224621045;50589.91199135608;[-308.15122188525856, 942.1344804260225, -2697.2777685899855, -645.6655590664886, 4295.7298910479585, 3052.332838958835, 295.0986908867926, 3550.1900521926655, 2816.956621844998, 6142.323124148461, 578.7877537895547, -1042.911991356079]
1990-01_2018-02;2018-03_2019-02;RN;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5079.33417001824;0.09022085416029507;54.54545454545455;-8.084778996663635;100173.67318886578;0.8527677908169571;53954.51526820546;55236.9970881532;56252.21384836194;53824.46372262898;52324.037726783106;55183.59972687211;55035.303315425386;55410.964420494725;55336.1393052088;53505.36786854087;55111.15954759742;55682.23779950383;[506.552731794538, -5161.314088153202, -3459.930848361939, -6604.849722628976, -2895.5377267831063, -1381.3427268721134, -8567.349315425388, -4677.035420494729, -5905.527305208801, 1523.0101314591302, -4509.069547597421, -8000.737799503833]
1990-01_2017-02;2017-03_2018-02;RN;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3455.5382358570027;0.052496075966329235;45.45454545454545;-0.4365599784115496;81695.71379038859;0.5587650297713018;53828.76920608397;55079.01848422915;54304.65510851763;52878.637397168975;55130.52253592113;54328.999623609045;53797.24354331087;55629.16525560705;55568.85724613068;55016.49012205602;55259.63725502895;55251.19480496332;[3350.230793916031, -1963.5184842291492, 2214.5268914823682, 3324.2676028310234, -1141.6375359211306, 2373.606376390955, -288.577543310872, -408.01925560704694, -2450.4812461306865, 3999.8848779439795, -3410.060255028955, -8451.92580496332]
1990-01_2016-02;2016-03_2017-02;RN;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3237.160153836293;0.04070728668003134;45.45454545454545;2.0076203235113335;76516.10203599955;0.7639170694138947;54249.41604570167;53497.41255814075;53602.50445621991;53247.85892427714;52079.77972554414;53213.89768570889;52507.4753748266;54793.476649839264;54272.860300036475;52282.58180065838;54133.54178480054;54284.91405026118;[1020.1229542983274, -1459.158558140749, -694.01745621991, -1457.3589242771413, 1885.9522744558635, 3189.0593142911093, 5137.524625173399, -219.69664983926486, -759.9103000364776, 8484.818199341622, 641.4582151994618, -2612.414050261177]
1990-01_2015-02;2015-03_2016-02;RN;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3335.6963306274793;0.05399951486200605;18.181818181818183;-3.807642008492773;118258.00019915117;0.6868228065522813;57508.43897225758;55770.82520682876;56275.06868304375;54415.59352384881;54071.10399686198;55791.04577287691;54705.88672020404;54721.727274192584;56536.56713887637;55832.98175469155;55166.02115930757;55888.96391795705;[-4833.374972257581, -2319.4482068287616, -3878.929683043745, -1047.2155238488122, 675.3460031380164, -2584.43577287691, -1260.9107202040395, 290.172725807417, -5219.7171388763745, 3974.018245308449, -2948.9211593075743, -5300.417917957049]
1990-01_2014-02;2014-03_2015-02;RN;gasolinac;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5402.603761319517;0.07591609404566191;27.272727272727273;4.640308566750568;170317.88323432783;1.115638708493103;54787.90290347386;52980.618043584254;52208.83058000589;51709.481490894184;51109.57499265445;51953.77455820623;51048.834087875424;51133.58285709536;51991.01399047359;51001.72889912263;51053.96258230211;52293.16779148089;[-3413.933903473866, 206.61395641574927, 3134.958419994109, -1605.4994908941808, 1817.4750073455507, 2638.725441793773, 4726.115912124573, 8247.679142904643, 737.4860095264085, 11827.638100877368, 7450.589417697891, -5438.716791480889]
