train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22239.64486985481;0.08765847220062041;54.54545454545455;7.524244725626146;438575.36769619497;1.1539709019400635;223079.82933961335;216449.48006534588;213474.62043823788;210854.68934282087;206093.1371400413;211777.83082486052;210826.22372654302;206972.90326010805;214368.69205875843;209704.12107076964;211180.32410702333;215421.47755284523;[17555.491660386644, -9794.559065345878, 19308.356561762135, 10137.440657179133, 24880.476859958697, 31720.972175139497, 18416.63527345698, 21089.37173989194, 23878.89094124158, 39909.10292923034, 19849.002892976656, -9455.132552845229]
1990-01_2022-02;2022-03_2023-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;26769.176652946193;0.10708806508974707;45.45454545454545;11.011724275912469;633501.6570162034;inf;187109.92799301544;193071.7899196491;188448.40472198455;183659.75092463088;185675.39058266825;185115.3939544776;194346.0091396056;190092.52651584824;186442.3426358026;188182.13929163216;192140.65541117446;190045.8233755854;[17544.839006984548, 3813.001080350892, 22966.655278015445, 17885.731075369113, 24582.260417331767, 42630.628045522404, 13822.406860394403, 37432.84148415175, 36665.995364197384, 41190.49070836784, 19189.663588825526, 2471.7166244146065]
1990-01_2021-02;2021-03_2022-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;27254.98132236559;0.12627260400881493;36.36363636363637;12.817653547193666;752514.3695545347;1.2322292497055287;152325.24817831113;174891.66953929834;170995.53082174907;167927.0933777879;163501.09489440033;164068.90442978905;172392.87095908957;174374.63523468716;173599.9609514483;166810.8630282845;169797.19025555067;158678.6526765894;[43144.08682168886, 3586.984460701671, 16943.762178250938, 15976.922622212092, 39658.216105599655, 38809.79057021096, 20481.05704091044, 20349.248765312834, 15802.391048551712, 36890.74297171549, 19056.785744449327, 24719.084323410585]
1990-01_2020-02;2020-03_2021-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;36392.12415468791;0.19458610066705048;36.36363636363637;-17.22473349914722;1005869.5537433664;0.6738568181873784;202294.9589722937;197039.72599776267;198752.12247476846;197447.75216822684;191693.53777843475;199086.6149492042;201331.2145206558;195207.66256630816;198560.67293450405;196753.1491675235;199772.27075930452;197642.24498536863;[-30779.652972293698, -75107.01099776267, -62582.916474768455, -43990.855168226844, -12999.610778434755, -21292.208949204214, -21729.981520655798, -3858.064566308167, -24933.075934504042, -965.4081675234775, -10768.964759304508, -40054.80998536863]
1990-01_2019-02;2019-03_2020-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12327.843659302725;0.04714320733224244;45.45454545454545;4.235921751786577;291422.56330973696;0.7016467875374024;185812.6491445337;191997.61291747174;189344.22630204976;187466.55495674722;187381.82769937924;190806.76106075695;196272.23788164105;189985.4520389436;189322.74303664215;191094.7625744651;189639.17942489372;189671.5320087583;[1394.2598554663127, 1377.8460825282673, 15483.557697950251, 354.40804325276986, 20055.074300620763, 13042.700939243048, -1802.3018816410622, 23365.625961056416, 5569.636963357858, 16457.634425534896, 11160.512575106288, -5661.247008758306]
1990-01_2018-02;2018-03_2019-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12046.00144332857;0.04512692033447818;45.45454545454545;-0.8822000318459127;284749.449203703;0.4268086614589829;178586.70006111969;191195.3140299203;199123.27715998175;193983.88021562021;192821.18305951796;194000.50175689656;200738.29537129545;196824.59167255295;196340.7262136132;196550.38125348475;196263.0074686351;193164.51611503641;[10480.516938880319, -1179.7030299202888, -31766.023159981763, -2564.595215620211, 4525.500940482045, 4367.3592431034485, -15975.27437129544, 16157.544327447045, -3813.882213613193, 266.5437465152354, 4231.872531364905, -5101.803115036426]
1990-01_2017-02;2017-03_2018-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25395.047450610804;0.12405700605398255;45.45454545454545;-10.563841553015903;601169.5502657116;1.3686241608836531;198751.1500915567;214814.13242821585;221877.71178841163;220750.84754960064;216438.4798815018;221168.0712135173;223194.47331157193;218528.17343369953;219073.49943547134;219644.35682178728;220021.5924457087;215251.95001275418;[17899.139208443317, -27940.091328215844, -15405.860488411621, -27678.996449600643, -22182.067481501785, -13049.872813517315, -22576.892811571917, -14151.736133699538, -28807.15833547135, -19723.233721787285, -28441.209445708693, -47268.5330127542]
1990-01_2016-02;2016-03_2017-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;32730.28317438725;0.1419825568095235;54.54545454545455;-13.860475169381372;646225.4401595105;2.254221062619191;234794.97651860767;248150.99481973398;251430.89057026635;252759.53268217697;240005.5688126969;246435.42642584167;258801.99858450625;250490.68051715507;250309.61798277483;251186.1407475681;249375.2993454137;242813.08518759618;[-10923.03801860768, -24658.25881973398, -25725.275570266356, -31449.32268217698, -10700.076812696905, -19787.767425841652, -34349.29758450625, -32725.480517155054, -42118.340982774826, -32124.065747568093, -40714.86684541369, -57066.41498759619]
1990-01_2015-02;2015-03_2016-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16272.23735300679;0.053441840646836235;18.181818181818183;-2.554354726048549;576876.3505716744;0.35018831159599795;253402.97211664394;253285.56736512427;258622.64786210543;253606.87204927922;245334.7157766134;260595.35893633333;261060.40231377393;250845.7144206785;257719.85752889706;256697.50676613837;254242.3810067937;253423.83264891323;[5824.513083356054, -13246.447365124273, -18605.233862105437, 975.7719507207803, 13735.026323386614, -2729.612736333336, -4092.278713773936, 18083.900879321503, -13242.508628897049, -1267.39166613837, -32450.51800679369, -29172.691648913227]
1990-01_2014-02;2014-03_2015-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17738.65473264227;0.0575612598287974;45.45454545454545;-0.670568697081838;419410.55375081475;0.3516385572057552;257201.1942344231;259564.8149942572;254387.91965228305;252486.24790553423;245360.31920535432;262973.409772497;257444.87869527508;246861.89232143536;253381.0451913214;255437.44581692608;250820.88152880679;257778.34795600592;[-17400.820234423096, -18558.899994257197, 6580.513347716944, -15250.498905534216, 12829.445794645697, -4541.88977249703, 8044.6613047248975, 35430.70567856464, -5185.092191321397, 6496.899183073925, 6393.361871193221, -35179.132956005924]
