train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;TO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8607.159471006515;0.07205320912502806;45.45454545454545;-0.9727048865489532;203561.66542863534;1.7419305254348099;110409.16454131927;108582.6100439802;106190.20936858682;112953.76124806795;98941.67847987743;107727.26129164676;107861.70989870987;100005.1948932076;107763.56370482456;103770.05201345205;103638.40916044905;106809.47614278391;[9587.835458680725, -10956.210043980202, 871.5906314131862, -6305.061248067956, 8210.721520122563, 3218.3387083532434, 2776.2901012901275, 13624.305106792395, -820.9637048245495, -7901.952013452043, -12053.709160449056, -12530.358142783909]
1990-01_2022-02;2022-03_2023-02;TO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9567.77308415768;0.07622131643902343;54.54545454545455;1.8391082185613017;188633.9769223782;inf;110996.6122575928;106306.94021273035;100656.63628114876;108601.8553926332;95984.3665841943;103918.11859079746;103980.38619011235;98422.17115512601;101511.43479907271;99944.46455499009;97126.74847530824;103555.14362650471;[-6273.012257592796, -9855.140212730345, 4479.6637188512395, -2073.7553926331893, 18314.089415805705, 12532.281409202536, 7799.313809887652, 15343.128844873994, 1365.765200927286, -6955.464554990089, -9761.548475308242, -1851.6436265047087]
1990-01_2021-02;2021-03_2022-02;TO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9558.080419199963;0.07252648497323227;45.45454545454545;4.840742352316347;226052.98675360726;1.5555140095275575;103223.7728961915;100289.67511347563;97482.85398446018;105420.43669965952;91049.71129436455;97250.3575167917;97723.2671797082;91371.01344333733;96195.21678306625;93622.48188553269;90454.52863780773;92927.57121393687;[8929.797103808509, -1401.9251134756341, 2949.6460155398236, -2875.736699659523, 20885.188705635446, 11248.1424832083, 3287.8328202918055, 16476.086556662674, 3411.683216933743, -2262.0818855326943, -9089.128637807735, 7297.528786063136]
1990-01_2020-02;2020-03_2021-02;TO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13757.4735637554;0.1021752194324592;36.36363636363637;7.314267591485281;379703.5405349501;1.0521012777379533;93509.24323393143;91373.49950015733;85722.23438207564;90024.13124281891;84102.53965216146;88880.8636486408;88538.03958006793;81910.35224033771;86866.43435355986;89372.21402303175;86727.29652317769;87114.39246724061;[-1909.8732339314301, -13661.39950015732, 704.4656179243611, 4261.508757181087, 23195.21034783854, 14788.9563513592, 15487.110419932069, 29584.01775966228, 13044.635646440147, 1938.90597696825, -4065.5265231776866, -180.7624672406091]
1990-01_2019-02;2019-03_2020-02;TO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10488.8273625092;0.09800346613680287;36.36363636363637;2.987107792643863;289471.160687013;0.47222780076697685;99250.87855430081;86028.57091939588;80618.07760501484;90203.09538134087;83080.42555042764;86294.78206891377;82906.84509900984;75943.04545841352;76352.83561711122;78936.7442328458;79822.79880288275;83997.7662399636;[-16547.508554300817, -4188.738919395881, 5984.342394985157, -9575.705381340871, 7646.954449572368, 8640.14793108622, 7174.314900990168, 22490.134541586478, 13478.764382888781, -1215.0342328457918, -4907.4388028827525, 1916.3937600364006]
1990-01_2018-02;2018-03_2019-02;TO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10319.891820915083;0.10348383598376111;45.45454545454545;4.072619070201987;244209.10792540744;0.36144663489807277;83843.03063854433;79927.72810259552;84645.5167401526;78867.96385013922;75183.56200631337;81389.43188769127;81679.49597778707;74392.85014750398;74524.93948458083;77920.46581418058;75521.54208961166;76638.95658550411;[5033.33936145567, 4475.046897404478, -23545.5417401526, 9035.966149860775, 8382.716993686627, 7464.088112308731, 368.37502221293107, 16022.669852496023, 13355.053515419175, -1775.113814180586, -3321.8620896116627, 4605.733414495888]
1990-01_2017-02;2017-03_2018-02;TO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10207.99825571333;0.10346837000559744;45.45454545454545;10.324844900431616;241561.22517701532;0.31797724907490715;67690.99128016838;69940.1273552068;73334.13162019197;70656.31616327696;68504.05124274295;71453.46892519294;72131.46035585942;69139.3751667181;68999.93755549878;70935.61466949947;68066.11412978776;67946.79313741077;[18531.88326983161, 1834.4753847932006, 4749.489929808027, 6469.433846723041, 11669.630587257052, 13018.672904807056, 8231.363744140574, 14774.664383281895, 15078.29709450122, 3699.694980500528, 899.1248702122393, -2380.7821374107734]
1990-01_2016-02;2016-03_2017-02;TO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5776.722489483279;0.07438330728775298;54.54545454545455;-4.728420140623789;113887.26298211976;0.1462213356070371;71653.01550403598;71817.96787336674;76118.97173204215;78887.73168375551;69213.18272798375;72229.03062479332;77081.86756793222;74568.58332914363;73121.12522811512;73587.08080419307;69163.75035988356;71069.84182638588;[6358.464495964014, 337.63212663326703, -4415.621732042142, -6551.431683755509, 1962.1672720162605, 1866.6693752066785, -8860.517567932213, -4330.883329143631, -3469.3252281151217, -4826.670804193069, -9248.131259883558, -8486.604546385875]
1990-01_2015-02;2015-03_2016-02;TO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7157.7035956971495;0.07900726413535215;9.090909090909092;-3.0188107143333998;282009.4900331637;0.1761361503564657;74741.70086129289;75161.46222585763;79713.60591755724;77745.89438474318;72176.00363890796;77651.68840168814;77436.18306298128;72710.87735259286;75997.61501912391;78521.9559071728;73921.30040896013;72754.97001431716;[2203.979518707114, 1426.0377741423727, -7981.905917557247, -3111.2163847431802, 4306.006371092037, -3275.0540216881345, -829.7249329812767, 11527.660867407147, -1507.9118791239162, -5214.186407172805, -17092.80040896013, -7074.0800143171655]
1990-01_2014-02;2014-03_2015-02;TO;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8590.219583540702;0.09017424351085428;27.272727272727273;3.641077066904014;270860.0179561076;0.236461596184423;78066.67991653646;73150.39367523459;73156.13396116786;72732.3595135025;69771.10004045458;73280.09977989027;72925.04468916821;70111.78777871867;71440.12319047489;72719.86389626365;71196.80070216629;73676.63350043636;[-7324.9069165364635, -167.34367523458786, 2659.07703883214, -423.42951350250223, 10968.452959545422, 6300.0102201097325, 9549.805310831798, 18491.26222128133, 6779.526809525109, 2979.83610373635, -4268.704562166298, -12585.083500436362]
