train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;PR;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;50077.16442410026;0.06739628271948558;54.54545454545455;5.583169842221382;987101.3085125996;0.96620387895581;535757.24865895;520101.0365798782;523204.0645363306;521246.3844929701;491445.7423320007;515006.1996320466;521577.9633490618;484757.98698597855;516092.22958181484;501539.11461048014;498238.3572198347;514752.72339986323;[102483.65434105007, -35546.432579878194, 26898.485463669465, -6682.921492970083, 50812.32066799927, 102029.5583679534, 47593.516650938196, 37188.92601402145, -6499.221581814869, 8461.807389519876, 26520.990780165303, 10037.118600136717]
1990-01_2022-02;2022-03_2023-02;PR;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;51754.256362084714;0.09301958650469526;45.45454545454545;-6.777480513675874;1224464.0827929624;inf;594634.076625264;538349.82656862;530760.486301434;572470.2378620122;515627.95841962454;534608.6353444279;557978.2826067348;492565.66793534835;547267.1212291146;516499.8537552973;507195.91119805735;530879.3762273178;[-46714.46962526406, -61230.673568620055, -19590.591301433975, -103869.02686201222, 22842.816580375482, 16620.77365557209, -49430.70060673478, 29014.558064651676, -50445.101229114574, -20852.555755297304, -53627.70819805737, -71409.25722731784]
1990-01_2021-02;2021-03_2022-02;PR;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;52950.33324288977;0.06882137645931065;63.63636363636363;4.824644333157143;835330.553971506;1.4348720732277276;525749.2239337846;505626.61472608073;491657.22840889345;544840.9415626017;486507.2392304365;487707.97744616674;512742.11138370854;457999.26582434186;511667.30545487517;485873.6570222315;471762.88714302913;511065.6442024035;[91973.4240662154, 12993.124273919268, -768.698408893426, -65113.92256260174, 61296.22876956349, 96350.21155383327, 30007.402616291423, 82290.0371756581, -1035.9684548751684, 4754.178977768519, -4789.09114302916, -4148.670202403504]
1990-01_2020-02;2020-03_2021-02;PR;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;48090.93036662194;0.08023698464855462;54.54545454545455;0.5645219730987164;948217.1463052523;1.2366057030275044;506341.1428540848;488882.6779371035;467194.08562493883;504457.9770033229;476321.0075116022;470414.4404443243;490212.23348297016;447673.65199026134;493391.48610830976;467980.65158080193;483107.48676105915;495154.5927922502;[7475.393145915237, -68357.47993710352, -1642.7956249388517, -36943.27600332291, 37889.996488397825, 49840.13455567573, 49320.869517029845, 106526.74400973861, -15438.344108309771, -34479.62258080195, -48679.881761059165, -12633.9257922502]
1990-01_2019-02;2019-03_2020-02;PR;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;45685.89141192526;0.08078574201045738;54.54545454545455;0.00851681712120509;900807.5251489244;1.0223468016805415;529546.0353500278;491230.02537325537;475923.4163570273;527283.3492426709;476948.00153639074;468483.5383834196;467792.06560410094;429435.3689656974;457751.02704090544;421916.4642418084;454012.7515285001;469356.8210667465;[-63852.02835002786, -39052.615373255394, -20600.094357027323, -56811.707242670935, 43130.66646360926, 56768.489616580424, 7117.951395899057, 90075.3420343026, -6524.643040905416, -29970.717241808423, -16358.802528500091, 36561.07593325351]
1990-01_2018-02;2018-03_2019-02;PR;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;36694.002197963;0.05530066759074429;63.63636363636363;0.28614596037339834;578660.2335357079;0.5244406491849181;497122.46378948475;464101.4916303337;437876.05154254864;498911.1862527459;455274.3065563245;454980.89271592564;467738.26375678385;427418.86963438685;469532.8357441083;432757.7671514729;443311.6349118357;461186.3670746495;[628.9302105152165, -2157.950630333682, -89865.47954254865, -8159.52025274589, 51533.29244367551, 62469.47328407434, 5814.409243216156, 31267.480365613126, -10945.126744108333, -1685.1791514729266, -6483.015911835711, -16604.8170746495]
1990-01_2017-02;2017-03_2018-02;PR;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;39595.923607247896;0.07374088890695737;45.45454545454545;1.9736964213671038;936477.2251575346;0.5821142499380401;460482.42753694236;435468.2973805251;421220.88905833825;462354.8511830826;425988.85733745596;437409.44634664827;455893.71186614176;406422.68659515143;436228.74671037955;426594.10413352994;428677.5310487801;449613.97200337757;[30260.055563057656, -53930.41808052512, 12236.165041661763, -14517.392583082605, 77179.01156254404, 56176.3055533517, 24660.322833858256, 47900.97150484857, -4622.090510379523, -31628.694933529943, -39868.12604878005, 1785.8759966224316]
1990-01_2016-02;2016-03_2017-02;PR;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;29533.3996917373;0.056364516748263066;63.63636363636363;-1.9694537275807382;465752.1394691426;0.3137940803004292;462269.57956456474;434433.62595585926;424217.06829207053;471404.6983650794;404853.3163929564;441453.51079060166;461449.65229339513;404829.3881525295;445563.975634069;431589.58404207416;413323.4048548188;444066.95245327323;[12748.66543543525, -1993.831955859263, -15962.957292070554, -29012.78036507941, 51157.56860704359, 6737.884209398355, 906.1047066048486, 17786.291847470507, -46270.31963406899, -54318.108042074135, -31713.06615481875, -11261.087153273227]
1990-01_2015-02;2015-03_2016-02;PR;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;38791.639394458114;0.07346110610160667;54.54545454545455;-2.7049277610416;764747.7823424496;0.43225677708505816;462688.9302370706;442488.70460237574;446132.6713098421;466508.1077919085;405224.6858349416;461828.0275211672;464899.0397780818;389203.3321871936;458861.0583869133;451365.9278917017;417343.3505921238;441174.3039319975;[13973.523662929423, -28064.249602375727, -33881.77230984211, -24932.12079190847, 14165.62396505836, 8480.091278832813, -14221.752978081815, 79835.76221280638, -61054.669286913355, -65787.17019170168, -13739.822592123819, -14562.199931997515]
1990-01_2014-02;2014-03_2015-02;PR;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;52372.55872551052;0.09861638471758959;18.181818181818183;-1.4350334268021994;1857711.2638754828;0.5734369324496381;470009.4293729572;439869.36493360455;432122.90013280394;451796.5263393167;412392.6249703811;438281.4822029568;457005.46904816665;392146.679182915;434909.7029701732;438191.9161870726;417936.93156112544;445035.8567937624;[-31497.32337295718, -28623.831933604553, 7711.443867196038, -50261.2803393167, 52864.73402961891, 35274.741797043185, -8856.554048166669, 111895.81481708499, -22271.41497017321, -54924.02118707256, 5976.200738874555, -91274.70979376242]
