train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21828.07362008166;0.08615625364247224;54.54545454545455;7.279323235320477;430444.8091732674;1.133458207263093;223603.15139021495;217096.6732361719;214278.57495245905;211583.46879217564;205963.14795519313;212280.7062641256;211366.06469439765;208062.77004257275;214922.23255318988;210343.2659530339;211492.46419991754;215965.00731071254;[17032.16960978505, -10441.752236171887, 18504.402047540963, 9408.661207824363, 25010.466044806875, 31218.096735874424, 17876.79430560235, 19999.50495742724, 23325.35044681013, 39269.95804696609, 19536.862800082454, -9998.662310712534]
1990-01_2022-02;2022-03_2023-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;26220.948979519475;0.1046162159924915;45.45454545454545;10.761591823745567;620499.5909646987;inf;188622.2270069747;192768.46743404132;188887.2806779848;184413.76416626442;185973.8602385843;185481.95647094413;194233.8362068826;191077.80005092354;187089.81328841785;189032.770877702;192676.81083398339;190436.25345370412;[16032.539993025304, 4116.323565958679, 22527.77932201521, 17131.717833735573, 24283.7907614157, 42264.065529055864, 13934.579793117387, 36447.567949076445, 36018.52471158214, 40339.85912229802, 18653.508166016603, 2081.286546295887]
1990-01_2021-02;2021-03_2022-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25752.363140553527;0.11752687664338159;27.272727272727273;11.944039990919228;812303.3710295081;1.14824412926074;153145.91090493574;175547.58426927187;172795.393953569;170205.77568896746;165235.42775379808;165643.59993993174;174968.7750177334;175254.41393784303;175442.65057050253;168819.8208768981;171488.57243169265;160950.6838717537;[42323.424095064256, 2931.069730728137, 15143.899046431005, 13698.24031103254, 37923.883246201905, 37235.09506006827, 17905.15298226662, 19469.470062156965, 13959.70142949748, 34881.7851231019, 17365.403568307345, 22447.053128246305]
1990-01_2020-02;2020-03_2021-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;36603.41314643837;0.1959819561841731;36.36363636363637;-17.36010509924169;1011731.6619115882;0.679152753576864;202558.12521158642;197243.98864866456;199061.45745118905;197712.48706695728;191218.45477637753;199251.11353784546;201979.52425451006;195446.39637022975;199143.39524675027;196899.20374029977;199960.83298303888;197850.27968023843;[-31042.819211586408, -75311.27364866456, -62892.25145118905, -44255.59006695729, -12524.527776377538, -21456.707537845476, -22378.291254510055, -4096.79837022975, -25515.79824675026, -1111.4627402997576, -10957.526983038872, -40262.84468023843]
1990-01_2019-02;2019-03_2020-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12057.157476759703;0.045959685664181765;45.45454545454545;4.031897208014225;285017.52760912717;0.6838800714257914;186057.8552881456;192238.37069646662;189846.88840391213;187764.80618932558;187680.4746170402;190865.87485261954;196399.55693717542;190703.17033486805;190127.59782542975;191330.95142148883;190128.41677073983;190506.52997490045;[1149.0537118544162, 1137.0883035333827, 14980.895596087881, 56.156810674408916, 19756.42738295981, 12983.587147380458, -1929.6209371754376, 22647.907665131963, 4764.782174570253, 16221.445578511164, 10671.27522926018, -6496.2449749004445]
1990-01_2018-02;2018-03_2019-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11996.694039539323;0.04510020994054378;27.272727272727273;-1.1376625467963415;378033.5869158172;0.4261727060762534;179424.27030823458;191942.557801484;199088.47588177072;193983.88297171632;193622.02092276994;194179.93773534405;200933.73932988945;197004.17382117303;197165.8811905057;197142.32460517908;197023.4558227756;193980.8465756136;[9642.94669176542, -1926.9468014840095, -31731.221881770733, -2564.5979717163136, 3724.6630772300705, 4187.923264655954, -16170.718329889438, 15977.962178826972, -4639.037190505682, -325.3996051790891, 3471.4241772243986, -5918.13357561361]
1990-01_2017-02;2017-03_2018-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25748.540148125998;0.12549509696797992;45.45454545454545;-10.793250481404423;609553.7068715085;1.383220501464375;199937.96681619354;216115.15832981275;221671.9540769879;220510.39897478514;217036.39408814133;221196.58473777847;223281.96855524424;218794.33147901544;219613.48686457047;220034.38799321235;220614.94239663193;216121.34592949753;[16712.322483806463, -29241.11722981275, -15200.102776987886, -27438.547874785145, -22779.981688141328, -13078.386337778473, -22664.388055244228, -14417.89417901545, -29347.14576457048, -20113.264893212356, -29034.55939663193, -48137.928929497546]
1990-01_2016-02;2016-03_2017-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;33192.53955573961;0.14416912602683038;45.45454545454545;-14.075989664933905;786045.9489014507;2.2892716153049655;235223.60214413807;249180.3581938138;251819.59265269394;252929.86679099986;240398.84386437002;246535.1227329538;259101.17584250664;250817.5115708354;250993.60903261;251725.3124973264;250004.68174889742;243458.54094102792;[-11351.663644138083, -25687.62219381379, -26113.977652693953, -31619.65679099987, -11093.351864370023, -19887.463732953795, -34648.474842506635, -33052.31157083539, -42802.33203260999, -32663.237497326394, -41344.249248897424, -57711.87074102793]
1990-01_2015-02;2015-03_2016-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16419.845659369374;0.054235582046697504;9.090909090909092;-2.7167016652328706;646751.5440198923;0.3553159021901546;253637.10290350983;254013.55739334124;258926.06923122518;253926.78598838375;245404.78457873917;260728.83269714043;262036.09444130166;251519.46148919463;258549.10804135798;256920.72065522918;254574.48284264968;253443.07009265426;[5590.382296490163, -13974.437393341243, -18908.655231225188, 655.8580116162484, 13664.957521260832, -2863.086497140437, -5067.970841301663, 17410.15381080538, -14071.759141357965, -1490.60555522918, -32782.61984264967, -29191.92909265426]
1990-01_2014-02;2014-03_2015-02;RJ;oleodiesel;DWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17731.40509174726;0.0576881170836801;45.45454545454545;-0.7492368390764681;419240.12169227283;0.3521526995905728;257293.45767380742;259877.22545453935;254401.69444843853;252730.35978892664;245664.6288454432;262842.85248121293;257575.0888523211;247284.9419371048;254028.41779079102;255493.26140447383;250961.2003475699;257931.5543531125;[-17493.083673807414, -18871.310454539343, 6566.738551561459, -15494.610788926628, 12525.136154556822, -4411.332481212943, 7914.45114767889, 35007.6560628952, -5832.464790791011, 6441.083595526172, 6253.043052430119, -35332.339353112504]
