train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RJ;etanolhidratado;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;26593.09788776431;0.27526166337289587;72.72727272727273;31.73243999878956;317222.4525647617;1.0292949822945452;45633.19690665009;44556.36274181845;43957.4209470956;44288.025777136594;44760.59271042542;45246.983833213344;44823.937283842526;46324.70509122132;45270.67389058729;48446.46119481846;46113.569297028866;44198.88958810928;[3665.7600933499125, 2579.301258181549, 4980.9540529044025, 6042.920222863409, 5754.43828957458, 15304.903166786658, 24490.41671615748, 24631.69690877868, 32579.271109412715, 45735.244805181545, 43260.63270297114, 43662.780411890715];-4.064396150342961;0.0011084228260117648;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
1990-01_2022-02;2022-03_2023-02;RJ;etanolhidratado;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;5494.059921760513;0.09165705867573311;63.63636363636363;9.330906433849318;86728.50356189605;inf;42915.3656564276;41807.81628484376;41235.59441475318;41638.098964685065;42031.94927567146;42755.16646121961;42168.64277459135;43909.84707258043;42822.26716630741;46468.791650184;43834.528342126396;41518.9053504572;[12101.219343572397, 7159.732715156242, 3731.3675852468223, 2472.211035314933, 7762.803724328536, 2367.056538780387, 5431.526225408648, 5214.5229274195735, 998.781833692592, 2031.211349815996, -530.0943421263946, 4064.3486495428006];-3.9948947202285394;0.0014374811911130546;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;RJ;etanolhidratado;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;8646.460303611357;0.14561563929668422;54.54545454545455;-13.74285190986809;170731.10669122436;3.1503830223594615;52896.81179912463;49774.13469156449;47967.289312437075;50047.57818266276;50480.56038165104;53199.840868419116;50927.62445015189;56281.133970375085;53266.58390829481;66043.42575943383;57256.6270596885;48903.54460811042;[-527.81679912463, -3725.8506915644903, 229.89868756292708, -7995.838182662759, -152.33338165104215, -6843.150868419114, -3767.4174501518864, -5087.7329703750875, -7429.952908294807, -17255.595759433825, -18573.753059688497, -5840.719608110419];-5.9698240753234115;1.9482151851681413e-07;1;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;True
1990-01_2020-02;2020-03_2021-02;RJ;etanolhidratado;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;15026.74922226388;0.3260631485957631;81.81818181818181;-26.31861457090122;120429.15481740588;1.2914094779331542;58592.951877157655;57403.12386109209;56658.89081505262;57432.70279355202;57573.69649743257;58580.6658229897;57450.670167024095;59806.53582054793;58493.37470647242;63764.96732673812;60031.85652973801;56271.23621314586;[-20315.894877157654, -28852.72486109209, -25058.025815052617, -20241.374793552015, -12034.10049743257, -10467.9368229897, -5535.492167024095, -937.9868205479288, -7983.141706472423, -5781.880326738123, -3387.655529738011, -5678.85621314586];-5.145502546329932;1.1347468422584787e-05;2;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;True
1990-01_2019-02;2019-03_2020-02;RJ;etanolhidratado;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;10144.135603916797;0.13984510304981448;63.63636363636363;-11.679467859126497;160345.18863625074;0.5081174858067721;72978.66546524235;68370.52060351837;64998.34282859994;68152.30422246056;68183.16303334836;72217.33947210656;68176.06370553414;76006.96742360556;71609.46734590661;91181.68402043483;77264.62248588799;65007.28481247209;[-15471.763465242344, -8453.103603518364, 3796.056171400065, -1639.2172224605602, 3826.7999666516407, -6868.786472106556, -5415.9857055341345, -6849.135423605563, -7895.12434590661, -18325.764020434828, -14971.40548588799, -12105.228812472094];-4.851591190425194;4.328569005394628e-05;2;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;True
1990-01_2018-02;2018-03_2019-02;RJ;etanolhidratado;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;23082.169404092834;0.25130999956114425;81.81818181818181;28.403722459954274;184238.74522475066;0.9205459292366526;47754.08162040679;45477.54397719214;43746.71436839806;45430.839725826336;45500.534753290005;47227.06719311296;45013.04759030198;49038.853529688786;46841.77660564501;56807.50359388899;49997.943044056694;43616.05165199094;[1268.3543795932128, -650.6529771921341, 1371.6596316019422, 6591.085274173667, 11946.102246709997, 23908.704806887035, 30119.966409698012, 35141.84847031122, 32353.28139435499, 37884.17440611101, 23915.3889559433, 20873.281348009055];-4.826477552360689;4.8385715233977443e-05;2;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;True
1990-01_2017-02;2017-03_2018-02;RJ;etanolhidratado;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;12257.143977615304;0.2135271389901653;72.72727272727273;23.753399747630557;145885.79029767308;1.24863378420295;32520.108397444943;31641.80431658709;30937.537502432664;31574.179087752167;31563.289697902943;32094.506220898707;31238.168856249253;32759.540007451258;31876.59643444774;35562.5317691164;33046.00877918059;30660.613726707685;[1378.9036025550595, 931.3546834129083, 1935.1844975673375, 1881.2669122478364, 3444.710302097057, 13072.493779101293, 15529.804143750745, 15945.278992548745, 15912.701565552263, 20184.615230883595, 16912.066220819404, 12960.109273292313];-4.595607915264289;0.00013159892462804044;2;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;True
1990-01_2016-02;2016-03_2017-02;RJ;etanolhidratado;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;7839.088366846638;0.18358711412318185;54.54545454545455;-16.925741833467573;154918.82400723902;0.7208475181114983;45426.919143064966;44001.71797011139;42734.80377352477;43823.089737639566;43720.07706284992;44541.25789425086;43076.92476946062;45698.3356362904;44342.749302523065;49947.1385065801;46171.60897946616;42387.26573622028;[-5232.417143064966, -4555.717970111393, -2077.8107735247686, -4622.53573763957, -2426.0500628499212, -2651.6098942508615, -454.8787694606144, -6549.665636290403, -11387.226302523064, -10832.393506580098, -14382.12397946616, -12398.42073622028];-4.611855117233553;0.00012282431455014513;2;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;True
1990-01_2015-02;2015-03_2016-02;RJ;etanolhidratado;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;7483.918886612616;0.11666802003565328;72.72727272727273;6.652747617508492;88760.32692736738;0.8430873123590271;50635.026991367944;49639.03877488981;48841.369522024375;49591.527163915736;49491.72112547779;50072.76576355551;49067.303537424;50791.47157410999;50163.48466959355;54032.337040539016;51681.076649481896;48968.49620951484;[5414.219008632055, 7048.655225110197, 3419.5364779756273, 3048.580836084264, 6648.33287452221, 7480.194236444491, 9461.667462575999, 15745.702425890006, 388.8763304064487, 681.6669594609848, -8102.076649481896, -8262.000209514837];-4.607517931236158;0.00012511043464225312;2;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;True
1990-01_2014-02;2014-03_2015-02;RJ;etanolhidratado;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;8959.769602461607;0.18267494480978397;63.63636363636363;-17.9995709688172;141791.3826940779;2.7120815080169667;57689.73741351672;55700.35598171861;54141.83622243003;55965.59217357343;55565.55187577419;56730.76864217187;54471.0699022395;57917.37234803875;56790.89698946553;64410.907009611736;59195.39246091278;53742.448826233565;[-8644.715413516722, -7353.9419817186135, -6439.193222430033, -12106.425173573429, -10114.227875774188, -11498.491642171866, -8185.034902239495, -9315.296348038748, -11193.009989465529, -8944.407009611736, -5239.139460912782, -5047.0208262335655];-4.381009682671415;0.0003206651090893195;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;True
