train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;ES;gasolinac;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;4043.8029537652374;0.038270506957170436;72.72727272727273;-1.272053728159699;47822.5018357916;1.1756710328949966;84048.32408578292;82914.32028105197;82667.22781352163;81709.3870035586;83495.2852001053;83064.05378134524;82620.17896830679;84332.56785720833;81523.61166215049;89402.07452969562;87303.60306508717;82921.9302048771;[2411.075914217072, -3388.4252810519683, 5442.772186478367, -1526.5870035585976, -2398.585200105299, 210.76121865476307, -1943.9789683067938, -2978.767857208324, 430.4883378495142, 3728.1254703043815, -2141.7030650871748, -10481.3302048771];-3.91524106838958;0.001925500823003179;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
1990-01_2022-02;2022-03_2023-02;ES;gasolinac;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;4253.8574195619785;0.04210714779887161;81.81818181818181;-4.163673601599696;33568.33351366238;inf;87366.4079441609;85465.9535072734;84715.43142932472;83285.78316479165;86356.66659378282;85457.41414846326;84632.44616067449;87716.65267775471;82677.19514467969;96910.25389576584;93390.28201861349;85123.70629517514;[-2722.3079441609007, -5236.915507273399, -18.933429324708413, -6488.098164791649, -4159.766593782828, -2172.2951484632504, -1850.3661606744863, -2131.141677754713, -2563.6871446796868, -3205.5538957658428, -9526.382018613498, -1619.7062951751432];-3.850611713057462;0.0024299284543242315;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;ES;gasolinac;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;11020.585782586915;0.10803297536576756;81.81818181818181;10.727788236699315;87281.00107553825;1.8512623145521427;78985.98466931765;76093.44765376377;74586.20759507515;72109.62032171288;77099.83340581288;75946.24187351896;74647.8584478772;79380.42054595026;71701.4030264413;93615.69866130335;88781.74010414934;75805.86051333818;[1856.6153306823544, 1939.8523462362355, 11686.64240492486, 19428.930678287128, 15375.796594187123, 12624.85812648105, 12009.673552122811, 11257.67945404975, 11720.396973558702, 8489.899338696647, -1226.040104149346, 7645.239486661827];-3.5300223950519825;0.007248713311536013;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;ES;gasolinac;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;10242.82834012169;0.12418050036470811;72.72727272727273;-3.560405647728869;121514.28044916905;0.9295201124118806;78608.26434191607;77661.75890957547;76995.91177279103;76043.73477635384;77819.88320865265;77414.0853537155;76813.69091648722;78556.75843133;75828.26784178383;83614.81165454125;81868.08981763189;77420.68241724883;[-12530.367341916077, -19055.96790957547, -13145.311772791036, -10922.634776353843, -3702.783208652647, -6089.285353715502, 4631.509083512778, 8162.441568669994, 3590.7321582161676, 16005.402345458759, 4780.410182368112, -3994.7824172488326];-3.4135092068262867;0.010506874543988557;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2019-02;2019-03_2020-02;ES;gasolinac;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;3124.9171288616276;0.03431546453581768;90.9090909090909;2.9381969268861647;12347.739318114549;0.503571218266715;76259.27884304927;74923.55489634797;74188.08516780687;73039.2355617738;75178.67116430278;74677.66318613647;73994.88675985252;76090.28381060541;72636.79297468398;82645.86293393958;80645.3367092907;74698.20329575395;[1147.6201569507393, 3410.8451036520273, 630.7148321931309, -1120.0355617738096, 3136.828835697219, 2452.485813863532, 1284.213240147481, 5267.5161893945915, 3718.70702531602, 4962.337066060412, -1465.1367092907021, 4089.9387042460585];-3.303211604290339;0.014735524624382594;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;True
1990-01_2018-02;2018-03_2019-02;ES;gasolinac;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;3872.9901996017193;0.04498060205987899;90.9090909090909;-3.0139106467481973;15321.556968242241;0.4278326316147612;78234.67227354748;77100.99379493801;76361.31005142735;75223.186647014;77404.76729617485;76758.6414483244;76217.5069444444;78328.97730288508;74548.59574305067;85179.28446240618;83115.8572761147;76791.78224948148;[5407.7437264525215, -1741.0307949380076, -3305.0350514273596, -6150.786647014, -4317.837296174854, -1107.6884483244066, -6926.347944444395, -3616.8863028850756, -748.3807430506713, 911.9275375938159, -2958.2572761146876, -2810.7822494814754];-3.297584657120476;0.014986786210556666;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2017-02;2017-03_2018-02;ES;gasolinac;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;2637.5532263913988;0.02802247419566341;63.63636363636363;0.8089544269545892;41563.1382294354;0.4174215905065745;78041.43829682267;77058.30643061704;76183.11276541009;74875.45906516451;77390.64487799608;76595.51475642448;76143.16460182004;78278.02013610963;74230.73580504388;85499.76089198304;83341.18885732078;76828.99975484819;[4692.561703177329, -1472.8064306170418, 921.8872345899144, 3854.0239348354808, -1484.8948779960774, 1623.0392435755202, -1867.5746018200443, 587.9318638903787, 1702.9371949561173, 3352.680108016968, 261.6551426792139, -4550.382754848193];-3.4807994210996767;0.008494117188169158;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;ES;gasolinac;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;4751.6290095970735;0.04573466249949945;72.72727272727273;2.7870972055596956;56208.704864801795;0.7585217448212607;76503.19583341868;75841.03796821134;75207.29954368672;74247.60665968512;76151.20617623832;75481.56510714369;75110.02730880224;76804.79261045191;73736.67733001125;82143.53735387903;80655.50398282838;75998.38849682824;[4613.1041665813245, 1696.9620317886584, 894.3004563132854, 109.56534031488991, 34.29382376167632, 3485.6348928563093, 5312.472691197763, 1576.0053895480814, 3711.5726699887455, 10181.15564612097, 3334.996017171623, -8634.388496828236];-3.112394870513109;0.025649407342715983;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;True
1990-01_2015-02;2015-03_2016-02;ES;gasolinac;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;2721.9106313615334;0.02517876921195938;72.72727272727273;-1.7563695908197612;32174.206598821285;0.2633923464734255;77699.81029808416;76563.86623435322;75900.70620848348;74233.95333592502;77039.12255870478;76271.07297314885;75565.40357880523;77905.02702749583;73496.92877337964;85950.70420902199;83955.38872361225;76870.10032068078;[-2144.310298084165, 729.3157656467811, -4466.206208483476, -294.6423359250184, 310.29744129521714, -3823.5729731488536, -1058.4325788052229, 2028.8719725041738, -1051.2287733796402, 211.03379097800644, -6529.888723612254, 11.399679319220013];-3.2827378283531425;0.015667949208141917;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;True
1990-01_2014-02;2014-03_2015-02;ES;gasolinac;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;6309.538595747107;0.05957966962366349;81.81818181818181;5.3786120735672664;49837.98102853611;0.8378253554102825;73904.28653072884;73074.82691717136;72725.55428405995;71750.70410857006;73531.77977861409;73016.88853246412;72529.93900190709;73917.96034715592;71270.87975577668;79041.49021261776;77933.78722557056;73587.34071969292;[96.61346927114937, 5072.927082828639, 2565.017715940048, 447.6518914299377, 2181.49222138591, 2073.5444675358885, 6964.075998092914, 9923.039652844076, 2841.7202442233247, 13781.122787382235, 8594.212774429441, -4161.840719692918];-3.0005141116775715;0.03484641659879764;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;True
