train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PB;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;1063.3237954774731;0.042376473644650754;72.72727272727273;4.285998046382359;12577.267675059196;1.0338198674488754;20343.271484491674;19736.04319910146;20416.928126805233;20699.480913384774;21675.68495319028;21586.325311700617;20880.96973993735;20971.861378210284;20132.036614145403;21352.498381929552;19820.4013118421;18743.98889263023;[1313.0962655083276, 189.11984089854013, 1035.7983231947655, 1425.2310466152267, 1049.2951168097206, 1136.2199782993812, 664.1588800626487, 60.144051789717196, 1118.673525854596, 358.4490780704473, 2008.4809381578998, 673.1179873697693];-5.625723341219744;1.1185917542094328e-06;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2022-02;2022-03_2023-02;PB;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;871.3900800222392;0.032985505378013764;81.81818181818181;3.2548299348449707;6873.12357250474;inf;19729.73793014325;19188.07435662146;19819.410704094338;20090.511932208286;21032.96886136359;20923.273277804834;20261.166048557545;20376.629359973296;19568.535174053377;20712.037907166097;19238.622158247963;18228.27572302695;[1413.952289856752, -120.59065662145804, 658.0150159056611, 619.8920577917124, 444.2901986364086, 1415.6923021951661, 888.6781514424547, -37.921029973294935, -6.888434053376841, 1246.5671628339041, 1296.9847217520364, 227.77862697304954];-5.692047179654877;8.02947477892625e-07;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;True
1990-01_2021-02;2021-03_2022-02;PB;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;1072.1735534598608;0.04337143329350605;90.9090909090909;-3.2555656040995737;4240.89535258967;1.0602055221415583;20606.421998762282;19954.71551156449;20747.35481801068;21069.10826052564;22288.850477875596;22168.223761941943;21324.063742757175;21492.844474097532;20481.917651855932;21923.012214255763;20030.557362432337;18752.870534387162;[808.0127812377177, -3.782541564487474, -13.249748010679468, 416.638119474359, -255.13308787559436, -1037.723761941943, -954.5293227571747, -1670.7828840975308, -1677.8995318559319, -1988.9922842557644, -1065.2258424323372, -466.1151043871614];-5.4433080773007045;2.7454546439268126e-06;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;True
1990-01_2020-02;2020-03_2021-02;PB;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;1294.1648971667478;0.051875001283250455;100.0;5.023638791384674;29.07022360771295;1.4325159985132356;19975.037296173658;19498.978040998725;20095.704717046578;20321.595391413797;21253.018551040117;21172.37645271462;20554.977180003312;20685.43247961073;19936.450118673438;21005.49741094058;19579.52177487114;18609.70766424744;[1731.0605338263413, 1145.6089190012754, 1400.349632953421, 2236.522358586204, 1927.481448959883, 1522.43332728538, 898.6369499966895, 855.28129038927, -47.7399786734386, 861.0985990594199, 634.4909051288596, -328.5736042474382];-5.07566978432667;1.5687262931346848e-05;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;True
1990-01_2019-02;2019-03_2020-02;PB;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;514.316023580427;0.02268403305273801;81.81818181818181;1.0306385800319036;4054.4190100233573;0.60858581823323;19763.83280272461;19033.78536729048;19891.689753263374;20254.073474704088;21556.32922352808;21457.607433651487;20561.86397744367;20748.888002781554;19703.103826178456;21290.366854170672;19182.3695032566;17817.88321369345;[-380.86722272460975, 659.279852709522, 698.7450267366257, -745.7020947040874, 622.8066464719195, 56.084596348511695, 413.4892825563293, 744.7025772184461, 81.89617382154393, -379.8523641706706, 309.80078674339893, 432.0479463065494];-5.055473461520439;1.721628539765034e-05;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;True
1990-01_2018-02;2018-03_2019-02;PB;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;1680.978004905756;0.056151412262380206;36.36363636363637;-0.9026302009607166;46362.36261561032;0.858339185858471;20014.098073238383;19329.531230223798;20217.290927642443;20328.17930336335;21632.955519013598;21531.843385099935;20725.01201380991;20896.114615232447;19935.95404542541;21408.730287969207;19442.41931878663;18205.013500034376;[-458.1288732383837, 629.6354397762007, -3198.379697642442, 4176.728306636647, -710.4102290135997, -132.96295509993433, -391.31817380990833, -831.1164252324488, -236.38882542540887, -1944.4893479692073, 416.50097121336876, 500.59156996562524];-5.1564314595581795;1.078327295293379e-05;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;True
1990-01_2017-02;2017-03_2018-02;PB;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;1078.5465686234456;0.04359733173912656;72.72727272727273;2.5469163720036905;12757.903979608633;1.404325393675237;19930.95008967494;19513.050517169035;20073.24406576244;20159.030793143145;21022.627293909478;20956.022575668474;20421.610769175324;20558.67829510181;19927.418569679478;20922.642251822657;19599.68551100499;18728.386136223053;[1586.4803603250584, -489.0233471690335, 1398.6689742375602, 1028.667286856853, 1001.3980660905218, 2032.6888743315249, 1389.4815708246751, 273.8461448981907, -151.12818967947896, -552.6679918226582, -628.4771810049897, -570.1922962230528];-4.841088359542477;4.535239721515545e-05;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;True
1990-01_2016-02;2016-03_2017-02;PB;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;627.3611174182126;0.023012103310653755;72.72727272727273;1.3837501504625749;7415.304916442538;0.9690162368217194;19742.6197080114;19315.439317719054;19897.17327224129;19975.34739834947;20936.02119432399;20781.789581827554;20266.82079484595;20432.660333870917;19747.24407794397;20802.441637003536;19402.55826600953;18505.049550778447;[440.6592819885991, 30.32698228094523, 357.12020775871133, 685.9986116505315, -633.5067043239869, 1701.8843281724476, 259.96181515404896, -258.8813438709185, 331.1834620560294, 268.69423299646223, 477.4145639904673, -295.98977077844756];-4.193193774141015;0.0006765995859202595;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;True
1990-01_2015-02;2015-03_2016-02;PB;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;621.5217435187585;0.027549106218053246;72.72727272727273;-0.4241779491101975;7347.561618297877;0.6991845548697274;19957.299393771347;19494.9321331847;20164.5693362463;20215.41701967828;21224.69551562666;21074.63667574783;20534.49972624933;20733.107348018315;20024.310052641165;21130.38012173512;19629.572727653525;18618.924529627107;[302.2132862286526, 460.6693168152997, -684.7341962462997, 290.05037032172186, 810.4983243733404, 515.785424252168, 18.431433750669385, -513.2305380183134, -1176.5310626411665, -591.8112817351212, -842.2104076535252, 385.30554037289403];-4.0537460539183305;0.0011538067661357025;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;True
1990-01_2014-02;2014-03_2015-02;PB;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;895.4023045292145;0.03596824026250471;63.63636363636363;3.2705022743977317;14113.441840098854;1.1046396272193437;19283.37448405372;18796.102922653496;19466.034896956473;19563.412404260962;20459.823807655448;20355.78473914055;19791.108855627022;20012.04806767218;19350.603983176763;20407.041643337172;18915.9835942112;17954.013987668804;[-177.62810405371783, 609.7014273465029, 461.54481304352885, -319.86168426096265, 1399.9243823445504, 326.246060859452, 1610.373024372977, 922.8414223278196, 132.43224682323853, 1047.673936662828, 1430.117855788798, 480.37731233119484];-3.8397401908969573;0.0025259117373570557;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;True
