train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MG;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;45170.160815083866;0.06335785373120993;81.81818181818181;5.8462946403886376;356862.519845633;1.097941124783509;653402.393535389;626497.2013874456;645308.9295537529;652998.6027097859;683180.4316592936;701087.4943025371;674293.9967878655;689437.8281260412;630672.0612094932;603448.9483730018;572627.160503614;573875.6813203655;[46890.50246461097, -21693.36538744555, 61681.35344624717, 36378.386290214024, 32374.285340706352, 63018.90269746294, 47858.076212134445, 35164.37687395874, 52545.26679050678, 49637.43162699824, 45297.71849638596, 29388.01067963452];-4.2950457342144395;0.0004530698274241914;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
1990-01_2022-02;2022-03_2023-02;MG;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;41690.80868788006;0.05624954391518839;81.81818181818181;5.294290838950216;329245.8909633747;inf;620106.9534705834;597052.5397173434;613675.053037232;627785.8360369126;657147.3269508398;671325.2150612964;646427.8861983231;662141.3657756876;604085.211037463;578748.4399512411;550046.9281116689;547083.3349901739;[66293.55552941654, 38039.0362826566, 59959.78696276795, 15753.394963087398, 24992.958049160196, 54781.578938703635, 37469.83880167687, 32386.583224312402, 22014.358962536906, 11899.14504875883, -16136.62911166891, 64862.71400982607];-4.281519830618342;0.0004781087282763255;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;True
1990-01_2021-02;2021-03_2022-02;MG;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;37110.967449769836;0.049647247219944374;81.81818181818181;4.64399572120204;292971.2944126301;1.1862406236359146;590854.9355717008;571007.2248045247;592746.2970553037;611597.0548345769;635423.3467748575;651313.5029878734;627056.0405464364;648067.9814232914;585685.8624977351;557059.53595777;533860.0246569098;527383.0256859786;[73204.5154282992, 38556.55319547537, 30690.13394469628, 14032.21916542307, 52226.85622514249, 50225.990012126626, 35940.06245356356, 2483.428576708655, 8644.536502264906, 32563.128042230033, -15868.742656909744, 24644.230314021464];-3.9587619800484513;0.0016425247385612625;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;True
1990-01_2020-02;2020-03_2021-02;MG;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;38200.52972047394;0.05549727215307049;81.81818181818181;1.9169174274324252;301669.6090920079;0.48057213094336826;573968.7068933304;563524.3397973857;578934.594903498;587228.2626439657;608483.8923352539;626426.7973906052;602431.2640010059;624389.3059642061;572376.8016605407;541337.6689454871;517426.4506596838;513790.1286399724;[-13277.783893330488, -72592.89579738572, -39791.60890349792, 3617.7443560343236, 43808.89966474613, 19002.34160939476, 55201.39699899405, 37860.88703579386, 20574.552339459304, 32498.0790545129, 47197.22534031619, 955.129360027553];-4.468626618656128;0.00022396453690693327;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;True
1990-01_2019-02;2019-03_2020-02;MG;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;21458.976884612282;0.029964633589462178;72.72727272727273;-0.14335014656647235;253697.22809040168;0.23372664414897074;585034.9811942482;560287.0723885746;577535.034241629;594090.6319030639;608501.164487432;629375.1136013335;606522.8523637804;623978.37212582;566082.0085287803;540277.3716869558;510992.082708835;508430.3793885077;[-43333.965194248245, 6399.2866114254575, 10578.482758371043, -33317.277903063805, 23074.168512567994, 5232.068398666568, -10390.21236378036, 30750.961874180008, 16824.841471219668, -21531.00368695578, 890.0422911649803, 4929.706611492322];-3.8257466516589913;0.0026546092150360147;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;True
1990-01_2018-02;2018-03_2019-02;MG;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;41160.96957593397;0.05065627017131774;72.72727272727273;0.19421402015368466;486991.3466196377;0.3445848556855995;573100.4017624058;556525.4464276412;580663.4341315955;579659.7241107618;597948.9959789034;617608.1369319656;601405.734433971;613192.4760188481;567063.0604058134;537104.1042164544;508677.246386435;508199.48576235876;[12427.121237594285, 11151.812572358758, -121424.10313159553, 53863.71088923828, 11489.804021096672, 22793.307068034424, -21153.120433971053, 10611.636981151882, -12681.260405813344, 3023.3437835455406, 28375.363613564987, 14834.707237641269];-3.89565175893352;0.0020670818352782733;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;True
1990-01_2017-02;2017-03_2018-02;MG;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;22344.595079632934;0.03509331050191115;90.9090909090909;1.9483918606213741;88298.71495149823;0.2674898805909974;560312.8763915028;554040.3640608046;570959.6917065673;569082.7396518183;588894.628451579;607919.9278498482;592128.4880024476;604430.2168881734;560583.3681146529;533821.5921760435;503777.88775445987;502800.3316386617;[44805.65160849725, -28638.16926080454, 15866.182293432648, 28320.91564818169, 13952.322448421037, 21702.58405015187, 21419.24169755238, 10674.887111826683, 16972.249585347017, -7445.4844760434935, 14389.055245540163, -17914.40763866168];-3.94156884300855;0.0017493530333617996;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;True
1990-01_2016-02;2016-03_2017-02;MG;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;15466.210320536968;0.022655781479325385;72.72727272727273;-1.1804776854180268;182799.23623031843;0.1547577899782194;568969.4235567002;563445.7428593044;584627.7148513973;580545.4592559189;602904.6708665476;618851.6454266162;603957.1066847121;622176.8719680528;570623.1195189876;543582.810299025;510528.16795313393;507581.87882871984;[17136.886443299823, 9032.343140695593, -12496.902851397288, -1259.7742559188046, -13392.680866547627, 9684.15357338381, 660.2203152879374, -34957.42596805282, -18022.58451898757, -18975.192299025017, -8069.64525313396, -9582.970628719835];-4.458715802572351;0.00023332130390341956;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;True
1990-01_2015-02;2015-03_2016-02;MG;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;45924.655327402594;0.07499012827327596;63.63636363636363;-7.312215732806142;724618.2163851394;0.5523102402279314;612428.5310132368;604659.4205879614;633131.4495606592;621553.7531963841;643627.6449164798;666809.059525317;646440.5268740217;663929.303265213;608010.8606025089;577161.8405060366;550703.2017158944;551854.5909551935;[-35726.681313236826, -33556.43958796142, -63840.01756065921, -33603.70319638401, -21744.470916479826, -64362.133825317025, -40461.52267402178, -29022.281965213013, -48650.619902508915, -26298.479306036606, -84198.31971589441, -21427.00795519352];-4.851433997014338;4.3315943990763645e-05;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;True
1990-01_2014-02;2014-03_2015-02;MG;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;32245.771103385312;0.043305343161116755;81.81818181818181;-1.9839830820008932;254474.61456637055;0.6461307592579678;630915.2344436097;621187.7899549853;644663.6100838989;639764.1038616876;656459.8775078238;678262.1860203933;657200.1686502224;671005.1386365483;628296.3769004436;597270.3397931538;569486.5192739221;565723.8961630361;[-32177.345443609753, -6493.799954985268, 17814.126916101086, -32190.637861687574, 1413.7714921762235, -7615.826020393288, 19291.607349777594, 39778.27136345173, -36650.26390044356, -30081.82479315379, -4230.976573922089, -75932.93116303609];-4.5343373542053005;0.00017037718881985438;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;True
